acc,Entry_name,n_pass,n_eval,frac_pass,mean_rank,rank_sd,topology,n_transmem,Length
Q15303,ERBB4_HUMAN,7,10,0.7,0.698925486322341,0.2654882268028825,single-pass,1,1308.0
Q6ZVL6,K154L_HUMAN,7,10,0.7,0.7451413552849876,0.2112537936929053,single-pass,1,1849.0
Q53EP0,FND3B_HUMAN,7,10,0.7,0.6796778292005975,0.2166016296866633,single-pass,1,1204.0
O14511,NRG2_HUMAN,7,10,0.7,0.7934555702042151,0.227536157486785,single-pass,1,850.0
A1KXE4,F168B_HUMAN,7,10,0.7,0.7372527211154353,0.2977666777494418,multi-pass,2,195.0
P20020,AT2B1_HUMAN,7,10,0.7,0.6887907265227965,0.2350731443425632,multi-pass,10,1220.0
P27824,CALX_HUMAN,7,10,0.7,0.6837427131959103,0.3260972431757902,single-pass,1,592.0
P46531,NOTC1_HUMAN,7,10,0.7,0.6989791037690526,0.3331035349990187,single-pass,1,2555.0
Q01814,AT2B2_HUMAN,7,10,0.7,0.6974232381828024,0.2193803789984586,multi-pass,10,1243.0
P15941,MUC1_HUMAN,7,10,0.7,0.6928894270412086,0.3013533161646874,single-pass,1,1255.0
P21802,FGFR2_HUMAN,7,10,0.7,0.6793811558764036,0.2297532571927867,single-pass,1,821.0
O94856,NFASC_HUMAN,7,10,0.7,0.7260338243768096,0.2330016924132025,single-pass,1,1347.0
Q92575,UBXN4_HUMAN,7,10,0.7,0.7585139227912001,0.208265675389882,intramembrane-only,0,508.0
Q9Y4C0,NRX3A_HUMAN,7,10,0.7,0.7006537724930035,0.2006907140027919,single-pass,1,1643.0
Q9Y2U8,MAN1_HUMAN,7,10,0.7,0.8478721343616118,0.1541800234497012,multi-pass,2,911.0
Q16720,AT2B3_HUMAN,7,10,0.7,0.5777038596347842,0.2639005933125885,multi-pass,10,1220.0
Q8NF91,SYNE1_HUMAN,5,8,0.625,0.739029033594931,0.2778929380678324,single-pass,1,8797.0
Q9ULB1,NRX1A_HUMAN,6,10,0.6,0.6621965689490532,0.2127859460202117,single-pass,1,1477.0
P45880,VDAC2_HUMAN,6,10,0.6,0.5852996324526258,0.3447849914459781,multi-pass,19,294.0
P54764,EPHA4_HUMAN,6,10,0.6,0.6270165434212611,0.2862162892853043,single-pass,1,986.0
Q8IY17,PLPL6_HUMAN,6,10,0.6,0.628401651856686,0.2309943975148493,single-pass,1,1375.0
Q96HY6,DDRGK_HUMAN,6,10,0.6,0.7022652258504077,0.3064913395129233,single-pass,1,314.0
Q14BN4,SLMAP_HUMAN,6,10,0.6,0.5195873575044144,0.2428716608436232,multi-pass,2,828.0
Q14118,DAG1_HUMAN,6,10,0.6,0.728533266827135,0.1997164618849254,single-pass,1,895.0
Q13332,PTPRS_HUMAN,6,10,0.6,0.6718420381594551,0.2689288216400868,single-pass,1,1948.0
Q16623,STX1A_HUMAN,6,10,0.6,0.5913323873079004,0.30983874184203,single-pass,1,288.0
Q14643,ITPR1_HUMAN,6,10,0.6,0.6961949306649123,0.2132610261095958,multi-pass,6,2758.0
Q8IWU2,LMTK2_HUMAN,6,10,0.6,0.7390524411543421,0.2422316151940129,multi-pass,2,1503.0
P10586,PTPRF_HUMAN,6,10,0.6,0.6942386067387648,0.2692337969208968,single-pass,1,1907.0
P23468,PTPRD_HUMAN,6,10,0.6,0.6975037430811031,0.2848378918073781,single-pass,1,1912.0
P22607,FGFR3_HUMAN,6,10,0.6,0.6358739390891317,0.2263690510027474,single-pass,1,806.0
P21796,VDAC1_HUMAN,6,10,0.6,0.557589527112572,0.3717920818060587,multi-pass,19,283.0
P22455,FGFR4_HUMAN,6,10,0.6,0.5699921564778151,0.2597661408038746,single-pass,1,802.0
P32004,L1CAM_HUMAN,6,10,0.6,0.6247956405335713,0.2404379597888077,single-pass,1,1257.0
P23634,AT2B4_HUMAN,6,10,0.6,0.5852169727777765,0.2413416124179146,multi-pass,10,1241.0
P29317,EPHA2_HUMAN,6,10,0.6,0.6380650676888062,0.2479536110778976,single-pass,1,976.0
P30519,HMOX2_HUMAN,6,10,0.6,0.5496961804949051,0.2888548040821233,single-pass,1,316.0
P23471,PTPRZ_HUMAN,6,10,0.6,0.6414783125573117,0.2924337068198844,single-pass,1,2315.0
P05141,ADT2_HUMAN,6,10,0.6,0.5702539366529048,0.3244581404497964,multi-pass,6,298.0
P04626,ERBB2_HUMAN,6,10,0.6,0.7686607786594742,0.1605081332388666,single-pass,1,1255.0
P05023,AT1A1_HUMAN,6,10,0.6,0.6451330884218907,0.2542329907689305,multi-pass,10,1023.0
O60488,ACSL4_HUMAN,6,10,0.6,0.6211847746235412,0.2620152142231683,single-pass,1,711.0
O94826,TOM70_HUMAN,6,10,0.6,0.6994926354473572,0.2281068403938327,single-pass,1,608.0
O14514,AGRB1_HUMAN,6,10,0.6,0.7048106154497686,0.2875193875896383,multi-pass,7,1584.0
P35968,VGFR2_HUMAN,6,10,0.6,0.616534444365815,0.2596675743879222,single-pass,1,1356.0
Q92859,NEO1_HUMAN,6,10,0.6,0.7788433671300657,0.175032627375615,single-pass,1,1461.0
Q9UL54,TAOK2_HUMAN,6,10,0.6,0.7409787251841947,0.2104277545396273,multi-pass,5,1235.0
Q9UBP0,SPAST_HUMAN,6,10,0.6,0.7730111899714762,0.1568088434443187,intramembrane-only,0,616.0
Q9NQC3,RTN4_HUMAN,6,10,0.6,0.7193102820850023,0.2772231772896808,multi-pass,2,1192.0
Q9NVI7,ATD3A_HUMAN,6,10,0.6,0.7277696422731369,0.2110402078552805,single-pass,1,634.0
Q9HCU4,CELR2_HUMAN,6,10,0.6,0.6901255148645717,0.2704270260264403,multi-pass,7,2923.0
Q92545,TM131_HUMAN,6,10,0.6,0.8033463733234023,0.2255957372145181,single-pass,1,1883.0
Q92736,RYR2_HUMAN,6,10,0.6,0.6853645714666076,0.2083248206703789,multi-pass,6,4967.0
Q8TBM8,DJB14_HUMAN,6,10,0.6,0.7896058884434418,0.2330549731937832,single-pass,1,379.0
Q9H461,FZD8_HUMAN,6,10,0.6,0.6543629605931272,0.3193707439864808,multi-pass,7,694.0
Q92896,GSLG1_HUMAN,6,10,0.6,0.6712377811612329,0.218878403162116,single-pass,1,1179.0
Q9P0L0,VAPA_HUMAN,6,10,0.6,0.5860741082176645,0.3337507017828209,single-pass,1,249.0
Q13308,PTK7_HUMAN,6,10,0.6,0.6106390888693237,0.2091891702451079,single-pass,1,1070.0
Q08174,PCDH1_HUMAN,6,10,0.6,0.783065264109343,0.1819068041793395,single-pass,1,1060.0
P81605,DCD_HUMAN,5,9,0.5555555555555556,0.5341937484423074,0.3538161140337857,single-pass,1,110.0
A0FGR8,ESYT2_HUMAN,5,10,0.5,0.7514401579503265,0.1468415305234319,multi-pass,2,921.0
O75581,LRP6_HUMAN,5,10,0.5,0.7247161646729846,0.2067822515100135,single-pass,1,1613.0
O43561,LAT_HUMAN,5,10,0.5,0.7074224239628641,0.3027796292186536,single-pass,1,262.0
O43581,SYT7_HUMAN,5,10,0.5,0.4965348261418108,0.2702770858900971,single-pass,1,403.0
O60313,OPA1_HUMAN,5,10,0.5,0.5771943345814379,0.2709959264469217,single-pass,1,960.0
O15400,STX7_HUMAN,5,10,0.5,0.6168536146294192,0.3086081578024499,single-pass,1,261.0
O00264,PGRC1_HUMAN,5,10,0.5,0.5585097508726004,0.3392884561016389,single-pass,1,195.0
O14983,AT2A1_HUMAN,5,10,0.5,0.5022008334283204,0.269348733966528,multi-pass,10,1001.0
O15394,NCAM2_HUMAN,5,10,0.5,0.590818602886973,0.2622854216828023,single-pass,1,837.0
P04843,RPN1_HUMAN,5,10,0.5,0.5733370868999814,0.250204112247739,single-pass,1,607.0
O95573,ACSL3_HUMAN,5,10,0.5,0.5048018707755308,0.2460737902476038,single-pass,1,720.0
O95202,LETM1_HUMAN,5,10,0.5,0.5564071378440251,0.2347886202124857,single-pass,1,739.0
O95292,VAPB_HUMAN,5,10,0.5,0.530724018542664,0.3369613292967315,single-pass,1,243.0
P11717,MPRI_HUMAN,5,10,0.5,0.6540068048731166,0.2222139363389187,single-pass,1,2491.0
O94910,AGRL1_HUMAN,5,10,0.5,0.7307422725074696,0.2301605633438182,multi-pass,7,1474.0
P05556,ITB1_HUMAN,5,10,0.5,0.6010765456287576,0.2838413859300439,single-pass,1,798.0
O00533,NCHL1_HUMAN,5,10,0.5,0.6112382412673409,0.2195051209163944,single-pass,1,1208.0
P78324,SHPS1_HUMAN,5,10,0.5,0.5859224056985366,0.2337045675347627,single-pass,1,504.0
P55283,CADH4_HUMAN,5,10,0.5,0.6421682889496725,0.1915254188699322,single-pass,1,916.0
P50993,AT1A2_HUMAN,5,10,0.5,0.6036499785889237,0.2421225716384311,multi-pass,10,1020.0
P42261,GRIA1_HUMAN,5,10,0.5,0.6046338889959538,0.2185104642780933,multi-pass,3,906.0
P13591,NCAM1_HUMAN,5,10,0.5,0.5902949831983038,0.2756372959663099,single-pass,1,858.0
P12236,ADT3_HUMAN,5,10,0.5,0.5434126766470554,0.309651211836658,multi-pass,6,298.0
P12235,ADT1_HUMAN,5,10,0.5,0.5174976524042454,0.3025493614964836,multi-pass,6,298.0
P21579,SYT1_HUMAN,5,10,0.5,0.5239755794985599,0.3361367834238911,single-pass,1,422.0
P19022,CADH2_HUMAN,5,10,0.5,0.6087060724868207,0.2484193948833313,single-pass,1,906.0
P17948,VGFR1_HUMAN,5,10,0.5,0.5993104167113813,0.2572407182052206,single-pass,1,1338.0
P16615,AT2A2_HUMAN,5,10,0.5,0.5202649946193375,0.2960657743611965,multi-pass,10,1042.0
P16234,PGFRA_HUMAN,5,10,0.5,0.6305126342629251,0.2277120166849698,single-pass,1,1089.0
O95197,RTN3_HUMAN,5,10,0.5,0.6755012567383996,0.2515957365840354,intramembrane-only,0,1032.0
Q12846,STX4_HUMAN,5,10,0.5,0.5404663307315583,0.283371403738242,single-pass,1,297.0
Q02413,DSG1_HUMAN,5,10,0.5,0.7203127230355084,0.2508134356090226,single-pass,1,1049.0
Q07954,LRP1_HUMAN,5,10,0.5,0.7153676882719069,0.2598677461070561,single-pass,1,4544.0
Q8NFZ4,NLGN2_HUMAN,5,10,0.5,0.6770789763148655,0.2177578467185123,single-pass,1,835.0
Q8N111,CEND_HUMAN,5,10,0.5,0.5146400502623096,0.3332102825448289,single-pass,1,149.0
Q7Z434,MAVS_HUMAN,5,10,0.5,0.7347027190310988,0.2947521690137738,single-pass,1,540.0
Q6DD88,ATLA3_HUMAN,5,10,0.5,0.494933668857646,0.2179927028964499,multi-pass,2,541.0
Q5T8D3,ACBD5_HUMAN,5,10,0.5,0.6812627181661024,0.2967547268500108,single-pass,1,534.0
Q5JTH9,RRP12_HUMAN,5,10,0.5,0.6766210577519942,0.2528059816713,single-pass,1,1297.0
Q8WXG9,AGRV1_HUMAN,4,8,0.5,0.6140691001894838,0.2916728128014467,multi-pass,7,6306.0
Q92823,NRCAM_HUMAN,5,10,0.5,0.5753573228531971,0.2555539292881737,single-pass,1,1304.0
Q9BSJ8,ESYT1_HUMAN,5,10,0.5,0.7044462053953828,0.1781380595032412,multi-pass,2,1104.0
Q96Q04,LMTK3_HUMAN,5,10,0.5,0.7386140940400093,0.3146402569910916,single-pass,1,1460.0
Q92729,PTPRU_HUMAN,5,10,0.5,0.5980504830248748,0.2714761526268109,single-pass,1,1446.0
Q9HCM3,K1549_HUMAN,5,10,0.5,0.6863579484240037,0.2138876470257064,multi-pass,2,1950.0
Q9NZJ5,E2AK3_HUMAN,5,10,0.5,0.6635448373070163,0.1995690100724702,single-pass,1,1116.0
Q9NV58,RN19A_HUMAN,5,10,0.5,0.619184907964169,0.2637414009973666,multi-pass,2,838.0
Q9Y277,VDAC3_HUMAN,5,10,0.5,0.5081293162732028,0.3536955573220758,multi-pass,19,283.0
Q9Y4W6,AFG32_HUMAN,5,10,0.5,0.6699399088939526,0.200732755005085,multi-pass,2,797.0
