acc,n_transmem,n_intramem,topology,in_CD-CODE,in_PhaSepDB,in_DrLLPS,in_PhaSePro,in_LLPSDB,n_databases,CDCODE_role,CDCODE_n_condensates,PhaSepDB_class,MLO Types,Gene Names,DrLLPS_type,PhaSePro_partner_dep,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,FuzDrop_pLLPS,catGRANULE_score,PLAAC_NLLR,PScore_score,ESpritz_score,SEG_score,SaPS_score,PdPS_score,DeepPhase_score,PDL_score,RY_score,ParSe2_score,LLPhyScore_score,whole_len,whole_FCR,whole_NCPR,whole_kappa,whole_hydropathy,cyto_len,cyto_FCR,cyto_NCPR,cyto_kappa,cyto_hydropathy,tm_len,tm_FCR,tm_NCPR,tm_kappa,tm_hydropathy,ecto_len,ecto_FCR,ecto_NCPR,ecto_kappa,ecto_hydropathy,cyto_frac,tm_frac,ecto_frac,n_cyto_seg,n_tm_seg,n_ecto_seg,LCR_frac,log10_Length,mean_rank,rank_sd,n_predictors,Entry_name,Length,leakage_any
O00445,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.7559459952,0.2917896673,0.0,0.261,0.15649292,0.27,0.571513,-0.273,0.66,0.038860103626943,0.116580310880829,0.0501484870910644,0.239988774061203,0.6,0.9265527,0.1062176165803108,8.952214712187388,-358.0,386,0.2409326424870466,0.0284974093264248,0.2041945848531588,0.4609671848013815,341.0,0.2609970674486803,0.0381231671554252,0.2049540677220351,0.4538611925708701,21.0,0.0,0.0,,0.6820105820105821,,,,,,0.883419689119171,0.0544041450777202,,1,1,0,0.0,2.586587304671755,0.5331088662016253,0.2307748979680102,18.0,SYT5_HUMAN,386.0,False
O00483,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.2978348168,0.0522605822,,0.583,0.31803042,0.17,-0.28427,-0.371,,1.0,0.0,0.1726188659667968,0.2945375740528106,0.0,0.017785871,0.0987654320987654,2.829310657157577,-90.0,81,0.2222222222222222,0.0493827160493827,0.1464565812912973,0.4577503429355284,,,,,,23.0,0.0434782608695652,0.0434782608695652,0.6755332023371112,0.6753623188405797,44.0,0.3181818181818182,0.0,0.1223681613464678,0.3527777777777778,,0.2839506172839506,0.5432098765432098,0,1,1,0.0,1.9084850188786493,0.36489364683078,0.3448377682698676,16.0,NDUA4_HUMAN,81.0,True
O00519,1,1,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.1630066437,0.1104813728,0.0,0.141,0.0033642221,0.39,0.334191,-0.11,2.37,0.0,0.1398963730569948,0.0888972729444503,0.0691683590412139,0.01,0.037854653,0.082901554404145,96.78537785701684,-343.0,579,0.1899827288428324,0.003454231433506,0.2048415667423877,0.4979274611398981,520.0,0.2019230769230769,-0.0019230769230769,0.2029875021281428,0.4801709401709393,21.0,0.0,0.0,,0.7275132275132273,,,,,,0.8981001727115717,0.0362694300518134,,2,1,0,0.0,2.762678563727436,0.4062063141544863,0.2634130625820836,18.0,FAAH1_HUMAN,579.0,True
O00533,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.6616978159,0.2832724347,0.0,0.693,0.09197687,0.49,1.13816,-0.184,1.52,0.0529801324503311,0.0298013245033112,0.0630345270037651,0.1821281909942627,0.78,0.91179717,0.0728476821192053,96.38392153873188,-618.0,1208,0.2342715231788079,-0.0273178807947019,0.191063392279844,0.4471394407652631,105.0,0.3333333333333333,-0.0666666666666666,0.1910537364715126,0.3801058201058204,21.0,0.0,0.0,,0.8084656084656083,1058.0,0.2306238185255198,-0.0264650283553875,0.1901537516049036,0.4422705314009629,0.0869205298013245,0.0173841059602649,0.8758278145695364,1,1,1,0.0,3.082066934285113,0.6112382412673409,0.2195051209163944,18.0,NCHL1_HUMAN,1208.0,True
O00767,4,0,multi-pass,False,False,True,False,False,1,,,,,,Regulator,,0.2264112244,0.0754607922,0.000833333,0.235,0.06490528,0.25,-0.00738363,-0.271,-0.59,0.0,0.0334261838440111,0.1130254119634628,0.0767493918538093,0.14,0.019651743,0.1225626740947075,22.04848527297266,-545.0,359,0.2033426183844011,0.0194986072423398,0.1775924584568794,0.4788300835654594,267.0,0.2546816479400749,0.0149812734082397,0.1751538490548981,0.4348730753225132,84.0,0.0357142857142857,0.0357142857142857,0.2896586826306815,0.6287037037037038,8.0,0.25,0.0,0.5,0.3722222222222222,0.7437325905292479,0.233983286908078,0.022284122562674,3,4,2,0.0,2.55509444857832,0.3738683394698254,0.2383602385053738,18.0,ACOD_HUMAN,359.0,False
O14495,6,0,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.4168754208,0.6963320702,0.0,0.044,0.011862351,0.21,-0.195568,-0.281,0.17,0.0,0.0514469453376205,0.0607100948691368,0.0315911956131458,0.18,0.029234266,0.1093247588424437,9.613132161497964,-460.0,311,0.180064308681672,0.045016077170418,0.1742269832149749,0.5115398356555911,93.0,0.2580645161290322,0.1505376344086021,0.2210267285304818,0.3875746714456392,123.0,0.040650406504065,-0.008130081300813,0.4044491139037083,0.6924119241192414,95.0,0.2842105263157894,0.0105263157894736,0.1784162733218651,0.3987134502923978,0.2990353697749196,0.3954983922829582,0.3054662379421222,4,6,3,0.0,2.492760389026837,0.3363344453821394,0.2292103706495408,18.0,PLPP3_HUMAN,311.0,True
O14511,1,0,single-pass,False,False,True,False,False,1,,,,,,Regulator,,0.6383944942,0.173838912,0.003333333,0.516,0.2577676,1.0,0.790865,0.063,4.15,0.2494117647058823,0.2611764705882353,0.5120087265968323,0.2712746262550354,1.0,0.39535162,0.12,376.9591228115309,-261.0,850,0.2223529411764706,0.0435294117647058,0.198998270628945,0.4255555555555567,424.0,0.2169811320754717,0.0188679245283018,0.2577536941568676,0.4044811320754708,21.0,0.0,0.0,,0.8211640211640209,294.0,0.2619047619047619,0.0714285714285714,0.1440291714111648,0.4315192743764166,0.4988235294117647,0.0247058823529411,0.3458823529411765,1,1,1,0.0517647058823529,2.929418925714293,0.7934555702042151,0.227536157486785,18.0,NRG2_HUMAN,850.0,False
O14514,7,0,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.2946712509,0.0646995287,,0.497,0.0034183967,0.96,0.767342,0.039,4.7,0.1117424242424242,0.1117424242424242,0.4436404705047607,0.2484039962291717,0.99,0.6912237,0.0896464646464646,238.76041613926893,-1141.0,1584,0.2108585858585858,0.0075757575757575,0.1678828821762099,0.4655162738496143,453.0,0.2737306843267108,0.0264900662251655,0.1495996372531629,0.4023301447142521,147.0,0.0204081632653061,-0.0068027210884353,0.8379095570746008,0.7308390022675736,954.0,0.2127882599580712,-0.0031446540880503,0.1791384105235958,0.4503843466107652,0.2859848484848485,0.0928030303030303,0.6022727272727273,4,7,4,0.0265151515151515,3.1997551772534747,0.7048106154497686,0.2875193875896383,17.0,AGRB1_HUMAN,1584.0,True
O14548,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.5896165094,0.3053980087,0.0,0.101,0.021156859,0.17,-0.707097,-0.344,,0.5526315789473685,0.0,0.0730011835694313,0.1324833333492279,0.0,0.022044782,0.0964912280701754,1.5204869708616793,-103.0,114,0.175438596491228,0.0526315789473684,0.1737980954763996,0.482553606237817,,,,,,26.0,0.0769230769230769,0.0,0.6067796610169492,0.5837606837606837,,,,,,,0.2280701754385964,,0,1,0,0.0,2.0569048513364727,0.3135473835747228,0.2881397517076916,17.0,COX7R_HUMAN,114.0,True
O14763,1,0,single-pass,False,True,False,False,False,1,,,in_phasepdb_no_class,,TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9,,,0.4304014178,0.2870047146,0.003333333,0.512,0.005453388,0.93,0.211283,-0.297,1.28,0.0704545454545454,0.1886363636363636,0.0523213744163513,0.0423873364925384,0.93,0.18987988,0.0772727272727272,36.8714809762212,-215.0,440,0.2522727272727272,-0.0295454545454545,0.2174513723822539,0.4545959595959588,209.0,0.2870813397129186,-0.0574162679425837,0.2199180949277796,0.4426900584795322,21.0,0.0,0.0,,0.8222222222222221,155.0,0.2516129032258064,-0.0451612903225806,0.2146730481062144,0.4124014336917563,0.475,0.0477272727272727,0.3522727272727273,1,1,1,0.0,2.6434526764861874,0.5115954768657063,0.2794245754305404,18.0,TR10B_HUMAN,440.0,False
O14925,3,0,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.0470803517,0.1028621382,0.0,0.29,0.30605072,0.32,1.35477,-0.189,1.5,0.0,0.2248803827751196,0.0822057798504829,0.0821747556328773,0.1,0.0250592,0.0765550239234449,41.27183268808406,-117.0,209,0.138755980861244,0.0143540669856459,0.2290425128756838,0.5038277511961725,,,,,,59.0,0.0169491525423728,-0.0169491525423728,0.4298710473393388,0.6299435028248589,,,,,,,0.2822966507177033,,0,3,0,0.0,2.3201462861110542,0.4311061812561879,0.2769038935759922,18.0,TIM23_HUMAN,209.0,True
O14983,10,0,multi-pass,False,False,True,False,False,1,,,,,,Regulator,,0.5941661689000001,0.3871302595,0.0,0.517,0.95666677,0.21,0.35069,-0.343,1.14,0.0,0.0479520479520479,0.0923962518572807,0.1386654376983642,0.02,0.9644095,0.0739260739260739,11.931047403573327,-1126.0,1001,0.2357642357642357,-0.0279720279720279,0.1635990476285589,0.5058830058830067,,,,,,204.0,0.1176470588235294,-0.0294117647058823,0.2093253088980341,0.6347494553376899,,,,,,,0.2037962037962038,,0,10,0,0.0,3.000434077479319,0.5022008334283204,0.269348733966528,18.0,AT2A1_HUMAN,1001.0,False
O15079,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.4016711978,0.3897831449,0.011666667,0.363,0.06748512,1.0,0.434148,-0.133,4.72,0.1032388663967611,0.2024291497975708,0.3644679188728332,0.5791057348251343,1.0,0.21612869,0.0890688259109311,172.7455715347403,-185.0,494,0.2489878542510121,-0.0222672064777327,0.2044656097341141,0.4295771479982003,,,,,,20.0,0.05,-0.05,0.8259587020648969,0.7188888888888889,,,,,,,0.0404858299595141,,0,1,0,0.0,2.693726948923647,0.7161630735503974,0.2437155665116238,18.0,SNPH_HUMAN,494.0,True
O15173,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.4174834576,0.4056382377,0.005833333,0.501,0.77787364,0.98,1.6169,-0.335,1.22,0.2645739910313901,0.3273542600896861,0.8142059445381165,0.7097195386886597,0.49,0.05001168,0.0986547085201793,27.80215242052495,-51.0,223,0.2780269058295964,-0.0448430493273542,0.1953158401394301,0.4451918285999005,,,,,,25.0,0.04,-0.04,1.0,0.7248888888888886,,,,,,,0.1121076233183856,,0,1,0,0.0,2.3483048630481607,0.6783099057001134,0.3073886715174487,18.0,PGRC2_HUMAN,223.0,True
O15247,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.6626449485,0.5698069716,0.0,0.201,0.35880995,0.31,-0.0263328,-0.507,1.01,0.0,0.0,0.1145838275551796,0.7685964107513428,0.02,0.07902667,0.0769230769230769,0.3207306256651004,-234.0,247,0.2955465587044534,-0.020242914979757,0.1743301235780792,0.4424651372019799,,,,,,21.0,0.1428571428571428,0.1428571428571428,0.2541482434821824,0.6021164021164019,,,,,,,0.0850202429149797,,0,1,0,0.0,2.392696953259666,0.3938213214882163,0.2919822990225946,18.0,CLIC2_HUMAN,247.0,False
O15270,1,0,single-pass,True,False,False,False,False,1,member,1.0,,,,,,0.8388283926000001,0.5393111167,0.0,0.306,0.13273932,0.17,0.83961,-0.2,1.06,0.0,0.0373665480427046,0.1603607237339019,0.3073548376560211,0.03,0.035062265,0.1209964412811387,10.97423520705106,-582.0,562,0.2348754448398576,0.0035587188612099,0.2074559340146128,0.4781336496639002,,,,,,21.0,0.0,0.0,,0.680952380952381,,,,,,,0.0373665480427046,,0,1,0,0.0,2.749736315569061,0.5077672819172353,0.2777009052942721,18.0,SPTC2_HUMAN,562.0,False
O15394,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.6981818861,0.4211152804,0.001666667,0.548,0.010592328,0.29,1.02619,-0.24,0.09,0.082437275985663,0.0991636798088411,0.049036294221878,0.2263426482677459,0.92,0.905403,0.075268817204301,74.77269257986251,-488.0,837,0.2461170848267622,-0.02389486260454,0.128219480700971,0.4542413381123045,119.0,0.3697478991596639,-0.0672268907563025,0.1158799229687616,0.3974789915966382,21.0,0.0,0.0,,0.7952380952380951,678.0,0.2389380530973451,-0.0176991150442477,0.1326789172556517,0.4476892822025565,0.1421744324970131,0.025089605734767,0.8100358422939068,1,1,1,0.0,2.92272545799326,0.590818602886973,0.2622854216828023,18.0,NCAM2_HUMAN,837.0,True
O15399,3,1,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.1980836382,0.0849679366,0.000833333,0.475,0.008563827,0.99,1.0002,-0.089,3.24,0.0449101796407185,0.2455089820359281,0.18865667283535,0.0569999516010284,0.97,0.38526237,0.1040419161676646,204.04535032617864,-1027.0,1336,0.1901197604790419,0.0089820359281437,0.1958783795689317,0.478634397870918,506.0,0.1857707509881423,0.0395256916996047,0.2310366229966462,0.4263724198506815,67.0,0.0298507462686567,0.0,0.6847161572052402,0.7058043117744609,724.0,0.2113259668508287,-0.0179558011049723,0.1678268412876701,0.4890730509515048,0.3787425149700599,0.0501497005988023,0.5419161676646707,3,3,2,0.0194610778443113,3.125806458139527,0.6810720759438708,0.2827824953769417,18.0,NMDE4_HUMAN,1336.0,True
O15400,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.676708072,0.3611385417,0.000833333,0.652,0.7485412,0.24,-0.212671,-0.023,-1.92,0.0,0.1724137931034483,0.4189589917659759,0.7428185343742371,0.92,0.87719595,0.0842911877394636,13.49629884981614,-249.0,261,0.2605363984674329,-0.0229885057471264,0.1902098541511436,0.4299276287782032,237.0,0.2869198312236287,-0.0253164556962025,0.1865931866823924,0.3941865916549466,21.0,0.0,0.0,,0.8486772486772489,,,,,,0.9080459770114944,0.0804597701149425,,1,1,0,0.0,2.416640507338281,0.6168536146294192,0.3086081578024499,18.0,STX7_HUMAN,261.0,False
O43306,12,0,multi-pass,True,False,False,False,False,1,member,1.0,,,,,,0.3552777143,0.4651875642,0.0,0.298,0.017820898,0.41,0.380976,-0.129,1.77,0.0,0.0839041095890411,0.0629762113094329,0.0503916032612323,0.5,0.18746188,0.1010273972602739,50.50809513288357,-1680.0,1168,0.2037671232876712,0.0102739726027397,0.1746275227421236,0.5031868340943677,774.0,0.268733850129199,0.0077519379844961,0.1695988893222218,0.4420470858455329,205.0,0.0,0.0,,0.7623848238482408,60.0,0.1,-0.0333333333333333,0.3683254747037084,0.5062962962962961,0.6626712328767124,0.175513698630137,0.0513698630136986,3,12,1,0.0,3.0674428427763805,0.5266497180251799,0.2137132132193638,18.0,ADCY6_HUMAN,1168.0,True
O43497,24,0,multi-pass,False,False,True,False,False,1,,,,,,Regulator,,0.1052046102,0.0849441681,0.0,0.347,0.008452658,1.0,0.834073,-0.111,3.31,0.0866638620109381,0.132940681531342,0.1483185589313507,0.0692521929740905,1.0,0.4666324,0.0845603702145561,445.43653102208606,-2267.0,2377,0.203618005889777,-0.0126209507782919,0.2122164552908423,0.4857850698826668,1419.0,0.237491190979563,-0.0133897110641296,0.2143759803279193,0.42516639260825,530.0,0.1018867924528302,0.0226415094339622,0.220274216982768,0.6720545073375264,428.0,0.2172897196261682,-0.0537383177570093,0.1876592611892694,0.456100726895119,0.5969709718132099,0.2229701304164913,0.1800588977702987,13,24,12,0.0113588557004627,3.3760291817281805,0.6371580973774378,0.3081868937130007,18.0,CAC1G_HUMAN,2377.0,False
O43526,6,1,multi-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.2799011975,0.1462720609,0.000833333,0.411,0.022263447,0.98,0.981663,-0.05,2.31,0.0481651376146789,0.091743119266055,0.0937223732471466,0.3837428390979767,0.99,0.31982177,0.1066513761467889,150.8212188469488,-572.0,872,0.2282110091743119,0.0332568807339449,0.1848736445287793,0.4602956167176348,678.0,0.2507374631268436,0.0412979351032448,0.1905416091599334,0.4248607014093739,137.0,0.1167883211678832,0.0437956204379562,0.2256627513610442,0.6498783454987836,44.0,0.2727272727272727,-0.0909090909090909,0.0973630171424083,0.3762626262626263,0.7775229357798165,0.1571100917431192,0.0504587155963302,4,6,4,0.0,2.940516484932567,0.6781170559334027,0.2172132443398118,18.0,KCNQ2_HUMAN,872.0,True
O43561,1,0,single-pass,True,True,True,True,False,4,member,2.0,in_phasepdb_no_class,Receptor cluster,LAT,Scaffold,Y,0.3832165678,0.5234676667,,0.785,0.8835028,1.0,-0.334812,-0.126,2.71,0.2022900763358778,0.3129770992366412,0.533229649066925,0.9440208673477172,0.85,0.13425925,0.0801526717557251,82.61135574673678,-27.0,262,0.1984732824427481,-0.099236641221374,0.3003669168592212,0.4526717557251907,235.0,0.2127659574468085,-0.102127659574468,0.3070492387649309,0.4182505910165487,23.0,0.0,0.0,,0.8120772946859902,4.0,0.5,-0.5,,0.4083333333333333,0.8969465648854962,0.0877862595419847,0.015267175572519,1,1,1,0.0,2.418301291319745,0.7074224239628641,0.3027796292186536,17.0,LAT_HUMAN,262.0,True
O43581,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.6145512828,0.3084292898,0.000833333,0.217,0.17488392,0.61,0.549182,-0.412,0.16,0.0,0.0347394540942928,0.0573246106505394,0.6108671426773071,0.75,0.964992,0.0843672456575682,14.738377799174426,-263.0,403,0.2704714640198511,0.032258064516129,0.1585935103038976,0.4452715743038319,366.0,0.2841530054644808,0.0382513661202185,0.1628569355581923,0.429720704310869,21.0,0.0,0.0,,0.7820105820105817,,,,,,0.9081885856079404,0.0521091811414392,,1,1,0,0.0,2.6053050461411096,0.4965348261418108,0.2702770858900971,18.0,SYT7_HUMAN,403.0,True
O60313,1,1,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.7007439908,0.7859614547,0.000833333,0.749,0.117857836,0.14,0.493478,-0.265,0.26,0.0,0.03125,0.1699591726064682,0.7169510126113892,0.19,0.5876726,0.0885416666666666,16.312930843216783,-1070.0,960,0.3041666666666666,0.0020833333333333,0.167375622349316,0.4351504629629608,,,,,,17.0,0.1176470588235294,0.1176470588235294,0.807365299531482,0.6052287581699348,836.0,0.3181818181818182,-0.0263157894736842,0.1541948111702342,0.4328681552365769,,0.0177083333333333,0.8708333333333333,0,1,2,0.0,2.9822712330395684,0.5771943345814379,0.2709959264469217,18.0,OPA1_HUMAN,960.0,True
O60488,1,0,single-pass,True,False,True,False,False,2,member,1.0,,,,Client,,0.5996765297000001,0.5312033803,0.001666667,0.686,0.9542287,0.23,0.815891,-0.184,0.96,0.0,0.0,0.4242100119590759,0.4736115932464599,0.19,0.7496679,0.0745428973277074,71.19556299916462,-564.0,711,0.2320675105485232,0.0154711673699015,0.1722904787108923,0.4784497577746524,683.0,0.2386530014641288,0.0131771595900439,0.1725928193385038,0.4689930047177499,21.0,0.0,0.0,,0.766137566137566,,,,,,0.960618846694796,0.0295358649789029,,1,1,0,0.0,2.851869600729766,0.6211847746235412,0.2620152142231683,18.0,ACSL4_HUMAN,711.0,False
