UniProt_ID,Gene,Protein_name,reviewed,protein_existence,length,n_transmem,n_intramem,n_lipid,topology,tm_evidence,membrane_descriptor,kw_transmembrane,kw_gpi,in_CD-CODE,in_PhaSepDB,in_DrLLPS,in_PhaSePro,in_LLPSDB,n_databases,CDCODE_role,CDCODE_driver_criteria,CDCODE_n_biomol_condensates,CDCODE_n_synthetic_condensates,CDCODE_condensate_names,PhaSepDB_class,PhaSepDB_MLO,DrLLPS_type,DrLLPS_condensate,PhaSePro_partner_dependent,all_pmids,n_pmids,flagged_pmid_citations,evidence_proteomics_inventory_only,evidence_rnai_screen_only,flag_no_pmid,flag_single_database,flag_unreviewed,flag_tm_predicted_only,flag_no_membrane_descriptor,n_flags,catgranule_leakage,catgranule_train_positive,catgranule_label_contradiction,set_legacy_427,set_legacy_rule_reconstructed,set_recommended_primary,set_strict_transmem,set_full_union_475,set_evidence_core,set_catgranule_clean
Q9BRQ8,AIFM2,Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein),reviewed,Evidence at protein level,373.0,1,0,1,single-pass,sequence_analysis,Lipid-anchor,True,False,False,True,False,False,False,1,not_in_cdcode,,,,,PS-self only,,not_in_drllps,,,37380771,1,,False,False,False,True,False,True,False,2,not_in_catgranule,False,False,True,True,True,True,True,False,True
P51648,ALDH3A2,Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 10) (Fatty aldehyde dehydrogenase) (Microsomal aldehyde dehydrogenase),reviewed,Evidence at protein level,485.0,1,0,0,single-pass,sequence_analysis,Single-pass membrane protein,True,False,True,False,True,False,False,2,member,,2.0,0.0,Stress granule;Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,"Stress granule, Postsynaptic density",,23071613;29373831,2,23071613=Bayés A PLoS One 2012,False,False,False,False,False,True,False,1,catgranule_train_positive,True,False,True,True,True,True,True,True,False
Q9UM73,ALK,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),reviewed,Evidence at protein level,1620.0,1,0,0,single-pass,sequence_analysis,Single-pass type I membrane protein,True,False,False,True,False,False,False,1,not_in_cdcode,,,,,PS-other only,,not_in_drllps,,,33848463,1,,False,False,False,True,False,True,False,2,catgranule_test_positive,False,False,True,True,True,True,True,False,False
P51693,APLP1,Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30],reviewed,Evidence at protein level,650.0,1,0,0,single-pass,sequence_analysis,Single-pass type I membrane protein,True,False,True,False,False,False,False,1,in_cdcode_no_role,,0.0,0.0,,not_in_phasepdb,,not_in_drllps,,,,0,,False,False,True,True,False,True,False,3,not_in_catgranule,False,False,True,True,True,True,True,False,True
Q6UXV4,APOOL,MICOS complex subunit MIC27 (Apolipoprotein O-like) (Protein FAM121A),reviewed,Evidence at protein level,268.0,2,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
P05067,APP,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)) (Amyloid intracellular domain 59) (AICD-59) (AID(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)) (Amyloid intracellular domain 57) (AICD-57) (AID(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)) (Amyloid intracellular domain 50) (AICD-50) (AID(50)); C31],reviewed,Evidence at protein level,770.0,1,0,0,single-pass,curator_inferred,Single-pass type I membrane protein,True,False,True,True,True,True,True,5,member,,2.0,1.0,Centrosome;Nuclear body,PS-self only,,Scaffold,"Droplet, Centrosome/Spindle pole body",True,30110628;37718544;39854227,3,,False,False,False,False,False,True,False,1,catgranule_train_positive,True,False,True,True,True,True,True,True,False
Q8NBQ7,AQP11,Aquaporin-11 (AQP-11),reviewed,Evidence at protein level,271.0,6,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Nucleolus,not_in_phasepdb,,Client,Nucleolus,,24127217,1,,False,False,False,False,False,True,False,1,catgranule_train_positive,True,False,True,True,True,True,True,True,False
P55087,AQP4,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),reviewed,Evidence at protein level,323.0,6,2,2,multi-pass,experimental,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,False,False,1,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q96BM9,ARL8A,ADP-ribosylation factor-like protein 8A (ADP-ribosylation factor-like protein 10B) (Novel small G protein indispensable for equal chromosome segregation 2),reviewed,Evidence at protein level,186.0,0,1,0,intramembrane-only,by_similarity,,False,False,True,False,True,False,False,2,in_cdcode_no_role,,1.0,0.0,,not_in_phasepdb,,Client,Nucleolus,,20026476,1,,False,False,False,False,False,True,True,2,not_in_catgranule,False,False,False,False,True,False,True,True,True
Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1),reviewed,Evidence at protein level,186.0,0,1,0,intramembrane-only,experimental,,False,False,True,False,True,False,False,2,in_cdcode_no_role,,1.0,0.0,,not_in_phasepdb,,Client,Nucleolus,,20026476,1,,False,False,False,False,False,False,True,1,catgranule_train_positive,True,False,False,False,True,False,True,True,False
Q8NBU5,ATAD1,Outer mitochondrial transmembrane helix translocase (EC 7.4.2.-) (ATPase family AAA domain-containing protein 1) (hATAD1) (Thorase),reviewed,Evidence at protein level,361.0,1,0,0,single-pass,sequence_analysis,Single-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q9NVI7,ATAD3A,ATPase family AAA domain-containing protein 3A (EC 3.6.1.-),reviewed,Evidence at protein level,586.0,1,0,0,single-pass,sequence_analysis,Single-pass membrane protein,True,False,True,False,True,False,False,2,member,,3.0,0.0,P-body;Nucleolus;Stress granule,not_in_phasepdb,,Client,"Nucleolus, P-body, Stress granule",,26777405;26980300;28965817,3,26980300=Palm D RNA Biol 2016,False,False,False,False,False,True,False,1,not_in_catgranule,False,False,True,True,True,True,True,True,True
Q5T9A4,ATAD3B,ATPase family AAA domain-containing protein 3B (AAA-TOB3),reviewed,Evidence at protein level,648.0,0,1,0,intramembrane-only,sequence_analysis,Peripheral membrane protein,False,False,True,False,True,False,False,2,in_cdcode_no_role,,1.0,0.0,,not_in_phasepdb,,Client,Nucleolus,,26980300,1,26980300=Palm D RNA Biol 2016,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,False,False,True,False,True,False,False
Q7Z3C6,ATG9A,Autophagy-related protein 9A (APG9-like 1) (mATG9),reviewed,Evidence at protein level,839.0,4,4,0,multi-pass,experimental,Multi-pass membrane protein,True,False,False,True,False,False,False,1,not_in_cdcode,,,,,PS-other only,,not_in_drllps,,,39223639,1,,False,False,False,True,False,False,False,1,not_in_catgranule,False,False,True,True,True,True,True,False,True
Q8WXF7,ATL1,Atlastin-1 (ATL-1) (EC 3.6.5.-) (Brain-specific GTP-binding protein) (GTP-binding protein 3) (GBP-3) (hGBP3) (Guanine nucleotide-binding protein 3) (Spastic paraplegia 3 protein A),reviewed,Evidence at protein level,558.0,2,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,not_in_catgranule,False,False,True,True,True,True,True,False,True
Q8NHH9,ATL2,Atlastin-2 (ATL-2) (EC 3.6.5.-) (ADP-ribosylation factor-like protein 6-interacting protein 2),reviewed,Evidence at protein level,583.0,2,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q6DD88,ATL3,Atlastin-3 (AT3) (ATL-3) (EC 3.6.5.-),reviewed,Evidence at protein level,541.0,2,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,False,False,False,1,member,,0.0,0.0,,not_in_phasepdb,,not_in_drllps,,,,0,,False,False,True,True,False,True,False,3,not_in_catgranule,False,False,True,True,True,True,True,False,True
P54707,ATP12A,Potassium-transporting ATPase alpha chain 2 (HK alpha 2) (Non-gastric H(+)/K(+) ATPase subunit alpha) (EC 7.2.2.19) (Non-gastric Na(+)/K(+) ATPase subunit alpha) (EC 7.2.2.13) (Proton pump) (Sodium pump),reviewed,Evidence at protein level,1039.0,10,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
Q9HD20,ATP13A1,Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase),reviewed,Evidence at protein level,1204.0,10,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),reviewed,Evidence at protein level,1023.0,10,0,0,multi-pass,experimental,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,False,False,1,not_in_catgranule,False,False,True,True,True,True,True,False,True
P50993,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2),reviewed,Evidence at protein level,1020.0,10,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,not_in_catgranule,False,False,True,True,True,True,True,False,True
P13637,ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3 (Na(+)/K(+) ATPase alpha-3 subunit) (EC 7.2.2.13) (Na(+)/K(+) ATPase alpha(III) subunit) (Sodium pump subunit alpha-3),reviewed,Evidence at protein level,1013.0,10,0,0,multi-pass,sequence_analysis,Multi-pass membrane protein,True,False,False,False,True,False,False,1,not_in_cdcode,,,,,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,True,False,True,False,3,not_in_catgranule,False,False,False,False,False,True,True,False,True
Q13733,ATP1A4,Sodium/potassium-transporting ATPase subunit alpha-4 (Na(+)/K(+) ATPase alpha-4 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-4),reviewed,Evidence at protein level,1029.0,10,0,0,multi-pass,experimental,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,False,False,1,not_in_catgranule,False,False,True,True,True,True,True,False,True
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),reviewed,Evidence at protein level,303.0,1,0,0,single-pass,sequence_analysis,Single-pass type II membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
P14415,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2 (Adhesion molecule in glia) (AMOG) (Sodium/potassium-dependent ATPase subunit beta-2),reviewed,Evidence at protein level,290.0,1,0,0,single-pass,sequence_analysis,Single-pass type II membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
O14983,ATP2A1,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",reviewed,Evidence at protein level,1001.0,10,0,0,multi-pass,by_similarity,Multi-pass membrane protein,True,False,False,False,True,False,False,1,not_in_cdcode,,,,,not_in_phasepdb,,Regulator,"Stress granule, Postsynaptic density",,18794846,1,18794846=Ohn T Nat Cell Biol 2008,False,True,False,True,False,True,False,3,not_in_catgranule,False,False,False,False,False,True,True,False,True
P16615,ATP2A2,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",reviewed,Evidence at protein level,1042.0,10,0,0,multi-pass,by_similarity,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,1.0,0.0,Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,Postsynaptic density,,23071613,1,23071613=Bayés A PLoS One 2012,True,False,False,False,False,True,False,2,catgranule_train_positive,True,False,True,True,True,True,True,False,False
P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1),reviewed,Evidence at protein level,1220.0,10,0,0,multi-pass,experimental,Multi-pass membrane protein,True,False,True,False,True,False,False,2,member,,2.0,0.0,Nucleolus;Presynaptic clusters and postsynaptic densities,not_in_phasepdb,,Client,"Nucleolus, Postsynaptic density",,23071613;26980300,2,23071613=Bayés A PLoS One 2012;26980300=Palm D RNA Biol 2016,True,False,False,False,False,False,False,1,not_in_catgranule,False,False,True,True,True,True,True,False,True
