UniProt_ID,whole_len,whole_FCR,whole_NCPR,whole_kappa,whole_hydropathy,cyto_len,cyto_FCR,cyto_NCPR,cyto_kappa,cyto_hydropathy,tm_len,tm_FCR,tm_NCPR,tm_kappa,tm_hydropathy,ecto_len,ecto_FCR,ecto_NCPR,ecto_kappa,ecto_hydropathy,cyto_frac,tm_frac,ecto_frac,n_cyto_seg,n_tm_seg,n_ecto_seg,LCR_frac,log10_Length
O14548,114,0.175438596491228,0.0526315789473684,0.1737980954763996,0.482553606237817,,,,,,26.0,0.0769230769230769,0.0,0.6067796610169492,0.5837606837606837,,,,,,,0.2280701754385964,,0,1,0,0.0,2.0569048513364727
O14763,440,0.2522727272727272,-0.0295454545454545,0.2174513723822539,0.4545959595959588,209.0,0.2870813397129186,-0.0574162679425837,0.2199180949277796,0.4426900584795322,21.0,0.0,0.0,,0.8222222222222221,155.0,0.2516129032258064,-0.0451612903225806,0.2146730481062144,0.4124014336917563,0.475,0.0477272727272727,0.3522727272727273,1,1,1,0.0,2.6434526764861874
O14925,209,0.138755980861244,0.0143540669856459,0.2290425128756838,0.5038277511961725,,,,,,59.0,0.0169491525423728,-0.0169491525423728,0.4298710473393388,0.6299435028248589,,,,,,,0.2822966507177033,,0,3,0,0.0,2.3201462861110542
O14983,1001,0.2357642357642357,-0.0279720279720279,0.1635990476285589,0.5058830058830067,,,,,,204.0,0.1176470588235294,-0.0294117647058823,0.2093253088980341,0.6347494553376899,,,,,,,0.2037962037962038,,0,10,0,0.0,3.000434077479319
O15079,494,0.2489878542510121,-0.0222672064777327,0.2044656097341141,0.4295771479982003,,,,,,20.0,0.05,-0.05,0.8259587020648969,0.7188888888888889,,,,,,,0.0404858299595141,,0,1,0,0.0,2.693726948923647
O15173,223,0.2780269058295964,-0.0448430493273542,0.1953158401394301,0.4451918285999005,,,,,,25.0,0.04,-0.04,1.0,0.7248888888888886,,,,,,,0.1121076233183856,,0,1,0,0.0,2.3483048630481607
O15247,247,0.2955465587044534,-0.020242914979757,0.1743301235780792,0.4424651372019799,,,,,,21.0,0.1428571428571428,0.1428571428571428,0.2541482434821824,0.6021164021164019,,,,,,,0.0850202429149797,,0,1,0,0.0,2.392696953259666
O15270,562,0.2348754448398576,0.0035587188612099,0.2074559340146128,0.4781336496639002,,,,,,21.0,0.0,0.0,,0.680952380952381,,,,,,,0.0373665480427046,,0,1,0,0.0,2.749736315569061
O15394,837,0.2461170848267622,-0.02389486260454,0.128219480700971,0.4542413381123045,119.0,0.3697478991596639,-0.0672268907563025,0.1158799229687616,0.3974789915966382,21.0,0.0,0.0,,0.7952380952380951,678.0,0.2389380530973451,-0.0176991150442477,0.1326789172556517,0.4476892822025565,0.1421744324970131,0.025089605734767,0.8100358422939068,1,1,1,0.0,2.92272545799326
O15399,1336,0.1901197604790419,0.0089820359281437,0.1958783795689317,0.478634397870918,506.0,0.1857707509881423,0.0395256916996047,0.2310366229966462,0.4263724198506815,67.0,0.0298507462686567,0.0,0.6847161572052402,0.7058043117744609,724.0,0.2113259668508287,-0.0179558011049723,0.1678268412876701,0.4890730509515048,0.3787425149700599,0.0501497005988023,0.5419161676646707,3,3,2,0.0194610778443113,3.125806458139527
O15400,261,0.2605363984674329,-0.0229885057471264,0.1902098541511436,0.4299276287782032,237.0,0.2869198312236287,-0.0253164556962025,0.1865931866823924,0.3941865916549466,21.0,0.0,0.0,,0.8486772486772489,,,,,,0.9080459770114944,0.0804597701149425,,1,1,0,0.0,2.416640507338281
O15533,448,0.1584821428571428,-0.0066964285714285,0.2224414084664823,0.497271825396828,13.0,0.4615384615384615,0.1538461538461538,0.1317836449408821,0.3452991452991453,21.0,0.0476190476190476,0.0476190476190476,1.0,0.7095238095238094,394.0,0.1598984771573604,-0.0177664974619289,0.2363022176397539,0.481049069373942,0.0290178571428571,0.046875,0.8794642857142857,1,1,1,0.0,2.651278013998144
O43306,1168,0.2037671232876712,0.0102739726027397,0.1746275227421236,0.5031868340943677,774.0,0.268733850129199,0.0077519379844961,0.1695988893222218,0.4420470858455329,205.0,0.0,0.0,,0.7623848238482408,60.0,0.1,-0.0333333333333333,0.3683254747037084,0.5062962962962961,0.6626712328767124,0.175513698630137,0.0513698630136986,3,12,1,0.0,3.0674428427763805
O43497,2377,0.203618005889777,-0.0126209507782919,0.2122164552908423,0.4857850698826668,1419.0,0.237491190979563,-0.0133897110641296,0.2143759803279193,0.42516639260825,530.0,0.1018867924528302,0.0226415094339622,0.220274216982768,0.6720545073375264,428.0,0.2172897196261682,-0.0537383177570093,0.1876592611892694,0.456100726895119,0.5969709718132099,0.2229701304164913,0.1800588977702987,13,24,12,0.0113588557004627,3.3760291817281805
O43526,872,0.2282110091743119,0.0332568807339449,0.1848736445287793,0.4602956167176348,678.0,0.2507374631268436,0.0412979351032448,0.1905416091599334,0.4248607014093739,137.0,0.1167883211678832,0.0437956204379562,0.2256627513610442,0.6498783454987836,44.0,0.2727272727272727,-0.0909090909090909,0.0973630171424083,0.3762626262626263,0.7775229357798165,0.1571100917431192,0.0504587155963302,4,6,4,0.0,2.940516484932567
O43561,262,0.1984732824427481,-0.099236641221374,0.3003669168592212,0.4526717557251907,235.0,0.2127659574468085,-0.102127659574468,0.3070492387649309,0.4182505910165487,23.0,0.0,0.0,,0.8120772946859902,4.0,0.5,-0.5,,0.4083333333333333,0.8969465648854962,0.0877862595419847,0.015267175572519,1,1,1,0.0,2.418301291319745
O43581,403,0.2704714640198511,0.032258064516129,0.1585935103038976,0.4452715743038319,366.0,0.2841530054644808,0.0382513661202185,0.1628569355581923,0.429720704310869,21.0,0.0,0.0,,0.7820105820105817,,,,,,0.9081885856079404,0.0521091811414392,,1,1,0,0.0,2.6053050461411096
O60313,960,0.3041666666666666,0.0020833333333333,0.167375622349316,0.4351504629629608,,,,,,17.0,0.1176470588235294,0.1176470588235294,0.807365299531482,0.6052287581699348,836.0,0.3181818181818182,-0.0263157894736842,0.1541948111702342,0.4328681552365769,,0.0177083333333333,0.8708333333333333,0,1,2,0.0,2.9822712330395684
O60488,711,0.2320675105485232,0.0154711673699015,0.1722904787108923,0.4784497577746524,683.0,0.2386530014641288,0.0131771595900439,0.1725928193385038,0.4689930047177499,21.0,0.0,0.0,,0.766137566137566,,,,,,0.960618846694796,0.0295358649789029,,1,1,0,0.0,2.851869600729766
O60500,1241,0.1974214343271555,-0.0265914585012087,0.1912731910607711,0.4727101799623968,166.0,0.2951807228915662,-0.1265060240963855,0.2173659432177355,0.3897590361445784,21.0,0.0,0.0,,0.6851851851851851,1032.0,0.187984496124031,-0.0116279069767441,0.1821754248990055,0.4779823428079252,0.1337630942788074,0.0169218372280419,0.8315874294923449,1,1,1,0.0,3.09377178149873
O60733,806,0.2096774193548387,-0.0037220843672456,0.1607733225431004,0.4754618141714916,,,,,,42.0,0.0714285714285714,-0.0238095238095238,0.5803968347370684,0.674867724867725,,,,,,,0.0521091811414392,,0,2,0,0.0,2.906335041805091
O75051,1894,0.2069693769799366,-0.013727560718057,0.1532313427751433,0.479836911885487,636.0,0.2672955974842767,-0.0062893081761006,0.1526373042989621,0.4534067085953891,21.0,0.0,0.0,,0.8296296296296295,1203.0,0.1787198669991687,-0.0191188694929343,0.1554612433534509,0.4861826914196025,0.3357972544878564,0.0110876451953537,0.6351636747624076,1,1,1,0.0,3.2773799746672547
O75077,832,0.2139423076923076,0.0048076923076923,0.2089869834793867,0.4472222222222252,19.0,0.3157894736842105,0.2105263157894736,0.6035191436966848,0.347953216374269,21.0,0.0,0.0,,0.7433862433862432,506.0,0.2272727272727272,-0.0098814229249011,0.1867459834925347,0.4415458937198087,0.0228365384615384,0.0252403846153846,0.6081730769230769,1,1,1,0.0,2.920123326290724
O75396,215,0.2372093023255814,0.013953488372093,0.25120761453594,0.4797932816537464,193.0,0.2538860103626943,0.005181347150259,0.2543312249612842,0.4525618883131841,21.0,0.0952380952380952,0.0952380952380952,0.3286339836516398,0.719047619047619,,,,,,0.8976744186046511,0.0976744186046511,,1,1,0,0.0,2.3324384599156054
O75445,5202,0.1658977316416763,-0.0074971164936562,0.1718203178525666,0.4707334785766136,139.0,0.237410071942446,0.0215827338129496,0.1963178786410781,0.4274180655475622,21.0,0.0,0.0,,0.8407407407407408,5011.0,0.165436040710437,-0.008181999600878,0.170937156379796,0.4692299164061311,0.0267204921184159,0.0040369088811995,0.9632833525567088,1,1,1,0.0,3.716170347859854
O75460,977,0.2282497441146366,-0.0194472876151484,0.1589946100007444,0.4617536676902075,513.0,0.2417153996101364,-0.0194931773879142,0.1661068579924196,0.4437730127788599,21.0,0.0,0.0,,0.7312169312169312,425.0,0.228235294117647,-0.0258823529411764,0.1517893941568021,0.4621960784313729,0.5250767656090072,0.0214943705220061,0.4350051177072671,1,1,1,0.0,2.989894563718773
O75477,348,0.2557471264367816,0.0028735632183908,0.140403385185407,0.4698595146871011,7.0,0.1428571428571428,0.1428571428571428,1.0,0.3952380952380952,21.0,0.0476190476190476,0.0476190476190476,0.5598394457579589,0.7486772486772488,320.0,0.271875,-0.003125,0.1390231626128531,0.4531944444444436,0.0201149425287356,0.0603448275862069,0.9195402298850576,1,1,1,0.0,2.5415792439465807
O75581,1613,0.2256664600123992,-0.0359578425294482,0.1563201012162651,0.4620789419301488,220.0,0.15,-0.0045454545454545,0.231925222772673,0.4144444444444445,23.0,0.0,0.0,,0.6855072463768115,1351.0,0.2435233160621761,-0.0436713545521835,0.1497719969880201,0.4629081338925966,0.1363918164910105,0.0142591444513329,0.8375697458152511,1,1,1,0.0,3.2076343673889616
O75746,678,0.1991150442477876,0.0073746312684365,0.1622164758831368,0.4977548344804978,,,,,,110.0,0.0727272727272727,0.0363636363636363,0.2058078229036236,0.5928282828282828,450.0,0.2133333333333333,-0.0177777777777777,0.1589938600112287,0.4776049382716043,,0.1622418879056047,0.6637168141592921,0,6,4,0.0,2.831229693867064
O75880,301,0.26578073089701,0.0199335548172757,0.1823841031415615,0.4509413067552608,,,,,,19.0,0.0526315789473684,0.0526315789473684,0.8322152738298273,0.6538011695906433,190.0,0.3210526315789473,-0.0263157894736842,0.1830483090755485,0.4305263157894732,,0.0631229235880398,0.6312292358803987,0,1,1,0.0,2.478566495593844
O75899,941,0.1987247608926673,0.0159404888416578,0.1803244757601234,0.4833628527571137,259.0,0.2471042471042471,0.0463320463320463,0.1974360733443298,0.407164307164306,147.0,0.0272108843537414,0.0,0.5509005894554274,0.7174603174603172,494.0,0.2368421052631578,0.0020242914979757,0.1717505611004607,0.4497750787224468,0.2752391073326248,0.1562167906482465,0.5249734325185972,4,7,4,0.0,2.973589623427257
O76024,890,0.2112359550561797,0.0067415730337078,0.2032602835317083,0.5057553058676645,,,,,,231.0,0.0389610389610389,-0.0043290043290043,0.2527411027130311,0.6945646945646943,217.0,0.2534562211981567,0.0230414746543778,0.1592412139733339,0.4578084997439834,,0.2595505617977528,0.2438202247191011,0,11,1,0.0,2.949390006644913
O76095,146,0.2397260273972602,0.0342465753424657,0.1577662111246662,0.4987823439878238,20.0,0.5,0.2,0.0734942019121205,0.3394444444444444,21.0,0.0952380952380952,0.0,0.1843462246777163,0.753968253968254,75.0,0.2666666666666666,-0.0266666666666666,0.1881638694454745,0.4448888888888887,0.136986301369863,0.1438356164383561,0.5136986301369864,1,1,1,0.0,2.164352855784437
O94766,335,0.226865671641791,0.0059701492537313,0.1515027997859926,0.4707794361525712,7.0,0.4285714285714285,0.4285714285714285,0.4467038373237129,0.4095238095238096,21.0,0.0,0.0,,0.7285714285714285,307.0,0.2377850162866449,-0.003257328990228,0.1452244389359751,0.454542164314151,0.0208955223880597,0.0626865671641791,0.9164179104477612,1,1,1,0.0,2.525044807036845
O94826,608,0.2746710526315789,-0.0016447368421052,0.1493375074296608,0.4393092105263171,549.0,0.2987249544626594,-0.0036429872495446,0.1488012485588139,0.4236187006678819,21.0,0.0,0.0,,0.6645502645502646,37.0,0.081081081081081,0.027027027027027,0.2172791366654704,0.536936936936937,0.9029605263157896,0.0345394736842105,0.0608552631578947,1,1,1,0.0,2.783903579272735
O94856,1347,0.2212323682256867,-0.005939123979213,0.1809882128245704,0.4413758970551883,109.0,0.3577981651376147,-0.1192660550458715,0.1986182918952574,0.3515800203873594,21.0,0.0,0.0,,0.8671957671957673,1193.0,0.2162615255658005,0.0033528918692372,0.1740656739977722,0.4392754028127041,0.080920564216778,0.0155902004454342,0.8856718634001485,1,1,1,0.0267260579064587,3.1293675957229854
O94901,785,0.2038216560509554,-0.0076433121019108,0.1886050359730475,0.4691012031139396,,,,,,20.0,0.05,0.05,0.6991150442477877,0.7811111111111111,765.0,0.2078431372549019,-0.0091503267973856,0.18958583524514,0.4609440813362413,,0.0254777070063694,0.9745222929936306,0,1,2,0.0,2.8948696567452528
O94905,339,0.2536873156342183,-0.023598820058997,0.1493714000417382,0.4819403474270736,3.0,0.0,0.0,,0.5074074074074073,21.0,0.0,0.0,,0.6984126984126984,315.0,0.273015873015873,-0.0253968253968253,0.1483817336917632,0.467266313932981,0.0088495575221238,0.0619469026548672,0.9292035398230089,1,1,1,0.0,2.530199698203082
O94910,1474,0.1899592944369063,-0.0081411126187245,0.1617471994590201,0.4745439469320044,442.0,0.2036199095022624,-0.004524886877828,0.1982878692282225,0.4280794369029651,147.0,0.0204081632653061,-0.0068027210884353,0.642466211337049,0.7170823885109597,861.0,0.2160278745644599,-0.0116144018583042,0.1456923269872592,0.4524454768357173,0.2998643147896879,0.0997286295793758,0.5841248303934871,4,7,4,0.0,3.1684974835230326
O95139,128,0.2890625,0.0546875,0.1543879592584743,0.4225694444444447,,,,,,19.0,0.0,0.0,,0.6672514619883041,,,,,,,0.1484375,,0,1,0,0.0,2.1072099696478683
O95140,757,0.249669749009247,-0.0066050198150594,0.1799160663936624,0.4638925583443407,714.0,0.2605042016806723,-0.011204481792717,0.1794625531744718,0.4542483660130714,42.0,0.0714285714285714,0.0714285714285714,0.2983547823947291,0.6293650793650795,,,,,,0.9431968295904888,0.0554821664464993,,2,2,0,0.0,2.8790958795000727
O95169,186,0.2258064516129032,-0.010752688172043,0.1372030598084268,0.4213859020310635,,,,,,21.0,0.0476190476190476,-0.0476190476190476,1.0,0.6830687830687828,,,,,,,0.1129032258064516,,0,1,0,0.0,2.2695129442179165
O95197,1032,0.251937984496124,-0.0542635658914728,0.1381979222915044,0.4561584840654611,965.0,0.2642487046632124,-0.0549222797927461,0.1361358105856034,0.436960276338516,,,,,,,,,,,0.935077519379845,,,4,0,0,0.0,3.013679697291193
O95202,739,0.3098782138024357,-0.006765899864682,0.1355654454117751,0.4513155916403537,,,,,,21.0,0.0476190476190476,-0.0476190476190476,1.0,0.7708994708994709,93.0,0.3440860215053763,0.086021505376344,0.1249374527448027,0.4384707287933093,,0.0284167794316644,0.1258457374830852,0,1,1,0.0,2.868644438394825
O95292,243,0.2880658436213992,0.0,0.1634339044702719,0.4577960676726111,221.0,0.3076923076923077,-0.0090497737556561,0.1635811612646862,0.42559074912016,21.0,0.0952380952380952,0.0952380952380952,0.3312132229104761,0.7846560846560845,,,,,,0.9094650205761317,0.0864197530864197,,1,1,0,0.0,2.385606273598312
O95573,720,0.225,0.0138888888888888,0.2052190188928645,0.4794753086419768,679.0,0.2341678939617084,0.0103092783505154,0.2042509132613626,0.4750122729504158,21.0,0.0,0.0,,0.7063492063492063,,,,,,0.9430555555555556,0.0291666666666666,,1,1,0,0.0,2.8573324964312685
O95833,236,0.2627118644067797,-0.0169491525423728,0.1631230640372998,0.4640301318267416,,,,,,21.0,0.0952380952380952,0.0952380952380952,0.3161916449094419,0.6312169312169311,,,,,,,0.0889830508474576,,0,1,0,0.0,2.3729120029701067
O95870,558,0.2043010752688172,0.007168458781362,0.2042751237483782,0.4730386300278791,445.0,0.2157303370786517,0.0,0.2185525667835715,0.4613982521847692,42.0,0.0,0.0,,0.6746031746031748,,,,,,0.7974910394265233,0.075268817204301,,1,2,0,0.0,2.7466341989375787
O96005,669,0.1973094170403587,-0.014947683109118,0.2077319592412191,0.4794552399933558,201.0,0.2537313432835821,0.0049751243781094,0.1287438751724534,0.4510779436152575,105.0,0.0476190476190476,0.0095238095238095,0.4449407822708042,0.6880423280423281,362.0,0.2099447513812154,-0.0331491712707182,0.2733387719789139,0.4340699815837936,0.3004484304932735,0.1569506726457399,0.5411061285500748,3,5,3,0.0,2.8254261177678237
O96008,361,0.1357340720221606,-0.002770083102493,0.1928310839072801,0.4890427823945836,134.0,0.1417910447761194,-0.0074626865671641,0.2795682250388003,0.4290215588723048,137.0,0.0948905109489051,-0.0072992700729927,0.3150785663745997,0.5637469586374697,66.0,0.1515151515151515,0.0303030303030303,0.2894561717424627,0.4824915824915824,0.371191135734072,0.3795013850415512,0.1828254847645429,10,19,10,0.0692520775623268,2.5575072019056577
O96011,259,0.1969111969111969,0.0579150579150579,0.1711229138670628,0.5071643071643057,,,,,,23.0,0.0,0.0,,0.7106280193236715,,,,,,,0.0888030888030888,,0,1,0,0.0,2.413299764081252
P00403,227,0.1409691629955947,-0.052863436123348,0.1983646869050511,0.5511502692119434,,,,,,59.0,0.1016949152542373,-0.0677966101694915,0.3826386607117941,0.6779661016949151,154.0,0.1558441558441558,-0.0519480519480519,0.1884853448530775,0.5126984126984128,,0.2599118942731278,0.6784140969162996,0,2,2,0.0,2.3560258571931225
P00533,1210,0.2181818181818181,-0.0099173553719008,0.179299311175632,0.4648852157943095,542.0,0.2398523985239852,-0.018450184501845,0.181059276365352,0.4519065190651877,23.0,0.0,0.0,,0.7797101449275361,621.0,0.2125603864734299,-0.0064412238325281,0.1759897316815542,0.4591697978171382,0.4479338842975207,0.0190082644628099,0.5132231404958678,1,1,1,0.0,3.0827853703164503
P01133,1207,0.2170671085335542,-0.0298260149130074,0.1737833483891754,0.4662340053392273,154.0,0.2207792207792207,-0.0259740259740259,0.177636254782019,0.3909090909090912,21.0,0.0,0.0,,0.8439153439153438,1010.0,0.2247524752475247,-0.0326732673267326,0.1748636625633161,0.4642574257425718,0.1275890637945319,0.0173985086992543,0.8367854183927091,1,1,1,0.0,3.081707270097349
P01857,399,0.1904761904761904,-0.0050125313283208,0.1710048167209291,0.4700083542188805,28.0,0.2142857142857142,0.0714285714285714,0.1442176334594367,0.5011904761904761,21.0,0.0,0.0,,0.7280423280423279,350.0,0.2,-0.0114285714285714,0.1729067240585503,0.4520317460317472,0.0701754385964912,0.0526315789473684,0.8771929824561403,1,1,1,0.0,2.6009728956867484
P01871,474,0.1919831223628691,-0.0147679324894514,0.1851509831769115,0.4706047819971877,3.0,0.6666666666666666,0.6666666666666666,,0.3666666666666667,21.0,0.0,0.0,,0.703174603174603,450.0,0.1977777777777777,-0.02,0.1862597532039596,0.4604444444444435,0.0063291139240506,0.0443037974683544,0.9493670886075948,1,1,1,0.0,2.675778341674085
P01876,398,0.1507537688442211,-0.0201005025125628,0.1554945788629238,0.4766331658291462,15.0,0.2,0.0666666666666666,0.2184994771697455,0.3274074074074075,19.0,0.0,0.0,,0.7105263157894737,364.0,0.1565934065934066,-0.0247252747252747,0.1586594819417206,0.4705738705738693,0.0376884422110552,0.0477386934673366,0.914572864321608,1,1,1,0.0,2.599883072073688
P01889,362,0.2458563535911602,-0.0248618784530386,0.1480347244252404,0.4377839165131981,29.0,0.1724137931034483,0.0344827586206896,0.3538735264485761,0.4272030651340995,24.0,0.0416666666666666,0.0416666666666666,0.3922050186865989,0.7763888888888888,285.0,0.2842105263157894,-0.0385964912280701,0.1317938169852872,0.391695906432748,0.080110497237569,0.0662983425414364,0.787292817679558,1,1,1,0.0,2.558708570533166
P02708,457,0.1838074398249453,-0.0175054704595186,0.1737239652089993,0.5216387065402406,121.0,0.2644628099173554,0.0,0.1574183568466954,0.4309458218549126,84.0,0.0119047619047619,-0.0119047619047619,0.9999999999999992,0.7642857142857141,232.0,0.2155172413793103,-0.0258620689655172,0.1928421153379372,0.46867816091954,0.2647702407002188,0.1838074398249453,0.5076586433260394,2,4,3,0.0,2.6599162000698504
P02730,911,0.1975850713501646,-0.0351262349066959,0.2174822776362413,0.5236980119526777,548.0,0.2664233576642336,-0.0583941605839416,0.2209397702385719,0.4549675587996767,246.0,0.0691056910569105,-0.0121951219512195,0.2856244909012757,0.6847786811201452,86.0,0.1860465116279069,0.0232558139534883,0.1384229589338664,0.4316537467700257,0.601536772777168,0.270032930845225,0.0944017563117453,8,12,4,0.0,2.9595183769729982
P04439,365,0.2356164383561644,-0.021917808219178,0.1627921171817328,0.4445966514459672,33.0,0.2727272727272727,0.0909090909090909,0.1256371867728528,0.3952861952861953,24.0,0.0,0.0,,0.7675925925925926,284.0,0.2676056338028169,-0.0422535211267605,0.1552545656374238,0.4066901408450709,0.0904109589041095,0.0657534246575342,0.7780821917808219,1,1,1,0.0,2.562292864456474
