UniProt_ID,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,FuzDrop_pLLPS,catGRANULE_score,PLAAC_NLLR,PScore_score,ESpritz_score,SEG_score,SaPS_score,PdPS_score,DeepPhase_score,PDL_score,RY_score,ParSe2_score,LLPhyScore_score,TMD_count,is_membrane_protein,label_all,label_mem,label_mem_bg,label_mem_fixed,label_mem_singlepass_bg,label_mem_multipass_bg
P46776,0.9468152522,0.9517998974,0.000833333,0.727,0.98628455,0.36,1.70315,-0.207,0.96,0.0,0.1148648648648648,0.6646981239318848,0.742871105670929,0.58,0.980531,0.1216216216216216,5.793652673411486,-60.0,0,False,0,0,,0,,
Q9Y3U8,0.9467077153,0.9719945346,0.0025,0.622,0.96886957,0.16,-0.0130194,-0.519,,0.961904761904762,0.0,0.3953507840633392,0.3862996995449066,0.44,0.98039067,0.1714285714285714,0.0,-94.0,0,False,0,0,,0,,
P33176,0.9466948072,0.9328285834,0.000833333,0.841,0.55606127,0.86,0.891949,-0.095,2.03,0.0519210799584631,0.0249221183800623,0.350125104188919,0.819140613079071,0.89,0.98077786,0.0768431983385254,54.15703854973661,-758.0,0,False,1,0,,,,
P61254,0.946644178,0.9588879121,0.0,0.759,0.9926449,0.46,0.790588,-0.363,-0.39,0.296551724137931,0.1034482758620689,0.7755964994430542,0.836146354675293,0.67,0.980041,0.1517241379310344,0.0,-72.0,0,False,0,0,,0,,
P14649,0.9464148311,0.7478307054000001,0.003333333,0.452,0.79220235,0.22,0.524973,-0.373,-0.56,0.2451923076923076,0.1923076923076923,0.1389395147562027,0.6672240495681763,0.66,0.9679957,0.0528846153846153,8.243317302077687,-146.0,0,False,0,0,,0,,
P62910,0.9461417139,0.9398275044,0.0,0.67,0.9946542,0.23,0.205059,-0.361,,0.0,0.0814814814814814,0.52150958776474,0.6880298852920532,0.1,0.97634184,0.1481481481481481,0.0,-129.0,0,False,0,0,,0,,
P84098,0.9460117149,0.9548277412,0.0025,0.709,0.9876655,0.58,0.349236,-0.401,-0.64,0.2295918367346938,0.2704081632653061,0.7476134896278381,0.8564189076423645,0.9,0.9841889,0.173469387755102,0.0944762888380685,-191.0,0,False,0,0,,0,,
Q08945,0.9458814099,0.9382040947,0.008333333,0.891,0.97170305,0.51,1.48453,-0.315,2.12,0.3004231311706629,0.1889985895627644,0.8451400995254517,0.8954065442085266,0.95,0.9743522,0.0916784203102961,22.337830320700547,-198.0,0,False,0,0,,0,,
P39023,0.945763471,0.9573531889,0.0,0.838,0.9790942,0.28,1.24707,-0.36,0.28,0.0421836228287841,0.0297766749379652,0.5755660533905029,0.9028822779655457,0.18,0.9806222,0.1017369727047146,6.322444229470641,-246.0,0,False,0,0,,0,,
O60814,0.9455797858,0.8400739545,0.0,0.446,0.96175784,0.49,0.180099,-0.375,,0.8809523809523809,0.2539682539682539,0.5089942216873169,0.8059059977531433,0.61,0.986896,0.1031746031746031,0.0,-99.0,0,False,0,0,,0,,
P62807,0.9454057245,0.8400739545,0.0,0.71,0.9554244,0.46,0.205255,-0.375,,0.9523809523809524,0.2539682539682539,0.5021870732307434,0.8059059977531433,0.62,0.98686767,0.1031746031746031,0.0,-95.0,0,False,0,0,,0,,
O60869,0.9449958442,0.9533942703,0.005,0.626,0.88793457,0.52,0.779888,-0.431,-1.57,1.0,0.0,0.4225178360939026,0.5349463820457458,0.62,0.9822499,0.0743243243243243,0.3411312137606708,-62.0,0,False,0,0,,0,,
P58876,0.9449106063,0.8400739545,0.0,0.654,0.95359755,0.54,0.202037,-0.375,,0.9523809523809524,0.2222222222222222,0.4986313879489898,0.7921825647354126,0.63,0.98687345,0.1031746031746031,0.0,-94.0,0,False,0,0,,0,,
P83881,0.9443355197,0.9054462545,0.0,0.526,0.9448406,0.38,0.983068,-0.4,,0.9905660377358492,0.0,0.1669683903455734,0.4627420902252197,0.06,0.98391694,0.1415094339622641,0.4434772583436147,-14.0,0,False,0,0,,0,,
O43290,0.9443239787,0.9603695918,0.019166667,0.865,0.7469311,0.98,1.58611,-0.325,1.9,0.81125,0.24,0.8807287216186523,0.922803282737732,0.86,0.12342586,0.1075,31.86934125671299,-306.0,0,False,1,0,,,,
Q92541,0.9442359543,0.9791398887,0.01,0.758,0.49687338,0.99,1.39043,-0.186,1.65,0.4816901408450704,0.2295774647887324,0.8627370595932007,0.803524374961853,0.89,0.52127063,0.0830985915492957,37.2105307525041,21.0,0,False,0,0,,0,,
Q99877,0.9440694953,0.8400739545,0.0,0.385,0.9510374,0.55,0.235035,-0.375,,0.9523809523809524,0.238095238095238,0.4986313879489898,0.7984310388565063,0.65,0.98683435,0.1031746031746031,0.0,-89.0,0,False,0,0,,0,,
P62701,0.944041958,0.9395474732,0.0,0.783,0.9958391,0.14,0.77894,-0.313,-0.13,0.0038022813688212,0.0,0.6565968990325928,0.6720994114875793,0.03,0.9792371,0.1026615969581749,8.328756474257315,-262.0,0,False,0,0,,0,,
P62847,0.943877281,0.9708508741,0.0,0.797,0.9919008,0.2,0.956458,-0.484,,0.5338345864661654,0.1203007518796992,0.7190479040145874,0.6889835000038147,0.77,0.9846123,0.1278195488721804,5.58269310956744,-80.0,0,False,0,0,,0,,
P61247,0.9437123595,0.9609838675,0.0,0.865,0.99037015,0.16,0.941151,-0.415,-0.27,0.125,0.0378787878787878,0.8025962114334106,0.8848974108695984,0.6,0.98249096,0.0719696969696969,4.640967344619994,-155.0,0,False,0,0,,0,,
Q9NW13,0.9432590556,0.9502993827,0.010833333,0.81,0.4866128,0.93,1.40712,-0.245,1.14,0.13965744400527,0.1765480895915678,0.0773382112383842,0.5231383442878723,0.87,0.610259,0.067193675889328,0.5252646452706107,-206.0,0,False,0,0,,0,,
Q12906,0.9431396077,0.9395818418,0.051666667,0.991,0.9991919,1.0,2.46004,0.511,10.73,0.1778523489932885,0.3322147651006711,0.9518035650253296,0.9412482976913452,1.0,0.97752464,0.0894854586129754,985.363028667612,531.0,0,False,1,0,,,,
Q9BUQ8,0.9430439462,0.9585272275,0.008333333,0.825,0.65954983,0.75,1.37226,-0.387,1.9,0.2878048780487804,0.2414634146341463,0.787966787815094,0.8658872842788696,0.87,0.97664964,0.1414634146341463,7.35457524504782,-653.0,0,False,0,0,,0,,
P51991,0.9430131725,0.9465899593,,0.994,0.99894845,1.0,5.25324,0.484,15.69,0.2089947089947089,0.4629629629629629,0.9502528309822084,0.9451440572738647,,0.98762554,0.1349206349206349,821.7288061958693,661.0,0,False,1,0,,,,
P41218,0.9427516429,0.8103820596,0.0025,0.632,0.45597333,0.64,0.610865,0.022,1.06,0.0,0.0442260442260442,0.1326726377010345,0.3181127607822418,0.83,0.5803298,0.0614250614250614,56.26664191034395,-145.0,0,False,0,0,,0,,
Q8IZA3,0.9421948149,0.8662224252,,0.432,0.18123856,1.0,1.3858,-0.216,1.99,0.653179190751445,0.3699421965317919,0.0977529138326644,0.2432662695646286,0.87,0.7949755,0.0838150289017341,67.9731431315715,4.0,0,False,1,0,,,,
Q93079,0.9421718936,0.9313590774,0.0,0.711,0.9593116,0.51,0.222783,-0.375,,0.9523809523809524,0.2539682539682539,0.5021870732307434,0.8059059977531433,0.63,0.98689634,0.1031746031746031,0.0,-101.0,0,False,0,0,,0,,
P62266,0.9413180765,0.9589138391,0.001666667,0.59,0.66456187,0.37,1.25961,-0.458,-0.87,0.1678321678321678,0.0,0.0810377448797226,0.5865209102630615,0.01,0.9698654,0.0979020979020979,0.0,-80.0,0,False,0,0,,0,,
Q8TAA3,0.9411714077,0.6773571333,,0.22,0.9794158,0.13,0.0758782,-0.304,-0.24,0.0703125,0.0625,0.5463664531707764,0.4610742628574371,0.18,0.7977226,0.09375,1.2340982768898228,-254.0,0,False,0,0,,0,,
P57053,0.9410832462,0.8400739545,,0.624,0.9702965,0.55,0.162799,-0.37,,0.8809523809523809,0.2301587301587301,0.4665252566337585,0.8096476793289185,0.65,0.9870072,0.1111111111111111,0.0,-97.0,0,False,0,0,,0,,
P54652,0.9410738204,0.9167938758,0.000833333,0.911,0.99333584,0.31,1.44445,-0.282,0.68,0.0688575899843505,0.082942097026604,0.8019583821296692,0.762091338634491,0.93,0.98621374,0.0751173708920187,94.64694069093694,-430.0,0,False,0,0,,0,,
Q9UJV8,0.9406764173,0.8628221445,0.0025,0.41,0.29792368,0.81,1.8362,-0.041,1.95,0.1268011527377521,0.1152737752161383,0.1585108339786529,0.5873519778251648,0.88,0.97028077,0.1440922190201729,30.21073138863958,-67.0,0,False,0,0,,0,,
P29536,0.9406068348,0.7317955701000001,0.026666667,0.478,0.56505436,0.99,1.50357,-0.142,1.59,0.5866666666666667,0.25,0.7297242879867554,0.6424938440322876,0.88,0.81874144,0.0733333333333333,13.144299547268188,-184.0,0,False,0,0,,0,,
Q16778,0.9404427513,0.8368955754,0.0,0.75,0.9507286,0.6,0.193167,-0.377,,0.8809523809523809,0.2539682539682539,0.5021870732307434,0.8059059977531433,0.61,0.9868688,0.1031746031746031,0.0,-97.0,0,False,0,0,,0,,
Q5QNW6,0.9401570121,0.8400739545,0.0,0.59,0.95227194,0.58,0.23675,-0.375,,0.9523809523809524,0.2698412698412698,0.5089942216873169,0.8001440167427063,0.65,0.9867127,0.1031746031746031,0.0,-107.0,0,False,0,0,,0,,
Q9NWH9,0.9401216729,0.9531867218,0.030833333,0.724,0.69930995,1.0,2.09903,0.015,4.91,0.7862669245647969,0.3201160541586073,0.9207302927970886,0.8725606799125671,0.89,0.9475838,0.1218568665377176,339.7497014502556,188.0,0,False,0,0,,0,,
O14818,0.9400480601,0.6738230434,0.0,0.799,0.99237335,0.14,0.304297,-0.233,0.24,0.1129032258064516,0.0967741935483871,0.7916601300239563,0.8511107563972473,0.12,0.93297356,0.1088709677419354,3.6257057753633344,-183.0,0,False,0,0,,0,,
P25685,0.9399953583,0.7572692576000001,0.005,0.904,0.9981949,0.94,1.62963,-0.117,5.34,0.1470588235294117,0.1058823529411764,0.8840211033821106,0.9043649435043336,0.94,0.984421,0.1029411764705882,107.04435328658084,-15.0,0,False,1,0,,,,
Q9NQZ2,0.9396186417,0.9673598023,0.003333333,0.588,0.21530676,0.92,1.04545,-0.319,0.71,0.4405010438413361,0.2463465553235908,0.491915613412857,0.8380594253540039,0.8,0.060669508,0.1127348643006263,15.944041412478022,-210.0,0,False,0,0,,0,,
O14776,0.9395664714,0.977387142,0.030833333,0.889,0.86602783,0.99,0.152002,0.595,4.03,0.1247723132969034,0.3506375227686703,0.7894660234451294,0.651003360748291,0.99,0.9811162,0.0792349726775956,149.70769563444742,-504.0,0,False,0,0,,0,,
P40227,0.9392564111,0.9608777189,0.0,0.813,0.95430267,0.2,0.515253,-0.331,0.06,0.0,0.0489642184557438,0.1086197271943092,0.2898087799549103,0.17,0.87803566,0.0602636534839924,5.61699168354079,-647.0,0,False,0,0,,0,,
P62191,0.9391840545,0.9402452961,0.003333333,0.862,0.6288286,0.53,0.876953,-0.443,1.01,0.1045454545454545,0.0795454545454545,0.4526432156562805,0.8326104283332825,0.9,0.98443353,0.075,6.822582457836458,-347.0,0,False,0,0,,0,,
Q969Q0,0.9390737722,0.5803005055,0.0,0.591,0.9881236,0.35,0.941789,-0.385,,0.9905660377358492,0.0,0.4803618490695953,0.5358297228813171,0.4,0.9837499,0.1509433962264151,0.8904778240794393,-19.0,0,False,0,0,,0,,
P10809,0.9390543841,0.9888418327,0.000833333,0.863,0.9295829,0.25,1.15828,-0.461,0.19,0.0,0.0488656195462478,0.6852157115936279,0.7226539254188538,0.15,0.9456034,0.0506108202443281,18.053858338810176,-401.0,0,False,0,0,,0,,
Q9NZI8,0.93899246,0.945936039,0.026666667,0.912,0.99223596,0.57,0.792482,-0.053,0.5,0.0138648180242634,0.024263431542461,0.5256288647651672,0.7955076098442078,0.78,0.98418844,0.07105719237435,43.81209736639279,-371.0,0,False,1,0,,,,
Q5RHP9,0.9387918435,,0.006666667,0.451,0.03989946,1.0,1.58513,-0.091,1.94,0.6823529411764706,0.1745098039215686,0.1457650959491729,0.2856012880802154,1.0,0.3113145,0.0718954248366013,65.46984240263698,-195.0,0,False,0,0,,0,,
P07900,0.9386904646,0.9762259865,0.0,0.832,0.9835676,0.62,0.823324,-0.312,0.9,0.0450819672131147,0.1188524590163934,0.8365033864974976,0.936855137348175,0.94,0.98526275,0.0751366120218579,27.1585319247469,-581.0,0,False,1,0,,,,
P06746,0.9385482943,0.970015776,0.0,0.464,0.77274096,0.26,0.80738,-0.416,-0.22,0.0,0.0,0.2034025490283966,0.7141844034194946,0.18,0.830773,0.0925373134328358,10.497814727109004,-267.0,0,False,1,0,,,,
Q8NE71,0.9384355523,0.9680184053,0.0025,0.892,0.9624041,0.82,1.38873,-0.329,1.5,0.2804733727810651,0.3159763313609467,0.6660548448562622,0.9012471437454224,0.94,0.960486,0.0745562130177514,5.170609235719752,-306.0,0,False,0,0,,0,,
Q13573,0.938397207,0.9868794774,0.010833333,0.911,0.45237812,0.99,1.11431,-0.171,1.26,0.2891791044776119,0.0652985074626865,0.904046356678009,0.8782021403312683,0.91,0.70514655,0.126865671641791,30.66663335911455,-101.0,0,False,0,0,,0,,
Q9Y2X3,0.9382847341,0.9788881014,0.0,0.772,0.9421692,0.35,0.497987,-0.359,0.02,0.1493383742911153,0.1606805293005671,0.7779260873794556,0.860541820526123,0.83,0.97411275,0.0718336483931947,4.517321047384153,-550.0,0,False,0,0,,0,,
P23527,0.9382760217,0.8368955754,0.0,0.396,0.94600743,0.54,0.210695,-0.377,,0.8809523809523809,0.2539682539682539,0.5021870732307434,0.8059059977531433,0.62,0.9868976,0.1031746031746031,0.0,-102.0,0,False,0,0,,0,,
Q13523,0.9380560902,0.9751537783,0.006666667,0.786,0.88146925,1.0,1.61368,-0.268,2.14,0.5034756703078451,0.320754716981132,0.8930661082267761,0.959506630897522,0.89,0.8488141,0.1420059582919563,26.822636887876627,-484.0,0,False,0,0,,0,,
A6NHQ2,0.9380314928,0.9309655832,0.033333333,0.639,0.1792585,0.58,3.18145,0.089,9.7,0.1586826347305389,0.2305389221556886,0.4836204946041107,0.1552963107824325,0.71,0.9714229,0.1137724550898203,263.9690242310222,69.0,0,False,0,0,,0,,
P35749,0.9380012127,0.8815107651,0.000833333,0.715,0.8206641,0.98,1.05349,-0.353,0.95,0.1075050709939148,0.1130831643002028,0.429401159286499,0.7759624719619751,0.91,0.9847162,0.0780933062880324,15.81680484755468,-1364.0,0,False,0,0,,0,,
P11142,0.9370910658,0.9829675097,0.000833333,0.921,0.9992727,0.32,1.2957,-0.262,0.96,0.0603715170278637,0.0975232198142414,0.8378546833992004,0.9269744753837584,0.91,0.98595864,0.06656346749226,87.57538498601488,-388.0,0,False,1,0,,,,
P07305,0.936493169,0.9683402796,0.0025,0.869,0.98674214,1.0,0.746416,-0.321,-0.05,1.0,0.5463917525773195,0.8310422897338867,0.9304834604263306,0.83,0.98450524,0.0463917525773195,2.4116934817102345,16.0,0,False,1,0,,,,
O95347,0.9363489359,0.8856386566000001,0.0,0.753,0.30021244,0.44,1.07259,-0.202,0.77,0.0033416875522138,0.0668337510442773,0.0555681958794593,0.3453722298145294,0.88,0.97387594,0.0634920634920634,29.16865877526543,-1026.0,0,False,0,0,,0,,
Q14320,0.9361230842,0.9650074383,0.0,0.553,0.80047476,0.85,0.546193,-0.479,0.13,0.3392330383480826,0.28023598820059,0.6826460957527161,0.7864638566970825,0.91,0.5750391,0.1002949852507374,0.6188797003515444,-225.0,0,False,0,0,,0,,
Q9H6N6,0.9359602245,0.7216288405,0.0,0.5,0.42354614,0.38,0.480491,-0.439,-0.84,0.0,0.1312670920692798,0.0663069784641265,0.1689989864826202,0.72,0.98518544,0.081130355515041,3.2952402682185777,-977.0,0,False,0,0,,0,,
