Entry,Gene,Protein_name,cohort,n_tm,topology,cdcode_role,n_cdcode_biomol_condensates,in_source_db,has_bg_scores,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,FuzDrop_pLLPS,catGRANULE_score,PLAAC_NLLR,PScore_score,ESpritz_score,SEG_score,SaPS_score,PdPS_score,DeepPhase_score,PDL_score,RY_score,ParSe2_score,LLPhyScore_score,TMD_count,Entry name,p(LLPS),pLLPS_Class,Length
O43306,ADCY6,Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase),legacy,12,multi-pass,member,1.0,True,True,0.3552777143,0.4651875642,0.0,0.298,0.017820898,0.41,0.380976,-0.129,1.77,0.0,0.0839041095890411,0.0629762113094329,0.0503916032612323,0.5,0.18746188,0.1010273972602739,50.50809513288357,-1680.0,12.0,ADCY6_HUMAN,0.41,Medium,1168.0
O14514,ADGRB1,Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)],legacy,7,multi-pass,member,1.0,True,True,0.2946712509,0.0646995287,,0.497,0.0034183967,0.96,0.767342,0.039,4.7,0.1117424242424242,0.1117424242424242,0.4436404705047607,0.2484039962291717,0.99,0.6912237,0.0896464646464646,238.76041613926893,-1141.0,7.0,AGRB1_HUMAN,0.96,High,1584.0
O94910,ADGRL1,Adhesion G protein-coupled receptor L1 (Calcium-independent alpha-latrotoxin receptor 1) (CIRL-1) (Latrophilin-1) (Lectomedin-2),legacy,7,multi-pass,member,1.0,True,True,0.1819350281,0.0745564479,0.001666667,0.528,0.2019248,0.85,0.833566,-0.039,2.82,0.0705563093622795,0.1309362279511533,0.1065470948815345,0.186298131942749,0.99,0.79490036,0.1010854816824966,300.62744314343297,-1131.0,7.0,AGRL1_HUMAN,0.85,High,1474.0
Q9HAR2,ADGRL3,Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3),legacy,7,multi-pass,member,1.0,True,True,0.2471668848,0.10442857,0.0,0.416,0.091280356,0.77,0.70334,-0.123,1.61,0.0152038700760193,0.0559778852798894,0.0501721613109111,0.3056872487068176,0.93,0.8661578,0.0905321354526606,309.7965240695447,-1358.0,7.0,AGRL3_HUMAN,0.77,High,1447.0
Q8WXG9,ADGRV1,Adhesion G protein-coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G protein-coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G protein-coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],legacy,7,multi-pass,not_in_cdcode,,True,True,0.5305456419,0.3111176325,,0.556,0.022319196,0.74,1.55332,-0.102,1.66,0.0,0.0220424992071043,0.1081219762563705,0.2181394100189209,,,0.0629559150015857,311.3996861268561,-5261.0,7.0,AGRV1_HUMAN,0.74,High,6306.0
P07550,ADRB2,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),new,7,multi-pass,not_in_cdcode,,True,True,0.0435452838,0.2000065192,0.0,0.477,0.45059863,0.26,0.0145222,-0.212,0.01,0.0,0.0242130750605326,0.3116539120674133,0.3409526646137237,0.1,0.13164687,0.0750605326876513,57.06455989913232,-550.0,7.0,ADRB2_HUMAN,0.26,Low,413.0
Q9Y4W6,AFG3L2,Mitochondrial inner membrane m-AAA protease component AFG3L2 (EC 3.4.24.-) (EC 3.6.-.-) (AFG3-like protein 2) (Paraplegin-like protein),legacy,2,multi-pass,member,2.0,True,True,0.711141278,0.7837728242,0.0,0.803,0.13462773,0.49,1.52887,-0.281,1.39,0.0577164366373902,0.1016311166875784,0.0661120042204856,0.2936160862445831,0.93,0.48988163,0.0878293601003764,82.21597409750775,-449.0,2.0,AFG32_HUMAN,0.49,Medium,797.0
Q9NUQ2,AGPAT5,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 5) (1-AGP acyltransferase 5) (1-AGPAT 5) (Lysophosphatidic acid acyltransferase epsilon) (LPAAT-epsilon),legacy,3,multi-pass,member,1.0,True,True,0.5090662919,0.1440919166,0.0,0.079,0.327976,0.13,-0.0681189,-0.274,-0.69,0.0,0.0357142857142857,0.0655538961291313,0.0534335300326347,0.12,0.02654941,0.1181318681318681,1.6889381227486588,-585.0,3.0,PLCE_HUMAN,0.13,Low,364.0
Q9BRQ8,AIFM2,Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein),legacy,1,single-pass,not_in_cdcode,,True,True,0.6706123549,0.6064170081,,0.174,0.102038205,0.11,0.602403,-0.196,1.03,0.0,0.0375335120643431,0.0640404000878334,0.0973851233720779,0.01,0.03575878,0.0777479892761394,2.9130331536542187,-319.0,1.0,FSP1_HUMAN,0.11,Low,373.0
P51648,ALDH3A2,Aldehyde dehydrogenase family 3 member A2 (EC 1.2.1.3) (EC 1.2.1.94) (Aldehyde dehydrogenase 10) (Fatty aldehyde dehydrogenase) (Microsomal aldehyde dehydrogenase),legacy,1,single-pass,member,2.0,True,True,0.6522691117,0.3724541044,0.000833333,0.554,0.03934709,0.2,0.386971,-0.22,1.91,0.0,0.045360824742268,0.0540934279561042,0.0655726343393325,0.03,0.049076486,0.0824742268041237,19.705766895743075,-522.0,1.0,AL3A2_HUMAN,0.2,Low,485.0
Q9UM73,ALK,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),legacy,1,single-pass,not_in_cdcode,,True,True,0.3597359203,0.9039928255,0.000833333,0.749,0.72956294,0.97,1.36769,-0.1,5.28,0.0018518518518518,0.1030864197530864,0.409000813961029,0.2240894734859466,0.92,0.23372291,0.0759259259259259,459.5761471170296,-580.0,1.0,ALK_HUMAN,0.97,High,1620.0
P51693,APLP1,Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30],legacy,1,single-pass,in_cdcode_no_role,0.0,True,True,0.3922861936,0.2970255061,0.000833333,0.49,0.043656457,0.96,0.451545,-0.259,1.78,0.0,0.1292307692307692,0.0717790201306343,0.0983084812760353,0.98,0.5868771,0.1046153846153846,85.95520621527008,-401.0,1.0,APLP1_HUMAN,0.96,High,650.0
Q6UXV4,APOOL,MICOS complex subunit MIC27 (Apolipoprotein O-like) (Protein FAM121A),legacy,2,multi-pass,member,1.0,True,True,0.6031261014,0.5689130728,0.000833333,0.305,0.014177231,0.35,0.0602942,-0.337,-0.24,0.2350746268656716,0.1231343283582089,0.1596256792545318,0.0979379564523696,0.35,0.052192453,0.0597014925373134,3.886356891319146,-149.0,2.0,MIC27_HUMAN,0.35,Low,268.0
P05067,APP,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)) (Amyloid intracellular domain 59) (AICD-59) (AID(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)) (Amyloid intracellular domain 57) (AICD-57) (AID(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)) (Amyloid intracellular domain 50) (AICD-50) (AID(50)); C31],legacy,1,single-pass,member,2.0,True,True,0.769808888,0.9115391104,0.0,0.922,0.8443614,0.75,0.283878,-0.331,2.8,0.0,0.1597402597402597,0.0687643066048622,0.2162759602069854,,0.9060831,0.074025974025974,34.798135208902536,-418.0,1.0,A4_HUMAN,0.75,High,770.0
Q8NBQ7,AQP11,Aquaporin-11 (AQP-11),legacy,6,multi-pass,member,1.0,True,True,0.0551763769,0.0603210288,0.0,0.017,0.06803982,0.14,-1.49354,-0.294,-1.04,0.0,0.1070110701107011,0.0662943348288536,0.0286288000643253,0.44,0.026402576,0.055350553505535,7.701967298268235,-588.0,6.0,AQP11_HUMAN,0.14,Low,271.0
P55087,AQP4,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),legacy,6,multi-pass,member,1.0,True,True,0.1296087005,0.064289272,0.0,0.129,0.014072804,0.16,0.306225,-0.272,-0.69,0.0495356037151702,0.0,0.1188175678253173,0.0942060202360153,0.33,0.027165944,0.0557275541795665,2.3433249332678097,-417.0,8.0,AQP4_HUMAN,0.16,Low,323.0
Q96BM9,ARL8A,ADP-ribosylation factor-like protein 8A (ADP-ribosylation factor-like protein 10B) (Novel small G protein indispensable for equal chromosome segregation 2),new,0,intramembrane-only,in_cdcode_no_role,1.0,True,True,0.3689123653,0.3743726251,0.001666667,0.095,0.10985625,0.11,-0.10177,-0.354,-0.22,0.0,0.0,0.0850686356425285,0.1651630997657776,0.0,0.96525794,0.0698924731182795,0.0,-176.0,1.0,ARL8A_HUMAN,0.11,Low,186.0
Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B (EC 3.6.5.2) (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1),new,0,intramembrane-only,in_cdcode_no_role,1.0,True,True,0.1738841467,0.3091445987,0.000833333,0.256,0.21418281,0.11,-0.243104,-0.37,0.44,0.0,0.0,0.0741269588470459,0.5770702958106995,0.02,0.96436065,0.0913978494623656,0.0,-197.0,1.0,ARL8B_HUMAN,0.11,Low,186.0
Q8NBU5,ATAD1,Outer mitochondrial transmembrane helix translocase (EC 7.4.2.-) (ATPase family AAA domain-containing protein 1) (hATAD1) (Thorase),legacy,1,single-pass,member,1.0,True,True,0.8318912592000001,0.7174864919,0.001666667,0.302,0.4761211,0.2,-0.259015,-0.283,-0.43,0.0,0.0332409972299169,0.0807771384716034,0.1737902015447616,0.36,0.23414238,0.0637119113573407,0.0,-396.0,1.0,ATAD1_HUMAN,0.2,Low,361.0
Q9NVI7,ATAD3A,ATPase family AAA domain-containing protein 3A (EC 3.6.1.-),legacy,1,single-pass,member,3.0,True,True,0.719776784,0.5933075082,0.001666667,0.79,0.91972244,0.59,0.516756,-0.294,1.74,0.0977917981072555,0.1466876971608832,0.0591102465987205,0.4028259813785553,0.97,0.45012015,0.113564668769716,33.470009771952846,-685.0,1.0,ATD3A_HUMAN,0.59,Medium,634.0
Q5T9A4,ATAD3B,ATPase family AAA domain-containing protein 3B (AAA-TOB3),new,0,intramembrane-only,in_cdcode_no_role,1.0,True,True,0.6640467849,0.5792606045,0.0,0.747,0.454935,0.68,0.618722,-0.341,4.24,0.1080246913580246,0.1543209876543209,0.1981911361217498,0.4737970232963562,0.95,0.4138413,0.1141975308641975,50.864965077057256,-688.0,1.0,ATD3B_HUMAN,0.68,Medium,648.0
Q7Z3C6,ATG9A,Autophagy-related protein 9A (APG9-like 1) (mATG9),legacy,4,multi-pass,not_in_cdcode,,True,True,0.069750691,0.056589452,0.000833333,0.463,0.0078108557,0.42,0.184754,-0.17,3.63,0.0631704410011919,0.0846245530393325,0.231233075261116,0.0976111590862274,0.42,0.07115102,0.0905840286054827,85.70546124188502,-1008.0,8.0,ATG9A_HUMAN,0.42,Medium,839.0
Q8WXF7,ATL1,Atlastin-1 (ATL-1) (EC 3.6.5.-) (Brain-specific GTP-binding protein) (GTP-binding protein 3) (GBP-3) (hGBP3) (Guanine nucleotide-binding protein 3) (Spastic paraplegia 3 protein A),legacy,2,multi-pass,member,1.0,True,True,0.5491832759,0.5635736238,0.0,0.209,0.041941904,0.21,0.535901,-0.299,-0.34,0.0663082437275985,0.0698924731182795,0.0560052581131458,0.113858088850975,0.18,0.57886195,0.078853046594982,12.041744022274246,-527.0,2.0,ATLA1_HUMAN,0.21,Low,558.0
Q8NHH9,ATL2,Atlastin-2 (ATL-2) (EC 3.6.5.-) (ADP-ribosylation factor-like protein 6-interacting protein 2),legacy,2,multi-pass,member,1.0,True,True,0.452776633,0.5533377423,0.0,0.262,0.05865513,0.22,0.550113,-0.299,0.9,0.0120068610634648,0.0240137221269296,0.052309613674879,0.3782926201820373,0.7,0.35632795,0.0823327615780446,30.22029573821556,-605.0,2.0,ATLA2_HUMAN,0.22,Low,583.0
Q6DD88,ATL3,Atlastin-3 (AT3) (ATL-3) (EC 3.6.5.-),legacy,2,multi-pass,member,0.0,True,True,0.5040686747,0.5455647469,0.000833333,0.645,0.31796426,0.33,0.636854,-0.258,0.43,0.0,0.0720887245841035,0.0482730343937873,0.1322005093097686,0.14,0.5358203,0.0702402957486136,18.49537876472748,-458.0,2.0,ATLA3_HUMAN,0.33,Low,541.0
P54707,ATP12A,Potassium-transporting ATPase alpha chain 2 (HK alpha 2) (Non-gastric H(+)/K(+) ATPase subunit alpha) (EC 7.2.2.19) (Non-gastric Na(+)/K(+) ATPase subunit alpha) (EC 7.2.2.13) (Proton pump) (Sodium pump),legacy,10,multi-pass,member,1.0,True,True,0.7502798202000001,0.4591649025,0.0,0.503,0.0031553903,0.2,0.668627,-0.251,0.59,0.0009624639076034,0.0423484119345524,0.0625582560896873,0.0961565971374511,0.0,0.94956315,0.0692974013474494,29.000167469249305,-1358.0,10.0,AT12A_HUMAN,0.2,Low,1039.0
Q9HD20,ATP13A1,Endoplasmic reticulum transmembrane helix translocase (EC 7.4.2.-) (Endoplasmic reticulum P5A-ATPase),legacy,10,multi-pass,member,1.0,True,True,0.3110623765,0.2124037891,0.0,0.297,0.012006044,0.27,0.158176,-0.283,0.03,0.0,0.0830564784053156,0.0764510184526443,0.0688257068395614,0.56,0.16290872,0.0772425249169435,16.826165673098807,-1690.0,10.0,AT131_HUMAN,0.27,Low,1204.0
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),legacy,10,multi-pass,member,1.0,True,True,0.6171254426,0.8061816672000001,0.000833333,0.767,0.7898409,0.19,0.660279,-0.284,1.07,0.0371456500488758,0.0469208211143695,0.2525385916233063,0.304997831583023,0.32,0.97234917,0.0684261974584555,40.53365520724475,-1186.0,10.0,AT1A1_HUMAN,0.19,Low,1023.0
P50993,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-2),legacy,10,multi-pass,member,1.0,True,True,0.6184236080000001,0.702758192,0.001666667,0.517,0.4846672,0.34,0.685338,-0.316,1.2,0.0392156862745098,0.0274509803921568,0.0744726434350013,0.1206317096948623,0.36,0.9733638,0.0705882352941176,48.52235253908528,-1117.0,10.0,AT1A2_HUMAN,0.34,Low,1020.0
P13637,ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3 (Na(+)/K(+) ATPase alpha-3 subunit) (EC 7.2.2.13) (Na(+)/K(+) ATPase alpha(III) subunit) (Sodium pump subunit alpha-3),new,10,multi-pass,not_in_cdcode,,True,True,0.6168858017000001,0.4242355506,0.000833333,0.679,0.48466927,0.31,0.705365,-0.266,1.93,0.0236920039486673,0.0394866732477788,0.0691059753298759,0.2170328199863433,0.27,0.97373,0.0661401776900296,36.140307220251565,-1120.0,10.0,AT1A3_HUMAN,0.31,Low,1013.0
Q13733,ATP1A4,Sodium/potassium-transporting ATPase subunit alpha-4 (Na(+)/K(+) ATPase alpha-4 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-4),legacy,10,multi-pass,member,1.0,True,True,0.5843956839000001,0.5493319879,0.000833333,0.445,0.0076275216,0.22,0.506203,-0.31,1.16,0.0340136054421768,0.0748299319727891,0.0671287328004837,0.0416406206786632,0.4,0.9586648,0.0660835762876579,29.202118121752747,-1246.0,10.0,AT1A4_HUMAN,0.22,Low,1029.0
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),legacy,1,single-pass,member,1.0,True,True,0.6558459907,0.3515527681,0.000833333,0.696,0.2248857,0.25,1.0685,-0.244,0.46,0.0,0.0396039603960396,0.0573944672942161,0.5293465852737427,0.15,0.0848699,0.1089108910891089,15.293610395497806,-123.0,1.0,AT1B1_HUMAN,0.25,Low,303.0
P14415,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2 (Adhesion molecule in glia) (AMOG) (Sodium/potassium-dependent ATPase subunit beta-2),legacy,1,single-pass,member,1.0,True,True,0.3535495298,0.2432402554,0.000833333,0.184,0.32012922,0.13,0.424036,-0.022,1.12,0.0,0.0,0.1267379373311996,0.0980730578303337,0.16,0.10774881,0.096551724137931,27.29302000331125,-107.0,1.0,AT1B2_HUMAN,0.13,Low,290.0
O14983,ATP2A1,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",new,10,multi-pass,not_in_cdcode,,True,True,0.5941661689000001,0.3871302595,0.0,0.517,0.95666677,0.21,0.35069,-0.343,1.14,0.0,0.0479520479520479,0.0923962518572807,0.1386654376983642,0.02,0.9644095,0.0739260739260739,11.931047403573327,-1126.0,10.0,AT2A1_HUMAN,0.21,Low,1001.0
P16615,ATP2A2,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",legacy,10,multi-pass,member,1.0,True,True,0.3143093623,0.5493898009,0.0,0.751,0.8021599,0.26,0.306519,-0.371,1.17,0.0,0.0172744721689059,0.3271161317825317,0.2294636070728302,0.18,0.94436467,0.0595009596928982,14.914803938517275,-1162.0,10.0,AT2A2_HUMAN,0.26,Low,1042.0
P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1),legacy,10,multi-pass,member,2.0,True,True,0.5415354896,0.6065342116,0.0,0.72,0.3388781,0.7,1.0661,-0.289,1.17,0.0426229508196721,0.0786885245901639,0.2427128106355667,0.4718949198722839,0.93,0.95890486,0.060655737704918,95.17225857229964,-1215.0,10.0,AT2B1_HUMAN,0.7,Medium,1220.0
Q01814,ATP2B2,Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2),legacy,10,multi-pass,member,2.0,True,True,0.6971660147000001,0.6348077189,0.0,0.681,0.26231334,0.64,0.947555,-0.105,0.51,0.0378117457763475,0.1069991954947707,0.1466818153858184,0.2414697110652923,0.92,0.955507,0.0611423974255832,118.59755518101404,-1035.0,10.0,AT2B2_HUMAN,0.64,Medium,1243.0
Q16720,ATP2B3,Plasma membrane calcium-transporting ATPase 3 (PMCA3) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 3) (Plasma membrane calcium pump isoform 3),legacy,10,multi-pass,member,2.0,True,True,0.5613471894000001,0.529660125,0.0,0.559,0.06735378,0.86,0.937688,-0.27,0.74,0.0,0.0975409836065573,0.0477530173957347,0.2136368006467819,0.65,0.9536921,0.0639344262295081,105.79246411983108,-1052.0,10.0,AT2B3_HUMAN,0.86,High,1220.0
P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4),legacy,10,multi-pass,member,2.0,True,True,0.5038554224,0.6600479881,0.000833333,0.707,0.033221237,0.24,0.956311,-0.25,0.77,0.0,0.0620467365028203,0.0649774819612503,0.2911212146282196,0.6,0.92841476,0.064464141821112,52.65301273961457,-1232.0,10.0,AT2B4_HUMAN,0.24,Low,1241.0
P98194,ATP2C1,Calcium-transporting ATPase type 2C member 1 (ATPase 2C1) (EC 7.2.2.10) (ATP-dependent Ca(2+) pump PMR1) (Ca(2+)/Mn(2+)-ATPase 2C1) (Secretory pathway Ca(2+)-transporting ATPase type 1) (SPCA1),legacy,10,multi-pass,member,1.0,True,True,0.5186312783,0.3860634156,0.0,0.487,0.15230931,0.18,0.345838,-0.22,1.55,0.0,0.0674646354733405,0.0645019486546516,0.0915399715304374,0.37,0.16604525,0.0544069640914037,19.030017277362216,-951.0,10.0,AT2C1_HUMAN,0.18,Low,919.0
P20648,ATP4A,Potassium-transporting ATPase alpha chain 1 (EC 7.2.2.19) (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump),legacy,10,multi-pass,member,1.0,True,True,0.5524363774000001,0.3069526992,0.0,0.548,0.017456226,0.29,0.427123,-0.295,0.97,0.0405797101449275,0.0531400966183574,0.0636870712041854,0.048757217824459,0.47,0.9389491,0.0782608695652174,11.937726609544413,-1228.0,10.0,ATP4A_HUMAN,0.29,Low,1035.0
