uniprot_id,gene_name,pllps_score,degree,functional_group
O95833,O95833,0.19,0,Ion Channel
Q07817,Q07817,0.19,0,Ion Channel
P51801,P51801,0.19,0,Ion Channel
Q13003,Q13003,0.19,0,Ion Channel
Q401N2,Q401N2,0.18,0,Ion Channel
Q9UBI1,Q9UBI1,0.18,0,Ion Channel
Q8NHX9,Q8NHX9,0.17,0,Ion Channel
Q9GZU1,Q9GZU1,0.17,0,Ion Channel
Q9NZM6,Q9NZM6,0.17,0,Ion Channel
A6NFQ2,A6NFQ2,0.16,0,Ion Channel
P63252,P63252,0.16,0,Ion Channel
O60493,O60493,0.16,0,Ion Channel
P20815,P20815,0.16,0,Ion Channel
Q8N608,Q8N608,0.16,0,Ion Channel
P32418,P32418,0.16,0,Ion Channel
Q6NSJ5,Q6NSJ5,0.16,0,Ion Channel
Q15907,Q15907,0.15,0,Ion Channel
Q8N7C0,Q8N7C0,0.15,0,Ion Channel
Q9H8X2,Q9H8X2,0.15,0,Ion Channel
P0CG08,P0CG08,0.15,0,Ion Channel
B7ZAQ6,B7ZAQ6,0.15,0,Ion Channel
Q8WXS4,Q8WXS4,0.15,0,Ion Channel
P57771,P57771,0.15,0,Ion Channel
P59535,P59535,0.15,0,Ion Channel
Q9BS26,Q9BS26,0.14,0,Ion Channel
Q96F85,Q96F85,0.14,0,Ion Channel
Q9Y4C2,Q9Y4C2,0.14,0,Ion Channel
Q7Z418,Q7Z418,0.14,0,Ion Channel
Q8TAE7,Q8TAE7,0.14,0,Ion Channel
Q13303,Q13303,0.14,0,Ion Channel
O95069,O95069,0.14,0,Ion Channel
Q9NYW6,Q9NYW6,0.13,0,Ion Channel
P08910,P08910,0.13,0,Ion Channel
Q5VT99,Q5VT99,0.13,0,Ion Channel
Q5R3K3,Q5R3K3,0.13,0,Ion Channel
O75762,O75762,0.13,0,Ion Channel
Q9UF02,Q9UF02,0.13,0,Ion Channel
Q8IWT6,Q8IWT6,0.13,0,Ion Channel
O00180,O00180,0.13,0,Ion Channel
O00299,O00299,0.13,0,Ion Channel
Q9NYW5,Q9NYW5,0.12,0,Ion Channel
Q9NY37,Q9NY37,0.12,0,Ion Channel
Q6PIL6,Q6PIL6,0.12,0,Ion Channel
P34998,P34998,0.12,0,Ion Channel
Q99720,Q99720,0.12,0,Ion Channel
Q6ZSA7,Q6ZSA7,0.12,0,Ion Channel
Q9P000,Q9P000,0.12,0,Ion Channel
Q9NY72,Q9NY72,0.12,0,Ion Channel
Q9HA72,Q9HA72,0.12,0,Ion Channel
Q9NYW3,Q9NYW3,0.12,0,Ion Channel
P51575,P51575,0.12,0,Ion Channel
B9EJG8,B9EJG8,0.12,0,Ion Channel
Q8N5C1,Q8N5C1,0.12,0,Ion Channel
Q9NYW0,Q9NYW0,0.12,0,Ion Channel
P47870,P47870,0.12,0,Ion Channel
P48048,P48048,0.12,0,Ion Channel
Q8TAF8,Q8TAF8,0.11,0,Ion Channel
Q9NP86,Q9NP86,0.11,0,Ion Channel
P04839,P04839,0.11,0,Ion Channel
Q9NYW1,Q9NYW1,0.11,0,Ion Channel
Q9BXJ8,Q9BXJ8,0.11,0,Ion Channel
P59537,P59537,0.11,0,Ion Channel
Q5JW98,Q5JW98,0.11,0,Ion Channel
Q9NYV7,Q9NYV7,0.11,0,Ion Channel
A0PK00,A0PK00,0.09,0,Ion Channel
