protein1_uniprot,protein2_uniprot,protein1_gene,protein2_gene,string_score,string_score_normalized,pllps_1,pllps_2,pllps_mean
Q9ULD4,P55201,BRPF3,BRPF1,954.0,0.954,0.99,0.98,0.985
Q9BRP8,Q9Y5S9,PYM1,RBM8A,989.0,0.989,0.99,0.97,0.98
Q9Y5S9,Q9HCG8,RBM8A,CWC22,979.0,0.979,0.97,0.97,0.97
Q86YC2,P51587,PALB2,BRCA2,999.0,0.999,0.94,0.92,0.9299999999999999
O14745,Q15599,SLC9A3R1,SLC9A3R2,892.0,0.892,0.92,0.92,0.92
P49023,P02751,PXN,FN1,870.0,0.87,0.96,0.93,0.9450000000000001
P02751,P28906,FN1,CD34,875.0,0.875,0.93,0.95,0.94
P02751,O00468,FN1,AGRN,966.0,0.966,0.93,0.95,0.94
P02751,P98160,FN1,HSPG2,987.0,0.987,0.93,0.93,0.93
Q96G25,Q9NX70,MED8,MED29,994.0,0.994,0.91,0.95,0.9299999999999999
O15357,Q9Y5K6,INPPL1,CD2AP,701.0,0.701,0.93,0.94,0.935
O15357,Q92835,INPPL1,INPP5D,912.0,0.912,0.93,0.94,0.935
Q9Y5K6,Q92835,CD2AP,INPP5D,716.0,0.716,0.94,0.94,0.94
O00468,P98160,AGRN,HSPG2,981.0,0.981,0.95,0.93,0.94
O00468,Q14118,AGRN,DAG1,998.0,0.998,0.95,0.92,0.935
P98160,Q14118,HSPG2,DAG1,994.0,0.994,0.93,0.92,0.925
Q13033,Q9NRL3,STRN3,STRN4,982.0,0.982,0.92,0.94,0.9299999999999999
Q14118,Q9ULB1,DAG1,NRXN1,994.0,0.994,0.92,0.66,0.79
Q4V328,Q9Y3R0,GRIPAP1,GRIP1,935.0,0.935,0.93,0.95,0.94
Q9P286,O96013,PAK5,PAK4,725.0,0.725,0.96,0.91,0.935
Q9ULB1,P78352,NRXN1,DLG4,943.0,0.943,0.66,0.7,0.6799999999999999
P98172,P52799,EFNB1,EFNB2,929.0,0.929,0.86,0.9,0.88
P98172,O15197,EFNB1,EPHB6,988.0,0.988,0.86,0.91,0.885
P52799,O15197,EFNB2,EPHB6,971.0,0.971,0.9,0.91,0.905
P32926,Q9Y446,DSG3,PKP3,880.0,0.88,0.84,0.87,0.855
Q9Y446,Q02413,PKP3,DSG1,805.0,0.805,0.87,0.83,0.85
Q9Y446,Q06787,PKP3,FMR1,720.0,0.72,0.87,0.83,0.85
Q9P2S2,Q8NFZ4,NRXN2,NLGN2,994.0,0.994,0.9,0.84,0.87
Q86TB9,A5YKK6,PATL1,CNOT1,749.0,0.749,0.91,0.88,0.895
O75116,Q13464,ROCK2,ROCK1,975.0,0.975,0.86,0.86,0.86
Q8N4S9,Q16625,MARVELD2,OCLN,983.0,0.983,0.85,0.83,0.84
Q2NKX8,P54132,ERCC6L,BLM,725.0,0.725,0.81,0.89,0.8500000000000001
Q12959,Q15700,DLG1,DLG2,961.0,0.961,0.81,0.82,0.815
Q9HAU5,Q96Q15,UPF2,SMG1,995.0,0.995,0.88,0.86,0.87
Q5H9R7,Q9UPN7,PPP6R3,PPP6R1,843.0,0.843,0.85,0.81,0.8300000000000001
Q9NZZ3,Q96CF2,CHMP5,CHMP4C,824.0,0.824,0.73,0.71,0.72
Q9NZZ3,Q9UN37,CHMP5,VPS4A,981.0,0.981,0.73,0.78,0.755
Q9NZZ3,Q9Y3E7,CHMP5,CHMP3,984.0,0.984,0.73,0.69,0.71
Q96CF2,Q9UN37,CHMP4C,VPS4A,778.0,0.778,0.71,0.78,0.745
Q96CF2,Q9Y3E7,CHMP4C,CHMP3,888.0,0.888,0.71,0.69,0.7
Q9UN37,Q9Y3E7,VPS4A,CHMP3,718.0,0.718,0.78,0.69,0.735
O95727,Q92692,CRTAM,NECTIN2,900.0,0.9,0.68,0.71,0.6950000000000001
Q13153,P21333,PAK1,FLNA,919.0,0.919,0.76,0.77,0.765
P21333,Q9Y490,FLNA,TLN1,984.0,0.984,0.77,0.79,0.78
Q86YL7,P15311,PDPN,EZR,811.0,0.811,0.71,0.75,0.73
P15311,P32004,EZR,L1CAM,897.0,0.897,0.75,0.66,0.7050000000000001
Q9HAR2,Q9P273,ADGRL3,TENM3,772.0,0.772,0.77,0.76,0.765
Q9HAR2,Q9NT68,ADGRL3,TENM2,994.0,0.994,0.77,0.69,0.73
Q9H444,Q7LBR1,CHMP4B,CHMP1B,983.0,0.983,0.57,0.65,0.61
Q9H204,Q9NWA0,MED28,MED9,988.0,0.988,0.58,0.65,0.615
Q9H204,O75448,MED28,MED24,988.0,0.988,0.58,0.56,0.5700000000000001
Q9H204,O60244,MED28,MED14,994.0,0.994,0.58,0.58,0.58
Q9H204,Q15528,MED28,MED22,995.0,0.995,0.58,0.6,0.59
Q9NWA0,O60244,MED9,MED14,981.0,0.981,0.65,0.58,0.615
Q9NWA0,O75448,MED9,MED24,985.0,0.985,0.65,0.56,0.605
Q9NWA0,Q15528,MED9,MED22,988.0,0.988,0.65,0.6,0.625
O75448,O60244,MED24,MED14,995.0,0.995,0.56,0.58,0.5700000000000001
O75448,Q15528,MED24,MED22,985.0,0.985,0.56,0.6,0.5800000000000001
O60244,Q15528,MED14,MED22,998.0,0.998,0.58,0.6,0.59
O43914,P78324,TYROBP,SIRPA,800.0,0.8,0.62,0.63,0.625
P55285,P55291,CDH6,CDH15,823.0,0.823,0.62,0.64,0.63
P55291,P55287,CDH15,CDH11,735.0,0.735,0.64,0.56,0.6000000000000001
Q6IAA8,Q8N122,LAMTOR1,RPTOR,971.0,0.971,0.6,0.61,0.605
Q8N122,P31749,RPTOR,AKT1,737.0,0.737,0.61,0.59,0.6
Q14191,P78527,WRN,PRKDC,900.0,0.9,0.55,0.65,0.6000000000000001
P31749,Q05397,AKT1,PTK2,798.0,0.798,0.59,0.64,0.615
P31749,Q16513,AKT1,PKN2,798.0,0.798,0.59,0.64,0.615
P04004,P08648,VTN,ITGA5,940.0,0.94,0.46,0.49,0.475
P08648,Q9Y4G6,ITGA5,TLN2,921.0,0.921,0.49,0.41,0.44999999999999996
O75351,O43633,VPS4B,CHMP2A,921.0,0.921,0.5,0.53,0.515
O75351,Q9UQN3,VPS4B,CHMP2B,968.0,0.968,0.5,0.46,0.48
O75351,Q9HD42,VPS4B,CHMP1A,975.0,0.975,0.5,0.45,0.475
O43633,Q9UQN3,CHMP2A,CHMP2B,981.0,0.981,0.53,0.46,0.495
O43633,Q9HD42,CHMP2A,CHMP1A,993.0,0.993,0.53,0.45,0.49
O43633,Q9BY43,CHMP2A,CHMP4A,996.0,0.996,0.53,0.5,0.515
Q9UQN3,Q9BY43,CHMP2B,CHMP4A,943.0,0.943,0.46,0.5,0.48
Q9UQN3,Q9HD42,CHMP2B,CHMP1A,949.0,0.949,0.46,0.45,0.455
P22223,Q9Y6N8,CDH3,CDH10,710.0,0.71,0.42,0.47,0.44499999999999995
P78357,Q02246,CNTNAP1,CNTN2,795.0,0.795,0.43,0.44,0.435
Q02246,Q9UHC6,CNTN2,CNTNAP2,999.0,0.999,0.44,0.49,0.46499999999999997
P40200,P15151,CD96,PVR,999.0,0.999,0.46,0.52,0.49
O43513,P49336,MED7,CDK8,971.0,0.971,0.48,0.52,0.5
O15259,Q68CZ1,NPHP1,RPGRIP1L,990.0,0.99,0.52,0.51,0.515
Q92599,Q16181,SEPTIN8,SEPTIN7,965.0,0.965,0.43,0.44,0.435
Q12864,P18206,CDH17,VCL,968.0,0.968,0.34,0.41,0.375
Q12864,P35222,CDH17,CTNNB1,991.0,0.991,0.34,0.37,0.355
P18206,P19022,VCL,CDH2,848.0,0.848,0.41,0.41,0.41
P18206,P26232,VCL,CTNNA2,922.0,0.922,0.41,0.35,0.38
P18206,P12830,VCL,CDH1,985.0,0.985,0.41,0.34,0.375
P18206,P35222,VCL,CTNNB1,990.0,0.99,0.41,0.37,0.39
P35222,P12830,CTNNB1,CDH1,999.0,0.999,0.37,0.34,0.355
P35222,P19022,CTNNB1,CDH2,998.0,0.998,0.37,0.41,0.39
P35222,Q9ULB5,CTNNB1,CDH7,747.0,0.747,0.37,0.36,0.365
P35222,P26232,CTNNB1,CTNNA2,990.0,0.99,0.37,0.35,0.36
P19022,P12830,CDH2,CDH1,994.0,0.994,0.41,0.34,0.375
P19022,Q9ULB5,CDH2,CDH7,800.0,0.8,0.41,0.36,0.385
P19022,P26232,CDH2,CTNNA2,868.0,0.868,0.41,0.35,0.38
P19022,P13591,CDH2,NCAM1,903.0,0.903,0.41,0.39,0.4
P26232,P12830,CTNNA2,CDH1,953.0,0.953,0.35,0.34,0.345
Q9ULQ0,Q5VSL9,STRIP2,STRIP1,900.0,0.9,0.35,0.37,0.36
Q9NVC6,Q96HR3,MED17,MED30,998.0,0.998,0.36,0.41,0.385
Q9NVC6,O75586,MED17,MED6,999.0,0.999,0.36,0.38,0.37
Q96HR3,O75586,MED30,MED6,996.0,0.996,0.41,0.38,0.395
Q96FV9,Q13769,THOC1,THOC5,999.0,0.999,0.39,0.4,0.395
P43403,P43405,ZAP70,SYK,974.0,0.974,0.35,0.41,0.38
P08240,Q9Y5M8,SRPRA,SRPRB,999.0,0.999,0.37,0.36,0.365
O00329,P48736,PIK3CD,PIK3CG,992.0,0.992,0.35,0.34,0.345
Q6UXI9,Q5H8C1,NPNT,FREM1,822.0,0.822,0.39,0.41,0.4
Q9Y6N9,Q9BYE9,USH1C,CDHR2,716.0,0.716,0.29,0.31,0.3
Q9Y6N9,Q9H251,USH1C,CDH23,998.0,0.998,0.29,0.33,0.31
P29322,P52803,EPHA8,EFNA5,935.0,0.935,0.29,0.31,0.3
P52803,P54762,EFNA5,EPHB1,763.0,0.763,0.31,0.28,0.29500000000000004
Q9HAP6,Q9NUP9,LIN7B,LIN7C,841.0,0.841,0.33,0.29,0.31
P17302,Q8N144,GJA1,GJD3,733.0,0.733,0.33,0.33,0.33
P17302,P35212,GJA1,GJA4,928.0,0.928,0.33,0.28,0.30500000000000005
P17302,P36382,GJA1,GJA5,995.0,0.995,0.33,0.28,0.30500000000000005
Q8N144,P36382,GJD3,GJA5,726.0,0.726,0.33,0.28,0.30500000000000005
P35212,P36382,GJA4,GJA5,967.0,0.967,0.28,0.28,0.28
Q6P2C8,Q9P086,MED27,MED11,993.0,0.993,0.31,0.29,0.3
Q6P2C8,Q9Y2X0,MED27,MED16,997.0,0.997,0.31,0.33,0.32
Q9P086,Q9Y2X0,MED11,MED16,992.0,0.992,0.29,0.33,0.31
P62314,Q09161,SNRPD1,NCBP1,897.0,0.897,0.31,0.3,0.305
Q8WYJ6,O43236,SEPTIN1,SEPTIN4,900.0,0.9,0.28,0.33,0.30500000000000005
Q8WYJ6,Q9NVA2,SEPTIN1,SEPTIN11,936.0,0.936,0.28,0.28,0.28
O43236,Q9NVA2,SEPTIN4,SEPTIN11,975.0,0.975,0.33,0.28,0.30500000000000005
Q96AC1,Q13418,FERMT2,ILK,987.0,0.987,0.32,0.28,0.30000000000000004
O43921,P29317,EFNA2,EPHA2,991.0,0.991,0.25,0.24,0.245
P29317,P20827,EPHA2,EFNA1,999.0,0.999,0.24,0.24,0.24
P07942,P05556,LAMB1,ITGB1,950.0,0.95,0.25,0.24,0.245
P05556,O43707,ITGB1,ACTN4,931.0,0.931,0.24,0.27,0.255
P05556,P06756,ITGB1,ITGAV,996.0,0.996,0.24,0.23,0.235
P05556,P18564,ITGB1,ITGB6,915.0,0.915,0.24,0.24,0.24
P05556,P26006,ITGB1,ITGA3,997.0,0.997,0.24,0.24,0.24
P05556,P20702,ITGB1,ITGAX,906.0,0.906,0.24,0.24,0.24
O43707,P35221,ACTN4,CTNNA1,907.0,0.907,0.27,0.23,0.25
P35221,P55286,CTNNA1,CDH8,827.0,0.827,0.23,0.24,0.235
P06756,P16284,ITGAV,PECAM1,705.0,0.705,0.23,0.24,0.235
P06756,P20702,ITGAV,ITGAX,720.0,0.72,0.23,0.24,0.235
P06756,P26006,ITGAV,ITGA3,955.0,0.955,0.23,0.24,0.235
P06756,P18564,ITGAV,ITGB6,998.0,0.998,0.23,0.24,0.235
P20702,P18564,ITGAX,ITGB6,734.0,0.734,0.24,0.24,0.24
P20702,P26006,ITGAX,ITGA3,720.0,0.72,0.24,0.24,0.24
P26006,P18564,ITGA3,ITGB6,927.0,0.927,0.24,0.24,0.24
Q9HBT6,P55286,CDH20,CDH8,725.0,0.725,0.27,0.24,0.255
P27361,P46940,MAPK3,IQGAP1,863.0,0.863,0.23,0.26,0.245
Q13618,Q13616,CUL3,CUL1,966.0,0.966,0.26,0.25,0.255
Q13618,Q13617,CUL3,CUL2,977.0,0.977,0.26,0.24,0.25
Q13616,Q13309,CUL1,SKP2,999.0,0.999,0.25,0.25,0.25
Q13617,Q13309,CUL2,SKP2,836.0,0.836,0.24,0.25,0.245
Q13617,Q8N668,CUL2,COMMD1,997.0,0.997,0.24,0.25,0.245
Q96J01,Q6I9Y2,THOC3,THOC7,999.0,0.999,0.27,0.24,0.255
P17655,P07384,CAPN2,CAPN1,975.0,0.975,0.25,0.24,0.245
P28482,P12931,MAPK1,SRC,891.0,0.891,0.19,0.22,0.20500000000000002
P12931,Q15303,SRC,ERBB4,861.0,0.861,0.22,0.19,0.20500000000000002
P12931,P08034,SRC,GJB1,867.0,0.867,0.22,0.22,0.22
P12931,Q9UKW4,SRC,VAV3,830.0,0.83,0.22,0.19,0.20500000000000002
P12931,P29323,SRC,EPHB2,787.0,0.787,0.22,0.19,0.20500000000000002
P12931,P17252,SRC,PRKCA,822.0,0.822,0.22,0.23,0.225
P12931,Q99527,SRC,GPER1,900.0,0.9,0.22,0.19,0.20500000000000002
P12931,P05106,SRC,ITGB3,955.0,0.955,0.22,0.2,0.21000000000000002
Q9H159,P55289,CDH19,CDH12,715.0,0.715,0.19,0.21,0.2
P05362,P10747,ICAM1,CD28,944.0,0.944,0.22,0.22,0.22
P05362,P19320,ICAM1,VCAM1,951.0,0.951,0.22,0.21,0.215
P05362,P20701,ICAM1,ITGAL,999.0,0.999,0.22,0.2,0.21000000000000002
P19320,P20701,VCAM1,ITGAL,979.0,0.979,0.21,0.2,0.20500000000000002
P20701,P05106,ITGAL,ITGB3,905.0,0.905,0.2,0.2,0.2
Q15024,Q9NPD3,EXOSC7,EXOSC4,999.0,0.999,0.2,0.21,0.20500000000000002
Q15024,Q13868,EXOSC7,EXOSC2,999.0,0.999,0.2,0.19,0.195
Q9NPD3,Q13868,EXOSC4,EXOSC2,999.0,0.999,0.21,0.19,0.2
Q8N6F1,P56856,CLDN19,CLDN18,718.0,0.718,0.19,0.19,0.19
Q92556,Q0VGL1,ELMO1,LAMTOR4,720.0,0.72,0.21,0.22,0.215
Q9BY67,Q9NQS3,CADM1,NECTIN3,935.0,0.935,0.22,0.22,0.22
Q9NVD7,Q9HBI0,PARVA,PARVG,902.0,0.902,0.21,0.21,0.21
Q9NVD7,Q9HBI1,PARVA,PARVB,966.0,0.966,0.21,0.19,0.2
Q9HBI0,Q9HBI1,PARVG,PARVB,900.0,0.9,0.21,0.19,0.2
Q9HBI1,P05106,PARVB,ITGB3,722.0,0.722,0.19,0.2,0.195
Q14141,Q9P0V9,SEPTIN6,SEPTIN10,912.0,0.912,0.22,0.22,0.22
Q14141,Q99719,SEPTIN6,SEPTIN5,984.0,0.984,0.22,0.19,0.20500000000000002
Q14141,Q15019,SEPTIN6,SEPTIN2,995.0,0.995,0.22,0.19,0.20500000000000002
Q9P0V9,Q15019,SEPTIN10,SEPTIN2,886.0,0.886,0.22,0.19,0.20500000000000002
Q9P0V9,Q99719,SEPTIN10,SEPTIN5,906.0,0.906,0.22,0.19,0.20500000000000002
Q99719,Q15019,SEPTIN5,SEPTIN2,915.0,0.915,0.19,0.19,0.19
P05106,Q14344,ITGB3,GNA13,870.0,0.87,0.2,0.22,0.21000000000000002
O95500,O95484,CLDN14,CLDN9,781.0,0.781,0.2,0.19,0.195
O43542,Q06609,XRCC3,RAD51,969.0,0.969,0.23,0.23,0.23
P01730,P06241,CD4,FYN,950.0,0.95,0.15,0.17,0.16
P06241,P16333,FYN,NCK1,939.0,0.939,0.17,0.18,0.175
P06241,P07948,FYN,LYN,992.0,0.992,0.17,0.18,0.175
Q12884,P00813,FAP,ADA,844.0,0.844,0.16,0.17,0.165
Q9Y3C7,P24863,MED31,CCNC,918.0,0.918,0.17,0.18,0.175
Q9Y3C7,Q9ULK4,MED31,MED23,985.0,0.985,0.17,0.16,0.165
Q9Y3C7,Q9H944,MED31,MED20,985.0,0.985,0.17,0.17,0.17
Q9Y3C7,Q13503,MED31,MED21,997.0,0.997,0.17,0.18,0.175
P24863,Q9H944,CCNC,MED20,924.0,0.924,0.18,0.17,0.175
P24863,Q13503,CCNC,MED21,969.0,0.969,0.18,0.18,0.18
P24863,Q9ULK4,CCNC,MED23,920.0,0.92,0.18,0.16,0.16999999999999998
Q9ULK4,Q9H944,MED23,MED20,985.0,0.985,0.16,0.17,0.165
Q9ULK4,Q13503,MED23,MED21,990.0,0.99,0.16,0.18,0.16999999999999998
Q9H944,Q13503,MED20,MED21,990.0,0.99,0.17,0.18,0.175
P04275,P14770,VWF,GP9,831.0,0.831,0.18,0.18,0.18
P04275,P40197,VWF,GP5,862.0,0.862,0.18,0.18,0.18
P14770,P07948,GP9,LYN,900.0,0.9,0.18,0.18,0.18
P14770,P40197,GP9,GP5,985.0,0.985,0.18,0.18,0.18
P40197,P07948,GP5,LYN,900.0,0.9,0.18,0.18,0.18
Q96A72,Q6P2Q9,MAGOHB,PRPF8,979.0,0.979,0.15,0.17,0.16
Q96A72,P38919,MAGOHB,EIF4A3,999.0,0.999,0.15,0.18,0.16499999999999998
Q6P2Q9,P38919,PRPF8,EIF4A3,991.0,0.991,0.17,0.18,0.175
O43502,O15315,RAD51C,RAD51B,999.0,0.999,0.16,0.15,0.155
O43502,O75771,RAD51C,RAD51D,999.0,0.999,0.16,0.18,0.16999999999999998
O15315,O75771,RAD51B,RAD51D,999.0,0.999,0.15,0.18,0.16499999999999998
Q9Y624,P05107,F11R,ITGB2,996.0,0.996,0.18,0.18,0.18
P05107,Q15438,ITGB2,CYTH1,844.0,0.844,0.18,0.18,0.18
Q96CW1,P63010,AP2M1,AP2B1,999.0,0.999,0.15,0.15,0.15
P60228,P63244,EIF3E,RACK1,896.0,0.896,0.13,0.13,0.13
P60228,P05198,EIF3E,EIF2S1,952.0,0.952,0.13,0.14,0.135
P63244,P05198,RACK1,EIF2S1,890.0,0.89,0.13,0.14,0.135
P61224,P62834,RAP1B,RAP1A,900.0,0.9,0.12,0.12,0.12
Q9BTT4,Q9BUE0,MED10,MED18,989.0,0.989,0.14,0.12,0.13
O75841,O00322,UPK1B,UPK1A,929.0,0.929,0.14,0.14,0.14
P17301,O95471,ITGA2,CLDN7,829.0,0.829,0.14,0.13,0.135
O95471,O15551,CLDN7,CLDN3,731.0,0.731,0.13,0.13,0.13
O95471,O14493,CLDN7,CLDN4,924.0,0.924,0.13,0.14,0.135
Q9BX67,P60763,JAM3,RAC3,720.0,0.72,0.14,0.12,0.13
Q9UHD2,O15111,TBK1,CHUK,919.0,0.919,0.13,0.14,0.135
P27487,P21926,DPP4,CD9,805.0,0.805,0.12,0.12,0.12
P21926,P08962,CD9,CD63,990.0,0.99,0.12,0.13,0.125
Q9BUR5,Q5XKP0,APOO,MICOS13,997.0,0.997,0.15,0.15,0.15
P08962,O00560,CD63,SDCBP,985.0,0.985,0.13,0.13,0.13
P60033,O95832,CD81,CLDN1,984.0,0.984,0.11,0.1,0.10500000000000001
P60033,P13164,CD81,IFITM1,997.0,0.997,0.11,0.1,0.10500000000000001
O95832,Q9Y5I7,CLDN1,CLDN16,752.0,0.752,0.1,0.11,0.10500000000000001
O95832,P56748,CLDN1,CLDN8,731.0,0.731,0.1,0.1,0.1
O95832,O00501,CLDN1,CLDN5,859.0,0.859,0.1,0.11,0.10500000000000001
P13164,Q03135,IFITM1,CAV1,771.0,0.771,0.1,0.11,0.10500000000000001
Q9Y5I7,O00501,CLDN16,CLDN5,764.0,0.764,0.11,0.11,0.11
P56748,C9JDP6,CLDN8,CLDN25,716.0,0.716,0.1,0.09,0.095
P62330,Q03135,ARF6,CAV1,747.0,0.747,0.1,0.11,0.10500000000000001
Q03135,P17612,CAV1,PRKACA,846.0,0.846,0.11,0.11,0.11
Q03135,P63000,CAV1,RAC1,716.0,0.716,0.11,0.11,0.11
Q03135,P56539,CAV1,CAV3,995.0,0.995,0.11,0.09,0.1
O14972,Q9UBQ0,VPS26C,VPS29,995.0,0.995,0.11,0.1,0.10500000000000001
Q9Y2Q5,Q9UHA4,LAMTOR2,LAMTOR3,999.0,0.999,0.11,0.11,0.11
