Protein,Degree,Betweenness,pLLPS,Is_High_pLLPS
GABARAP,96,0.001761147864964941,0.1,False
ITPR3,100,0.002409998915510541,0.84,True
L1CAM,65,0.0010417376821092146,0.66,False
SPTBN1,53,0.00037613633860406217,0.62,False
SPTAN1,55,0.0005332045603606651,0.3,False
SCN2A,77,0.0003805703345236233,0.78,True
TIAM1,63,0.0004914411891654124,0.98,True
ADD2,35,0.00020895733552794905,0.84,True
SCN8A,62,0.00021998762817849725,0.71,True
KCNQ2,91,0.0007173910264858587,0.98,True
NRCAM,55,0.00036860537071035183,0.36,False
SPTBN5,47,0.00032718347971159167,0.91,True
ITPR1,123,0.0031596926045029685,0.9,True
KCNQ3,64,0.00027130978914457376,0.99,True
SPTB,52,0.0003549687763226188,0.5,False
ITPR2,62,0.0007640545727888399,0.72,True
ANK2,116,0.0014986012794450823,1.0,True
ANK1,99,0.0011360990733074695,0.91,True
SPTA1,43,0.0002715726833630532,0.2,False
TRPV3,40,0.00014933097888934115,0.22,False
SPTBN2,42,0.00026710295716841,0.67,False
ERBB2,176,0.004200192475940242,0.53,False
SCN10A,67,0.0005579354957780315,0.86,True
PLEK2,116,0.0029867102095816156,0.22,False
TRPM8,56,0.000489993092982318,0.22,False
LIMS1,33,0.00019315910184207802,0.11,False
WASHC2A,17,5.4988707623264385e-06,1.0,True
WASHC1,30,8.85226608085033e-05,0.96,True
WASHC2C,20,8.555184006930121e-05,1.0,True
VPS35,93,0.0013017184345375922,0.17,False
CCDC93,25,7.125555493082512e-05,0.84,True
VPS35L,23,3.056804731610463e-05,0.28,False
CCDC22,27,0.00013765714698554314,0.6,False
VPS29,62,0.0004312975948943107,0.1,False
TBC1D23,26,0.0004422579786431744,0.5,False
SNX27,61,0.0008762139202125903,0.29,False
VPS26A,56,0.00022952076901303463,0.23,False
COMMD1,31,0.00026341987054938695,0.25,False
TBC1D5,45,0.00017253588628420512,0.85,True
VPS26B,40,0.00011778541290659359,0.26,False
VPS26C,27,0.00012048807501324684,0.11,False
DNAJC13,37,0.00024300251225657177,0.15,False
SNX3,58,0.000553545385529423,0.16,False
SNX1,61,0.0007081996132370012,0.8,True
RANBP2,51,0.0009251139169604956,1.0,True
NUP155,32,0.00034691004891518237,0.6,False
NUP54,27,0.00011267621160938811,0.75,True
NUP98,28,0.00017200681961241385,1.0,True
SUMO1,20,0.00020580896992553995,0.14,False
NUP107,31,0.0002774339903687447,0.21,False
NUP93,26,0.00010607685123932506,0.24,False
NUP35,31,0.00021509030990749396,0.96,True
NUP153,38,0.00033723090509699344,1.0,True
NUP205,28,0.00019997811173806844,0.19,False
NUP210,25,0.00010908393140908747,0.31,False
SEH1L,38,0.000223241570902886,0.39,False
KIF5B,65,0.001087529473855398,0.86,True
NUP85,29,0.00032939246314095166,0.17,False
TPR,31,0.00024106401469966575,1.0,True
NUP58,21,9.826730332082107e-06,1.0,True
SEC13,94,0.0013765215432795777,0.26,False
NDC1,30,0.00023200070856637504,0.5,False
NUP50,23,8.523177656180536e-05,1.0,True
POM121,22,0.00019087834441668415,1.0,True
GCC2,72,0.0011715159387966584,0.65,False
POM121C,21,2.7625275803455727e-05,1.0,True
NUP42,19,2.065078529321366e-05,1.0,True
SHANK1,53,0.00038177772448002044,1.0,True
DLGAP1,50,0.00022525673334499805,0.99,True
DLG4,217,0.005896687147366562,0.7,True
SHANK2,58,0.00047085491724092036,1.0,True
ARHGEF7,51,0.0003121544572655679,0.63,False
GRM5,79,0.0006102694897692255,0.8,True
HOMER2,33,0.0001050481874221113,0.7,True
NLGN1,74,0.0004215832452264568,0.45,False
DLGAP3,46,0.000306092039234947,1.0,True
NLGN3,66,0.00036117275977055505,0.8,True
GRM1,78,0.0007119833653777157,0.34,False
NLGN4X,63,0.00030974021804459055,0.51,False
NRXN1,138,0.00242707696368492,0.66,False
DLG2,72,0.0004915340948146115,0.82,True
NRXN2,98,0.0010182003990714908,0.9,True
NLGN2,66,0.00045366024665268617,0.84,True
BAIAP2,52,0.0007725716156719148,0.92,True
HCLS1,74,0.0010499638195991382,1.0,True
CTTN,78,0.0011703423458822811,0.99,True
DLGAP2,44,0.00013639638839743533,0.99,True
SYNGAP1,49,0.0002969631907911391,1.0,True
DLGAP4,32,0.00015979072793945905,1.0,True
NLGN4Y,42,0.00016637363367775715,0.45,False
GRIN2B,121,0.0015527719012741583,0.87,True
CACNA1D,97,0.0008810912941316728,0.92,True
GRIN2A,120,0.0016075252996253094,0.5,False
NRXN3,56,0.0002852928155672029,0.78,True
ADGRL2,123,0.003585975206860974,0.79,True
MPP2,36,0.00012832002907070287,0.18,False
SSTR2,33,0.00015943996578557637,0.14,False
GRIA1,122,0.002127144635411707,0.65,False
GRIN1,89,0.0009414463651793516,0.26,False
FMR1,47,0.0007669303815687783,0.83,True
DBNL,32,0.00018197419561692688,0.83,True
GRIA2,123,0.0019610471192686835,0.34,False
CNTNAP2,70,0.001068978054906905,0.49,False
SYT3,17,5.077634309273301e-05,0.94,True
GRIP1,52,0.0006561123437983869,0.95,True
SHROOM3,16,6.859847482004583e-05,1.0,True
NECTIN3,42,0.0005123263892440312,0.22,False
UMOD,40,0.0005649518471401914,0.21,False
CELSR1,31,0.00017353223534820946,0.93,True
TJP1,143,0.003448817896265144,1.0,True
SLC7A9,45,0.0004907501032252006,0.14,False
MAP3K13,13,4.881803508773757e-05,0.99,True
SH3RF1,21,0.00022018301360739032,1.0,True
MAP3K12,11,2.2316352617059285e-05,0.99,True
SLC34A1,47,0.0003163755460435216,0.23,False
FBXO45,17,0.00015924272852075357,0.22,False
GATM,19,9.444638228297402e-05,0.18,False
VANGL2,45,0.00022848930350177613,0.5,False
YWHAB,68,0.0009102284097463493,0.29,False
INVS,29,0.0003648878780098903,0.79,True
BSN,38,0.0001967347563016496,1.0,True
PCLO,38,0.0003031302362875454,1.0,True
SYBU,24,0.00014096618156183414,0.88,True
STX1A,125,0.0019264087869588602,0.43,False
SYP,84,0.0017849417632509635,0.27,False
ATG5,74,0.0005789511262914652,0.14,False
SNAP25,170,0.003953061167157137,0.25,False
RAB3A,75,0.000594292781104902,0.15,False
SNPH,24,0.00014699529793179048,1.0,True
VAMP2,171,0.002898958645210164,0.4,False
RIMS1,52,0.00039529701432069043,1.0,True
OTOF,50,0.0004738938672142132,0.95,True
NSF,123,0.0012955104128055334,0.21,False
UNC13A,40,0.00017001060144924057,0.4,False
SLC17A8,38,0.00020853990134448745,0.17,False
OPCML,40,0.0004907385286223443,0.18,False
DNAJC5,47,0.0006059814397571466,0.47,False
SLC17A7,73,0.0006262740664598137,0.23,False
SYT1,108,0.0016315194353927066,0.38,False
TMEM169,6,6.990041837161614e-05,0.86,True
SLC8A2,28,0.00040103322487048564,0.7,True
PRKCE,50,0.0006090215806452766,0.25,False
CACNA1F,84,0.000739446670233696,0.94,True
PPFIA2,36,8.351452389094744e-05,1.0,True
SLC32A1,73,0.0007836119955821079,0.25,False
PPFIA3,42,0.000183021797753599,1.0,True
ATP2B2,51,0.0009107567033733916,0.64,False
PPFIA1,41,0.0002849758197235729,0.99,True
UNC13B,56,0.00031444994218609863,0.36,False
CAMK2B,64,0.0006851376619612549,0.48,False
MAP1B,45,0.0003785117125164131,1.0,True
MAP1LC3B,67,0.0005882122449850763,0.1,False
SQSTM1,110,0.002098606569083233,0.95,True
ATG12,59,0.0002624211443883987,0.64,False
BECN1,110,0.0020377317234169267,0.53,False
MAP1LC3A,60,0.0002622602860985157,0.1,False
GABARAPL2,87,0.0011751990271458917,0.12,False
GABARAPL1,86,0.0010884728139493411,0.18,False
ATG3,49,0.00022102169222784014,0.3,False
ATG16L1,59,0.0005177495916914111,0.44,False
MAP1LC3C,52,0.00021284003654380523,0.14,False
CD300C,67,0.0007521664532371147,0.81,True
NBR1,62,0.00043593326126467445,0.89,True
DPYSL2,40,0.0006867843094656124,0.35,False
MAPT,92,0.0020930014999150895,1.0,True
LRRK2,74,0.0013656244434766243,0.48,False
CYFIP1,36,0.00024329708430423,0.22,False
ULK1,65,0.0010049469308090562,1.0,True
SYN3,42,0.00014756212494305076,0.97,True
CALCOCO2,52,0.0002751774130547661,0.53,False
MTOR,89,0.001425539037992862,0.58,False
GAPDH,114,0.003971395388698967,0.12,False
DAPK1,28,0.00023431355700130198,0.25,False
BNIP3,64,0.0006073012369204356,0.99,True
SMAP1,11,5.771171926249566e-05,0.98,True
PIK3C3,108,0.0015373207698070501,0.38,False
BNIP3L,47,0.00026863961681933214,0.99,True
APP,175,0.0075828782943783675,0.75,True
OPTN,63,0.0007504555383289499,0.93,True
DST,34,0.0001838752734865495,1.0,True
WNK2,20,4.707108974666066e-05,1.0,True
FGD1,23,8.349333513297589e-05,0.98,True
MBP,49,0.0005486237411516448,0.99,True
MUC17,65,0.0006099844164568583,1.0,True
MUC13,69,0.0005607097394129614,0.84,True
MUC2,77,0.0009771844546273014,1.0,True
MUC15,69,0.00045370342731009835,0.94,True
MUC12,61,0.00026942279668585727,1.0,True
MUC20,64,0.0005601223732069068,1.0,True
MUC16,80,0.001382346982809586,1.0,True
MUC1,126,0.004021526210830971,1.0,True
MUC21,56,0.0002555960310585018,1.0,True
MUC4,72,0.000725007684690901,1.0,True
MUC3A,60,0.00029351141352862913,1.0,True
PDZK1,55,0.0010568250287920364,0.31,False
MUC22,17,0.00018155983835756867,1.0,True
TMPRSS15,23,0.00017022516203083157,0.17,False
GCNT3,43,4.3709078275355345e-05,0.12,False
MUCL1,50,0.0002270207063139063,0.93,True
CLEC10A,45,0.0004559784359447994,0.23,False
C1GALT1,84,0.0005311464273486206,0.49,False
MCAM,66,0.0008383796555659464,0.58,False
CSMD3,29,0.0002753279203977277,0.87,True
B3GNT3,53,0.0004888208680966427,0.19,False
CEACAM6,39,0.00043038294343514596,0.23,False
B3GNT6,44,0.0001082226334976864,0.36,False
GALNT12,28,7.978358530124309e-05,0.25,False
GALNT4,28,6.723877555845597e-05,0.23,False
C1GALT1C1,50,0.0001698050020446658,0.14,False
DEFA5,13,0.00010110726197030467,0.66,False
SLC26A3,52,0.0007101293401728313,0.12,False
GCNT4,28,6.647981805829227e-05,0.11,False
GCNT1,64,0.000204580962607786,0.13,False
USH2A,61,0.0009070814157442946,0.98,True
HMCN1,20,0.00021034302345471166,0.4,False
AGRN,100,0.0016397675477797685,0.95,True
IL16,20,7.557242081066423e-05,1.0,True
CD4,331,0.009272737090744448,0.15,False
CCR5,97,0.001608526739606668,0.12,False
TNF,232,0.005941964805278316,0.26,False
IL1B,167,0.002923333928302681,0.12,False
IL2RA,48,0.00018557821802525818,0.88,True
CD8A,244,0.003348693902868478,0.25,False
LTA,32,5.7827581077150305e-05,0.35,False
IL4,108,0.0011098620678997256,0.12,False
CD48,74,0.0002711660406290369,0.12,False
CCR3,40,0.00022191920489810705,0.09,False
CD9,112,0.0029759016928208063,0.12,False
CXCR5,51,0.0001753019330725714,0.18,False
AKNA,8,8.992675463595971e-08,1.0,True
CD1A,47,6.19632813594268e-05,0.14,False
CD1E,49,0.00010934207941465317,0.37,False
CD40LG,83,0.00024833243134624126,0.27,False
CD1B,54,0.0001238708745768135,0.23,False
CD1C,61,0.00012157172933286991,0.17,False
CD1D,58,0.00031235714319864617,0.28,False
CD40,95,0.0003946829482626078,0.25,False
ITGAL,71,0.0003616001012326829,0.2,False
PCNX1,1,0.0,1.0,True
CLEC14A,28,0.00037462124619223446,0.92,True
GPRIN1,7,5.497948161437542e-05,1.0,True
GNAZ,52,0.00041701144857877564,0.13,False
GNAO1,80,0.0007143745580537094,0.17,False
CDHR2,12,0.00021515215614457262,0.31,False
FXYD1,39,0.00032800937305100077,0.31,False
SDF4,19,0.00012247622178659917,0.36,False
RNFT2,7,1.3498482611214482e-05,0.31,False
RAB24,31,0.00017784080121200702,0.12,False
ARHGAP32,29,0.00015499203738166627,1.0,True
CRK,74,0.0006814054369778406,0.9,True
NTRK1,86,0.0011529038576211423,0.35,False
RHOQ,57,0.0005181813382697161,0.11,False
RAC2,124,0.0019515730447368848,0.12,False
RHOD,49,0.00034744184624747784,0.14,False
RHOF,38,0.00022789741508299862,0.15,False
SUCO,19,0.00029229068320761446,0.99,True
RHOJ,42,0.00017256405597897959,0.12,False
RAC3,99,0.0007330716109205405,0.12,False
GPHN,48,0.0007923239622427095,0.68,False
NCKAP1,42,0.00020487648219773703,0.21,False
LYPLA1,62,0.0010946540234172122,0.2,False
GAB2,39,0.00010706043849024056,1.0,True
KMT2E,9,2.3439957861144518e-05,1.0,True
NCR2,58,0.00016723517530646152,0.29,False
NCR3,57,0.00018678964531726057,0.13,False
NCR3LG1,47,8.721667465029768e-05,0.28,False
NCR1,61,0.00015070490414048707,0.14,False
PLOD3,21,9.275667701154579e-05,0.22,False
PLOD1,29,0.0001409467430010148,0.18,False
PLOD2,21,6.042741786820837e-05,0.12,False
DAB2,63,0.0008585576677304034,1.0,True
LRP2,65,0.001275095963097575,0.32,False
DAB2IP,20,6.000542310881487e-05,0.99,True
MYO6,60,0.0007415625646560456,0.46,False
FCHO2,51,0.0003755465354206807,0.78,True
LDLR,31,0.00018008041390430652,0.17,False
AP2B1,86,0.0009418193867954697,0.15,False
TGFBR1,46,0.0006618506432291798,0.22,False
EPS15,85,0.0008158241831127875,0.93,True
PICALM,81,0.0006690754347208548,0.97,True
LDLRAP1,51,0.000586343513679573,0.73,True
FCHO1,48,0.00022232617718947667,0.95,True
CLTC,137,0.002731827142002574,0.25,False
HIP1R,45,0.00016272644636332065,0.67,False
SNAP91,58,0.00034156262714137026,1.0,True
CUBN,32,0.00031088632379400985,0.89,True
TFRC,142,0.00670636372332797,0.19,False
CLTB,57,0.0001431055602867347,0.98,True
ARRB1,522,0.016681725958725108,0.32,False
TGFBR2,55,0.0012641172251842637,0.16,False
SH3KBP1,57,0.0004975349484255858,1.0,True
SCARB2,112,0.002090230065178431,0.11,False
AMN,11,2.7851163323342255e-05,0.39,False
EPS15L1,55,0.0003822085604313769,0.99,True
REPS1,42,0.00029073814472506214,1.0,True
AP2A2,69,0.000513953271342413,0.39,False
CLTA,63,0.0002548156585457077,0.86,True
SGIP1,52,0.00020445909313186638,1.0,True
STON2,42,0.00018915442532328023,0.98,True
CLTCL1,80,0.000718469898148011,0.12,False
EPN1,55,0.0003766167973495478,1.0,True
GJA1,75,0.0015437429655613334,0.33,False
ARRB2,540,0.01738881272801791,0.35,False
AP2A1,82,0.0004949201492306541,0.31,False
AP2M1,85,0.0008796108105030138,0.15,False
DNM2,74,0.0014539594336095282,0.39,False
SH3GL2,59,0.0006232905066704714,0.55,False
KIAA1549L,2,5.245012649908828e-07,1.0,True
CD59,64,0.0010169999498187226,0.1,False
PTPN5,29,0.00047431705412832436,0.33,False
RAPH1,22,2.4759552173988795e-05,1.0,True
VASP,51,0.0005742803334201434,1.0,True
INPPL1,49,0.0002449779255885461,0.93,True
RAP1A,63,0.0005550742993577333,0.12,False
FLNB,64,0.0004949564971326774,0.64,False
TRIP10,45,0.00021990567173299828,0.95,True
FNBP1,46,0.00025813246146905275,0.81,True
SH3GL3,44,0.0002835602796324046,0.35,False
FLNC,59,0.0004258739391398008,0.86,True
DIAPH3,47,0.00018681764939266688,0.53,False
SH3GL1,44,0.00033526645020486734,0.61,False
RAP1B,60,0.0006414315060384769,0.12,False
DOCK1,62,0.000754972707329175,0.46,False
RIN1,35,0.00013799991972669043,0.86,True
FMN2,21,0.00013703147567157233,1.0,True
SPIRE1,20,0.00011764767940057765,0.98,True
SPIRE2,13,5.315818470278961e-05,0.88,True
MYO5B,46,0.0003906340595439583,0.53,False
RAB11A,129,0.002643839264571237,0.17,False
FMNL1,29,0.00014116264549697652,0.78,True
FMN1,22,0.00014277403690512107,1.0,True
GRID2IP,8,1.0129745800718011e-05,0.99,True
WHAMM,20,5.167580646352283e-05,0.92,True
KPTN,32,9.183124398563441e-05,0.24,False
DIAPH1,37,0.0002776778629939181,0.92,True
CFL1,43,0.0001962032760567369,0.21,False
ZP1,18,6.429686457248852e-05,0.76,True
RGS7,50,0.00029638421096510694,0.37,False
FHOD1,30,0.0002002145318651158,0.95,True
BTN2A1,30,0.00012565933687102882,0.17,False
CASP1,54,0.0004170698717481796,0.28,False
SH2B1,34,0.00041260622774607204,1.0,True
JAK2,106,0.0020021150106467544,0.18,False
NTRK2,84,0.0012095933256327357,0.32,False
TMEM18,20,8.2021651528833e-05,0.14,False
NTRK3,44,0.0002576756094563741,0.22,False
NEGR1,39,0.00041157284189856385,0.15,False
MTCH2,48,0.0009060461430006248,0.16,False
LEPR,31,0.00033562718201832816,0.18,False
MC4R,42,0.0005600413252545499,0.16,False
SEC16B,40,0.00031779895614595814,1.0,True
ATXN2L,18,0.0001755757505794029,1.0,True
FAIM2,26,0.00024147879873614295,0.24,False
INSR,50,0.00039059385357101254,0.54,False
MC3R,29,0.00019565815674660924,0.11,False
NPC1,42,0.0005767864550571182,0.15,False
FFAR4,38,0.00024575750309694126,0.13,False
APOBR,19,0.00011724199197688102,1.0,True
FRS2,43,0.00028387317870304316,1.0,True
GHR,21,0.00012279235620209886,0.53,False
RABEP2,14,7.614443407893303e-05,0.96,True
TSC2,52,0.0004123222480840167,0.91,True
PTPN11,156,0.002434077881516116,0.34,False
QPCTL,23,0.0001840691491475195,0.26,False
SLC6A14,40,0.0002174903642879782,0.12,False
JAK1,77,0.000694622844116595,0.18,False
SPATA31E1,2,2.060410453128235e-06,1.0,True
TCP11,14,0.0002633019540944357,0.31,False
MOSPD1,13,0.00044295554273704127,0.2,False
AATK,5,8.13819143687881e-06,1.0,True
CDK5,48,0.0008824048708717257,0.15,False
CDK5R1,31,0.0002956052124201986,0.43,False
TBC1D9B,15,0.00010613298877513109,0.62,False
MYADM,12,0.00010306363966928981,0.19,False
TMEM108,5,1.635176969946783e-05,1.0,True
GAS2,17,0.0002561943896722641,0.67,False
SYNDIG1L,10,8.917115766914619e-05,0.98,True
SYNDIG1,24,0.0003722411017571328,0.29,False
SEC16A,45,0.00027045433320332387,1.0,True
SEC23B,41,0.00010516580495257553,0.19,False
SEC24C,54,0.0002428065698577316,0.69,False
SEC24B,68,0.0006048095912357886,0.99,True
SEC24A,49,0.00010153059267981518,0.88,True
SEC24D,58,0.00040774942984953596,0.6,False
SEC23A,49,0.00015745427557197156,0.19,False
SEC31A,50,0.0002693858545688546,0.89,True
PREB,47,0.00038664606023681286,0.36,False
LMAN1,71,0.0005008179346612305,0.27,False
SAR1A,40,0.00018431566858669027,0.12,False
MIA3,39,0.0006057611363339601,1.0,True
MIA2,26,0.000205034566098218,0.99,True
SAR1B,45,0.00017475067553238865,0.16,False
STX5,146,0.0017602055105722895,0.32,False
GOLPH3,72,0.0009770435898387175,0.27,False
USO1,63,0.0001734280812161571,0.47,False
SEC23IP,40,0.0001110232482669076,0.9,True
SEC22B,113,0.0007571165325657939,0.16,False
SEC31B,24,1.2152211113866817e-05,0.93,True
GBF1,42,0.00018644777244894065,0.96,True
RAB1A,103,0.0010522651830590516,0.23,False
CLINT1,58,0.00034167645361204166,1.0,True
ULK2,41,0.0004457812574158057,1.0,True
GOSR2,98,0.00039338398478273303,0.15,False
SURF4,54,0.0002839559952149129,0.14,False
GOLGA2,66,0.0005442069039543321,0.96,True
SEC22A,49,4.4200615345659495e-05,0.18,False
YKT6,114,0.0009339354898747361,0.12,False
SEC22C,48,0.00013026738155137667,0.11,False
RAB1B,78,0.0005106310466184353,0.25,False
LMAN1L,46,0.0001613109016503894,0.86,True
TMED2,81,0.0008458525501108077,0.17,False
RAB11FIP1,30,0.0002830070448194363,1.0,True
RAB11B,38,0.0002454374318871098,0.15,False
RAB25,40,0.0004416818658369477,0.17,False
RAB4A,58,0.0005447037518557987,0.12,False
RAB11FIP2,43,0.00027071693986561844,0.96,True
RAB11FIP3,42,0.00030947305892068625,0.97,True
RAB11FIP4,23,0.00017294977060102045,0.98,True
RAB11FIP5,32,0.00044726515425503563,0.99,True
EHD1,46,0.00042964173732944894,0.27,False
ARF5,49,0.00017451921925618256,0.12,False
RAB14,47,0.0002687997566087669,0.15,False
ARF6,88,0.0013225027038671162,0.1,False
EXOC7,58,0.00036005668417783167,0.63,False
LETM2,16,9.141582913103249e-05,0.74,True
ERLIN2,55,0.0008174450801150904,0.13,False
DDHD2,34,0.00022054992918044475,0.36,False
PLPP5,44,0.00029263670263118916,0.12,False
