UniProt_ID,approach,region,seg_idx,score
P13569,segment,Cytoplasmic,1.0,0.1301
P13569,segment,Cytoplasmic,2.0,0.0951
P13569,segment,Cytoplasmic,3.0,0.1028
P13569,segment,Cytoplasmic,4.0,0.0965
P13569,segment,Cytoplasmic,5.0,0.1125
P13569,segment,Cytoplasmic,6.0,0.1029
P15529,segment,Cytoplasmic,0.0,
P15941,segment,Cytoplasmic,0.0,0.6441
P17948,segment,Cytoplasmic,0.0,0.1705
P20963,segment,Cytoplasmic,0.0,0.9859
P21802,segment,Cytoplasmic,0.0,0.1759
P29317,segment,Cytoplasmic,0.0,0.1001
P31431,segment,Cytoplasmic,0.0,
P31645,segment,Cytoplasmic,0.0,0.8668
P31645,segment,Cytoplasmic,1.0,
P31645,segment,Cytoplasmic,2.0,
P31645,segment,Cytoplasmic,3.0,
P31645,segment,Cytoplasmic,4.0,
P31645,segment,Cytoplasmic,5.0,
P31645,segment,Cytoplasmic,6.0,
P35968,segment,Cytoplasmic,0.0,0.3997
P40967,segment,Cytoplasmic,0.0,
P46531,segment,Cytoplasmic,0.0,0.4358
P49146,segment,Cytoplasmic,0.0,
P49146,segment,Cytoplasmic,1.0,
P49146,segment,Cytoplasmic,2.0,
P49146,segment,Cytoplasmic,3.0,0.2878
P61073,segment,Cytoplasmic,0.0,
P61073,segment,Cytoplasmic,1.0,
P61073,segment,Cytoplasmic,2.0,
P61073,segment,Cytoplasmic,3.0,0.9884
P63027,segment,Cytoplasmic,0.0,0.994
Q03135,segment,Cytoplasmic,0.0,0.2778
Q03135,segment,Cytoplasmic,1.0,0.1328
Q04671,segment,Cytoplasmic,0.0,0.6558
Q04671,segment,Cytoplasmic,1.0,
Q04671,segment,Cytoplasmic,2.0,
Q04671,segment,Cytoplasmic,3.0,0.0939
Q04671,segment,Cytoplasmic,4.0,
Q04671,segment,Cytoplasmic,5.0,
Q04671,segment,Cytoplasmic,6.0,0.1397
Q07065,segment,Cytoplasmic,0.0,0.9926
Q08345,segment,Cytoplasmic,0.0,0.1626
Q12879,segment,Cytoplasmic,0.0,
Q12879,segment,Cytoplasmic,1.0,
Q12879,segment,Cytoplasmic,2.0,0.5098
Q14BN4,segment,Cytoplasmic,0.0,0.6004
Q15303,segment,Cytoplasmic,0.0,0.2437
Q7Z3C6,segment,Cytoplasmic,0.0,0.3836
Q7Z3C6,segment,Cytoplasmic,1.0,0.0938
Q7Z3C6,segment,Cytoplasmic,2.0,
Q7Z3C6,segment,Cytoplasmic,3.0,
Q7Z3C6,segment,Cytoplasmic,4.0,
Q7Z3C6,segment,Cytoplasmic,5.0,0.0743
Q7Z3C6,segment,Cytoplasmic,6.0,0.4117
Q7Z434,segment,Cytoplasmic,0.0,0.9947
Q86WV6,segment,Cytoplasmic,0.0,
Q86WV6,segment,Cytoplasmic,1.0,
Q86WV6,segment,Cytoplasmic,2.0,0.3976
Q8N114,segment,Cytoplasmic,0.0,0.9228
Q8TEM1,segment,Cytoplasmic,0.0,0.9895
Q8WXG9,segment,Cytoplasmic,0.0,
Q8WXG9,segment,Cytoplasmic,1.0,
Q8WXG9,segment,Cytoplasmic,2.0,
Q8WXG9,segment,Cytoplasmic,3.0,0.781
Q9BR39,segment,Cytoplasmic,0.0,0.9499
Q9H461,segment,Cytoplasmic,0.0,
Q9H461,segment,Cytoplasmic,1.0,
Q9H461,segment,Cytoplasmic,2.0,
Q9H461,segment,Cytoplasmic,3.0,0.9931
Q9UM73,segment,Cytoplasmic,0.0,0.2101
Q9Y624,segment,Cytoplasmic,0.0,
O00254,segment,Extracellular/Lumenal,0.0,0.1232
O00254,segment,Extracellular/Lumenal,1.0,
O00254,segment,Extracellular/Lumenal,2.0,
O00254,segment,Extracellular/Lumenal,3.0,
O14763,segment,Extracellular/Lumenal,0.0,0.1709
O43561,segment,Extracellular/Lumenal,0.0,0.0248
O60500,segment,Extracellular/Lumenal,0.0,0.1018
O75445,segment,Extracellular/Lumenal,0.0,0.0935
O75460,segment,Extracellular/Lumenal,0.0,0.1057
O75581,segment,Extracellular/Lumenal,0.0,0.0908
P00533,segment,Extracellular/Lumenal,0.0,0.0954
P01857,segment,Extracellular/Lumenal,0.0,0.3486
P04626,segment,Extracellular/Lumenal,0.0,0.0948
P05067,segment,Extracellular/Lumenal,0.0,0.1887
P05556,segment,Extracellular/Lumenal,0.0,0.1072
P07766,segment,Extracellular/Lumenal,0.0,0.2007
P07949,segment,Extracellular/Lumenal,0.0,0.1
P08172,segment,Extracellular/Lumenal,0.0,
P08172,segment,Extracellular/Lumenal,1.0,
P08172,segment,Extracellular/Lumenal,2.0,
P08172,segment,Extracellular/Lumenal,3.0,
P08247,segment,Extracellular/Lumenal,0.0,0.1054
P08247,segment,Extracellular/Lumenal,1.0,
P08908,segment,Extracellular/Lumenal,0.0,
P08908,segment,Extracellular/Lumenal,1.0,
P08908,segment,Extracellular/Lumenal,2.0,
P08908,segment,Extracellular/Lumenal,3.0,
P10747,segment,Extracellular/Lumenal,0.0,0.1073
P11362,segment,Extracellular/Lumenal,0.0,0.1735
P13569,segment,Extracellular/Lumenal,0.0,
P13569,segment,Extracellular/Lumenal,1.0,
P13569,segment,Extracellular/Lumenal,2.0,
P13569,segment,Extracellular/Lumenal,3.0,
P13569,segment,Extracellular/Lumenal,4.0,0.073
P13569,segment,Extracellular/Lumenal,5.0,
P15529,segment,Extracellular/Lumenal,0.0,0.1167
P15941,segment,Extracellular/Lumenal,0.0,0.9987
P15954,segment,Extracellular/Lumenal,0.0,
P15954,segment,Extracellular/Lumenal,1.0,0.0248
P17948,segment,Extracellular/Lumenal,0.0,0.0955
P20963,segment,Extracellular/Lumenal,0.0,
P21802,segment,Extracellular/Lumenal,0.0,0.1013
P29317,segment,Extracellular/Lumenal,0.0,0.1302
P31431,segment,Extracellular/Lumenal,0.0,0.9798
P31645,segment,Extracellular/Lumenal,0.0,0.0248
P31645,segment,Extracellular/Lumenal,1.0,0.0953
P31645,segment,Extracellular/Lumenal,2.0,
P31645,segment,Extracellular/Lumenal,3.0,
P31645,segment,Extracellular/Lumenal,4.0,
P31645,segment,Extracellular/Lumenal,5.0,
P35968,segment,Extracellular/Lumenal,0.0,0.0929
P40967,segment,Extracellular/Lumenal,0.0,0.1148
P46531,segment,Extracellular/Lumenal,0.0,0.1047
P49146,segment,Extracellular/Lumenal,0.0,
P49146,segment,Extracellular/Lumenal,1.0,
P49146,segment,Extracellular/Lumenal,2.0,
P49146,segment,Extracellular/Lumenal,3.0,
P61073,segment,Extracellular/Lumenal,0.0,
P61073,segment,Extracellular/Lumenal,1.0,
P61073,segment,Extracellular/Lumenal,2.0,
P61073,segment,Extracellular/Lumenal,3.0,
P63027,segment,Extracellular/Lumenal,0.0,0.188
Q04671,segment,Extracellular/Lumenal,0.0,0.1028
Q04671,segment,Extracellular/Lumenal,1.0,
Q04671,segment,Extracellular/Lumenal,2.0,0.0888
Q04671,segment,Extracellular/Lumenal,3.0,
Q04671,segment,Extracellular/Lumenal,4.0,
Q04671,segment,Extracellular/Lumenal,5.0,
Q07065,segment,Extracellular/Lumenal,0.0,0.9913
Q08345,segment,Extracellular/Lumenal,0.0,0.1104
Q12879,segment,Extracellular/Lumenal,0.0,0.0948
Q12879,segment,Extracellular/Lumenal,1.0,0.0889
Q14739,segment,Extracellular/Lumenal,0.0,0.7897
Q14BN4,segment,Extracellular/Lumenal,0.0,
Q15303,segment,Extracellular/Lumenal,0.0,0.0956
Q16635,segment,Extracellular/Lumenal,0.0,
Q16635,segment,Extracellular/Lumenal,1.0,0.1008
Q7Z3C6,segment,Extracellular/Lumenal,0.0,
Q7Z3C6,segment,Extracellular/Lumenal,1.0,
Q7Z434,segment,Extracellular/Lumenal,0.0,
Q86WV6,segment,Extracellular/Lumenal,0.0,
Q86WV6,segment,Extracellular/Lumenal,1.0,
Q8N114,segment,Extracellular/Lumenal,0.0,0.1363
Q8TEM1,segment,Extracellular/Lumenal,0.0,0.0936
Q8WXG9,segment,Extracellular/Lumenal,0.0,0.0932
Q8WXG9,segment,Extracellular/Lumenal,1.0,
Q8WXG9,segment,Extracellular/Lumenal,2.0,
Q8WXG9,segment,Extracellular/Lumenal,3.0,
Q9H461,segment,Extracellular/Lumenal,0.0,0.1908
Q9H461,segment,Extracellular/Lumenal,1.0,0.1558
Q9H461,segment,Extracellular/Lumenal,2.0,
Q9H461,segment,Extracellular/Lumenal,3.0,
Q9UM73,segment,Extracellular/Lumenal,0.0,0.1005
Q9Y624,segment,Extracellular/Lumenal,0.0,0.1102
O00254,segment,Transmembrane,0.0,
O00254,segment,Transmembrane,1.0,
O00254,segment,Transmembrane,2.0,
O00254,segment,Transmembrane,3.0,
O00254,segment,Transmembrane,4.0,
O00254,segment,Transmembrane,5.0,
O00254,segment,Transmembrane,6.0,
O14763,segment,Transmembrane,0.0,
O43561,segment,Transmembrane,0.0,
O60500,segment,Transmembrane,0.0,
O60733,segment,Transmembrane,0.0,
O60733,segment,Transmembrane,1.0,
O75445,segment,Transmembrane,0.0,
O75460,segment,Transmembrane,0.0,
O75581,segment,Transmembrane,0.0,
P00533,segment,Transmembrane,0.0,
P04626,segment,Transmembrane,0.0,
P05067,segment,Transmembrane,0.0,
P05556,segment,Transmembrane,0.0,
P07766,segment,Transmembrane,0.0,
P07949,segment,Transmembrane,0.0,
P08172,segment,Transmembrane,0.0,
P08172,segment,Transmembrane,1.0,
P08172,segment,Transmembrane,2.0,
P08172,segment,Transmembrane,3.0,
P08172,segment,Transmembrane,4.0,
P08172,segment,Transmembrane,5.0,
P08172,segment,Transmembrane,6.0,
P08247,segment,Transmembrane,0.0,
P08247,segment,Transmembrane,1.0,
P08247,segment,Transmembrane,2.0,
P08247,segment,Transmembrane,3.0,
P08908,segment,Transmembrane,0.0,
P08908,segment,Transmembrane,1.0,
P08908,segment,Transmembrane,2.0,
P08908,segment,Transmembrane,3.0,
P08908,segment,Transmembrane,4.0,
P08908,segment,Transmembrane,5.0,
P08908,segment,Transmembrane,6.0,
P10747,segment,Transmembrane,0.0,
P11362,segment,Transmembrane,0.0,
P13569,segment,Transmembrane,0.0,
P13569,segment,Transmembrane,1.0,
P13569,segment,Transmembrane,2.0,
P13569,segment,Transmembrane,3.0,
P13569,segment,Transmembrane,4.0,
P13569,segment,Transmembrane,5.0,
P13569,segment,Transmembrane,6.0,
P13569,segment,Transmembrane,7.0,
P13569,segment,Transmembrane,8.0,
P13569,segment,Transmembrane,9.0,
P13569,segment,Transmembrane,10.0,
P13569,segment,Transmembrane,11.0,
P15529,segment,Transmembrane,0.0,
P15941,segment,Transmembrane,0.0,
P15954,segment,Transmembrane,0.0,
P17948,segment,Transmembrane,0.0,
P20963,segment,Transmembrane,0.0,
P21802,segment,Transmembrane,0.0,
P29317,segment,Transmembrane,0.0,
P31431,segment,Transmembrane,0.0,
P31645,segment,Transmembrane,0.0,
P31645,segment,Transmembrane,1.0,
P31645,segment,Transmembrane,2.0,
P31645,segment,Transmembrane,3.0,
P31645,segment,Transmembrane,4.0,
P31645,segment,Transmembrane,5.0,
P31645,segment,Transmembrane,6.0,
P31645,segment,Transmembrane,7.0,
P31645,segment,Transmembrane,8.0,
P31645,segment,Transmembrane,9.0,
P31645,segment,Transmembrane,10.0,
P31645,segment,Transmembrane,11.0,
P35968,segment,Transmembrane,0.0,
P40967,segment,Transmembrane,0.0,
P46531,segment,Transmembrane,0.0,
P49146,segment,Transmembrane,0.0,
P49146,segment,Transmembrane,1.0,
P49146,segment,Transmembrane,2.0,
P49146,segment,Transmembrane,3.0,
P49146,segment,Transmembrane,4.0,
P49146,segment,Transmembrane,5.0,
P49146,segment,Transmembrane,6.0,
P61073,segment,Transmembrane,0.0,
P61073,segment,Transmembrane,1.0,
P61073,segment,Transmembrane,2.0,
P61073,segment,Transmembrane,3.0,
P61073,segment,Transmembrane,4.0,
P61073,segment,Transmembrane,5.0,
P61073,segment,Transmembrane,6.0,
P63027,segment,Transmembrane,0.0,
Q04671,segment,Transmembrane,0.0,
Q04671,segment,Transmembrane,1.0,
Q04671,segment,Transmembrane,2.0,
Q04671,segment,Transmembrane,3.0,
Q04671,segment,Transmembrane,4.0,
Q04671,segment,Transmembrane,5.0,
Q04671,segment,Transmembrane,6.0,
Q04671,segment,Transmembrane,7.0,
Q04671,segment,Transmembrane,8.0,
Q04671,segment,Transmembrane,9.0,
Q04671,segment,Transmembrane,10.0,
Q04671,segment,Transmembrane,11.0,
Q07065,segment,Transmembrane,0.0,
Q08345,segment,Transmembrane,0.0,
Q12879,segment,Transmembrane,0.0,
Q12879,segment,Transmembrane,1.0,
Q12879,segment,Transmembrane,2.0,
Q13021,segment,Transmembrane,0.0,
Q13021,segment,Transmembrane,1.0,
Q13021,segment,Transmembrane,2.0,
Q13021,segment,Transmembrane,3.0,
Q14739,segment,Transmembrane,0.0,
Q14739,segment,Transmembrane,1.0,
Q14739,segment,Transmembrane,2.0,
Q14739,segment,Transmembrane,3.0,
Q14739,segment,Transmembrane,4.0,
Q14739,segment,Transmembrane,5.0,
Q14739,segment,Transmembrane,6.0,
Q14739,segment,Transmembrane,7.0,
Q14BN4,segment,Transmembrane,0.0,
Q15303,segment,Transmembrane,0.0,
Q7Z3C6,segment,Transmembrane,0.0,
Q7Z3C6,segment,Transmembrane,1.0,
Q7Z3C6,segment,Transmembrane,2.0,
Q7Z3C6,segment,Transmembrane,3.0,
Q7Z434,segment,Transmembrane,0.0,
Q86WV6,segment,Transmembrane,0.0,
Q86WV6,segment,Transmembrane,1.0,
Q86WV6,segment,Transmembrane,2.0,
Q86WV6,segment,Transmembrane,3.0,
Q8N114,segment,Transmembrane,0.0,
Q8NC56,segment,Transmembrane,0.0,
Q8NC56,segment,Transmembrane,1.0,
Q8TEM1,segment,Transmembrane,0.0,
Q8WXG9,segment,Transmembrane,0.0,
Q8WXG9,segment,Transmembrane,1.0,
Q8WXG9,segment,Transmembrane,2.0,
Q8WXG9,segment,Transmembrane,3.0,
Q8WXG9,segment,Transmembrane,4.0,
Q8WXG9,segment,Transmembrane,5.0,
Q8WXG9,segment,Transmembrane,6.0,
Q9BR39,segment,Transmembrane,0.0,
Q9BRQ8,segment,Transmembrane,0.0,
Q9H3U5,segment,Transmembrane,0.0,
Q9H3U5,segment,Transmembrane,1.0,
Q9H3U5,segment,Transmembrane,2.0,
Q9H3U5,segment,Transmembrane,3.0,
Q9H3U5,segment,Transmembrane,4.0,
Q9H3U5,segment,Transmembrane,5.0,
Q9H3U5,segment,Transmembrane,6.0,
Q9H3U5,segment,Transmembrane,7.0,
Q9H3U5,segment,Transmembrane,8.0,
Q9H3U5,segment,Transmembrane,9.0,
Q9H3U5,segment,Transmembrane,10.0,
Q9H3U5,segment,Transmembrane,11.0,
Q9H461,segment,Transmembrane,0.0,
Q9H461,segment,Transmembrane,1.0,
Q9H461,segment,Transmembrane,2.0,
Q9H461,segment,Transmembrane,3.0,
Q9H461,segment,Transmembrane,4.0,
Q9H461,segment,Transmembrane,5.0,
Q9H461,segment,Transmembrane,6.0,
Q9UJA2,segment,Transmembrane,0.0,
Q9UJA2,segment,Transmembrane,1.0,
Q9UJA2,segment,Transmembrane,2.0,
Q9UJA2,segment,Transmembrane,3.0,
Q9UJA2,segment,Transmembrane,4.0,
Q9UM73,segment,Transmembrane,0.0,
Q9Y624,segment,Transmembrane,0.0,
O00254,whole,Whole,,0.1037
O14763,whole,Whole,,0.3519
O43561,whole,Whole,,0.9213
O60500,whole,Whole,,0.1702
O60733,whole,Whole,,0.0997
O75445,whole,Whole,,0.0937
O75460,whole,Whole,,0.1098
O75581,whole,Whole,,0.15
P00533,whole,Whole,,0.1218
P01857,whole,Whole,,0.3456
P04626,whole,Whole,,0.207
P05067,whole,Whole,,0.199
P05556,whole,Whole,,0.1748
P07766,whole,Whole,,0.3238
P07949,whole,Whole,,0.1072
P08172,whole,Whole,,0.3514
P08247,whole,Whole,,0.2042
P08908,whole,Whole,,0.158
P10747,whole,Whole,,0.1284
P11362,whole,Whole,,0.1878
P13569,whole,Whole,,0.1293
P15529,whole,Whole,,0.1408
P15941,whole,Whole,,0.9995
P17948,whole,Whole,,0.1352
P20963,whole,Whole,,0.969
P21802,whole,Whole,,0.1705
P29317,whole,Whole,,0.1086
P31431,whole,Whole,,0.8636
P31645,whole,Whole,,0.1242
P35968,whole,Whole,,0.3245
P40967,whole,Whole,,0.1262
P46531,whole,Whole,,0.1871
P49146,whole,Whole,,0.1302
P61073,whole,Whole,,0.1778
P63027,whole,Whole,,0.9953
Q03135,whole,Whole,,0.1871
Q04671,whole,Whole,,0.168
Q07065,whole,Whole,,0.9971
Q08345,whole,Whole,,0.1217
Q12879,whole,Whole,,0.1475
Q13021,whole,Whole,,0.2089
Q14739,whole,Whole,,0.2283
Q14BN4,whole,Whole,,0.6603
Q15303,whole,Whole,,0.1056
Q16635,whole,Whole,,0.1083
Q7Z3C6,whole,Whole,,0.1477
Q7Z434,whole,Whole,,0.9938
Q86WV6,whole,Whole,,0.3762
Q8N114,whole,Whole,,0.2536
Q8NC56,whole,Whole,,0.5327
Q8TEM1,whole,Whole,,0.1517
Q8WXG9,whole,Whole,,0.1589
Q9BR39,whole,Whole,,0.9462
Q9BRQ8,whole,Whole,,0.1076
Q9H3U5,whole,Whole,,0.133
Q9H461,whole,Whole,,0.4981
Q9UJA2,whole,Whole,,0.1465
Q9UM73,whole,Whole,,0.174
Q9Y624,whole,Whole,,0.1585
