tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
P15529,-13.0,-3.0,-49.0,-96.0,-37.0,-11.0,-82.0,58.0,-233.0
P15941,526.0,286.0,335.0,133.0,396.0,-209.0,-352.0,331.0,1446.0
P15954,-9.0,3.0,-9.0,-26.0,-8.0,-16.0,-20.0,5.0,-80.0
P17948,-134.0,80.0,-142.0,-368.0,-234.0,-210.0,-223.0,18.0,-1213.0
P20963,11.0,13.0,-13.0,-25.0,-22.0,-29.0,-19.0,-31.0,-115.0
P21802,-45.0,-28.0,-64.0,-169.0,-152.0,-128.0,-123.0,25.0,-684.0
P29317,-32.0,-5.0,-64.0,-189.0,-219.0,-177.0,-149.0,19.0,-816.0
P31431,7.0,17.0,-15.0,-47.0,-20.0,-25.0,-14.0,16.0,-81.0
P31645,-80.0,-19.0,-122.0,-181.0,-201.0,-82.0,-164.0,9.0,-840.0
P35968,-100.0,119.0,-144.0,-368.0,-257.0,-152.0,-187.0,59.0,-1030.0
P40967,30.0,59.0,-2.0,-159.0,-91.0,-77.0,-126.0,37.0,-329.0
P46531,244.0,435.0,14.0,-75.0,43.0,-31.0,-408.0,37.0,259.0
P49146,-81.0,-25.0,-88.0,-133.0,-114.0,-80.0,-118.0,-20.0,-659.0
P61073,-70.0,-36.0,-86.0,-139.0,-119.0,-71.0,-110.0,-2.0,-633.0
P63027,-1.0,-13.0,-14.0,-22.0,-29.0,-27.0,-37.0,-3.0,-146.0
Q03135,-36.0,-36.0,-43.0,-54.0,-63.0,-30.0,-52.0,0.0,-314.0
Q04671,-91.0,13.0,-169.0,-315.0,-253.0,-240.0,-257.0,-116.0,-1428.0
Q07065,53.0,122.0,-16.0,-102.0,-68.0,-128.0,-124.0,-57.0,-320.0
Q08345,81.0,9.0,-29.0,-185.0,-116.0,-183.0,-180.0,-29.0,-632.0
Q12879,-38.0,110.0,-92.0,-324.0,-176.0,-177.0,-171.0,130.0,-738.0
Q13021,-44.0,-44.0,-56.0,-67.0,-63.0,-47.0,-76.0,-12.0,-409.0
Q14739,-95.0,-17.0,-107.0,-238.0,-144.0,-125.0,-136.0,-25.0,-887.0
Q14BN4,-73.0,90.0,-100.0,-281.0,-75.0,-106.0,-174.0,-115.0,-834.0
Q15303,-60.0,55.0,-81.0,-240.0,-142.0,-104.0,-186.0,5.0,-753.0
Q16635,-32.0,-22.0,-32.0,-86.0,-36.0,-35.0,-63.0,-29.0,-335.0
Q7Z3C6,-27.0,-29.0,-115.0,-261.0,-180.0,-170.0,-191.0,-35.0,-1008.0
Q7Z434,118.0,67.0,7.0,-95.0,4.0,-110.0,-80.0,63.0,-26.0
Q86WV6,-25.0,10.0,-73.0,-143.0,-66.0,-126.0,-112.0,-52.0,-587.0
Q8N114,29.0,4.0,-19.0,-36.0,-31.0,-41.0,-67.0,25.0,-136.0
Q8NC56,9.0,26.0,-56.0,-121.0,-151.0,-168.0,-121.0,-82.0,-664.0
Q8TEM1,-36.0,16.0,-155.0,-521.0,-469.0,-349.0,-344.0,113.0,-1745.0
Q8WXG9,-350.0,176.0,-728.0,-1660.0,-1639.0,-697.0,-1038.0,675.0,-5261.0
Q9BR39,180.0,100.0,47.0,-23.0,-38.0,-102.0,-81.0,29.0,112.0
Q9BRQ8,-5.0,8.0,-13.0,-84.0,-99.0,-53.0,-72.0,-1.0,-319.0
Q9H3U5,-53.0,-17.0,-97.0,-133.0,-147.0,-80.0,-158.0,-52.0,-737.0
Q9H461,52.0,50.0,-6.0,-53.0,-138.0,-141.0,-157.0,-56.0,-449.0
Q9UJA2,-4.0,-39.0,-53.0,-63.0,-121.0,-105.0,-103.0,-45.0,-533.0
Q9UM73,64.0,213.0,-44.0,-284.0,-128.0,-211.0,-218.0,28.0,-580.0
Q9Y624,-9.0,38.0,-16.0,-82.0,-46.0,-29.0,-42.0,46.0,-140.0
