tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
P15941|cyto|seg0,11.0,1.0,4.0,-4.0,2.0,-22.0,-17.0,13.0,-12.0
P17948|cyto|seg0,-9.0,51.0,-47.0,-122.0,-81.0,-88.0,-93.0,0.0,-389.0
P20963|cyto|seg0,16.0,19.0,7.0,-6.0,-8.0,-20.0,3.0,-17.0,-6.0
P21802|cyto|seg0,-6.0,3.0,-26.0,-91.0,-58.0,-81.0,-57.0,-11.0,-327.0
P29317|cyto|seg0,-49.0,-34.0,-25.0,-102.0,-103.0,-78.0,-61.0,8.0,-444.0
P31431|cyto|seg0,0.0,4.0,-1.0,4.0,0.0,3.0,2.0,0.0,12.0
P31645|cyto|seg0,16.0,22.0,6.0,-2.0,3.0,3.0,6.0,3.0,57.0
P31645|cyto|seg1,-7.0,-4.0,-8.0,-11.0,-10.0,-7.0,-9.0,-3.0,-59.0
P31645|cyto|seg2,0.0,3.0,0.0,0.0,0.0,-2.0,1.0,-2.0,0.0
P31645|cyto|seg3,-1.0,2.0,-6.0,1.0,2.0,-1.0,3.0,5.0,5.0
P31645|cyto|seg4,-2.0,-5.0,-3.0,-5.0,-8.0,-7.0,-4.0,-3.0,-37.0
P31645|cyto|seg5,-5.0,-3.0,0.0,-6.0,-2.0,-2.0,-1.0,1.0,-18.0
P31645|cyto|seg6,-10.0,-5.0,-4.0,-18.0,-13.0,0.0,-5.0,-5.0,-60.0
P35968|cyto|seg0,-8.0,60.0,-40.0,-155.0,-87.0,-98.0,-75.0,-2.0,-405.0
P40967|cyto|seg0,-1.0,12.0,2.0,-23.0,3.0,-10.0,-4.0,5.0,-16.0
P46531|cyto|seg0,167.0,112.0,21.0,-92.0,-26.0,-162.0,-118.0,-7.0,-105.0
P49146|cyto|seg0,-5.0,-4.0,2.0,-6.0,-3.0,-2.0,-5.0,5.0,-18.0
P49146|cyto|seg1,-8.0,-4.0,-1.0,-9.0,-5.0,-6.0,-5.0,0.0,-38.0
P49146|cyto|seg2,-3.0,-3.0,0.0,-1.0,-5.0,-6.0,1.0,0.0,-17.0
P49146|cyto|seg3,-4.0,1.0,-5.0,-9.0,-8.0,-10.0,-3.0,3.0,-35.0
P61073|cyto|seg0,-2.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,11.0
P61073|cyto|seg1,-1.0,-2.0,-1.0,-7.0,-6.0,-6.0,-3.0,-4.0,-30.0
P61073|cyto|seg2,-8.0,2.0,-2.0,-7.0,-4.0,-5.0,-6.0,-2.0,-32.0
P61073|cyto|seg3,7.0,26.0,-1.0,-17.0,3.0,-12.0,-8.0,8.0,6.0
P63027|cyto|seg0,15.0,-2.0,1.0,-7.0,-16.0,-23.0,-19.0,-2.0,-53.0
Q03135|cyto|seg0,-11.0,-7.0,-16.0,-24.0,-30.0,-12.0,-18.0,1.0,-117.0
Q03135|cyto|seg1,-22.0,-23.0,-13.0,-24.0,-21.0,-10.0,-25.0,3.0,-135.0
Q04671|cyto|seg0,21.0,49.0,-9.0,-45.0,-12.0,-53.0,-35.0,3.0,-81.0
Q04671|cyto|seg1,-3.0,-3.0,0.0,-4.0,-4.0,-3.0,-2.0,0.0,-19.0
Q04671|cyto|seg2,1.0,1.0,1.0,-7.0,-10.0,-7.0,-4.0,1.0,-24.0
Q04671|cyto|seg3,-17.0,-1.0,-11.0,-32.0,-17.0,-22.0,-11.0,-10.0,-121.0
Q04671|cyto|seg4,-6.0,-6.0,-1.0,-3.0,-5.0,-1.0,-4.0,1.0,-25.0
Q04671|cyto|seg5,-6.0,-2.0,-8.0,-9.0,-7.0,-6.0,-8.0,-7.0,-53.0
Q04671|cyto|seg6,-2.0,-1.0,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,-11.0
Q07065|cyto|seg0,52.0,28.0,26.0,31.0,15.0,-18.0,-13.0,8.0,129.0
Q08345|cyto|seg0,43.0,-23.0,-30.0,-108.0,-52.0,-74.0,-94.0,-23.0,-361.0
Q12879|cyto|seg0,5.0,-1.0,-5.0,-4.0,-2.0,-4.0,7.0,1.0,-3.0
Q12879|cyto|seg1,0.0,-2.0,-2.0,0.0,2.0,2.0,3.0,-2.0,1.0
Q12879|cyto|seg2,5.0,99.0,-9.0,-139.0,24.0,-100.0,-19.0,83.0,-56.0
Q14BN4|cyto|seg0,-69.0,97.0,-91.0,-268.0,-62.0,-90.0,-160.0,-112.0,-755.0
Q15303|cyto|seg0,-19.0,-10.0,-16.0,-115.0,-59.0,-88.0,-73.0,-8.0,-388.0
Q7Z3C6|cyto|seg0,-2.0,4.0,-11.0,-15.0,-8.0,-15.0,-4.0,7.0,-44.0
Q7Z3C6|cyto|seg1,-23.0,-13.0,-20.0,-54.0,-31.0,-24.0,-33.0,-10.0,-208.0
Q7Z3C6|cyto|seg2,-6.0,-7.0,-8.0,-7.0,-7.0,-1.0,-10.0,1.0,-45.0
Q7Z3C6|cyto|seg3,-9.0,4.0,-11.0,-19.0,-8.0,-14.0,-8.0,-2.0,-67.0
Q7Z3C6|cyto|seg4,-5.0,-8.0,-4.0,-9.0,-13.0,-9.0,-12.0,-2.0,-62.0
Q7Z3C6|cyto|seg5,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,-4.0
Q7Z3C6|cyto|seg6,62.0,36.0,12.0,-49.0,-32.0,-59.0,-39.0,20.0,-49.0
Q7Z434|cyto|seg0,125.0,69.0,11.0,-76.0,11.0,-95.0,-57.0,66.0,54.0
Q86WV6|cyto|seg0,-3.0,2.0,-3.0,-12.0,-3.0,-7.0,-2.0,0.0,-28.0
Q86WV6|cyto|seg1,-6.0,-5.0,-2.0,-10.0,-16.0,-16.0,-8.0,2.0,-61.0
Q86WV6|cyto|seg2,-13.0,2.0,-29.0,-64.0,-41.0,-61.0,-49.0,-14.0,-269.0
Q8N114|cyto|seg0,28.0,-17.0,8.0,-3.0,-17.0,-21.0,-39.0,28.0,-33.0
Q8TEM1|cyto|seg0,6.0,-9.0,-12.0,-11.0,-14.0,-31.0,-15.0,4.0,-82.0
Q8WXG9|cyto|seg0,0.0,-2.0,0.0,0.0,-5.0,-2.0,-3.0,4.0,-8.0
Q8WXG9|cyto|seg1,-1.0,2.0,2.0,-1.0,-3.0,-2.0,2.0,1.0,0.0
Q8WXG9|cyto|seg2,1.0,-9.0,1.0,2.0,-7.0,-4.0,-1.0,1.0,-16.0
Q8WXG9|cyto|seg3,38.0,23.0,18.0,10.0,18.0,-10.0,-20.0,28.0,105.0
Q9BR39|cyto|seg0,192.0,108.0,64.0,-6.0,-25.0,-97.0,-60.0,43.0,219.0
Q9H461|cyto|seg0,-2.0,-3.0,0.0,-4.0,-2.0,2.0,-2.0,-3.0,-14.0
Q9H461|cyto|seg1,5.0,7.0,-7.0,-1.0,-8.0,-5.0,-5.0,-5.0,-19.0
Q9H461|cyto|seg2,-9.0,0.0,-1.0,-10.0,-1.0,1.0,-6.0,0.0,-26.0
Q9H461|cyto|seg3,33.0,42.0,22.0,23.0,-7.0,-6.0,-18.0,-13.0,76.0
Q9UM73|cyto|seg0,6.0,39.0,-30.0,-110.0,-17.0,-57.0,-60.0,23.0,-206.0
Q9Y624|cyto|seg0,3.0,12.0,1.0,-13.0,-4.0,-6.0,2.0,11.0,6.0
