UniProt_ID,approach,region,seg_idx,length,score_mean,score_sum,n_scored_residues
Q12879,segment,Cytoplasmic,1.0,10,,,0
Q12879,segment,Cytoplasmic,2.0,629,0.20814750216332967,125.92923880881446,605
Q86WV6,segment,Cytoplasmic,0.0,17,,,0
Q86WV6,segment,Cytoplasmic,1.0,22,,,0
Q86WV6,segment,Cytoplasmic,2.0,245,0.010932650230717886,2.416115700988653,221
P07949,segment,Cytoplasmic,0.0,457,0.22049379787189147,95.47381447852901,433
P08908,segment,Cytoplasmic,0.0,14,,,0
P08908,segment,Cytoplasmic,1.0,20,,,0
P08908,segment,Cytoplasmic,2.0,130,0.22706206248782945,24.06857862370992,106
P08908,segment,Cytoplasmic,3.0,19,,,0
Q7Z3C6,segment,Cytoplasmic,0.0,60,0.0,0.0,36
Q7Z3C6,segment,Cytoplasmic,1.0,136,0.0,0.0,112
Q7Z3C6,segment,Cytoplasmic,2.0,18,,,0
Q7Z3C6,segment,Cytoplasmic,3.0,43,0.0,0.0,19
Q7Z3C6,segment,Cytoplasmic,4.0,46,0.0,0.0,22
Q7Z3C6,segment,Cytoplasmic,5.0,3,,,0
Q7Z3C6,segment,Cytoplasmic,6.0,347,0.2653419852689606,85.70546124187429,323
O75581,segment,Cytoplasmic,0.0,220,1.2153542083745559,238.20942484141295,196
P63027,segment,Cytoplasmic,0.0,93,0.03425743952051159,2.3637633269153,69
Q04671,segment,Cytoplasmic,0.0,179,0.3459400193164273,53.620702994046226,155
Q04671,segment,Cytoplasmic,1.0,6,,,0
Q04671,segment,Cytoplasmic,2.0,22,,,0
Q04671,segment,Cytoplasmic,3.0,90,0.0,0.0,66
Q04671,segment,Cytoplasmic,4.0,15,,,0
Q04671,segment,Cytoplasmic,5.0,23,,,0
Q04671,segment,Cytoplasmic,6.0,4,,,0
Q14BN4,segment,Cytoplasmic,0.0,802,0.029758347847266563,23.151994625173387,778
P15529,segment,Cytoplasmic,0.0,26,0.0,0.0,2
Q8TEM1,segment,Cytoplasmic,0.0,58,0.16935626143902274,5.758112888926774,34
P00533,segment,Cytoplasmic,0.0,542,0.10240159535716993,53.04402639501402,518
P21802,segment,Cytoplasmic,0.0,423,0.09956175472519814,39.72514013535406,399
P08247,segment,Cytoplasmic,0.0,25,0.0,0.0,1
P08247,segment,Cytoplasmic,1.0,7,,,0
P08247,segment,Cytoplasmic,2.0,90,2.6308850934607078,173.63841616840668,66
P29317,segment,Cytoplasmic,0.0,418,0.013453165217713395,5.300547095779079,394
P17948,segment,Cytoplasmic,0.0,558,0.06609637367019584,35.29546353988458,534
P05556,segment,Cytoplasmic,0.0,47,0.08658099328486085,1.9913628455517995,23
P10747,segment,Cytoplasmic,0.0,41,0.0,0.0,17
P61073,segment,Cytoplasmic,0.0,14,,,0
P61073,segment,Cytoplasmic,1.0,24,,,0
P61073,segment,Cytoplasmic,2.0,25,0.0,0.0,1
P61073,segment,Cytoplasmic,3.0,50,0.48307055051893333,12.559834313492267,26
Q15303,segment,Cytoplasmic,0.0,633,0.0893332008798372,54.40391933582086,609
O00254,segment,Cytoplasmic,0.0,8,,,0
O00254,segment,Cytoplasmic,1.0,17,,,0
O00254,segment,Cytoplasmic,2.0,17,,,0
O00254,segment,Cytoplasmic,3.0,13,,,0
Q9Y624,segment,Cytoplasmic,0.0,40,0.05561108023026195,0.8897772836841912,16
P31645,segment,Cytoplasmic,0.0,87,0.7147426105338518,45.02878446363266,63
P31645,segment,Cytoplasmic,1.0,25,0.0,0.0,1
P31645,segment,Cytoplasmic,2.0,6,,,0
P31645,segment,Cytoplasmic,3.0,13,,,0
P31645,segment,Cytoplasmic,4.0,20,,,0
P31645,segment,Cytoplasmic,5.0,22,,,0
P31645,segment,Cytoplasmic,6.0,35,0.0014778161370403151,0.016255977507443467,11
P49146,segment,Cytoplasmic,0.0,13,,,0
P49146,segment,Cytoplasmic,1.0,17,,,0
P49146,segment,Cytoplasmic,2.0,27,0.0,0.0,3
P49146,segment,Cytoplasmic,3.0,55,0.0,0.0,31
P13569,segment,Cytoplasmic,0.0,77,0.0,0.0,53
P13569,segment,Cytoplasmic,1.0,49,0.0,0.0,25
P13569,segment,Cytoplasmic,2.0,55,0.0,0.0,31
P13569,segment,Cytoplasmic,3.0,500,0.05275972820140001,25.113630623866403,476
P13569,segment,Cytoplasmic,4.0,51,0.0,0.0,27
P13569,segment,Cytoplasmic,5.0,61,0.0,0.0,37
P13569,segment,Cytoplasmic,6.0,329,0.03908953967232555,11.922309600059293,305
Q03135,segment,Cytoplasmic,0.0,103,0.01120467897730213,0.8851696392068683,79
Q03135,segment,Cytoplasmic,1.0,53,0.0,0.0,29
P15941,segment,Transmembrane,0.0,23,,,0
Q7Z434,segment,Transmembrane,0.0,21,,,0
Q9BR39,segment,Transmembrane,0.0,21,,,0
O43561,segment,Transmembrane,0.0,23,,,0
P31431,segment,Transmembrane,0.0,25,0.0,0.0,1
O75445,segment,Transmembrane,0.0,21,,,0
Q9UM73,segment,Transmembrane,0.0,21,,,0
Q9H461,segment,Transmembrane,0.0,21,,,0
Q9H461,segment,Transmembrane,1.0,21,,,0
Q9H461,segment,Transmembrane,2.0,21,,,0
Q9H461,segment,Transmembrane,3.0,21,,,0
Q9H461,segment,Transmembrane,4.0,21,,,0
Q9H461,segment,Transmembrane,5.0,21,,,0
Q9H461,segment,Transmembrane,6.0,21,,,0
O14763,segment,Transmembrane,0.0,21,,,0
P46531,segment,Transmembrane,0.0,21,,,0
Q8N114,segment,Transmembrane,0.0,21,,,0
Q07065,segment,Transmembrane,0.0,21,,,0
P08172,segment,Transmembrane,0.0,26,0.0,0.0,2
P08172,segment,Transmembrane,1.0,25,0.0,0.0,1
P08172,segment,Transmembrane,2.0,27,0.0,0.0,3
P08172,segment,Transmembrane,3.0,22,,,0
P08172,segment,Transmembrane,4.0,25,0.0,0.0,1
P08172,segment,Transmembrane,5.0,25,0.0,0.0,1
P08172,segment,Transmembrane,6.0,23,,,0
Q08345,segment,Transmembrane,0.0,21,,,0
O60500,segment,Transmembrane,0.0,21,,,0
P05067,segment,Transmembrane,0.0,21,,,0
Q8WXG9,segment,Transmembrane,0.0,21,,,0
Q8WXG9,segment,Transmembrane,1.0,21,,,0
Q8WXG9,segment,Transmembrane,2.0,21,,,0
Q8WXG9,segment,Transmembrane,3.0,21,,,0
Q8WXG9,segment,Transmembrane,4.0,21,,,0
Q8WXG9,segment,Transmembrane,5.0,21,,,0
Q8WXG9,segment,Transmembrane,6.0,21,,,0
P11362,segment,Transmembrane,0.0,21,,,0
Q8NC56,segment,Transmembrane,0.0,21,,,0
Q8NC56,segment,Transmembrane,1.0,21,,,0
P40967,segment,Transmembrane,0.0,21,,,0
P07766,segment,Transmembrane,0.0,26,0.0,0.0,2
P20963,segment,Transmembrane,0.0,21,,,0
P04626,segment,Transmembrane,0.0,23,,,0
O75460,segment,Transmembrane,0.0,21,,,0
P35968,segment,Transmembrane,0.0,21,,,0
Q12879,segment,Transmembrane,0.0,20,,,0
Q12879,segment,Transmembrane,1.0,21,,,0
Q12879,segment,Transmembrane,2.0,21,,,0
Q86WV6,segment,Transmembrane,0.0,17,,,0
Q86WV6,segment,Transmembrane,1.0,25,0.0,0.0,1
Q86WV6,segment,Transmembrane,2.0,15,,,0
Q86WV6,segment,Transmembrane,3.0,18,,,0
P07949,segment,Transmembrane,0.0,22,,,0
P08908,segment,Transmembrane,0.0,21,,,0
P08908,segment,Transmembrane,1.0,25,0.0,0.0,1
P08908,segment,Transmembrane,2.0,25,0.0,0.0,1
P08908,segment,Transmembrane,3.0,22,,,0
P08908,segment,Transmembrane,4.0,23,,,0
P08908,segment,Transmembrane,5.0,24,,,0
P08908,segment,Transmembrane,6.0,25,0.0,0.0,1
Q7Z3C6,segment,Transmembrane,0.0,23,,,0
Q7Z3C6,segment,Transmembrane,1.0,26,0.0,0.0,2
Q7Z3C6,segment,Transmembrane,2.0,26,0.0,0.0,2
Q7Z3C6,segment,Transmembrane,3.0,18,,,0
O75581,segment,Transmembrane,0.0,23,,,0
P63027,segment,Transmembrane,0.0,20,,,0
O60733,segment,Transmembrane,0.0,21,,,0
O60733,segment,Transmembrane,1.0,21,,,0
Q04671,segment,Transmembrane,0.0,18,,,0
Q04671,segment,Transmembrane,1.0,17,,,0
Q04671,segment,Transmembrane,2.0,17,,,0
Q04671,segment,Transmembrane,3.0,17,,,0
Q04671,segment,Transmembrane,4.0,17,,,0
Q04671,segment,Transmembrane,5.0,17,,,0
Q04671,segment,Transmembrane,6.0,17,,,0
Q04671,segment,Transmembrane,7.0,17,,,0
Q04671,segment,Transmembrane,8.0,17,,,0
Q04671,segment,Transmembrane,9.0,17,,,0
Q04671,segment,Transmembrane,10.0,17,,,0
Q04671,segment,Transmembrane,11.0,17,,,0
Q14BN4,segment,Transmembrane,0.0,21,,,0
P15529,segment,Transmembrane,0.0,23,,,0
Q8TEM1,segment,Transmembrane,0.0,21,,,0
Q9UJA2,segment,Transmembrane,0.0,21,,,0
Q9UJA2,segment,Transmembrane,1.0,21,,,0
Q9UJA2,segment,Transmembrane,2.0,23,,,0
Q9UJA2,segment,Transmembrane,3.0,21,,,0
Q9UJA2,segment,Transmembrane,4.0,21,,,0
P00533,segment,Transmembrane,0.0,23,,,0
P21802,segment,Transmembrane,0.0,21,,,0
P08247,segment,Transmembrane,0.0,24,,,0
P08247,segment,Transmembrane,1.0,24,,,0
P08247,segment,Transmembrane,2.0,24,,,0
P08247,segment,Transmembrane,3.0,24,,,0
Q14739,segment,Transmembrane,0.0,21,,,0
Q14739,segment,Transmembrane,1.0,21,,,0
Q14739,segment,Transmembrane,2.0,21,,,0
Q14739,segment,Transmembrane,3.0,21,,,0
Q14739,segment,Transmembrane,4.0,21,,,0
Q14739,segment,Transmembrane,5.0,21,,,0
Q14739,segment,Transmembrane,6.0,21,,,0
Q14739,segment,Transmembrane,7.0,21,,,0
P29317,segment,Transmembrane,0.0,21,,,0
P17948,segment,Transmembrane,0.0,22,,,0
P05556,segment,Transmembrane,0.0,23,,,0
P10747,segment,Transmembrane,0.0,27,0.0,0.0,3
P61073,segment,Transmembrane,0.0,25,0.0,0.0,1
P61073,segment,Transmembrane,1.0,22,,,0
P61073,segment,Transmembrane,2.0,20,,,0
P61073,segment,Transmembrane,3.0,20,,,0
P61073,segment,Transmembrane,4.0,21,,,0
P61073,segment,Transmembrane,5.0,20,,,0
P61073,segment,Transmembrane,6.0,20,,,0
Q15303,segment,Transmembrane,0.0,24,,,0
O00254,segment,Transmembrane,0.0,26,0.0,0.0,2
O00254,segment,Transmembrane,1.0,20,,,0
O00254,segment,Transmembrane,2.0,22,,,0
O00254,segment,Transmembrane,3.0,24,,,0
O00254,segment,Transmembrane,4.0,20,,,0
O00254,segment,Transmembrane,5.0,25,0.0,0.0,1
O00254,segment,Transmembrane,6.0,25,0.0,0.0,1
Q9H3U5,segment,Transmembrane,0.0,21,,,0
Q9H3U5,segment,Transmembrane,1.0,21,,,0
Q9H3U5,segment,Transmembrane,2.0,21,,,0
Q9H3U5,segment,Transmembrane,3.0,21,,,0
Q9H3U5,segment,Transmembrane,4.0,22,,,0
Q9H3U5,segment,Transmembrane,5.0,21,,,0
Q9H3U5,segment,Transmembrane,6.0,21,,,0
Q9H3U5,segment,Transmembrane,7.0,21,,,0
Q9H3U5,segment,Transmembrane,8.0,21,,,0
Q9H3U5,segment,Transmembrane,9.0,21,,,0
Q9H3U5,segment,Transmembrane,10.0,21,,,0
Q9H3U5,segment,Transmembrane,11.0,21,,,0
Q9Y624,segment,Transmembrane,0.0,21,,,0
P31645,segment,Transmembrane,0.0,25,0.0,0.0,1
P31645,segment,Transmembrane,1.0,20,,,0
P31645,segment,Transmembrane,2.0,26,0.0,0.0,2
P31645,segment,Transmembrane,3.0,19,,,0
P31645,segment,Transmembrane,4.0,20,,,0
P31645,segment,Transmembrane,5.0,23,,,0
P31645,segment,Transmembrane,6.0,20,,,0
P31645,segment,Transmembrane,7.0,22,,,0
P31645,segment,Transmembrane,8.0,20,,,0
P31645,segment,Transmembrane,9.0,22,,,0
P31645,segment,Transmembrane,10.0,20,,,0
P31645,segment,Transmembrane,11.0,21,,,0
P49146,segment,Transmembrane,0.0,28,0.0,0.0,4
P49146,segment,Transmembrane,1.0,27,0.0,0.0,3
P49146,segment,Transmembrane,2.0,27,0.0,0.0,3
P49146,segment,Transmembrane,3.0,23,,,0
P49146,segment,Transmembrane,4.0,27,0.0,0.0,3
P49146,segment,Transmembrane,5.0,25,0.0,0.0,1
P49146,segment,Transmembrane,6.0,25,0.0,0.0,1
P15954,segment,Transmembrane,0.0,27,0.0,0.0,3
P13569,segment,Transmembrane,0.0,21,,,0
P13569,segment,Transmembrane,1.0,24,,,0
P13569,segment,Transmembrane,2.0,21,,,0
P13569,segment,Transmembrane,3.0,21,,,0
P13569,segment,Transmembrane,4.0,21,,,0
P13569,segment,Transmembrane,5.0,19,,,0
P13569,segment,Transmembrane,6.0,21,,,0
P13569,segment,Transmembrane,7.0,21,,,0
P13569,segment,Transmembrane,8.0,21,,,0
P13569,segment,Transmembrane,9.0,21,,,0
P13569,segment,Transmembrane,10.0,21,,,0
P13569,segment,Transmembrane,11.0,21,,,0
Q9BRQ8,segment,Transmembrane,0.0,21,,,0
Q13021,segment,Transmembrane,0.0,21,,,0
Q13021,segment,Transmembrane,1.0,21,,,0
Q13021,segment,Transmembrane,2.0,21,,,0
Q13021,segment,Transmembrane,3.0,21,,,0
P15941,segment,Extracellular/Lumenal,0.0,1135,0.8590377663645863,954.3909584310555,1111
Q7Z434,segment,Extracellular/Lumenal,0.0,6,,,0
O43561,segment,Extracellular/Lumenal,0.0,4,,,0
P31431,segment,Extracellular/Lumenal,0.0,127,0.017275100298853954,1.7793353307819566,103
O75445,segment,Extracellular/Lumenal,0.0,5011,0.08597881600019923,428.77635539299354,4987
Q9UM73,segment,Extracellular/Lumenal,0.0,1020,0.3851411535454818,383.6005889312999,996
Q9H461,segment,Extracellular/Lumenal,0.0,248,0.457187069290779,102.40990352113448,224
Q9H461,segment,Extracellular/Lumenal,1.0,63,1.4373630623704374,56.05715943244706,39
Q9H461,segment,Extracellular/Lumenal,2.0,23,,,0
Q9H461,segment,Extracellular/Lumenal,3.0,31,0.0,0.0,7
O14763,segment,Extracellular/Lumenal,0.0,155,0.1177266602937391,15.422192498479824,131
P46531,segment,Extracellular/Lumenal,0.0,1717,0.23457112908953953,397.12892154859037,1693
Q8N114,segment,Extracellular/Lumenal,0.0,77,0.019652272699777366,1.0415704530882004,53
Q07065,segment,Extracellular/Lumenal,0.0,475,0.008658050919806173,3.9047809648325837,451
P08172,segment,Extracellular/Lumenal,0.0,20,,,0
P08172,segment,Extracellular/Lumenal,1.0,7,,,0
P08172,segment,Extracellular/Lumenal,2.0,20,,,0
P08172,segment,Extracellular/Lumenal,3.0,7,,,0
Q08345,segment,Extracellular/Lumenal,0.0,397,0.17082495091386943,63.7177066908733,373
O60500,segment,Extracellular/Lumenal,0.0,1032,0.05037268171577044,50.77566316949661,1008
P05067,segment,Extracellular/Lumenal,0.0,684,0.05230112495735596,34.518742471854935,660
Q8WXG9,segment,Extracellular/Lumenal,0.0,5879,0.03608223893752288,211.26150897919646,5855
Q8WXG9,segment,Extracellular/Lumenal,1.0,19,,,0
Q8WXG9,segment,Extracellular/Lumenal,2.0,28,0.0,0.0,4
Q8WXG9,segment,Extracellular/Lumenal,3.0,8,,,0
P11362,segment,Extracellular/Lumenal,0.0,355,0.059622801129872845,19.735147173987915,331
P40967,segment,Extracellular/Lumenal,0.0,126,0.017445937689253184,1.7794856443038247,102
P07766,segment,Extracellular/Lumenal,0.0,104,0.0,0.0,80
P20963,segment,Extracellular/Lumenal,0.0,9,,,0
P04626,segment,Extracellular/Lumenal,0.0,630,0.05528418100309007,33.50221368787258,606
O75460,segment,Extracellular/Lumenal,0.0,425,0.04663613071904297,18.70108841833623,401
P35968,segment,Extracellular/Lumenal,0.0,745,0.018834994225885783,13.58003083686365,721
Q12879,segment,Extracellular/Lumenal,0.0,534,0.0,0.0,510
Q12879,segment,Extracellular/Lumenal,1.0,168,0.16242262537631408,23.388858054189228,144
Q86WV6,segment,Extracellular/Lumenal,0.0,10,,,0
Q86WV6,segment,Extracellular/Lumenal,1.0,10,,,0
P07949,segment,Extracellular/Lumenal,0.0,607,0.12500040808906454,72.87523791592463,583
P08908,segment,Extracellular/Lumenal,0.0,38,2.097028130005107,29.358393820071495,14
P08908,segment,Extracellular/Lumenal,1.0,9,,,0
P08908,segment,Extracellular/Lumenal,2.0,19,,,0
P08908,segment,Extracellular/Lumenal,3.0,8,,,0
P01857,segment,Extracellular/Lumenal,0.0,330,0.0645055082557227,19.738685526251146,306
Q7Z3C6,segment,Extracellular/Lumenal,0.0,44,0.0,0.0,20
Q7Z3C6,segment,Extracellular/Lumenal,1.0,9,,,0
O75581,segment,Extracellular/Lumenal,0.0,1351,0.04042906247029878,53.64936589808649,1327
P63027,segment,Extracellular/Lumenal,0.0,2,,,0
Q04671,segment,Extracellular/Lumenal,0.0,133,0.0008968842924020624,0.09776038787182481,109
Q04671,segment,Extracellular/Lumenal,1.0,14,,,0
Q04671,segment,Extracellular/Lumenal,2.0,73,0.021244380574777323,1.040974648164089,49
Q04671,segment,Extracellular/Lumenal,3.0,10,,,0
Q04671,segment,Extracellular/Lumenal,4.0,24,,,0
Q04671,segment,Extracellular/Lumenal,5.0,40,0.0,0.0,16
Q14BN4,segment,Extracellular/Lumenal,0.0,5,,,0
P15529,segment,Extracellular/Lumenal,0.0,309,0.1149100463724345,32.749363216143834,285
Q8TEM1,segment,Extracellular/Lumenal,0.0,1782,0.03190592946604792,56.09062400131225,1758
P00533,segment,Extracellular/Lumenal,0.0,621,0.07082485281627095,42.282437131313756,597
P21802,segment,Extracellular/Lumenal,0.0,356,0.03765400247138252,12.501128820498998,332
P08247,segment,Extracellular/Lumenal,0.0,57,0.0,0.0,33
P08247,segment,Extracellular/Lumenal,1.0,38,0.0,0.0,14
Q14739,segment,Extracellular/Lumenal,0.0,211,0.03164060765966279,5.916793632356942,187
P29317,segment,Extracellular/Lumenal,0.0,514,0.08630843676200169,42.29113401338082,490
P17948,segment,Extracellular/Lumenal,0.0,732,0.019903012749956473,14.091333026969183,708
P05556,segment,Extracellular/Lumenal,0.0,708,0.12168213030560049,83.23057712903073,684
P10747,segment,Extracellular/Lumenal,0.0,134,0.026421259427939683,2.906338537073365,110
Q16635,segment,Extracellular/Lumenal,0.0,14,,,0
Q16635,segment,Extracellular/Lumenal,1.0,227,0.0,0.0,203
P61073,segment,Extracellular/Lumenal,0.0,38,0.0,0.0,14
P61073,segment,Extracellular/Lumenal,1.0,11,,,0
P61073,segment,Extracellular/Lumenal,2.0,21,,,0
P61073,segment,Extracellular/Lumenal,3.0,21,,,0
Q15303,segment,Extracellular/Lumenal,0.0,626,0.09238088364284955,55.61329195299542,602
O00254,segment,Extracellular/Lumenal,0.0,56,0.0,0.0,32
O00254,segment,Extracellular/Lumenal,1.0,19,,,0
O00254,segment,Extracellular/Lumenal,2.0,30,0.0,0.0,6
O00254,segment,Extracellular/Lumenal,3.0,14,,,0
Q9Y624,segment,Extracellular/Lumenal,0.0,211,0.3452793210796722,64.5672330418987,187
P31645,segment,Extracellular/Lumenal,0.0,3,,,0
P31645,segment,Extracellular/Lumenal,1.0,66,0.0,0.0,42
P31645,segment,Extracellular/Lumenal,2.0,27,0.0,0.0,3
P31645,segment,Extracellular/Lumenal,3.0,41,0.0,0.0,17
P31645,segment,Extracellular/Lumenal,4.0,11,,,0
P31645,segment,Extracellular/Lumenal,5.0,16,,,0
P49146,segment,Extracellular/Lumenal,0.0,45,0.0,0.0,21
P49146,segment,Extracellular/Lumenal,1.0,6,,,0
P49146,segment,Extracellular/Lumenal,2.0,27,0.0,0.0,3
P49146,segment,Extracellular/Lumenal,3.0,9,,,0
P15954,segment,Extracellular/Lumenal,0.0,17,,,0
P15954,segment,Extracellular/Lumenal,1.0,3,,,0
P13569,segment,Extracellular/Lumenal,0.0,24,,,0
P13569,segment,Extracellular/Lumenal,1.0,6,,,0
P13569,segment,Extracellular/Lumenal,2.0,20,,,0
P13569,segment,Extracellular/Lumenal,3.0,39,1.0469058195061334,15.703587292592001,15
P13569,segment,Extracellular/Lumenal,4.0,2,,,0
P13569,segment,Extracellular/Lumenal,5.0,14,,,0
P15941,concatenated,Cytoplasmic,,74,1.470104336537255,73.50521682686275,50
Q7Z434,concatenated,Cytoplasmic,,512,0.33106976975381286,161.56204763986065,488
Q9BR39,concatenated,Cytoplasmic,,674,0.4256094697067214,276.6461553093689,650
O43561,concatenated,Cytoplasmic,,235,0.3915230130177132,82.61135574673749,211
P31431,concatenated,Cytoplasmic,,28,0.0,0.0,4
O75445,concatenated,Cytoplasmic,,139,0.14707703790254775,16.91385935879299,115
Q9UM73,concatenated,Cytoplasmic,,561,0.1194006512465322,64.11814971938779,537
Q9H461,concatenated,Cytoplasmic,,155,1.9215504002670114,251.72310243497856,131
O14763,concatenated,Cytoplasmic,,209,0.11425188515274033,21.136598753256962,185
P46531,concatenated,Cytoplasmic,,799,0.2507917912738868,194.36363823726228,775
Q8N114,concatenated,Cytoplasmic,,114,0.5443553955879605,48.991985602916444,90
Q07065,concatenated,Cytoplasmic,,106,0.8976193124447374,73.60478362046847,82
P08172,concatenated,Cytoplasmic,,239,0.4017281415457316,86.3715504323323,215
Q08345,concatenated,Cytoplasmic,,475,0.07864262084693918,35.46782200196957,451
O60500,concatenated,Cytoplasmic,,166,0.06936197234519696,9.849400073017968,142
P05067,concatenated,Cytoplasmic,,48,0.011641364043656352,0.27939273704775247,24
Q8WXG9,concatenated,Cytoplasmic,,196,0.5858569741331275,100.76739955089793,172
P11362,concatenated,Cytoplasmic,,425,0.06285995359304117,25.206841390809508,401
P40967,concatenated,Cytoplasmic,,45,0.0,0.0,21
P07766,concatenated,Cytoplasmic,,55,0.13657167777735946,4.233722011098143,31
P20963,concatenated,Cytoplasmic,,113,0.20772780144426956,18.48777432853999,89
P04626,concatenated,Cytoplasmic,,580,0.095235083083909,52.95070619465341,556
O75460,concatenated,Cytoplasmic,,513,0.148726458503951,72.72723820843204,489
P35968,concatenated,Cytoplasmic,,571,0.11561957942203296,63.24390994385204,547
Q12879,concatenated,Cytoplasmic,,663,0.20321671964684893,129.85548385433646,639
Q86WV6,concatenated,Cytoplasmic,,284,0.009292752696111361,2.416115700988954,260
P07949,concatenated,Cytoplasmic,,457,0.22049379787189147,95.47381447852901,433
P08908,concatenated,Cytoplasmic,,183,0.15137470832522412,24.068578623710636,159
Q7Z3C6,concatenated,Cytoplasmic,,653,0.13625669513812935,85.70546124188337,629
O75581,concatenated,Cytoplasmic,,220,1.2153542083745559,238.20942484141295,196
P63027,concatenated,Cytoplasmic,,93,0.03425743952051159,2.3637633269153,69
Q04671,concatenated,Cytoplasmic,,339,0.17022445394935312,53.620702994046226,315
Q14BN4,concatenated,Cytoplasmic,,802,0.029758347847266563,23.151994625173387,778
P15529,concatenated,Cytoplasmic,,26,0.0,0.0,2
Q8TEM1,concatenated,Cytoplasmic,,58,0.16935626143902274,5.758112888926774,34
P00533,concatenated,Cytoplasmic,,542,0.10240159535716993,53.04402639501402,518
P21802,concatenated,Cytoplasmic,,423,0.09956175472519814,39.72514013535406,399
P08247,concatenated,Cytoplasmic,,122,1.7718205731470031,173.6384161684063,98
P29317,concatenated,Cytoplasmic,,418,0.013453165217713395,5.300547095779079,394
P17948,concatenated,Cytoplasmic,,558,0.06609637367019584,35.29546353988458,534
P05556,concatenated,Cytoplasmic,,47,0.08658099328486085,1.9913628455517995,23
P10747,concatenated,Cytoplasmic,,41,0.0,0.0,17
P61073,concatenated,Cytoplasmic,,113,0.14112173385946733,12.559834313492592,89
Q15303,concatenated,Cytoplasmic,,633,0.0893332008798372,54.40391933582086,609
O00254,concatenated,Cytoplasmic,,55,0.0,0.0,31
Q9Y624,concatenated,Cytoplasmic,,40,0.05561108023026195,0.8897772836841912,16
P31645,concatenated,Cytoplasmic,,208,0.27027173700468915,49.729999608862805,184
P49146,concatenated,Cytoplasmic,,112,0.020633912638566034,1.815784312193811,88
P13569,concatenated,Cytoplasmic,,1122,0.03382785840252433,37.14298852597171,1098
Q03135,concatenated,Cytoplasmic,,156,0.006705830600052033,0.8851696392068683,132
P15941,concatenated,Transmembrane,,23,,,0
Q7Z434,concatenated,Transmembrane,,21,,,0
Q9BR39,concatenated,Transmembrane,,21,,,0
O43561,concatenated,Transmembrane,,23,,,0
P31431,concatenated,Transmembrane,,25,0.0,0.0,1
O75445,concatenated,Transmembrane,,21,,,0
Q9UM73,concatenated,Transmembrane,,21,,,0
Q9H461,concatenated,Transmembrane,,147,0.0,0.0,123
O14763,concatenated,Transmembrane,,21,,,0
P46531,concatenated,Transmembrane,,21,,,0
Q8N114,concatenated,Transmembrane,,21,,,0
Q07065,concatenated,Transmembrane,,21,,,0
P08172,concatenated,Transmembrane,,173,0.0,0.0,149
Q08345,concatenated,Transmembrane,,21,,,0
O60500,concatenated,Transmembrane,,21,,,0
P05067,concatenated,Transmembrane,,21,,,0
