UniProt_ID,region,n_residues,score
O60500,Transmembrane,21,0.2904247845002243
O60500,Extracellular/Lumenal,1032,0.3249462719167124
P46531,Cytoplasmic,799,0.6925294405654248
P46531,Transmembrane,21,0.07775158127165925
P46531,Extracellular/Lumenal,1717,0.25016883382931426
P49146,Cytoplasmic,112,0.5071766144473804
P49146,Transmembrane,182,0.07196455063356935
P49146,Extracellular/Lumenal,87,0.5355411086824429
Q9UM73,Cytoplasmic,561,0.6760814894007943
Q9UM73,Transmembrane,21,0.22372074708279993
Q9UM73,Extracellular/Lumenal,1020,0.24751140101670954
Q08345,Cytoplasmic,475,0.3651774679870013
Q08345,Transmembrane,21,0.13291176513132635
Q08345,Extracellular/Lumenal,397,0.3417257580730109
O75460,Cytoplasmic,513,0.7817896866585816
O75460,Transmembrane,21,0.09417574306998402
O75460,Extracellular/Lumenal,425,0.39818071325422677
P00533,Cytoplasmic,542,0.814073027987102
P00533,Transmembrane,23,0.13656105645191122
P00533,Extracellular/Lumenal,621,0.6325943310577309
P08247,Cytoplasmic,122,0.6998067563418324
P08247,Transmembrane,96,0.09739536276238867
P13569,Cytoplasmic,1122,0.6933233108267658
P13569,Transmembrane,253,0.07478777306605541
P13569,Extracellular/Lumenal,105,0.09661325837277575
P17948,Cytoplasmic,558,0.8135353903058284
P17948,Transmembrane,22,0.03908728272577562
P17948,Extracellular/Lumenal,732,0.8093932077744135
P40967,Cytoplasmic,45,0.15178969303030054
P40967,Transmembrane,21,0.1048209219104127
P40967,Extracellular/Lumenal,126,0.20202058630641212
Q04671,Cytoplasmic,339,0.17990295331115363
Q04671,Transmembrane,205,0.06958349983958348
Q04671,Extracellular/Lumenal,294,0.2396736097989462
P01857,Cytoplasmic,28,0.30340216436604883
P01857,Transmembrane,21,0.17536193221041554
P01857,Extracellular/Lumenal,350,0.35069063896803
Q14BN4,Cytoplasmic,802,0.6305998905821837
Q14BN4,Transmembrane,21,0.1496479327736612
P10747,Cytoplasmic,41,0.3867483023072016
P10747,Transmembrane,27,0.1273939819807759
P10747,Extracellular/Lumenal,134,0.3306079204197728
P15941,Cytoplasmic,74,0.5205990670450372
P15941,Transmembrane,23,0.1060894465365108
P15941,Extracellular/Lumenal,1135,0.6755132118137289
Q8N114,Cytoplasmic,114,0.1602821364149104
Q8N114,Transmembrane,21,0.2525829753409531
Q8N114,Extracellular/Lumenal,77,0.22102362076500062
P11362,Cytoplasmic,425,0.8286683840962497
P11362,Transmembrane,21,0.22996484833600261
P11362,Extracellular/Lumenal,355,0.5980636168251698
Q7Z434,Cytoplasmic,512,0.3463758810803603
Q7Z434,Transmembrane,21,0.10072166762791858
P05556,Cytoplasmic,47,0.7425137148982526
P05556,Transmembrane,23,0.203117964369817
P05556,Extracellular/Lumenal,708,0.7382608942807223
P05067,Cytoplasmic,48,0.5977664181215524
P05067,Transmembrane,21,0.31908347082067356
P05067,Extracellular/Lumenal,684,0.7935190669840052
P21802,Cytoplasmic,423,0.8565155291524862
P21802,Transmembrane,21,0.23022909479427722
P21802,Extracellular/Lumenal,356,0.6500950117594888
P15529,Cytoplasmic,26,0.6283890321182278
P15529,Transmembrane,23,0.30900589177325727
P15529,Extracellular/Lumenal,309,0.6462263328966088
