UniProt_ID,region,seg_idx,start,end,n_residues,score
P10747,Cytoplasmic,0,180,220,41,0.38630316
P61073,Cytoplasmic,1,131,154,24,0.47872767
P11362,Cytoplasmic,0,398,822,425,0.17281416
P13569,Cytoplasmic,4,940,990,51,0.16181767
P07949,Cytoplasmic,0,658,1114,457,0.99078447
Q07065,Cytoplasmic,0,1,106,106,0.06292948
Q15303,Cytoplasmic,0,676,1308,633,0.9289066
O00254,Cytoplasmic,0,121,128,8,0.2776843
P13569,Cytoplasmic,5,1035,1095,61,0.0038507457
P17948,Cytoplasmic,0,781,1338,558,0.660735
O60500,Cytoplasmic,0,1076,1241,166,0.015535377
P15941,Cytoplasmic,0,1182,1255,74,0.3220556
P61073,Cytoplasmic,2,217,241,25,0.06321465
Q03135,Cytoplasmic,0,2,104,103,0.2605726
Q9H461,Cytoplasmic,1,418,439,22,0.34169543
P13569,Cytoplasmic,3,359,858,500,0.0060477713
O75581,Cytoplasmic,0,1394,1613,220,0.07022797
P29317,Cytoplasmic,0,559,976,418,0.6562031
P13569,Cytoplasmic,0,1,77,77,0.0044042543
P08908,Cytoplasmic,2,217,346,130,0.7491815
Q04671,Cytoplasmic,4,665,679,15,0.13489255
P21802,Cytoplasmic,0,399,821,423,0.6584241
P01857,Cytoplasmic,0,372,399,28,0.35453856
P15529,Cytoplasmic,0,367,392,26,0.17959617
Q7Z3C6,Cytoplasmic,4,425,470,46,0.04543426
Q86WV6,Cytoplasmic,2,135,379,245,0.17851998
Q08345,Cytoplasmic,0,439,913,475,0.8228881
P13569,Cytoplasmic,2,244,298,55,0.14050354
P08908,Cytoplasmic,0,60,73,14,0.0654243
P31645,Cytoplasmic,6,596,630,35,0.08219846
P08247,Cytoplasmic,1,131,137,7,0.85396796
Q7Z3C6,Cytoplasmic,2,302,319,18,0.001280071
P31645,Cytoplasmic,0,1,87,87,0.34147468
Q9UM73,Cytoplasmic,0,1060,1620,561,0.2658173
P05556,Cytoplasmic,0,752,798,47,0.19116329
Q03135,Cytoplasmic,1,126,178,53,0.0073434785
Q04671,Cytoplasmic,1,348,353,6,0.22265217
Q04671,Cytoplasmic,0,1,179,179,0.002678318
Q7Z434,Cytoplasmic,0,2,513,512,0.5522675
Q86WV6,Transmembrane,0,18,34,17,0.034215372
P31645,Transmembrane,5,325,347,23,0.0050493754
P07766,Transmembrane,0,127,152,26,0.039116178
Q9BR39,Transmembrane,0,675,695,21,0.039530016
P61073,Transmembrane,3,155,174,20,0.019957688
P31431,Transmembrane,0,146,170,25,0.052128594
Q14739,Transmembrane,4,386,406,21,0.014278261
Q04671,Transmembrane,3,385,401,17,0.14763033
P13569,Transmembrane,11,1131,1151,21,0.11417601
Q9H461,Transmembrane,4,484,504,21,0.09039761
Q12879,Transmembrane,0,557,576,20,0.017093515
O60733,Transmembrane,0,480,500,21,0.0224372
P13569,Transmembrane,7,919,939,21,0.024445597
P35968,Transmembrane,0,765,785,21,0.0510783
P31645,Transmembrane,2,161,186,26,0.21427968
O00254,Transmembrane,5,298,322,25,0.023730008
P31645,Transmembrane,9,495,516,22,0.015442242
P31645,Transmembrane,8,464,483,20,0.07221762
Q9H3U5,Transmembrane,2,113,133,21,0.124711014
Q9UJA2,Transmembrane,3,250,270,21,0.02539208
P04626,Transmembrane,0,653,675,23,0.06575133
P40967,Transmembrane,0,596,616,21,0.083432265
P08247,Transmembrane,3,200,223,24,0.035706528
P31645,Transmembrane,1,116,135,20,0.17826524
Q9H3U5,Transmembrane,11,418,438,21,0.039206345
Q9UJA2,Transmembrane,2,190,212,23,0.037016638
O00254,Transmembrane,6,337,361,25,0.09899102
Q9BRQ8,Transmembrane,0,7,27,21,0.091210425
Q9H461,Transmembrane,3,440,460,21,0.007592307
Q04671,Transmembrane,2,354,370,17,0.13139533
P13569,Transmembrane,6,859,879,21,0.012599943
O43561,Transmembrane,0,5,27,23,0.029914334
Q9UJA2,Transmembrane,1,133,153,21,0.24559376
Q14739,Transmembrane,0,212,232,21,0.025909698
P05067,Transmembrane,0,702,722,21,0.123157896
Q04671,Transmembrane,9,721,737,17,0.033017736
P49146,Transmembrane,0,46,73,28,0.021107981
Q9H461,Transmembrane,0,276,296,21,0.13806742
Q14739,Transmembrane,5,447,467,21,0.08534771
Q9H461,Transmembrane,2,397,417,21,0.061578453
P08172,Transmembrane,6,420,442,23,0.20076683
Q8NC56,Transmembrane,1,377,397,21,0.04694467
O00254,Transmembrane,3,207,230,24,0.027933095
P08908,Transmembrane,3,153,174,22,0.112729706
Q14BN4,Transmembrane,0,803,823,21,0.030494109
Q9H3U5,Transmembrane,1,83,103,21,0.010445521
P13569,Transmembrane,8,991,1011,21,0.0065073026
Q8TEM1,Transmembrane,0,1809,1829,21,0.09178712
P49146,Transmembrane,2,120,146,27,0.027800102
Q9H3U5,Transmembrane,10,392,412,21,0.22883861
P00533,Transmembrane,0,646,668,23,0.22069082
P08247,Transmembrane,2,138,161,24,0.084822625
P08172,Transmembrane,0,21,46,26,0.19366798
P46531,Transmembrane,0,1736,1756,21,0.07930927
Q9UJA2,Transmembrane,4,272,292,21,0.12972562
Q7Z3C6,Transmembrane,1,129,154,26,0.13847616
Q04671,Transmembrane,5,514,530,17,0.013014579
Q9Y624,Transmembrane,0,239,259,21,0.032686293
Q13021,Transmembrane,2,97,117,21,0.25703377
P08172,Transmembrane,2,93,119,27,0.08176421
P31645,Transmembrane,4,278,297,20,0.0050719255
Q04671,Transmembrane,8,680,696,17,0.12277869
P20963,Transmembrane,0,31,51,21,0.047484845
Q12879,Transmembrane,1,626,646,21,0.123066224
P15954,Transmembrane,0,34,60,27,0.012566438
P49146,Transmembrane,3,164,186,23,0.0466694
O14763,Transmembrane,0,211,231,21,0.16289148
P08247,Transmembrane,0,26,49,24,0.045202058
P31645,Transmembrane,3,253,271,19,0.02082547
O00254,Transmembrane,1,129,148,20,0.026521742
P49146,Transmembrane,1,87,113,27,0.187582
Q9H3U5,Transmembrane,0,39,59,21,0.046308767
P31645,Transmembrane,11,575,595,21,0.2112978
Q12879,Transmembrane,2,815,835,21,0.25710613
O00254,Transmembrane,2,168,189,22,0.32603616
Q13021,Transmembrane,0,22,42,21,0.005901458
Q9H3U5,Transmembrane,6,266,286,21,0.019110087
Q86WV6,Transmembrane,1,45,69,25,0.094404295
Q9H461,Transmembrane,5,533,553,21,0.033812236
P13569,Transmembrane,10,1096,1116,21,0.04855365
P08908,Transmembrane,6,379,403,25,0.08932795
Q7Z3C6,Transmembrane,0,62,84,23,0.031446744
Q14739,Transmembrane,3,326,346,21,0.03972718
Q13021,Transmembrane,1,59,79,21,0.04804211
Q8N114,Transmembrane,0,106,126,21,0.0983376
P13569,Transmembrane,1,123,146,24,0.053743124
P08172,Transmembrane,3,141,162,22,0.026874203
P08172,Transmembrane,1,61,85,25,0.15290473
Q9H3U5,Transmembrane,9,361,381,21,0.067121975
Q04671,Transmembrane,6,621,637,17,0.12332083
P61073,Transmembrane,0,39,63,25,0.089274354
Q9H3U5,Transmembrane,7,303,323,21,0.041185234
P08908,Transmembrane,1,74,98,25,0.22532456
Q13021,Transmembrane,3,131,151,21,0.21992736
P63027,Transmembrane,0,95,114,20,0.02359559
Q9UJA2,Transmembrane,0,109,129,21,0.1316936
Q04671,Transmembrane,7,648,664,17,0.030196736
O75460,Transmembrane,0,444,464,21,0.06512319
Q7Z3C6,Transmembrane,3,407,424,18,0.043914787
P10747,Transmembrane,0,153,179,27,0.025725087
P61073,Transmembrane,1,78,99,22,0.022367153
P11362,Transmembrane,0,377,397,21,0.38286585
P61073,Transmembrane,4,196,216,21,0.006620869
P13569,Transmembrane,4,299,319,21,0.41992372
Q14739,Transmembrane,6,481,501,21,0.010244292
Q04671,Transmembrane,11,818,834,17,0.05110852
P08172,Transmembrane,5,388,412,25,0.06355171
Q8NC56,Transmembrane,0,213,233,21,0.015300537
P07949,Transmembrane,0,636,657,22,0.10014566
Q07065,Transmembrane,0,107,127,21,0.04164466
O60733,Transmembrane,1,511,531,21,0.12135811
Q15303,Transmembrane,0,652,675,24,0.06309453
O00254,Transmembrane,0,95,120,26,0.005629721
P13569,Transmembrane,9,1014,1034,21,0.030346459
P13569,Transmembrane,5,340,358,19,0.015618501
Q04671,Transmembrane,10,761,777,17,0.014027478
P17948,Transmembrane,0,759,780,22,0.036933653
Q9H3U5,Transmembrane,4,170,191,22,0.13815144
Q14739,Transmembrane,2,299,319,21,0.032747395
O60500,Transmembrane,0,1055,1075,21,0.10087774
P15941,Transmembrane,0,1159,1181,23,0.012677133
P61073,Transmembrane,2,111,130,20,0.13546084
P61073,Transmembrane,5,242,261,20,0.0062158424
Q14739,Transmembrane,7,561,581,21,0.014083361
Q9H3U5,Transmembrane,3,135,155,21,0.02580375
O00254,Transmembrane,4,261,280,20,0.023746224
Q9H461,Transmembrane,1,313,333,21,0.051466405
P13569,Transmembrane,3,223,243,21,0.07460932
O75581,Transmembrane,0,1371,1393,23,0.074797116
P29317,Transmembrane,0,538,558,21,0.025705341
P49146,Transmembrane,5,268,292,25,0.0031126845
P08908,Transmembrane,5,347,370,24,0.027738225
P13569,Transmembrane,0,78,98,21,0.011270333
P08908,Transmembrane,2,108,132,25,0.06871899
P49146,Transmembrane,4,214,240,27,0.03881034
P08172,Transmembrane,4,183,207,25,0.1438984
Q04671,Transmembrane,4,424,440,17,0.095328525
P61073,Transmembrane,6,283,302,20,0.024890408
P21802,Transmembrane,0,378,398,21,0.064101145
P01857,Transmembrane,0,351,371,21,0.079533346
P15529,Transmembrane,0,344,366,23,0.051451564
Q14739,Transmembrane,1,258,278,21,0.0018579245
Q9H3U5,Transmembrane,5,213,233,21,0.31512284
P31645,Transmembrane,10,539,558,20,0.04872704
Q9H3U5,Transmembrane,8,331,351,21,0.075747564
Q86WV6,Transmembrane,2,92,106,15,0.0803889
Q08345,Transmembrane,0,418,438,21,0.05231915
P13569,Transmembrane,2,196,216,21,0.004160119
P31645,Transmembrane,7,422,443,22,0.28216192
P08908,Transmembrane,0,39,59,21,0.31242663
P31645,Transmembrane,6,361,380,20,0.30472666
P08247,Transmembrane,1,107,130,24,0.11231701
Q7Z3C6,Transmembrane,2,372,397,26,0.21611607
P08908,Transmembrane,4,194,216,23,0.11431005
Q86WV6,Transmembrane,3,117,134,18,0.079385504
P31645,Transmembrane,0,88,112,25,0.012973361
Q9UM73,Transmembrane,0,1039,1059,21,0.16198453
P05556,Transmembrane,0,729,751,23,0.03184005
Q04671,Transmembrane,1,331,347,17,0.08513947
Q9H461,Transmembrane,6,585,605,21,0.019681145
Q04671,Transmembrane,0,180,197,18,0.10650651
Q7Z434,Transmembrane,0,514,534,21,0.04568311
P49146,Transmembrane,6,302,326,25,0.09147362
Q86WV6,Extracellular/Lumenal,0,35,44,10,0.12671635
P07766,Extracellular/Lumenal,0,23,126,104,0.6594209
P61073,Extracellular/Lumenal,3,262,282,21,0.008865071
P31431,Extracellular/Lumenal,0,19,145,127,0.021162357
Q04671,Extracellular/Lumenal,3,638,647,10,0.07880134
Q12879,Extracellular/Lumenal,0,23,556,534,0.89807415
P35968,Extracellular/Lumenal,0,20,764,745,0.16298911
P31645,Extracellular/Lumenal,2,381,421,41,0.15397938
P04626,Extracellular/Lumenal,0,23,652,630,0.26489484
P40967,Extracellular/Lumenal,0,470,595,126,0.04636535
P31645,Extracellular/Lumenal,1,298,324,27,0.0045105787
Q9H461,Extracellular/Lumenal,3,554,584,31,0.040843554
Q04671,Extracellular/Lumenal,2,441,513,73,0.042158574
P05067,Extracellular/Lumenal,0,18,701,684,0.60865927
P49146,Extracellular/Lumenal,0,1,45,45,0.16257106
Q9H461,Extracellular/Lumenal,0,28,275,248,0.0051736734
Q9H461,Extracellular/Lumenal,2,461,483,23,0.028757662
O00254,Extracellular/Lumenal,3,323,336,14,0.42256394
P08908,Extracellular/Lumenal,3,371,378,8,0.04407469
Q14BN4,Extracellular/Lumenal,0,824,828,5,0.10760584
Q8TEM1,Extracellular/Lumenal,0,27,1808,1782,0.0898286
P49146,Extracellular/Lumenal,2,187,213,27,0.004923652
P00533,Extracellular/Lumenal,0,25,645,621,0.5794575
P08172,Extracellular/Lumenal,0,1,20,20,0.22681412
P46531,Extracellular/Lumenal,0,19,1735,1717,0.018839102
Q7Z3C6,Extracellular/Lumenal,1,398,406,9,0.13275681
Q04671,Extracellular/Lumenal,5,778,817,40,0.02486927
Q9Y624,Extracellular/Lumenal,0,28,238,211,0.6614482
P08172,Extracellular/Lumenal,2,163,182,20,0.019781364
P31645,Extracellular/Lumenal,4,559,574,16,0.004189028
P20963,Extracellular/Lumenal,0,22,30,9,0.03104874
Q12879,Extracellular/Lumenal,1,647,814,168,0.18370983
P49146,Extracellular/Lumenal,3,293,301,9,0.04886528
O14763,Extracellular/Lumenal,0,56,210,155,0.04058793
P31645,Extracellular/Lumenal,3,484,494,11,0.12366185
O00254,Extracellular/Lumenal,1,149,167,19,0.02693744
P49146,Extracellular/Lumenal,1,114,119,6,0.3076381
O00254,Extracellular/Lumenal,2,231,260,30,0.0038917388
Q86WV6,Extracellular/Lumenal,1,107,116,10,0.10776724
Q7Z3C6,Extracellular/Lumenal,0,85,128,44,0.02704888
Q8N114,Extracellular/Lumenal,0,29,105,77,0.022667063
P13569,Extracellular/Lumenal,1,217,222,6,0.12149151
P08172,Extracellular/Lumenal,3,413,419,7,0.14801142
P08172,Extracellular/Lumenal,1,86,92,7,0.018380105
P61073,Extracellular/Lumenal,0,1,38,38,0.2940547
P08908,Extracellular/Lumenal,1,99,107,9,0.050099302
O75460,Extracellular/Lumenal,0,19,443,425,0.01987874
P10747,Extracellular/Lumenal,0,19,152,134,0.12061318
P61073,Extracellular/Lumenal,1,100,110,11,0.060187526
P11362,Extracellular/Lumenal,0,22,376,355,0.17344974
P13569,Extracellular/Lumenal,4,1117,1130,14,0.1638784
P07949,Extracellular/Lumenal,0,29,635,607,0.28648275
Q07065,Extracellular/Lumenal,0,128,602,475,0.45203647
Q15303,Extracellular/Lumenal,0,26,651,626,0.64207304
O00254,Extracellular/Lumenal,0,39,94,56,0.2209754
P17948,Extracellular/Lumenal,0,27,758,732,0.9555418
O60500,Extracellular/Lumenal,0,23,1054,1032,0.10150363
P15941,Extracellular/Lumenal,0,24,1158,1135,0.38538748
P61073,Extracellular/Lumenal,2,175,195,21,0.15877785
Q9H461,Extracellular/Lumenal,1,334,396,63,0.07098575
P13569,Extracellular/Lumenal,3,880,918,39,0.010915214
O75581,Extracellular/Lumenal,0,20,1370,1351,0.39699247
P29317,Extracellular/Lumenal,0,24,537,514,0.26542768
P13569,Extracellular/Lumenal,0,99,122,24,0.049607445
P08908,Extracellular/Lumenal,2,175,193,19,0.28678003
Q04671,Extracellular/Lumenal,4,697,720,24,0.05249838
P21802,Extracellular/Lumenal,0,22,377,356,0.40644175
P01857,Extracellular/Lumenal,0,1,350,350,0.2742156
P15529,Extracellular/Lumenal,0,35,343,309,0.079394735
Q08345,Extracellular/Lumenal,0,21,417,397,0.2711634
P13569,Extracellular/Lumenal,2,320,339,20,0.032853484
P08908,Extracellular/Lumenal,0,1,38,38,0.28192586
P31645,Extracellular/Lumenal,0,187,252,66,0.045171686
Q9UM73,Extracellular/Lumenal,0,19,1038,1020,0.0833438
P05556,Extracellular/Lumenal,0,21,728,708,0.57148445
Q04671,Extracellular/Lumenal,1,371,384,14,0.13199909
Q04671,Extracellular/Lumenal,0,198,330,133,0.008053588
