tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
P15954,-8.0,-1.0,-8.0,-11.0,-7.0,-6.0,-15.0,-1.0,-57.0
P17948,-10.0,-4.0,-12.0,-14.0,-8.0,-7.0,-18.0,-10.0,-83.0
P20963,-9.0,-5.0,-15.0,-12.0,-9.0,-5.0,-15.0,-6.0,-76.0
P21802,-13.0,-11.0,-10.0,-10.0,-13.0,-7.0,-17.0,-1.0,-82.0
P29317,-1.0,5.0,-11.0,-5.0,-5.0,-8.0,-10.0,-2.0,-37.0
P31431,-7.0,-2.0,-15.0,-13.0,-7.0,-3.0,-18.0,-8.0,-73.0
P31645,-92.0,-65.0,-109.0,-121.0,-148.0,-54.0,-147.0,-11.0,-747.0
P35968,-11.0,-4.0,-11.0,-11.0,-9.0,-5.0,-16.0,-5.0,-72.0
P40967,-9.0,-1.0,-11.0,-12.0,-4.0,-6.0,-17.0,-6.0,-66.0
P46531,-3.0,-3.0,-9.0,-2.0,-13.0,-2.0,-13.0,-1.0,-46.0
P49146,-60.0,-30.0,-78.0,-103.0,-71.0,-59.0,-118.0,-35.0,-554.0
P61073,-74.0,-48.0,-65.0,-95.0,-90.0,-40.0,-86.0,-20.0,-518.0
P63027,-13.0,-10.0,-13.0,-13.0,-14.0,-4.0,-16.0,-2.0,-85.0
Q04671,-59.0,-15.0,-104.0,-91.0,-95.0,-81.0,-138.0,-77.0,-660.0
Q07065,0.0,-2.0,-11.0,-2.0,-8.0,-2.0,-9.0,-6.0,-40.0
Q08345,-9.0,3.0,-14.0,-15.0,-4.0,-3.0,-17.0,-9.0,-68.0
Q12879,-21.0,-18.0,-16.0,-10.0,-36.0,-11.0,-43.0,7.0,-148.0
Q13021,-34.0,-21.0,-41.0,-46.0,-36.0,-18.0,-57.0,-6.0,-259.0
Q14739,-66.0,-36.0,-71.0,-95.0,-62.0,-25.0,-85.0,-24.0,-464.0
Q14BN4,-2.0,-5.0,-6.0,-6.0,-7.0,-3.0,-10.0,0.0,-39.0
Q15303,-6.0,-4.0,-12.0,-11.0,-18.0,-8.0,-15.0,-2.0,-76.0
Q7Z3C6,-30.0,-20.0,-41.0,-56.0,-49.0,-24.0,-52.0,-17.0,-289.0
Q7Z434,-5.0,-2.0,-6.0,-9.0,-7.0,-10.0,-15.0,-7.0,-61.0
Q86WV6,-8.0,10.0,-34.0,-38.0,-4.0,-21.0,-42.0,-34.0,-171.0
Q8N114,-8.0,-7.0,-8.0,-11.0,-12.0,-9.0,-14.0,-3.0,-72.0
Q8NC56,-16.0,0.0,-27.0,-26.0,-6.0,-9.0,-34.0,-21.0,-139.0
Q8TEM1,-5.0,-2.0,-9.0,-6.0,-9.0,0.0,-14.0,-1.0,-46.0
Q8WXG9,-61.0,-26.0,-77.0,-91.0,-58.0,-45.0,-95.0,-34.0,-487.0
Q9BR39,-11.0,-4.0,-13.0,-10.0,-6.0,-3.0,-16.0,-7.0,-70.0
Q9BRQ8,5.0,4.0,2.0,3.0,-12.0,-1.0,-4.0,0.0,-3.0
Q9H3U5,-67.0,-21.0,-106.0,-128.0,-95.0,-56.0,-139.0,-43.0,-655.0
Q9H461,-67.0,-38.0,-67.0,-83.0,-82.0,-44.0,-100.0,-14.0,-495.0
Q9UJA2,-31.0,-26.0,-44.0,-39.0,-58.0,-34.0,-62.0,-12.0,-306.0
Q9UM73,-3.0,3.0,-5.0,-7.0,-9.0,-6.0,-12.0,0.0,-39.0
Q9Y624,-10.0,1.0,-11.0,-12.0,-9.0,-7.0,-15.0,-7.0,-70.0
