tag,protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
P13569|tm|seg5,-6.0,-6.0,-3.0,-8.0,-8.0,-5.0,-7.0,3.0,-40.0
P13569|tm|seg6,-8.0,-5.0,-10.0,-10.0,-10.0,-3.0,-14.0,-4.0,-64.0
P13569|tm|seg7,2.0,2.0,-5.0,-5.0,-3.0,-6.0,-8.0,-4.0,-27.0
P13569|tm|seg8,-8.0,-9.0,-9.0,-11.0,-13.0,-3.0,-14.0,-1.0,-68.0
P13569|tm|seg9,-11.0,-12.0,-7.0,-9.0,-14.0,-2.0,-13.0,2.0,-66.0
P15529|tm|seg0,-14.0,-17.0,-9.0,-13.0,-18.0,-9.0,-16.0,1.0,-95.0
P15941|tm|seg0,-7.0,-4.0,-12.0,-13.0,-9.0,-8.0,-17.0,-7.0,-77.0
P15954|tm|seg0,-8.0,-1.0,-8.0,-11.0,-7.0,-6.0,-15.0,-1.0,-57.0
P17948|tm|seg0,-10.0,-4.0,-12.0,-14.0,-8.0,-7.0,-18.0,-10.0,-83.0
P20963|tm|seg0,-9.0,-5.0,-15.0,-12.0,-9.0,-5.0,-15.0,-6.0,-76.0
P21802|tm|seg0,-13.0,-11.0,-10.0,-10.0,-13.0,-7.0,-17.0,-1.0,-82.0
P29317|tm|seg0,-1.0,5.0,-11.0,-5.0,-5.0,-8.0,-10.0,-2.0,-37.0
P31431|tm|seg0,-7.0,-2.0,-15.0,-13.0,-7.0,-3.0,-18.0,-8.0,-73.0
P31645|tm|seg0,-7.0,-7.0,-10.0,-6.0,-9.0,-10.0,-8.0,0.0,-57.0
P31645|tm|seg1,-4.0,-3.0,-7.0,-11.0,-8.0,-3.0,-10.0,-2.0,-48.0
P31645|tm|seg10,-12.0,-8.0,-14.0,-15.0,-8.0,-4.0,-17.0,-3.0,-81.0
P31645|tm|seg11,-8.0,-3.0,-12.0,-14.0,-13.0,-6.0,-11.0,2.0,-65.0
P31645|tm|seg2,-10.0,-12.0,-14.0,-7.0,-18.0,-8.0,-17.0,4.0,-82.0
P31645|tm|seg3,-11.0,-7.0,-9.0,-11.0,-9.0,-1.0,-14.0,2.0,-60.0
P31645|tm|seg4,-11.0,-7.0,-8.0,-11.0,-7.0,-3.0,-12.0,0.0,-59.0
P31645|tm|seg5,5.0,2.0,-7.0,-4.0,-9.0,-4.0,-7.0,0.0,-24.0
P31645|tm|seg6,-10.0,-1.0,-5.0,-10.0,-4.0,-8.0,-12.0,4.0,-46.0
P31645|tm|seg7,-4.0,-1.0,-8.0,-10.0,-12.0,-2.0,-13.0,-5.0,-55.0
P31645|tm|seg8,-9.0,-5.0,-8.0,-15.0,-9.0,-7.0,-13.0,0.0,-66.0
P31645|tm|seg9,-4.0,-6.0,-6.0,0.0,-13.0,-7.0,-13.0,-4.0,-53.0
P35968|tm|seg0,-11.0,-4.0,-11.0,-11.0,-9.0,-5.0,-16.0,-5.0,-72.0
P40967|tm|seg0,-9.0,-1.0,-11.0,-12.0,-4.0,-6.0,-17.0,-6.0,-66.0
P46531|tm|seg0,-3.0,-3.0,-9.0,-2.0,-13.0,-2.0,-13.0,-1.0,-46.0
P49146|tm|seg0,-14.0,-4.0,-14.0,-17.0,-13.0,-8.0,-17.0,-4.0,-91.0
P49146|tm|seg1,-5.0,-6.0,-9.0,-14.0,-7.0,-7.0,-14.0,-9.0,-71.0
P49146|tm|seg2,-6.0,-5.0,-8.0,-8.0,-8.0,-12.0,-15.0,-4.0,-66.0
P49146|tm|seg3,-6.0,-4.0,-14.0,-9.0,-8.0,-6.0,-16.0,-7.0,-70.0
P49146|tm|seg4,-9.0,6.0,-14.0,-20.0,-8.0,-10.0,-18.0,2.0,-71.0
P49146|tm|seg5,-8.0,-9.0,-5.0,-11.0,-10.0,-8.0,-17.0,0.0,-68.0
P49146|tm|seg6,-12.0,-9.0,-10.0,-12.0,-9.0,-4.0,-16.0,1.0,-71.0
P61073|tm|seg0,-12.0,-2.0,-10.0,-20.0,-11.0,-6.0,-12.0,-3.0,-76.0
P61073|tm|seg1,-5.0,-8.0,-5.0,-8.0,-9.0,-5.0,-11.0,-4.0,-55.0
P61073|tm|seg2,-12.0,-8.0,-8.0,-11.0,-10.0,-7.0,-15.0,3.0,-68.0
P61073|tm|seg3,-11.0,-8.0,-12.0,-10.0,-11.0,-2.0,-11.0,-1.0,-66.0
P61073|tm|seg4,-11.0,-9.0,-6.0,-12.0,-9.0,-3.0,-12.0,2.0,-60.0
P61073|tm|seg5,-11.0,-7.0,-12.0,-10.0,-11.0,-6.0,-12.0,-3.0,-72.0
P61073|tm|seg6,-8.0,-6.0,-10.0,-10.0,-8.0,-4.0,-11.0,-8.0,-65.0
P63027|tm|seg0,-13.0,-10.0,-13.0,-13.0,-14.0,-4.0,-16.0,-2.0,-85.0
Q04671|tm|seg0,-9.0,-2.0,-9.0,-10.0,-4.0,-2.0,-14.0,0.0,-50.0
Q04671|tm|seg1,-3.0,-5.0,-8.0,-5.0,-10.0,-6.0,-10.0,-2.0,-49.0
Q04671|tm|seg10,1.0,1.0,-6.0,-1.0,-4.0,-3.0,-5.0,-5.0,-22.0
Q04671|tm|seg11,-9.0,-4.0,-5.0,-6.0,-6.0,-7.0,-13.0,-2.0,-52.0
Q04671|tm|seg2,7.0,6.0,-4.0,1.0,-4.0,-3.0,-7.0,-3.0,-7.0
Q04671|tm|seg3,-2.0,5.0,-5.0,-5.0,-2.0,1.0,-9.0,-3.0,-20.0
Q04671|tm|seg4,-5.0,0.0,-7.0,-6.0,-5.0,-1.0,-12.0,-1.0,-37.0
Q04671|tm|seg5,-9.0,0.0,-11.0,-14.0,-5.0,-6.0,-12.0,-9.0,-66.0
Q04671|tm|seg6,-5.0,-2.0,-7.0,-9.0,-2.0,-1.0,-12.0,-4.0,-42.0
Q04671|tm|seg7,-3.0,-1.0,-10.0,-9.0,-7.0,-4.0,-9.0,-8.0,-51.0
Q04671|tm|seg8,-1.0,1.0,-6.0,-5.0,-1.0,3.0,-10.0,-5.0,-24.0
Q04671|tm|seg9,-5.0,-4.0,-5.0,-6.0,-9.0,-7.0,-11.0,0.0,-47.0
Q07065|tm|seg0,0.0,-2.0,-11.0,-2.0,-8.0,-2.0,-9.0,-6.0,-40.0
Q08345|tm|seg0,-9.0,3.0,-14.0,-15.0,-4.0,-3.0,-17.0,-9.0,-68.0
Q12879|tm|seg0,-11.0,-6.0,-4.0,-5.0,-14.0,-2.0,-16.0,4.0,-54.0
Q12879|tm|seg1,-9.0,-7.0,-6.0,-7.0,-11.0,-2.0,-14.0,4.0,-52.0
Q12879|tm|seg2,1.0,-1.0,-7.0,3.0,-6.0,-5.0,-11.0,0.0,-26.0
Q13021|tm|seg0,-9.0,-5.0,-14.0,-13.0,-7.0,2.0,-11.0,-3.0,-60.0
Q13021|tm|seg1,-11.0,-2.0,-10.0,-13.0,1.0,-4.0,-19.0,1.0,-57.0
Q13021|tm|seg2,-6.0,-2.0,-3.0,-5.0,-10.0,-8.0,-14.0,-1.0,-49.0
Q13021|tm|seg3,-7.0,-8.0,-11.0,-10.0,-10.0,-1.0,-14.0,-1.0,-62.0
Q14739|tm|seg0,-4.0,2.0,-14.0,-13.0,1.0,0.0,-10.0,-5.0,-43.0
Q14739|tm|seg1,-10.0,-4.0,-13.0,-15.0,-1.0,-2.0,-14.0,-4.0,-63.0
Q14739|tm|seg2,-4.0,1.0,-5.0,-7.0,-5.0,-5.0,-8.0,2.0,-31.0
Q14739|tm|seg3,-8.0,-6.0,-8.0,-10.0,-8.0,-7.0,-15.0,-2.0,-64.0
Q14739|tm|seg4,-9.0,0.0,-7.0,-15.0,-5.0,-7.0,-14.0,-7.0,-64.0
Q14739|tm|seg5,-5.0,-2.0,-9.0,-6.0,-5.0,0.0,-7.0,-3.0,-37.0
Q14739|tm|seg6,-7.0,0.0,-9.0,-10.0,-7.0,-7.0,-14.0,-3.0,-57.0
Q14739|tm|seg7,-7.0,-5.0,-12.0,-14.0,-8.0,-2.0,-13.0,0.0,-61.0
Q14BN4|tm|seg0,-2.0,-5.0,-6.0,-6.0,-7.0,-3.0,-10.0,0.0,-39.0
Q15303|tm|seg0,-6.0,-4.0,-12.0,-11.0,-18.0,-8.0,-15.0,-2.0,-76.0
Q7Z3C6|tm|seg0,-8.0,-6.0,-9.0,-11.0,-6.0,2.0,-13.0,-3.0,-54.0
Q7Z3C6|tm|seg1,-11.0,-11.0,-14.0,-18.0,-14.0,-7.0,-15.0,-2.0,-92.0
Q7Z3C6|tm|seg2,1.0,2.0,-13.0,-9.0,-8.0,-3.0,-12.0,-9.0,-51.0
Q7Z3C6|tm|seg3,-8.0,-4.0,-3.0,-12.0,-9.0,-11.0,-11.0,-2.0,-60.0
Q7Z434|tm|seg0,-5.0,-2.0,-6.0,-9.0,-7.0,-10.0,-15.0,-7.0,-61.0
Q86WV6|tm|seg0,-1.0,3.0,-4.0,-5.0,0.0,-3.0,-8.0,-4.0,-22.0
Q86WV6|tm|seg1,-2.0,9.0,-13.0,-12.0,2.0,-7.0,-12.0,-10.0,-45.0
Q86WV6|tm|seg2,-1.0,3.0,-6.0,-11.0,-2.0,-4.0,-8.0,0.0,-29.0
Q86WV6|tm|seg3,-1.0,4.0,-8.0,-5.0,1.0,-2.0,-10.0,-5.0,-26.0
Q8N114|tm|seg0,-8.0,-7.0,-8.0,-11.0,-12.0,-9.0,-14.0,-3.0,-72.0
Q8NC56|tm|seg0,-6.0,5.0,-13.0,-11.0,0.0,-5.0,-16.0,-11.0,-57.0
Q8NC56|tm|seg1,-9.0,-6.0,-16.0,-14.0,-6.0,-4.0,-16.0,-9.0,-80.0
Q8TEM1|tm|seg0,-5.0,-2.0,-9.0,-6.0,-9.0,0.0,-14.0,-1.0,-46.0
Q8WXG9|tm|seg0,-9.0,2.0,-11.0,-10.0,-7.0,-8.0,-12.0,-3.0,-58.0
Q8WXG9|tm|seg1,0.0,2.0,-4.0,-5.0,-3.0,-2.0,-12.0,-3.0,-27.0
Q8WXG9|tm|seg2,-9.0,-6.0,-8.0,-10.0,0.0,-3.0,-8.0,6.0,-38.0
Q8WXG9|tm|seg3,-8.0,0.0,-12.0,-15.0,-8.0,-4.0,-14.0,-4.0,-65.0
Q8WXG9|tm|seg4,-10.0,-9.0,-9.0,-14.0,-11.0,-7.0,-16.0,-3.0,-79.0
Q8WXG9|tm|seg5,-7.0,-1.0,-14.0,-12.0,-7.0,-8.0,-15.0,-7.0,-71.0
Q8WXG9|tm|seg6,-11.0,-5.0,-10.0,-11.0,-8.0,-2.0,-15.0,5.0,-57.0
Q9BR39|tm|seg0,-11.0,-4.0,-13.0,-10.0,-6.0,-3.0,-16.0,-7.0,-70.0
Q9BRQ8|tm|seg0,5.0,4.0,2.0,3.0,-12.0,-1.0,-4.0,0.0,-3.0
Q9H3U5|tm|seg0,-5.0,5.0,-5.0,-9.0,-1.0,-4.0,-13.0,-2.0,-34.0
Q9H3U5|tm|seg1,-8.0,-1.0,-11.0,-11.0,-8.0,-7.0,-8.0,0.0,-54.0
Q9H3U5|tm|seg10,-2.0,-1.0,-7.0,-3.0,-4.0,0.0,-12.0,2.0,-27.0
Q9H3U5|tm|seg11,-10.0,-2.0,-9.0,-13.0,-4.0,-4.0,-16.0,-2.0,-60.0
Q9H3U5|tm|seg2,-10.0,-9.0,-10.0,-8.0,-14.0,-2.0,-13.0,-1.0,-67.0
Q9H3U5|tm|seg3,1.0,7.0,-5.0,-7.0,-4.0,0.0,-5.0,-2.0,-15.0
Q9H3U5|tm|seg4,-1.0,2.0,-5.0,-5.0,-1.0,-4.0,-8.0,2.0,-20.0
Q9H3U5|tm|seg5,-5.0,2.0,-10.0,-9.0,-6.0,-6.0,-13.0,-7.0,-54.0
Q9H3U5|tm|seg6,-15.0,-15.0,-14.0,-11.0,-13.0,-5.0,-16.0,-1.0,-90.0
Q9H3U5|tm|seg7,-5.0,-6.0,-7.0,-9.0,-7.0,-8.0,-7.0,1.0,-48.0
Q9H3U5|tm|seg8,-6.0,-5.0,-5.0,-4.0,-7.0,-5.0,-14.0,-1.0,-47.0
Q9H3U5|tm|seg9,-5.0,-1.0,-8.0,-6.0,-5.0,-7.0,-13.0,-4.0,-49.0
Q9H461|tm|seg0,-14.0,-11.0,-10.0,-12.0,-12.0,-9.0,-18.0,0.0,-86.0
Q9H461|tm|seg1,-13.0,-7.0,-10.0,-13.0,-9.0,-7.0,-18.0,1.0,-76.0
Q9H461|tm|seg2,-9.0,-4.0,-8.0,-15.0,-10.0,-6.0,-14.0,3.0,-63.0
Q9H461|tm|seg3,-3.0,-2.0,-7.0,-5.0,-3.0,-6.0,-9.0,-5.0,-40.0
Q9H461|tm|seg4,-7.0,-3.0,-11.0,-12.0,-7.0,-4.0,-16.0,-4.0,-64.0
Q9H461|tm|seg5,-7.0,-8.0,-8.0,-9.0,-11.0,-7.0,-13.0,-3.0,-66.0
Q9H461|tm|seg6,-11.0,0.0,-6.0,-7.0,-7.0,1.0,-9.0,6.0,-33.0
Q9UJA2|tm|seg0,-6.0,0.0,-7.0,-6.0,-5.0,-7.0,-12.0,-3.0,-46.0
Q9UJA2|tm|seg1,2.0,2.0,-12.0,-5.0,-7.0,-4.0,-9.0,-7.0,-40.0
Q9UJA2|tm|seg2,-11.0,-10.0,-6.0,-7.0,-14.0,-5.0,-14.0,2.0,-65.0
Q9UJA2|tm|seg3,-4.0,-6.0,-9.0,-3.0,-9.0,-6.0,-10.0,3.0,-44.0
Q9UJA2|tm|seg4,-9.0,-8.0,-8.0,-2.0,-15.0,-8.0,-14.0,0.0,-64.0
Q9UM73|tm|seg0,-3.0,3.0,-5.0,-7.0,-9.0,-6.0,-12.0,0.0,-39.0
Q9Y624|tm|seg0,-10.0,1.0,-11.0,-12.0,-9.0,-7.0,-15.0,-7.0,-70.0
