UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,PSPire_includes_IDRs,PSPspredict_PDL,PSPspredict_catGRANULE,PSPspredict_PLAAC,PSPspredict_PScore,PSPspredict_ESpritz_DisProt,PSPspredict_SEG,PSPspredict_DeepPhase,PSPspredict_SaPS_10fea,PSPspredict_PdPS_10fea,PSPspredict_Psphunter,PSPspredict_PSPire
P31483,Cytotoxic granule associated RNA binding protein TIA1,TIA1,P-body; Stress granule,LLPSDB+PhasePDB,False,0.7380251392,0.8696296886,,0.956,0.9776422,Yes,0.9864977,0.882993865030674,0.995847956106964,0.983637747336377,4.9079754601227e-05,0.544932515337423,0.127654217373059,0.996858895705521,0.897766871165644,0.956,0.990926623344421
P46937,Transcriptional coactivator YAP1,YAP1 YAP65,Receptor cluster; Transcriptional condensate,PhasePDB,False,0.4691324681,0.5714579202,,0.901,0.9965744,Yes,0.95549864,0.572515337423312,0.98897731204587,0.859425962165688,0.73840490797546,0.787680981595092,0.301300881242131,0.998674846625766,0.943754601226993,0.901,0.997602343559265
Q01844,RNA-binding protein EWS,EWSR1 EWS,DNA damage foci,LLPSDB+PhasePDB,False,0.8869135789,0.9079434763,,0.98,0.9682558,Yes,0.9815244,0.996564417177914,0.998269981711235,0.997227658186562,0.907533742331288,0.991361963190184,0.924548887956357,0.988760736196319,0.919460122699386,0.98,0.974105834960937
Q15648,Mediator of RNA polymerase II transcription subunit 1,MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A,Mediator condensate; Nuclear speckle; Transcriptional condensate,LLPSDB+PhasePDB,False,0.7262434205,0.8054850253,,0.945,0.99256533,Yes,0.81578374,0.979779141104294,0.97375315110474,0.950369645575125,0.882699386503067,0.895411042944785,0.085606378514477,0.994601226993865,0.949791411042944,0.945,0.994213700294494
Q92804,TATA-binding protein-associated factor 2N,TAF15 RBP56 TAF2N,DNA damage foci; Nucleolus; Transcriptional condensate,PhasePDB,False,0.9215432682,0.9339185202,,0.97,0.99848807,Yes,0.9801819,0.999950920245398,0.998072265335376,1.0,0.938355828220859,0.993717791411043,0.566009232060428,0.995484662576687,0.977766871165644,0.97,0.998907208442688
Q9NQI0,Probable ATP-dependent RNA helicase DDX4,DDX4 VASA,Nuage; P granule,LLPSDB+PhasePDB,False,0.8217701461,0.8799896971000001,,0.881,0.8348505,Yes,0.96270967,0.984441717791411,0.81824922149177,0.992117851706892,0.848687116564417,0.458846625766871,,0.928392638036809,0.660220858895705,0.881,0.968909740447998
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1 HNRPA2B1,Nuclear speckle; Stress granule,LLPSDB+PhasePDB,False,0.8953593091000001,0.9215459274,,0.997,0.99977905,Yes,0.9878038,0.998625766871165,0.997330828925905,0.999565122852794,0.725251533742331,0.979828220858895,0.762652119177507,0.999950920245398,0.999067484662576,0.997,0.999659538269043
P24928,DNA-directed RNA polymerase II subunit RPB1,POLR2A POLR2,Nuclear speckle; Splicesome; Transcriptional condensate,LLPSDB+PhasePDB,False,0.8981064517,0.9692385905,0.015833333,0.956,0.7904207,Yes,0.9582403,0.89963190184049,0.982897533488211,0.994400956729723,0.810257668711656,0.886576687116564,0.711204364246747,0.997938650306748,0.971092024539877,0.956,0.998963356018066
P52948,Nuclear pore complex protein Nup98-Nup96,NUP98 ADAR2,Cytoplasmic Nucleoporin Granule; Nuclear body; Nuclear pore complex; Transcriptional condensate,PhasePDB,False,0.5318589719,0.7751263705,,0.968,0.99202645,Yes,0.78696555,0.959656441717791,0.976916613118481,0.986410089149815,4.9079754601227e-05,0.683582822085889,0.814351657574485,0.998134969325153,0.975165644171779,0.968,0.993070602416992
P04637,Cellular tumor antigen p53,TP53 P53,DNA damage foci; Nucleolus; Stress granule; Transcriptional condensate,LLPSDB+PhasePDB,False,0.3840000961,0.8876784508000001,0.009166667,0.963,0.9618738,Yes,0.5726422,0.403828220858895,0.732539172556967,0.762339639051967,0.858208588957055,0.500760736196319,0.32547209399916,0.875680981595092,0.945766871165644,0.963,0.982938587665558
Q14444,Caprin-1,CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105,P-body; RNP transport granule; Stress granule,PhasePDB,False,0.8545546902000001,0.9386520693,0.039166667,0.919,0.9971789,Yes,0.94154125,0.883926380368098,0.989422173891552,0.992389649923896,0.79003680981595,0.938110429447852,,0.995877300613496,0.985914110429447,0.919,0.99810916185379
O15169,Axin-1,AXIN1 AXIN,Centrosome; Destruction complex condensate; Wnt signalodroplet,PhasePDB,False,0.8160373434,0.7323096480000001,0.000833333,0.929,0.8545039,Yes,0.6556667,0.907288343558282,0.722949928327813,0.789899978256142,0.650601226993865,0.655754601226993,0.981032312211498,0.777717791411042,0.712490797546012,0.929,0.971771538257598
P29590,Protein PML,PML MYL PP8675 RNF71 TRIM19,Nuclear body; PML nuclear body; PML/RARα microspeckle,PhasePDB,False,0.6971524544000001,0.8250041916,,0.92,0.93921745,Yes,0.24838634,0.306159509202454,0.616677376303692,0.794031311154598,0.625423312883435,0.496932515337423,0.99446076374318,0.846184049079754,0.805006134969325,0.92,0.977119088172912
Q9UHD9,Ubiquilin-2,UBQLN2 N4BP4 PLIC2,Stress granule; UBQLN puncta,LLPSDB+PhasePDB,False,0.6253908781,0.5376817096000001,,0.944,0.97951585,Yes,0.97547764,0.672687116564417,0.975829173051257,0.909328114807566,0.649570552147239,0.96,0.604448174569869,0.979828220858895,0.849472392638036,0.944,0.989888966083526
Q9UN86,Ras GTPase-activating protein-binding protein 2,G3BP2 KIAA0660,P-body; Stress granule,PhasePDB,False,0.8885985074,0.9292310568,,0.963,0.947954,Yes,0.9802531,0.974331288343558,0.745341307893826,0.830017395085888,0.863803680981595,0.943312883435582,0.708015107007973,0.947239263803681,0.976441717791411,0.963,0.985348105430603
P22087,rRNA 2'-O-methyltransferase fibrillarin,FBL FIB1 FLRN,DNA damage foci; Nucleolus; ViPR body,PhasePDB,False,0.922365784,0.981088881,,0.964,0.9719213,Yes,0.9826853,0.996515337423312,0.978893776877069,0.998423570341378,0.622233128834355,0.894920245398773,0.982039446076374,0.956368098159509,0.964515337423312,0.964,0.989612758159637
P23246,"Splicing factor, proline- and glutamine-rich",SFPQ PSF,DNA damage foci; Nucleolus; Paraspeckle; Stress granule,PhasePDB,False,0.8474162345,0.977592528,,0.981,0.9885807,Yes,0.97874874,0.993177914110429,0.996836537986258,0.99559686888454,0.915877300613496,0.987779141104294,0.56802349979018,0.993963190184049,0.993177914110429,0.981,0.996214568614959
Q09472,Histone acetyltransferase p300,EP300 P300,enhancer condensate; Nuclear body; Transcriptional condensate,PhasePDB,False,0.7796517636,0.7960658409,0.009166667,0.863,0.9885675,Yes,0.98196685,0.925104294478527,0.998566556275023,0.968471406827571,0.648392638036809,0.911018404907975,0.642803189257238,0.991018404907975,0.887656441717791,0.863,0.994486451148986
Q12888,TP53-binding protein 1,TP53BP1,DNA damage foci; Heterochromatin; Nucleolus,PhasePDB,False,0.7739284625,0.7957753781,0.005,0.948,0.98038405,Yes,0.72233313,0.938699386503067,0.722949928327813,0.845999130245705,0.895754601226993,0.548957055214723,0.982626940830885,0.994650306748466,0.984147239263803,0.948,0.989898085594177
Q15233,Non-POU domain-containing octamer-binding protein,NONO NRB54,Nucleolus; Paraspeckle; Stress granule,PhasePDB,False,0.8750173509,0.9528649623,,0.976,0.98610365,Yes,0.98296493,0.795779141104294,0.976076318521081,0.995325070667536,0.804466257668711,0.922159509202454,0.212505245488879,0.963435582822085,0.967067484662576,0.976,0.995200037956237
Q8N884,Cyclic GMP-AMP synthase,CGAS C6orf150 MB21D1,cGAS-DNA complex; Stress granule,LLPSDB+PhasePDB,False,0.8374495215000001,0.9523626899,0.0025,0.789,0.9739369,Yes,0.20651951,0.676073619631901,0.551678117740101,0.613068058273537,0.802208588957055,0.731582822085889,0.48652958455728,0.889325153374233,0.989349693251533,0.789,0.976333796977996
O00571,ATP-dependent RNA helicase DDX3X,DDX3X DBX DDX3,DNA damage foci; Stress granule,LLPSDB+PhasePDB,False,0.8984102759,0.9258589417,,0.989,0.9975494,Yes,0.9842861,0.988662576687116,0.982452671642528,0.995923026744944,0.789791411042944,0.85560736196319,0.709274024339068,0.998184049079754,0.998576687116564,0.989,0.998033344745636
O14641,Segment polarity protein dishevelled homolog DVL-2,DVL2,Centrosome; Wnt signalodroplet,PhasePDB,False,0.7266444826,0.6114314545,0.031666667,0.985,0.97844064,Yes,0.8483074,0.937030674846625,0.954772379022292,0.959882583170254,0.722699386503067,0.950625766871165,0.470499370541334,0.979484662576687,0.987680981595092,0.985,0.989545166492462
O60563,Cyclin-T1,CCNT1,DNA damage foci; Elongation complex; Nuclear speckle; Transcriptional condensate,LLPSDB+PhasePDB,False,0.6356288156000001,0.9528524441,0.003333333,0.934,0.92152774,Yes,0.7115542,0.583558282208589,0.896198902674114,0.883670363122417,0.633325153374233,0.689815950920245,0.171212757028955,0.97079754601227,0.7880245398773,0.934,0.966651916503906
Q9GZV5,WW domain-containing transcription regulator protein 1,WWTR1 TAZ,Receptor cluster; Transcriptional condensate,PhasePDB,False,0.5814976535,0.4708369286,,0.737,0.986606,Yes,0.9405068,0.364171779141104,0.992882210469082,0.892150467492933,0.73560736196319,0.657766871165644,0.911120436424674,0.997496932515337,0.957104294478527,0.737,0.994639039039611
O43561,Linker for activation of T-cells family member 1,LAT,Receptor cluster,PhasePDB,True,0.3832165678,0.5234676667,,0.785,0.8835028,Yes,0.13425925,0.221791411042944,0.786416884978498,0.861980865405523,0.817914110429447,0.948564417177914,0.491313470415442,0.854233128834355,0.993963190184049,0.785,0.974634289741516
P10275,Androgen receptor,AR DHTR NR3C4,enhancer condensate; Transcriptional condensate,LLPSDB+PhasePDB,False,0.6672746978,0.5353484372,0.000833333,0.964,0.97823846,Yes,0.5957942,0.928,0.997429687113835,0.978854098717112,0.630134969325153,0.856883435582822,0.547545111204364,0.997349693251533,0.971975460122699,0.964,0.993384361267089
Q06787,Fragile X messenger ribonucleoprotein 1,FMR1,P-body; Stress granule,LLPSDB+PhasePDB,False,0.8870830143,0.9459569646,,0.973,0.96494234,Yes,0.9548365,0.96922699386503,0.870990064752113,0.96917808219178,0.782576687116564,0.437153374233128,0.452790600083927,0.843582822085889,0.982085889570552,0.973,0.973698735237121
Q13185,Chromobox protein homolog 3,CBX3,Heterochromatin,PhasePDB,False,0.8162661893000001,0.8729417042000001,0.018333333,0.888,0.9858556,No,0.98396516,0.645546012269938,0.009935247886906,0.07947379865188,0.936147239263803,0.932662576687116,0.841963911036508,0.948171779141104,0.965153374233128,0.888,0.98750877380371
O00401,Actin nucleation-promoting factor WASL,WASL,Cortical condensate; Receptor cluster; Synapsin condensate,PhasePDB,False,0.829573336,0.4812690977,0.041666667,0.971,0.9832088,Yes,0.96428174,0.78561963190184,0.960654441204092,0.97352685366384,0.894576687116564,0.950233128834355,0.52018464120856,0.948760736196319,0.993570552147239,0.971,0.992352187633514
P17600,Synapsin-1,SYN1,Synapsin condensate,LLPSDB+PhasePDB,False,0.9060923616,0.8125002527,0.055,0.949,0.96978414,Yes,0.92938286,0.954061349693251,0.99317878503287,0.940802348336594,0.880490797546012,0.963582822085889,,0.997251533742331,0.940711656441717,0.949,0.992493629455566
P50995,Annexin A11,ANXA11 ANX11,Stress granule,PhasePDB,False,0.9052709066,0.9100844332,0.005833333,0.955,0.9968268,Yes,0.9751002,0.942036809815951,0.992585635905293,0.979941291585127,0.669055214723926,0.9240245398773,0.207049937054133,0.999067484662576,0.900858895705521,0.955,0.997580885887146
P67809,Y-box-binding protein 1,YBX1 NSEP1 YB1,Nuclear speckle; P-body; Stress granule,PhasePDB,False,0.9128194057,0.9757382751,0.053333333,0.948,0.9974974,Yes,0.9869201,0.991656441717791,0.962928179526469,0.789899978256142,0.917742331288343,0.97001226993865,0.698111624003357,0.996957055214723,0.99283435582822,0.948,0.999033451080322
Q16630,Cleavage and polyadenylation specificity factor subunit 6,CPSF6 CFIM68,Nuclear speckle; Paraspeckle,PhasePDB,False,0.7690603201,0.9228493196,,0.935,0.995735,Yes,0.9739237,0.980269938650306,0.967129652513469,0.988095238095238,0.922748466257668,0.986453987730061,0.380444817456987,0.969276073619631,0.978944785276073,0.935,0.995710968971252
Q9BYJ9,YTH domain-containing family protein 1,YTHDF1 C20orf21,P-body; Stress granule,PhasePDB,False,0.7591510908,0.923794543,,0.986,0.9734731,Yes,0.97605366,0.961177914110429,0.989867035737234,0.911013263752989,0.75401226993865,0.859582822085889,,0.960687116564417,0.869153374233128,0.986,0.985107123851776
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1,IGF2BP1 CRDBP VICKZ1 ZBP1,Stress granule,PhasePDB,False,0.93899246,0.945936039,0.026666667,0.912,0.99223596,Yes,0.98418844,0.812957055214724,0.883742770995007,0.393074581430745,0.540466257668711,0.252711656441717,0.641796055392362,0.851779141104294,0.919509202453987,0.912,0.993071377277374
Q9Y5A9,YTH domain-containing family protein 2,YTHDF2 HGRG8,P-body; Stress granule,PhasePDB,False,0.814012854,0.9112986841,,0.988,0.995632,Yes,0.97778076,0.977128834355828,0.992783352281152,0.95373994346597,0.75082208588957,0.633472392638036,0.873856483424255,0.997742331288343,0.975460122699386,0.988,0.99680072069168
P00441,Superoxide dismutase [Cu-Zn],SOD1,Stress granule,PhasePDB,False,0.8100940564,0.7177372266000001,,0.814,0.96683514,No,0.9279564,0.988613496932515,0.226681824922149,0.657099369428136,0.563926380368098,4.9079754601227e-05,0.534284515316827,0.884711656441717,0.979582822085889,0.814,0.95870304107666
P04156,Major prion protein,PRNP ALTPRP PRIP PRP,"Cell membrane; Lipid-anchor, GPI-anchor; Golgi apparatus.",LLPSDB+PhasePDB,False,0.4432001319,0.2744451738,0.008333333,0.893,0.85921586,Yes,0.8450531,0.990576687116564,0.986258711877811,0.999238964992389,4.9079754601227e-05,0.971435582822085,0.492068820814099,0.995092024539877,0.88682208588957,0.893,0.932270348072052
P16333,SH2/SH3 adapter protein NCK1,NCK1 NCK,PML nuclear body; Postsynaptic density; Receptor cluster,LLPSDB+PhasePDB,False,0.7931331127,0.6623469182,0.001666667,0.925,0.7867857,Yes,0.9648697,0.877496932515337,0.686273540606,0.48309415090237,4.9079754601227e-05,0.367460122699386,0.215442719261435,0.891288343558282,0.899582822085889,0.925,0.967540860176086
P35222,Catenin beta-1,CTNNB1 CTNNB,Centrosome; Destruction complex condensate; Transcriptional condensate,PhasePDB,False,0.61211665,0.5868006698,0.000833333,0.776,0.9910223,Yes,0.9818472,0.551950920245398,0.743512431417132,0.982006958034355,4.9079754601227e-05,0.222184049079754,0.568778850188837,0.881570552147239,0.873668711656441,0.776,0.996535181999206
P42858,Huntingtin,HTT HD IT15,Htt inclusion; Inclusion body; Stress granule,PhasePDB,False,0.4497776212,0.3042174881,,0.885,0.6051492,Yes,0.21054994,0.574576687116564,0.998517127181058,0.791258969341161,0.556760736196319,0.526576687116564,0.196475031472933,0.986944785276073,0.828662576687116,0.885,
P62993,Growth factor receptor-bound protein 2,GRB2 ASH,Nucleus; Cytoplasm; Endosome; Golgi apparatus.,LLPSDB+PhasePDB,False,0.8148856167,0.9572113786,,0.931,0.99600136,No,0.98283523,0.808638036809815,0.471454698235381,0.509078060447923,4.9079754601227e-05,4.9079754601227e-05,0.281326059588753,0.900957055214723,0.980907975460122,0.931,0.997795403003692
Q00613,Heat shock factor protein 1,HSF1 HSTF1,Nuclear stress body; Transcriptional condensate,PhasePDB,False,0.5043355104,0.8303277480000001,0.0075,0.857,0.966368,Yes,0.49848545,0.464883435582822,0.718550738964954,0.654924983692106,0.696736196319018,0.43563190184049,0.777675199328577,0.86080981595092,0.896,0.857,0.98798382282257
Q01130,Serine/arginine-rich splicing factor 2,SRSF2 SFRS2,Nuclear speckle,PhasePDB,False,0.919023935,0.9774598248,,0.92,0.99009526,Yes,0.9823167,0.928539877300613,0.86130196233503,0.894759730376168,0.889717791411042,0.990184049079754,0.923541754091481,0.984638036809816,0.998920245398773,0.92,0.992694735527038
Q8WXF1,Paraspeckle component 1,PSPC1 PSP1,Paraspeckle; Stress granule,LLPSDB+PhasePDB,False,0.912181571,0.9578053843,,0.962,0.9914299,Yes,0.97987366,0.918674846625766,0.984726409964905,0.976570993694281,0.723975460122699,0.95042944785276,0.806882081409987,0.98763190184049,0.971582822085889,0.962,0.992143809795379
O60500,Nephrin,NPHS1 NPHN,Receptor cluster,LLPSDB+PhasePDB,True,0.2428889741,0.1194671032,0.0,0.816,0.19236472,Yes,0.38799757,0.783263803680981,0.693539617418812,0.714231354642313,4.9079754601227e-05,0.58041717791411,,0.014773006134969,0.909104294478527,0.816,0.953405499458313
P00533,Epidermal growth factor receptor,EGFR ERBB ERBB1 HER1,,PhasePDB,True,0.7243557948,0.9770155874,0.000833333,0.781,0.9948772,Yes,0.85725904,0.784932515337423,0.921803173347832,0.885953468145249,0.547386503067484,0.525104294478527,0.510616869492236,0.919705521472392,0.956220858895705,0.781,0.997010350227356
P11940,Polyadenylate-binding protein 1,PABPC1 PAB1 PABP PABP1 PABPC2,Inclusion body; Nuclear speckle; Stress granule,PhasePDB,False,0.9198745263,0.9524845828,,0.982,0.9958561,Yes,0.98761415,0.707926380368098,0.974049725668528,0.62578821482931,4.9079754601227e-05,0.452564417177914,0.894922366764582,0.956466257668711,0.994797546012269,0.982,0.997455596923828
P26196,Probable ATP-dependent RNA helicase DDX6,DDX6 HLR2 RCK,P-body; Stress granule,PhasePDB,False,0.8760337849000001,0.8665014113,0.001666667,0.926,0.99086845,Yes,0.9811292,0.701447852760736,0.983638969897681,0.552728854098717,0.526674846625766,0.454380368098159,0.997566093159882,0.921668711656441,0.993472392638036,0.926,0.989958584308624
P46013,Proliferation marker protein Ki-67,MKI67,Nucleolus,PhasePDB,False,0.8957399927,0.9507972007,,0.774,0.6521288,Yes,0.73373175,0.975411042944785,0.614156492511492,0.687812567949554,0.931730061349693,0.27680981595092,0.989005455308434,0.98880981595092,0.991558282208589,0.774,
P78352,Disks large homolog 4,DLG4 PSD95,Postsynaptic density,PhasePDB,False,0.8924714123,0.7472970553,0.000833333,0.935,0.81107175,Yes,0.98229593,0.92441717791411,0.542336018980772,0.615677321156773,4.9079754601227e-05,4.9079754601227e-05,0.560637851447754,0.326969325153374,0.954503067484662,0.935,0.984603583812713
Q07889,Son of sevenless homolog 1,SOS1,Receptor cluster,LLPSDB+PhasePDB,False,0.8241281172,0.6983862185,,0.936,0.97446334,Yes,0.87783086,0.628073619631901,0.856013049280806,0.904055229397695,0.760932515337423,0.580907975460122,0.949139739823751,0.934920245398773,0.980122699386503,0.936,0.986451625823974
Q07955,Serine/arginine-rich splicing factor 1,SRSF1 ASF SF2 SF2P33 SFRS1,Centrosome; Nuclear speckle,PhasePDB,False,0.960481657,0.9732640745,,0.923,0.99659127,Yes,0.9865067,0.993128834355828,0.783945430280263,0.950587084148728,0.854920245398773,0.9720245398773,0.101972303818715,0.976,0.999116564417177,0.923,0.995155990123748
Q14011,Cold-inducible RNA-binding protein,CIRBP A18HNRNP CIRP,Stress granule,PhasePDB,False,0.9352058602,0.8994777690000001,0.1425,0.973,0.9968597,Yes,0.9871158,0.996957055214723,0.950175473283574,0.998314851054577,0.927509202453987,0.979779141104294,0.162903902643726,0.991460122699386,0.975754601226993,0.973,0.995867729187011
Q14653,Interferon regulatory factor 3,IRF3,Receptor cluster,PhasePDB,False,0.2772135948,0.1432844405,0.0,0.728,0.96070826,Yes,0.4414487,0.793766871165644,0.386337798428154,0.566536203522504,4.9079754601227e-05,4.9079754601227e-05,0.720604280318925,0.871460122699386,0.916711656441717,0.728,0.979081332683563
Q15691,Microtubule-associated protein RP/EB family member 1,MAPRE1,Centrosome,PhasePDB,False,0.7700810914,0.9596121618,0.0025,0.837,0.89833003,Yes,0.97782284,0.631950920245398,0.688695566210271,0.059795607740813,0.613398773006135,0.365153374233128,0.226605119597146,0.833276073619631,0.877889570552147,0.837,0.994920909404754
Q7Z739,YTH domain-containing family protein 3,YTHDF3,Stress granule,PhasePDB,False,0.8459765432,0.9200556964,,0.962,0.99375474,Yes,0.9770009,0.961914110429447,0.997577974395729,0.949010654490106,0.739779141104294,0.933693251533742,0.791691145614771,0.99563190184049,0.895705521472392,0.962,0.996228575706482
Q8TDY2,RB1-inducible coiled-coil protein 1,RB1CC1 KIAA0203 RBICC,,PhasePDB,False,0.6499504482,0.6765971114,0.0,0.702,0.96085393,Yes,0.41819397,0.543705521472392,0.433740299540309,0.704772776690584,4.9079754601227e-05,0.707828220858895,0.198741082668904,0.709398773006135,0.888932515337423,0.702,0.983324885368347
Q9UQ35,Serine/arginine repetitive matrix protein 2,SRRM2 KIAA0324 SRL300 SRM300,Nuclear speckle,PhasePDB,False,0.8063559486,0.9449462833,0.005833333,0.697,0.9465014,Yes,0.8279278,0.962846625766871,0.965004201472987,0.958795390302239,0.942969325153374,0.987533742331288,0.927822073017205,0.987239263803681,0.999656441717791,0.697,
O14497,AT-rich interactive domain-containing protein 1A,ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,Transcriptional condensate,PhasePDB,False,0.8149832085000001,0.5256884348,0.02,0.886,0.970435,Yes,0.97084796,0.985914110429447,0.998665414462952,0.995053272450532,0.905914110429447,0.9480245398773,0.555014687368862,0.996073619631901,0.950969325153374,0.886,0.984482765197754
O43781,Dual specificity tyrosine-phosphorylation-regulated kinase 3,DYRK3,Centrosome; Nuclear speckle; Spindle apparatus; Stress granule,PhasePDB,False,0.8403193139,0.9399946192,,0.755,0.8953184,Yes,0.8187311,0.898895705521472,0.412485789135485,0.820504457490758,0.589055214723926,0.42203680981595,0.376751993285774,0.671803680981595,0.973938650306748,0.755,0.980966567993164
P03372,Estrogen receptor,ESR1 ESR NR3A1,Nuclear speckle; Transcriptional condensate,LLPSDB+PhasePDB,False,0.6287174743,0.6009172104,0.000833333,0.924,0.99098426,Yes,0.82947135,0.685349693251533,0.947160298551727,0.785007610350076,4.9079754601227e-05,0.666944785276073,0.594544691565253,0.984687116564417,0.91641717791411,0.924,0.991973221302032
P09874,Poly [ADP-ribose] polymerase 1,PARP1 ADPRT PPOL,DNA damage foci; Transcriptional condensate,PhasePDB,False,0.9154513855,0.9820470058,0.000833333,0.887,0.92012626,Yes,0.94821954,0.961963190184049,0.544758044585042,0.62138508371385,4.9079754601227e-05,0.649177914110429,0.69013848090642,0.957791411042944,0.97722699386503,0.887,0.916137337684631
P17931,Galectin-3,LGALS3 MAC2,,PhasePDB,False,0.7431467667,0.9715348641,0.015,0.949,0.97792023,Yes,0.87692773,0.976539877300613,0.990015323019129,0.98168080017395,0.662478527607361,0.958184049079754,0.030130088124213,0.997840490797546,0.890797546012269,0.949,0.992851734161377
P20591,Interferon-induced GTP-binding protein Mx1,MX1,,PhasePDB,False,0.7648855428,0.7235843377000001,0.0,0.642,0.7630478,Yes,0.6714812,0.619926380368098,0.636893875735257,0.255055446836268,4.9079754601227e-05,0.430920245398773,0.533780948384389,0.089521472392638,0.980515337423312,0.642,0.956203579902648
