UniProt_ID,Protein_Name,Gene_Names,Organism,Source_DB,LLPSDB_designed,LLPS_mode,evidence_in_vitro,evidence_in_vivo,role,MLO_Types,is_membrane,TMD_count,TMD_class,Length
P13569,Cystic fibrosis transmembrane conductance regulator,CFTR ABCC7,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,,True,12,multi,1480.0
P15529,Membrane cofactor protein,CD46 MCP MIC10,Homo sapiens,PhasePDB,False,partner_dependent,False,False,both,,True,1,single,392.0
P15941,Mucin-1,MUC1 PUM,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,,True,1,single,1255.0
P15954,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C,Homo sapiens,PhasePDB,False,partner_dependent,False,False,driver,Nucleolus,True,1,single,63.0
P17948,Vascular endothelial growth factor receptor 1,FLT1 FLT FRT VEGFR1,Homo sapiens,PhasePDB,False,both,True,False,driver,,True,1,single,1338.0
P20963,T-cell surface glycoprotein CD3 zeta chain,CD247 CD3Z T3Z TCRZ,Homo sapiens,PhasePDB,False,autonomous,True,True,unclear,,True,1,single,164.0
P21802,Fibroblast growth factor receptor 2,FGFR2 BEK KGFR KSAM,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,True,1,single,821.0
P29317,Ephrin type-A receptor 2,EPHA2 ECK,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,True,1,single,976.0
P31431,Syndecan-4,SDC4,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,True,1,single,198.0
P31645,Sodium-dependent serotonin transporter,SLC6A4 HTT SERT,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,12,multi,630.0
P35968,Vascular endothelial growth factor receptor 2,KDR FLK1 VEGFR2,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,True,1,single,1356.0
P40967,Melanocyte protein PMEL,PMEL D12S53E PMEL17 SILV,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,1,single,661.0
P46531,Neurogenic locus notch homolog protein 1,NOTCH1 TAN1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Transcriptional condensate,True,1,single,2555.0
P49146,Neuropeptide Y receptor type 2,NPY2R,Homo sapiens,PhasePDB,False,unclear,False,False,driver,,True,7,multi,381.0
P61073,C-X-C chemokine receptor type 4,CXCR4,Homo sapiens,PhasePDB,False,both,False,False,both,,True,7,multi,352.0
P63027,Vesicle-associated membrane protein 2,VAMP2 SYB2,Homo sapiens,PhasePDB,False,both,True,True,driver,,True,1,single,116.0
Q03135,Caveolin-1,CAV1 CAV,Homo sapiens,PhasePDB,False,both,False,False,driver,,True,1,single,178.0
Q04671,P protein,OCA2 D15S12 P,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Inclusion body,True,12,multi,838.0
Q07065,Cytoskeleton-associated protein 4,CKAP4,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,True,1,single,602.0
Q08345,Epithelial discoidin domain-containing receptor 1,DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,1,single,913.0
Q12879,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A NMDAR2A,Homo sapiens,PhasePDB,False,both,False,True,both,,True,4,multi,1464.0
Q13021,MAL-like protein,MALL BENE,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,PML nuclear body,True,4,multi,153.0
Q14739,Lamin-B receptor;Integral nuclear envelope inner membrane protein;LMN2R,LBR,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Nucleus inner membrane; Multi-pass membrane protein.,True,8,multi,615.0
Q14BN4,Sarcolemmal membrane-associated protein,SLMAP KIAA1601 SLAP,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,2,multi,828.0
Q15303,Receptor tyrosine-protein kinase erbB-4,ERBB4 HER4,Homo sapiens,PhasePDB,False,partner_dependent,True,False,unclear,,True,1,single,1308.0
Q16635,Tafazzin,TAFAZZIN EFE2 G4.5 TAZ,Homo sapiens,PhasePDB,False,both,False,False,client,Z granule,True,1,single,292.0
Q7Z3C6,Autophagy-related protein 9A,ATG9A APG9L1,Homo sapiens,PhasePDB,False,both,False,False,driver,FIP200 puncta,True,8,multi,839.0
Q7Z434,Mitochondrial antiviral-signaling protein,MAVS IPS1 KIAA1271 VISA,Homo sapiens,PhasePDB,False,autonomous,True,True,both,Inclusion body; Receptor cluster,True,1,single,540.0
Q86WV6,Stimulator of interferon genes protein,STING1 ERIS MITA STING TMEM173,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,4,multi,379.0
Q8N114,Protein shisa-5,SHISA5 SCOTIN,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,True,1,single,240.0
Q8NC56,LEM domain-containing protein 2,LEMD2,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,True,2,multi,503.0
Q8TEM1,Nuclear pore membrane glycoprotein 210,NUP210 KIAA0906,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Cytoplasmic Nucleoporin Granule; Nuclear pore complex,True,1,single,1887.0
Q8WXG9,Adhesion G-protein coupled receptor V1,ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1,Homo sapiens,PhasePDB,False,autonomous,True,False,both,,True,7,multi,6306.0
Q9BR39,Junctophilin-2,JPH2 JP2,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear body,True,1,single,696.0
Q9BRQ8,Ferroptosis suppressor protein 1,AIFM2 AMID PRG3,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,True,1,single,373.0
Q9H3U5,Lysosomal dipeptide transporter MFSD1,MFSD1 SMAP4,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,True,12,multi,465.0
Q9H461,Frizzled-8,FZD8,Homo sapiens,PhasePDB,False,autonomous,False,False,both,Wnt signalodroplet,True,7,multi,694.0
Q9UJA2,Cardiolipin synthase (CMP-forming),CRLS1 C20orf155 CLS1,Homo sapiens,PhasePDB,False,both,False,False,both,,True,5,multi,301.0
Q9UM73,ALK tyrosine kinase receptor,ALK,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,True,1,single,1620.0
Q9Y624,Junctional adhesion molecule A,F11R JAM1 JCAM,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,True,1,single,299.0
A0A024RB53,Epididymis secretory sperm binding protein;Heterogeneous nuclear ribonucleoprotein A1; isoform CRA_a,HNRPA1;hCG_2017591,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,,False,0,none,
A0A286NGJ8,,,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,
A0A2H4FYY8,receptor protein-tyrosine kinase,CCDC6-RET fusion,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,MED19 LCMR1,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,,False,0,none,244.0
A1L020,RNA-binding protein MEX3A,MEX3A RKHD4,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,P-body,False,0,none,520.0
A4D1B5,Gamma-secretase-activating protein,GSAP PION,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,854.0
A7MCY6,TANK-binding kinase 1-binding protein 1,TBKBP1 KIAA0775 SINTBAD,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,SINT-speckle,False,0,none,615.0
B1Q3L0,RING-type E3 ubiquitin transferase,TRIM5 TRIM5alpha,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,,False,0,none,
D6RBZ0,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,,False,0,none,
G8JLB6,Heterogeneous nuclear ribonucleoprotein H,HNRNPH1,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,,False,0,none,
J7MA22,Tyrosine-protein kinase receptor,EML4-ALK,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,
K7EK33,DAZ-associated protein 1,DAZAP1,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,,False,0,none,
O00165,HCLS1-associated protein X-1,HAX1 HS1BP1,Homo sapiens,PhasePDB,False,unclear,False,False,driver,P-body,False,0,none,279.0
O00257,E3 SUMO-protein ligase CBX4,CBX4,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Nuclear body,False,0,none,560.0
O00267,Transcription elongation factor SPT5,SUPT5H SPT5 SPT5H,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,1087.0
O00401,Actin nucleation-promoting factor WASL,WASL,Homo sapiens,PhasePDB,False,both,False,False,driver,Cortical condensate; Receptor cluster; Synapsin condensate,False,0,none,505.0
O00410,Importin-5;Importin subunit beta-3;Karyopherin beta-3;Ran-binding protein 5,IPO5;KPNB3;RANBP5,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,"Cytoplasm; Nucleus; Nucleus, nucleolus.",False,0,none,1097.0
O00411,"DNA-directed RNA polymerase, mitochondrial",POLRMT,Homo sapiens,PhasePDB,False,both,False,True,driver,Mitochondrial nucleoid,False,0,none,1230.0
O00425,Insulin-like growth factor 2 mRNA-binding protein 3,IGF2BP3 IMP3 KOC1 VICKZ3,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,Stress granule,False,0,none,579.0
O00444,Serine/threonine-protein kinase PLK4,PLK4 SAK STK18,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Centrosome; Pericentriolar matrix,False,0,none,970.0
O00472,RNA polymerase II elongation factor ELL2,ELL2,Homo sapiens,PhasePDB,False,autonomous,False,True,driver,,False,0,none,640.0
O00541,Pescadillo homolog,PES1,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,Nucleolus,False,0,none,588.0
O00560,Syntenin-1,SDCBP MDA9 SYCL,Homo sapiens,PhasePDB,False,autonomous,False,False,client,,False,0,none,298.0
O00571,ATP-dependent RNA helicase DDX3X,DDX3X DBX DDX3,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,False,False,both,DNA damage foci; Stress granule,False,0,none,662.0
O14490,Disks large-associated protein 1,DLGAP1 DAP1 GKAP,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,977.0
O14497,AT-rich interactive domain-containing protein 1A,ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,2285.0
O14526,F-BAR domain only protein 1,FCHO1 KIAA0290,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,889.0
O14607,Histone demethylase UTY,UTY KDM6C,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,1347.0
O14639,Actin-binding LIM protein 1,ABLIM1 ABLIM KIAA0059 LIMAB1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,778.0
O14641,Segment polarity protein dishevelled homolog DVL-2,DVL2,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Centrosome; Wnt signalodroplet,False,0,none,736.0
O14686,Histone-lysine N-methyltransferase 2D,KMT2D ALR MLL2 MLL4,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,5537.0
O14746,Telomerase reverse transcriptase,TERT EST2 TCS1 TRT,Homo sapiens,PhasePDB,False,both,False,False,driver,Cajal body,False,0,none,1132.0
O14773,Tripeptidyl-peptidase 1,TPP1 CLN2,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,563.0
O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB IKKB,Homo sapiens,PhasePDB,False,both,False,False,both,SARS-CoV-2 N condensate,False,0,none,756.0
O14933,Ubiquitin/ISG15-conjugating enzyme E2 L6,UBE2L6 UBCH8,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,p62 cluster,False,0,none,153.0
O14936,Peripheral plasma membrane protein CASK,CASK LIN2,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,,False,0,none,926.0
O14965,Aurora kinase A,AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Centrosome,False,0,none,403.0
O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL HNRPDL JKTBP,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,True,driver,,False,0,none,420.0
O14980,Exportin-1;Exp1;Chromosome region maintenance 1 protein homolog,XPO1;CRM1,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,"Cytoplasm;Nucleus,nucleoplasm;Nucleus,Cajal body;Nucleus,nucleolus.",False,0,none,1071.0
O15016,Tripartite motif-containing protein 66,TRIM66 C11orf29 KIAA0298,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Heterochromatin,False,0,none,1216.0
O15027,Protein transport protein Sec16A,SEC16A KIAA0310 SEC16 SEC16L,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,2357.0
O15054,Lysine-specific demethylase 6B,KDM6B JMJD3 KIAA0346,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Transcriptional condensate,False,0,none,1643.0
O15067,Phosphoribosylformylglycinamidine synthase,PFAS KIAA0361,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Purinosome,False,0,none,1338.0
O15119,T-box transcription factor TBX3,TBX3,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,743.0
O15169,Axin-1,AXIN1 AXIN,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Centrosome; Destruction complex condensate; Wnt signalodroplet,False,0,none,862.0
O15205,Ubiquitin D,UBD FAT10,Homo sapiens,PhasePDB,False,unclear,False,False,driver,,False,0,none,165.0
O15232,Matrilin-3,MATN3,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,486.0
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Transcriptional condensate,False,0,none,1046.0
O15392,Baculoviral IAP repeat-containing protein 5,BIRC5 API4 IAP4,Homo sapiens,PhasePDB,False,unclear,False,False,client,,False,0,none,142.0
O15514,DNA-directed RNA polymerase II subunit RPB4,POLR2D,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,142.0
O15523,ATP-dependent RNA helicase DDX3Y,DDX3Y DBY,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,Stress granule,False,0,none,660.0
O15550,Lysine-specific demethylase 6A,KDM6A UTX,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,1401.0
O43245,,p65,Homo sapiens,PhasePDB,False,autonomous,False,False,client,Transcriptional condensate,False,0,none,
O43251,RNA binding protein fox-1 homolog 2,RBFOX2 FOX2 HRNBP2 RBM9 RTA,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,390.0
O43290,U4/U6.U5 tri-snRNP-associated protein 1,SART1,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,,False,0,none,800.0
O43324,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1 AIMP3 P18,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,174.0
O43463,Histone-lysine N-methyltransferase SUV39H1,SUV39H1 KMT1A SUV39H,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Heterochromatin; Nucleolus,False,0,none,412.0
O43561-2,Linker for activation of T-cells family member 1;36 kDa phospho-tyrosine adapter protein;p36-38,LAT,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Cell membrane; Single-pass type III membrane protein.,False,0,none,
O43583,Density-regulated protein,DENR DRP1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,198.0
O43660,Pleiotropic regulator 1,PLRG1,Homo sapiens,PhasePDB,False,both,False,False,both,Nuclear speckle,False,0,none,514.0
O43663,Protein regulator of cytokinesis 1,PRC1,Homo sapiens,PhasePDB,False,both,False,True,both,Polycomb body,False,0,none,620.0
O43670,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZNF207 BUGZ,Homo sapiens,PhasePDB,False,both,True,False,driver,Centrosome; Nuclear speckle; Spindle apparatus,False,0,none,478.0
O43707,Alpha-actinin-4,ACTN4,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,911.0
O43781,Dual specificity tyrosine-phosphorylation-regulated kinase 3,DYRK3,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,Centrosome; Nuclear speckle; Spindle apparatus; Stress granule,False,0,none,588.0
O43791,Speckle-type POZ protein,SPOP,Homo sapiens,LLPSDB+PhasePDB,False,partner_dependent,False,True,unclear,Nuclear speckle,False,0,none,374.0
O43809,Cleavage and polyadenylation specificity factor subunit 5,NUDT21 CFIM25 CPSF25 CPSF5,Homo sapiens,PhasePDB,False,both,True,False,client,Nuclear speckle,False,0,none,227.0
O43823,A-kinase anchor protein 8,AKAP8 AKAP95,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Nuclear speckle; Transcriptional condensate,False,0,none,692.0
O43896,Kinesin-like protein KIF1C,KIF1C KIAA0706,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,P-body; Stress granule,False,0,none,1103.0
O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,SMARCA5 SNF2H WCRF135,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,,False,0,none,1052.0
O60333,Kinesin-like protein KIF1B,KIF1B KIAA0591 KIAA1448,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,1816.0
O60341,Lysine-specific histone demethylase 1A,KDM1A AOF2 KDM1 KIAA0601 LSD1,Homo sapiens,PhasePDB,False,both,False,False,driver,enhancer condensate,False,0,none,852.0
O60356,Nuclear protein 1,NUPR1 COM1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Stress granule,False,0,none,82.0
O60506,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP HNRPQ NSAP1,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,P-body,False,0,none,623.0
O60563,Cyclin-T1,CCNT1,Homo sapiens,LLPSDB+PhasePDB,False,autonomous,True,True,driver,DNA damage foci; Elongation complex; Nuclear speckle; Transcriptional condensate,False,0,none,726.0
O60674,Tyrosine-protein kinase JAK2,JAK2,Homo sapiens,PhasePDB,False,autonomous,False,False,client,,False,0,none,1132.0
O60812,Heterogeneous nuclear ribonucleoprotein C-like 1,HNRNPCL1 HNRPCL1,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,293.0
O60832,H/ACA ribonucleoprotein complex subunit DKC1,DKC1 NOLA4,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,Nucleolus,False,0,none,514.0
O60885,Bromodomain-containing protein 4,BRD4 HUNK1,Homo sapiens,LLPSDB+PhasePDB,False,both,False,False,driver,PML nuclear body; Transcriptional condensate,False,0,none,1362.0
O60934,Nibrin,NBN NBS NBS1 P95,Homo sapiens,PhasePDB,False,autonomous,False,True,client,,False,0,none,754.0
O75128,Protein cordon-bleu,COBL KIAA0633,Homo sapiens,PhasePDB,False,unclear,True,True,unclear,,False,0,none,1261.0
O75151,Lysine-specific demethylase PHF2,PHF2 CENP-35 KIAA0662,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,1096.0
O75157,TSC22 domain family protein 2,TSC22D2 KIAA0669 TILZ4,Homo sapiens,PhasePDB,False,autonomous,False,False,driver,TWN body,False,0,none,780.0
O75312,Zinc finger protein ZPR1,ZPR1 ZNF259,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Transcriptional condensate,False,0,none,459.0
O75334,Liprin-alpha-2,PPFIA2,Homo sapiens,PhasePDB,False,autonomous,False,False,unclear,Presynaptic active zone condensate,False,0,none,1257.0
O75340,Programmed cell death protein 6,PDCD6 ALG2,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,191.0
O75385,Serine/threonine-protein kinase ULK1,ULK1 KIAA0722,Homo sapiens,PhasePDB,False,both,False,False,unclear,FIP200 puncta,False,0,none,1050.0
O75475,PC4 and SFRS1-interacting protein,PSIP1 DFS70 LEDGF PSIP2,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,530.0
O75533,Splicing factor 3B subunit 1,SF3B1 SAP155,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,1304.0
O75683,Surfeit locus protein 6,SURF6 SURF-6,Homo sapiens,LLPSDB+PhasePDB,False,both,True,False,driver,Nucleolus,False,0,none,361.0
O75791,GRB2-related adapter protein 2;Adapter protein GRID;GRB-2-like protein;GRBLG;GRBX;Grf40 adapter protein;Growth factor receptor-binding protein;Hematopoietic cell-associated adapter protein GrpL;P38;Protein GADS;SH3-SH2-SH3 adapter Mona,GRAP2;GADS;GRB2L;GRID,Homo sapiens,LLPSDB,False,unclear,False,False,unclear,Nucleus; Cytoplasm; Endosome.,False,0,none,330.0
O75920,Small EDRK-rich factor 1,SERF1A FAM2A SERF1 SMAM1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Nucleolus,False,0,none,110.0
O75928,E3 SUMO-protein ligase PIAS2,PIAS2 PIASX,Homo sapiens,LLPSDB+PhasePDB,False,partner_dependent,False,False,unclear,PML nuclear body,False,0,none,621.0
O75940,Survival of motor neuron-related-splicing factor 30,SMNDC1 SMNR SPF30,Homo sapiens,PhasePDB,False,unclear,True,True,unclear,Nuclear speckle,False,0,none,238.0
O75970,Multiple PDZ domain protein,MPDZ MUPP1,Homo sapiens,PhasePDB,False,both,False,False,client,,False,0,none,2070.0
O94822,E3 ubiquitin-protein ligase listerin,LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294,Homo sapiens,PhasePDB,False,autonomous,False,False,both,,False,0,none,1766.0
O94829,Importin-13,IPO13 KIAA0724 RANBP13,Homo sapiens,PhasePDB,False,partner_dependent,False,True,unclear,,False,0,none,963.0
O94832,Unconventional myosin-Id,MYO1D KIAA0727,Homo sapiens,PhasePDB,False,both,False,False,both,p62 cluster,False,0,none,1006.0
O94844,Rho-related BTB domain-containing protein 1,RHOBTB1 KIAA0740,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,696.0
O94855,Protein transport protein Sec24D,SEC24D KIAA0755,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,Sec body,False,0,none,1032.0
O94953,Lysine-specific demethylase 4B,KDM4B JHDM3B JMJD2B KIAA0876,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,1096.0
O94979,Protein transport protein Sec31A,SEC31A KIAA0905 SEC31L1,Homo sapiens,PhasePDB,False,both,False,False,driver,,False,0,none,1220.0
O94986,Centrosomal protein of 152 kDa,CEP152 KIAA0912,Homo sapiens,PhasePDB,False,autonomous,True,True,client,Centrosome; Pericentriolar matrix,False,0,none,1710.0
O94992,Protein HEXIM1,HEXIM1 CLP1 EDG1 HIS1 MAQ1,Homo sapiens,PhasePDB,False,unclear,False,True,unclear,Elongation complex,False,0,none,359.0
O95049,Tight junction protein ZO-3,TJP3 ZO3,Homo sapiens,PhasePDB,False,autonomous,True,False,driver,,False,0,none,919.0
O95104,SR-related and CTD-associated factor 4,SCAF4 KIAA1172 SFRS15,Homo sapiens,PhasePDB,False,both,True,False,driver,,False,0,none,1147.0
O95243,Methyl-CpG-binding domain protein 4,MBD4 MED1,Homo sapiens,PhasePDB,False,both,True,False,both,Mediator condensate; Transcriptional condensate,False,0,none,580.0
O95398,Rap guanine nucleotide exchange factor 3,RAPGEF3 CGEF1 EPAC EPAC1,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,Cajal body; Histone locus body; PML nuclear body; Transcriptional condensate,False,0,none,923.0
O95478,Ribosome biogenesis protein NSA2 homolog,NSA2 TINP1,Homo sapiens,PhasePDB,False,unclear,False,False,unclear,,False,0,none,260.0
O95486,Protein transport protein Sec24A,SEC24A,Homo sapiens,PhasePDB,False,unclear,False,False,driver,,False,0,none,1093.0
O95696,Bromodomain-containing protein 1,BRD1 BRL BRPF2,Homo sapiens,PhasePDB,False,partner_dependent,False,False,unclear,,False,0,none,1058.0
O95793,Double-stranded RNA-binding protein Staufen homolog 1,STAU1 STAU,Homo sapiens,PhasePDB,False,autonomous,True,True,driver,,False,0,none,577.0
