UniProt_ID,LLPhyScore_score
A6NDV4,-752.0
A6NED2,-222.0
A6NEM1,-82.0
A6NFA1,-482.0
A6NFQ2,-973.0
A6NFX1,-758.0
A6NFY7,-78.0
A6NGG8,-96.0
A6NGQ2,-196.0
A6NGU5,-597.0
A6NHR9,-1612.0
A6NI15,-42.0
A6NI61,-389.0
A6NI73,-226.0
A6NIH7,-193.0
A6NIX2,-148.0
A6NJ46,51.0
A6NJ78,-432.0
A6NK06,-578.0
A6NK58,-338.0
A6NK89,-376.0
A6NKB5,-1997.0
A6NL88,-193.0
A6NMY6,-396.0
A6NMZ7,-780.0
A6NNB3,-268.0
A6NNM8,-763.0
A6NNY8,-353.0
A6NNZ2,-136.0
A6PVC2,-800.0
A7E2V4,-693.0
A7E2Y1,-1610.0
A7KAX9,-504.0
A7MCY6,-421.0
A7MD48,151.0
A7XYQ1,-27.0
A8CG34,365.0
A8K0Z3,-206.0
A8K2U0,-877.0
A8K4G0,-199.0
A8K7I4,-575.0
A8K8P3,-2047.0
A8K8V0,-367.0
A8MPY1,-581.0
A8MQ03,-30.0
A8MQ27,-452.0
A8MT69,-68.0
A8MTA8,-14.0
A8MTJ3,-332.0
A8MTQ0,-123.0
A8MTZ0,-37.0
A8MU46,203.0
A8MUP2,-218.0
A8MV65,-61.0
A8MVW5,-293.0
A8MW95,-370.0
A8MW99,-425.0
A8MWX3,-220.0
A8MXD5,-131.0
A8MXV4,-432.0
A8MYU2,-1407.0
A8MZ59,-81.0
A8TX70,-1011.0
A9UHW6,-287.0
A9YTQ3,-527.0
B0I1T2,-1377.0
B0L3A2,-87.0
B0YJ81,-460.0
B1AK53,-458.0
B1AL88,-217.0
B2RTY4,-2407.0
B2RUY7,-98.0
B2RUZ4,-124.0
B2RXF5,-389.0
B2RXH2,-137.0
B3KU38,146.0
B6A8C7,-244.0
B7U540,-471.0
B7Z8K6,-111.0
B7ZAQ6,-830.0
C4AMC7,-199.0
C9JE40,-509.0
C9JLW8,-41.0
C9JR72,-554.0
C9JRZ8,-315.0
D3W0D1,-159.0
D6RGH6,-244.0
E0CX11,-40.0
G2XKQ0,-35.0
H0YL14,-332.0
K7EJ46,-94.0
K9M1U5,-303.0
M0R2J8,-1499.0
O00115,-120.0
O00116,-478.0
O00124,-302.0
O00139,-538.0
O00141,-424.0
O00142,-283.0
O00144,-704.0
O00148,-321.0
O00151,-185.0
O00154,-220.0
O00155,-662.0
O00159,-1418.0
O00160,-673.0
O00161,-24.0
O00165,113.0
O00167,-70.0
O00168,-128.0
O00170,-340.0
O00175,-103.0
O00180,-477.0
O00182,-20.0
O00186,-629.0
O00187,-396.0
O00189,-379.0
O00192,-582.0
O00194,-139.0
O00198,-151.0
O00203,-879.0
O00204,-251.0
O00206,-961.0
O00212,-235.0
O00213,-206.0
O00214,-253.0
O00217,-226.0
O00219,-906.0
O00220,-342.0
O00221,-267.0
O00222,-1096.0
O00230,-116.0
O00231,-570.0
O00232,-601.0
O00233,-133.0
O00237,-696.0
O00238,-496.0
O00241,-378.0
O00244,-44.0
O00253,-191.0
O00254,-778.0
O00255,-476.0
O00257,-196.0
O00258,-317.0
O00264,-100.0
O00267,200.0
O00268,-416.0
O00270,-713.0
O00273,-305.0
O00287,100.0
O00291,-1012.0
O00292,-420.0
O00294,-119.0
O00299,-194.0
O00300,-387.0
O00303,-361.0
O00305,-382.0
O00308,-193.0
O00311,-384.0
O00322,-379.0
O00327,-336.0
O00329,-1399.0
O00330,-417.0
O00337,-1110.0
O00338,-180.0
O00339,-721.0
O00341,-890.0
O00358,-72.0
O00370,-1699.0
O00391,-822.0
O00400,-794.0
O00401,-109.0
O00408,-1178.0
O00409,28.0
O00410,-1357.0
O00411,-1382.0
O00418,-321.0
O00421,-616.0
O00422,-97.0
O00423,-253.0
O00425,-380.0
O00429,-892.0
O00442,-354.0
O00443,-1590.0
O00444,-444.0
O00445,-358.0
O00451,-352.0
O00453,-91.0
O00459,-728.0
O00461,-210.0
O00462,-609.0
O00463,-509.0
O00468,-519.0
O00469,-628.0
O00470,17.0
O00471,-874.0
O00472,-326.0
O00476,-572.0
O00478,-573.0
O00481,-480.0
O00482,-331.0
O00483,-90.0
O00487,-295.0
O00488,-71.0
O00499,-83.0
O00501,-385.0
O00505,-576.0
O00506,-362.0
O00507,-2748.0
O00512,1531.0
O00519,-343.0
O00522,-789.0
O00526,-288.0
O00533,-618.0
O00541,-444.0
O00548,133.0
O00555,-1695.0
O00559,-24.0
O00560,-299.0
O00562,-631.0
O00566,-221.0
O00567,-471.0
O00571,13.0
O00574,-607.0
O00584,-264.0
O00585,-43.0
O00587,-447.0
O00590,-677.0
O00591,-586.0
O00592,-130.0
O00602,63.0
O00622,-198.0
O00623,-530.0
O00625,-37.0
O00626,-127.0
O00628,-364.0
O00629,-540.0
O00631,-92.0
O00635,-363.0
O00712,-158.0
O00716,-237.0
O00743,-388.0
O00744,-337.0
O00746,-163.0
O00748,-386.0
O00750,-1671.0
O00754,-908.0
O00755,-212.0
O00757,-302.0
O00762,-138.0
O00763,-2494.0
O00764,-306.0
O00767,-545.0
O14490,-348.0
O14492,-506.0
O14493,-341.0
O14494,-417.0
O14495,-460.0
O14497,1943.0
O14503,-151.0
O14508,-178.0
O14511,-261.0
O14512,-187.0
O14514,-1141.0
O14519,-63.0
O14520,-390.0
O14521,-286.0
O14522,-956.0
O14523,-492.0
O14524,-630.0
O14525,-988.0
O14526,-540.0
O14529,-587.0
O14530,-138.0
O14531,-384.0
O14543,-98.0
O14544,-94.0
O14556,-328.0
O14558,-187.0
O14559,-418.0
O14561,-173.0
O14569,-446.0
O14576,-218.0
O14578,-1717.0
O14579,-348.0
O14593,-286.0
O14594,-114.0
O14595,-334.0
O14607,-857.0
O14610,-6.0
O14613,-29.0
O14617,-1061.0
O14618,-111.0
O14625,-80.0
O14627,147.0
O14628,-359.0
O14633,34.0
O14638,-552.0
O14639,-259.0
O14640,-62.0
O14641,123.0
O14645,-224.0
O14646,-775.0
O14647,-717.0
O14649,-491.0
O14653,-255.0
O14654,290.0
O14656,-448.0
O14657,-434.0
O14662,-378.0
O14669,-231.0
O14672,-180.0
O14678,-845.0
O14681,-626.0
O14682,-608.0
O14684,-311.0
O14686,-113.0
O14713,-101.0
O14717,-394.0
O14727,-1215.0
O14730,-400.0
O14732,-409.0
O14733,-309.0
O14734,-295.0
O14735,-430.0
O14737,-59.0
O14744,-654.0
O14745,-109.0
O14746,-1722.0
O14756,-463.0
O14757,-400.0
O14763,-215.0
O14764,-596.0
O14770,32.0
O14771,-65.0
O14772,-642.0
O14773,-189.0
O14775,-228.0
O14776,-504.0
O14777,-526.0
O14782,-405.0
O14786,-258.0
O14787,-1290.0
O14788,-223.0
O14791,-398.0
O14792,-369.0
O14793,-325.0
O14795,-1328.0
O14796,-155.0
O14798,-1.0
O14802,-1417.0
O14807,-228.0
O14810,10.0
O14813,-56.0
O14815,-642.0
O14817,-387.0
O14818,-183.0
O14827,-1472.0
O14828,-340.0
O14829,-685.0
O14830,-821.0
O14832,-250.0
O14836,-169.0
O14841,-809.0
O14842,-484.0
O14843,-547.0
O14862,-290.0
O14863,-599.0
O14867,-380.0
O14874,-588.0
O14879,-328.0
O14880,-204.0
O14893,-203.0
O14894,-258.0
O14896,-188.0
O14901,-370.0
O14904,-328.0
O14905,-332.0
O14907,-36.0
O14908,-205.0
O14910,-221.0
O14917,-557.0
O14920,-730.0
O14924,-191.0
O14925,-117.0
O14926,-318.0
O14929,-438.0
O14931,-247.0
O14933,-167.0
O14936,-905.0
O14939,-1156.0
O14944,-198.0
O14948,-324.0
O14949,-118.0
O14950,-76.0
O14957,-114.0
O14958,-319.0
O14960,-52.0
O14964,-127.0
O14965,-272.0
O14966,-187.0
O14967,-266.0
O14972,-326.0
O14974,-280.0
O14975,-799.0
O14976,-581.0
O14977,-258.0
O14978,-367.0
O14979,158.0
O14980,-1520.0
O14981,-2331.0
O14983,-1126.0
O14986,-405.0
O14994,-41.0
O15013,-894.0
O15014,383.0
O15015,-532.0
O15018,-308.0
O15020,-2663.0
O15021,-460.0
O15027,263.0
O15031,-1493.0
O15033,-814.0
O15040,-752.0
O15041,-710.0
O15042,-311.0
O15047,-29.0
O15049,-313.0
O15054,-326.0
O15055,-223.0
O15056,-891.0
O15060,-529.0
O15061,-410.0
O15062,-59.0
O15066,-334.0
O15067,-878.0
O15068,-968.0
O15072,-526.0
O15075,-340.0
O15078,-2520.0
O15079,-185.0
O15083,-859.0
O15084,-1217.0
O15085,-840.0
O15091,-644.0
O15105,-217.0
O15111,-878.0
O15116,-167.0
O15117,401.0
O15118,-1394.0
O15119,-371.0
O15120,-371.0
O15121,-475.0
O15123,-220.0
O15126,-235.0
O15127,-379.0
O15130,2.0
O15131,-605.0
O15143,-276.0
O15144,-330.0
O15145,-124.0
O15146,-1062.0
O15151,-288.0
O15155,-71.0
O15156,-225.0
O15160,-331.0
O15162,37.0
O15164,-285.0
O15165,-59.0
O15169,-243.0
O15173,-51.0
O15178,-17.0
O15182,-119.0
O15194,-311.0
O15195,-550.0
O15197,-704.0
O15198,-228.0
O15204,-446.0
O15205,-195.0
O15209,245.0
O15211,-490.0
O15212,-64.0
O15217,-294.0
O15226,-240.0
O15228,-861.0
O15229,-590.0
O15230,-1972.0
O15231,68.0
O15232,-365.0
O15234,456.0
O15239,-108.0
O15240,-82.0
O15243,-253.0
O15244,-918.0
O15245,-849.0
O15247,-234.0
O15254,-844.0
O15258,-330.0
O15259,-603.0
O15260,-474.0
O15263,-69.0
O15264,-312.0
O15265,220.0
O15266,-128.0
O15269,-535.0
O15270,-582.0
O15273,-91.0
O15287,-887.0
O15294,-1312.0
O15296,-821.0
O15297,-285.0
O15303,-951.0
O15304,-171.0
O15305,-188.0
O15315,-487.0
O15318,34.0
O15327,-984.0
O15342,-166.0
O15344,-750.0
O15347,90.0
O15350,-121.0
O15353,22.0
O15354,-711.0
O15355,173.0
O15357,-766.0
O15360,-2219.0
O15370,26.0
O15371,-180.0
O15372,-228.0
O15374,-778.0
O15379,-240.0
O15381,-755.0
O15382,-357.0
O15389,-328.0
O15391,32.0
O15392,-106.0
O15393,-144.0
O15394,-488.0
O15397,-1455.0
O15399,-1027.0
O15400,-249.0
O15405,-150.0
O15409,-215.0
O15427,-665.0
O15431,-190.0
O15438,-2354.0
O15439,-1911.0
O15440,-1897.0
O15444,-204.0
O15446,242.0
O15455,-1107.0
O15457,-911.0
O15460,-535.0
O15466,-487.0
O15467,-187.0
O15479,-145.0
O15481,-231.0
O15484,-545.0
O15488,-287.0
O15492,-199.0
O15496,-156.0
O15498,-198.0
O15499,-141.0
O15503,-392.0
O15504,363.0
O15511,-59.0
O15514,-89.0
O15516,-327.0
O15519,-551.0
O15520,-140.0
O15522,-156.0
O15523,-18.0
O15524,-252.0
O15525,-161.0
O15527,-409.0
O15528,-704.0
O15529,-539.0
O15530,-377.0
O15533,-344.0
O15534,-55.0
O15535,-353.0
O15537,-168.0
O15540,-78.0
O15541,-20.0
O15547,-337.0
O15550,-649.0
O15551,-343.0
O15552,-589.0
O15553,-434.0
O15554,-718.0
O42043,-659.0
O43143,-857.0
O43147,-1039.0
O43148,-221.0
O43149,-3044.0
O43150,-732.0
O43151,-109.0
O43155,-621.0
O43156,-1694.0
O43157,-1684.0
O43159,-207.0
O43164,88.0
O43166,-548.0
O43167,-350.0
O43169,-153.0
O43172,-451.0
O43173,-409.0
O43174,-661.0
O43175,-529.0
O43181,-115.0
O43182,-296.0
O43184,-512.0
O43186,4.0
O43187,-601.0
O43189,-234.0
O43193,-734.0
O43194,-669.0
O43196,-1081.0
O43236,-243.0
O43237,-197.0
O43240,-281.0
O43242,-581.0
O43248,18.0
O43251,11.0
O43252,-519.0
O43255,-331.0
O43257,-39.0
O43264,-999.0
O43272,-717.0
O43278,-224.0
O43280,-510.0
O43281,-217.0
O43283,-491.0
O43286,-267.0
O43290,-306.0
O43291,-159.0
O43292,-1034.0
O43293,-481.0
O43294,-97.0
O43295,-816.0
O43296,-296.0
O43298,-150.0
O43299,-1275.0
O43300,-638.0
O43303,-326.0
O43306,-1680.0
O43307,-564.0
O43309,-362.0
O43310,-200.0
O43312,1.0
O43313,-63.0
O43314,-906.0
O43315,-377.0
O43316,-351.0
O43318,-220.0
O43320,-153.0
O43323,-506.0
O43324,-229.0
O43353,-570.0
O43364,-62.0
O43365,163.0
O43374,-852.0
O43379,-1003.0
O43390,240.0
O43395,-490.0
O43396,-61.0
O43399,-100.0
O43402,-277.0
O43405,-303.0
O43422,-953.0
O43424,-931.0
O43426,-630.0
O43427,-505.0
O43432,-822.0
O43435,-197.0
O43439,-327.0
O43447,-5.0
O43451,-1490.0
O43462,-743.0
O43463,-362.0
O43464,-511.0
O43474,36.0
O43482,-226.0
O43488,-395.0
O43490,-1154.0
O43491,-389.0
O43493,336.0
O43497,-2267.0
O43502,-490.0
O43504,-76.0
O43505,-433.0
O43506,-527.0
O43508,-255.0
O43511,-1031.0
O43513,-241.0
O43516,365.0
O43520,-1569.0
O43521,-40.0
O43524,221.0
O43525,-633.0
O43526,-572.0
O43529,-523.0
O43541,-239.0
O43542,-474.0
O43543,-374.0
O43548,-412.0
O43556,-327.0
O43557,-281.0
O43559,-40.0
O43561,-27.0
O43566,-347.0
O43567,-345.0
O43570,-257.0
O43572,-475.0
O43581,-263.0
O43583,-79.0
O43586,-329.0
O43592,-1395.0
O43593,-442.0
O43597,-112.0
O43598,-148.0
O43602,-43.0
O43603,-748.0
O43609,-212.0
O43610,-265.0
O43612,-185.0
O43613,-791.0
O43614,-785.0
O43615,-386.0
O43617,-165.0
O43623,-198.0
O43633,-123.0
O43639,-104.0
O43653,-115.0
O43660,-358.0
O43663,-516.0
O43665,-84.0
O43670,334.0
O43674,-299.0
O43676,-49.0
O43678,-81.0
O43679,-161.0
O43680,-35.0
O43681,-236.0
O43683,-677.0
O43684,-165.0
O43687,28.0
O43688,-456.0
O43699,-241.0
O43704,-270.0
O43707,-987.0
O43708,-256.0
O43709,-129.0
O43711,-147.0
O43715,-26.0
O43716,-119.0
O43719,355.0
O43731,-466.0
O43734,-233.0
O43739,-398.0
O43741,-148.0
O43745,-158.0
O43747,-991.0
O43749,-655.0
O43752,-259.0
O43759,-159.0
O43760,-249.0
O43761,-156.0
O43763,32.0
O43765,-149.0
O43766,-322.0
O43768,97.0
O43772,-295.0
O43776,-477.0
O43781,-441.0
O43790,-382.0
O43791,-327.0
O43795,-1331.0
O43805,-90.0
O43808,-517.0
O43809,-230.0
O43813,-467.0
O43815,-403.0
O43818,-359.0
O43819,-281.0
O43820,-468.0
O43822,-232.0
O43823,301.0
O43825,-426.0
O43826,-546.0
O43827,-165.0
O43829,-256.0
O43837,-396.0
O43847,-1024.0
O43852,-101.0
O43854,-117.0
O43861,-1476.0
O43865,-425.0
O43866,-32.0
O43868,-974.0
O43889,-360.0
O43895,-528.0
O43896,-567.0
O43897,-467.0
O43900,-408.0
O43903,-207.0
O43909,-902.0
O43913,-714.0
O43914,-146.0
O43915,-299.0
O43916,-548.0
O43918,-348.0
O43920,-83.0
O43921,-146.0
O43924,-86.0
O43927,-132.0
O43929,-576.0
O43933,-1103.0
O60216,-205.0
O60218,-367.0
O60220,-58.0
O60229,-2942.0
O60231,-1018.0
O60232,-144.0
O60235,-418.0
O60237,-420.0
O60238,38.0
O60239,-98.0
O60240,-365.0
O60241,-1097.0
O60242,-1182.0
O60243,-351.0
O60244,-1373.0
O60248,25.0
O60256,-491.0
O60258,-121.0
O60259,-41.0
O60260,-236.0
O60264,-1005.0
O60266,-1385.0
O60269,-205.0
O60271,-452.0
O60281,-1032.0
O60282,-737.0
O60284,-105.0
O60285,-415.0
O60291,-309.0
O60292,-443.0
O60293,-1111.0
O60294,-682.0
O60296,-503.0
O60303,-804.0
O60304,-121.0
O60306,-1655.0
O60307,-736.0
O60308,-1065.0
O60312,-1765.0
O60313,-1070.0
O60315,-82.0
O60318,-1132.0
O60331,-312.0
O60333,-1555.0
O60336,-729.0
O60337,-1660.0
O60341,-480.0
O60343,-976.0
O60346,-939.0
O60353,-903.0
O60356,27.0
O60359,-390.0
O60381,48.0
O60383,-435.0
O60391,-1318.0
O60393,136.0
O60423,-1622.0
O60427,-709.0
O60437,-1665.0
O60443,-531.0
O60447,-745.0
O60449,-1240.0
O60462,-483.0
O60469,-1208.0
O60476,-723.0
O60477,-715.0
O60478,-646.0
O60479,5.0
O60481,26.0
O60486,-1280.0
O60487,-269.0
O60488,-564.0
O60493,-134.0
O60494,-137.0
O60496,-194.0
O60499,-233.0
O60500,-905.0
O60502,-671.0
O60503,-1322.0
O60504,51.0
O60506,171.0
O60507,-444.0
O60508,-323.0
O60512,-142.0
O60513,-314.0
O60519,-37.0
O60524,-623.0
O60543,-259.0
O60547,-389.0
O60548,-26.0
O60551,-429.0
O60563,-273.0
O60565,-38.0
O60566,-860.0
O60568,-682.0
O60573,-88.0
O60583,-253.0
O60602,-1058.0
O60603,-1013.0
O60609,-578.0
O60610,-922.0
O60635,-342.0
O60636,-356.0
O60641,-265.0
O60645,-1031.0
O60656,-743.0
O60658,-905.0
O60662,-528.0
O60663,-140.0
O60664,-278.0
O60667,-289.0
O60669,-663.0
O60671,-242.0
O60673,-1592.0
O60674,-1095.0
O60675,-171.0
O60678,-513.0
O60682,-34.0
O60683,-552.0
O60684,-620.0
O60687,-268.0
O60701,-483.0
O60704,-442.0
O60706,-2405.0
O60711,-214.0
O60716,-436.0
O60721,-697.0
O60725,-377.0
O60729,-376.0
O60733,-761.0
O60741,-538.0
O60749,-429.0
O60755,-686.0
O60759,-140.0
O60760,-285.0
O60762,-308.0
O60763,-859.0
O60779,-897.0
O60783,-170.0
O60784,-301.0
O60806,-41.0
O60812,116.0
O60814,-99.0
O60825,-513.0
O60826,-837.0
O60828,-43.0
O60829,88.0
O60830,-104.0
O60831,-395.0
O60832,-513.0
O60840,-2253.0
O60841,-120.0
O60844,-51.0
O60858,-522.0
O60861,-208.0
O60869,-62.0
O60870,-344.0
O60879,-1025.0
O60880,-101.0
O60882,-207.0
O60883,-675.0
O60884,12.0
O60885,-32.0
O60888,-220.0
O60890,-635.0
O60894,-282.0
O60895,-257.0
O60896,-202.0
O60902,-42.0
O60906,-558.0
O60907,-326.0
O60909,-347.0
O60911,42.0
O60921,-351.0
O60925,-101.0
O60927,-32.0
O60928,-458.0
O60930,-3.0
O60931,-542.0
O60934,-228.0
O60936,47.0
O60938,-392.0
O60939,-151.0
O60941,-475.0
O60942,-327.0
O75015,-217.0
O75019,-239.0
O75022,-212.0
O75023,-365.0
O75027,-865.0
O75030,-340.0
O75031,-405.0
O75037,-1144.0
O75038,-288.0
O75044,-738.0
O75051,-1578.0
O75052,-314.0
O75054,-812.0
O75056,-147.0
O75061,8.0
O75063,-516.0
O75069,-442.0
O75072,-443.0
O75074,-166.0
O75077,-333.0
O75078,-323.0
O75081,-391.0
O75083,-274.0
O75084,-687.0
O75093,-778.0
O75094,-1169.0
O75096,-1192.0
O75106,-702.0
O75110,-1504.0
O75112,-256.0
O75113,-589.0
O75116,-1109.0
O75121,-400.0
O75122,-779.0
O75127,-684.0
O75128,-300.0
O75129,-1125.0
O75131,-309.0
O75132,-870.0
O75140,-1026.0
O75143,-241.0
O75144,-254.0
O75145,-831.0
O75146,-1254.0
O75147,-1692.0
O75150,-817.0
O75151,-203.0
O75152,-329.0
O75154,-207.0
O75155,-1882.0
O75159,-336.0
O75161,-1208.0
O75164,-437.0
O75165,-2815.0
O75167,-33.0
O75170,-813.0
O75173,-443.0
O75175,8.0
O75177,552.0
O75179,-547.0
O75182,-889.0
O75185,-1019.0
O75190,294.0
O75191,-384.0
O75192,-425.0
O75197,-1535.0
O75204,-336.0
O75208,-266.0
O75223,-45.0
O75251,-200.0
O75293,-168.0
O75298,-497.0
O75306,-433.0
O75309,-711.0
O75310,-635.0
O75311,-575.0
O75312,-275.0
O75317,-298.0
O75319,-223.0
O75323,-365.0
O75324,-117.0
O75326,-387.0
O75330,-458.0
O75334,-1122.0
O75339,-586.0
O75340,-116.0
O75342,-933.0
O75343,-563.0
O75344,-342.0
O75347,-98.0
O75348,-77.0
O75351,-306.0
O75354,-492.0
O75355,-408.0
O75356,-384.0
O75360,-37.0
O75362,-177.0
O75364,-37.0
O75365,-219.0
O75366,-592.0
O75367,-221.0
O75369,-128.0
O75376,-426.0
O75379,-87.0
O75380,-66.0
O75381,-45.0
O75382,-371.0
O75385,-397.0
O75386,-195.0
O75387,-824.0
O75390,-457.0
O75396,-261.0
O75398,-277.0
O75400,-231.0
O75409,-17.0
O75410,-90.0
O75414,-225.0
O75417,-1712.0
O75419,-691.0
O75420,-118.0
O75425,-234.0
O75427,-506.0
O75431,-307.0
O75436,-287.0
O75438,-79.0
O75439,-578.0
O75443,-1098.0
O75444,96.0
O75445,-2859.0
O75446,-82.0
O75448,-1369.0
O75449,-335.0
O75452,-444.0
O75460,-850.0
O75461,-232.0
O75462,-370.0
O75469,-423.0
O75473,-1304.0
O75475,167.0
O75477,-361.0
O75478,-571.0
O75486,-413.0
O75487,-369.0
O75489,-366.0
O75494,-36.0
O75496,-18.0
O75503,-247.0
O75506,-41.0
O75508,-410.0
O75509,-404.0
O75521,-254.0
O75525,-49.0
O75528,-208.0
O75529,-477.0
O75530,-284.0
O75531,-96.0
O75533,-1364.0
O75534,-341.0
O75553,-2.0
O75554,26.0
O75556,-111.0
O75558,-328.0
O75563,-152.0
O75564,-445.0
O75569,-213.0
O75575,-125.0
O75578,-965.0
O75581,-1256.0
O75582,-624.0
O75586,-207.0
O75592,-2816.0
O75593,-91.0
O75594,-115.0
O75600,-408.0
O75602,-755.0
O75603,-165.0
O75604,-298.0
O75607,-32.0
O75608,-164.0
O75610,-394.0
O75616,-397.0
O75618,-376.0
O75626,-390.0
O75629,-217.0
O75631,-217.0
O75636,-48.0
O75638,106.0
O75643,-2601.0
O75648,-437.0
O75663,-256.0
O75665,-793.0
O75674,-306.0
O75676,-630.0
O75677,-295.0
O75679,-280.0
O75688,-272.0
O75689,-281.0
O75691,-4084.0
O75694,-1500.0
O75695,-215.0
O75712,-442.0
O75716,-396.0
O75717,-518.0
O75718,-468.0
O75746,-798.0
O75747,-1589.0
O75751,-939.0
O75752,-515.0
O75762,-1443.0
O75771,-377.0
O75781,-104.0
O75783,-606.0
O75787,-411.0
O75791,-100.0
O75792,-260.0
O75795,-668.0
O75800,-588.0
O75807,-29.0
O75808,-760.0
O75815,-594.0
O75817,-178.0
O75818,-423.0
O75821,-111.0
O75822,3.0
O75828,-318.0
O75829,-194.0
O75832,-249.0
O75838,-154.0
O75840,-305.0
O75841,-353.0
O75843,-1240.0
O75844,-668.0
O75845,-450.0
O75864,-361.0
O75865,-201.0
O75871,-265.0
O75874,-257.0
O75879,-547.0
O75880,-294.0
O75881,-730.0
O75882,-588.0
O75884,-144.0
O75886,-216.0
O75888,-181.0
O75891,-652.0
O75896,-63.0
O75897,-253.0
O75899,-1101.0
O75900,-536.0
O75907,-776.0
O75908,-992.0
O75909,-261.0
O75911,-433.0
O75912,-730.0
O75914,-286.0
O75915,-297.0
O75916,-407.0
O75920,4.0
O75923,-1677.0
O75925,-485.0
O75928,-437.0
O75934,-250.0
O75935,-245.0
O75936,-347.0
O75937,-114.0
O75940,-37.0
O75943,-452.0
O75951,-189.0
O75952,-64.0
O75955,-475.0
O75962,-2498.0
O75969,-375.0
O75970,-1105.0
O75971,-26.0
O75976,-666.0
O76003,-283.0
O76011,-431.0
O76013,-466.0
O76014,-428.0
O76015,-456.0
O76021,-368.0
O76024,-1376.0
O76027,-468.0
O76031,-374.0
O76036,-279.0
O76039,-236.0
O76041,-459.0
O76050,-538.0
O76054,-351.0
O76061,-219.0
O76062,-724.0
O76064,-292.0
O76070,20.0
O76071,-294.0
O76074,-814.0
O76075,-338.0
O76076,-133.0
O76080,119.0
O76081,-337.0
O76082,-872.0
O76083,-638.0
O76090,-655.0
O76093,-177.0
O76094,-549.0
O76095,-131.0
O76096,-169.0
O77932,-235.0
O94759,-1682.0
O94760,-345.0
O94761,-863.0
O94762,-483.0
O94763,-244.0
O94766,-320.0
O94768,-376.0
O94769,-407.0
O94776,-630.0
O94777,-215.0
O94778,-350.0
O94779,-500.0
O94782,-288.0
O94788,-311.0
O94804,-804.0
O94805,-236.0
O94806,-619.0
O94808,-885.0
O94810,-442.0
O94811,-95.0
O94812,-1418.0
O94813,-1019.0
O94817,-120.0
O94818,-8.0
O94822,-2398.0
O94823,-1504.0
O94826,-391.0
O94827,-558.0
O94829,-1443.0
O94830,-413.0
O94832,-1176.0
O94842,-113.0
O94844,-851.0
O94850,-49.0
O94851,-937.0
O94855,-456.0
O94856,-465.0
O94864,-166.0
O94868,-503.0
O94874,-908.0
O94875,-234.0
O94876,-462.0
O94885,-56.0
O94886,-1286.0
O94887,-1107.0
O94888,-244.0
O94898,-900.0
O94900,56.0
O94901,-682.0
O94905,-303.0
O94906,-833.0
O94907,-96.0
O94910,-1131.0
O94911,-2014.0
O94915,-3253.0
O94916,718.0
O94919,-605.0
O94921,-369.0
O94923,-420.0
O94925,-436.0
O94927,-869.0
O94929,-293.0
O94933,-704.0
O94941,-339.0
O94953,-697.0
O94955,-798.0
O94956,-837.0
O94964,-960.0
O94966,-763.0
O94972,-588.0
O94973,-1142.0
O94979,-361.0
O94983,-889.0
O94985,-571.0
O94986,-1016.0
O94989,-504.0
O94991,-789.0
O94992,55.0
O94993,-160.0
O95045,-372.0
