UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,PSPire_includes_IDRs,PSPspredict_PDL,PSPspredict_catGRANULE,PSPspredict_PLAAC,PSPspredict_PScore,PSPspredict_ESpritz_DisProt,PSPspredict_SEG,PSPspredict_DeepPhase,PSPspredict_SaPS_10fea,PSPspredict_PdPS_10fea,PSPspredict_Psphunter,PSPspredict_PSPire,Entry name,p(LLPS),pLLPS_Class,TMD_count,Length,Functional_Categories,Compartment
Q8N114,Protein shisa-5,SHISA5 SCOTIN,,PhasePDB,True,0.0353312183,0.0413076915,0.000833333,0.268,0.0060578524,Yes,0.111964665,0.030576687116564,0.985270129998517,0.95221787345075,0.537717791411042,0.978552147239263,,0.958282208588957,0.739582822085889,0.268,0.0096855638548731,SHSA5_HUMAN,0.86,High,1,240,[],endoplasmic reticulum
O00254,Proteinase-activated receptor 3,F2RL2 PAR3,,PhasePDB,True,0.033985114,0.0564192103,0.0,0.082,0.0067556067,Yes,0.0671593,0.068073619631901,0.329692056744599,0.226081756903674,4.9079754601227e-05,0.307877300613496,,0.291190184049079,0.092220858895705,0.082,0.0044090170413255,PAR3_HUMAN,0.19,Low,7,374,"['GPCR', 'Hydrolase', 'Receptor']",extracellular region
O14763,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9,,PhasePDB,True,0.4304014178,0.2870047146,0.003333333,0.512,0.005453388,Yes,0.18987988,0.475680981595092,0.347783105135682,0.615677321156773,0.659239263803681,0.852564417177914,,0.135558282208588,0.214723926380368,0.512,0.0255585554987192,TR10B_HUMAN,0.93,High,1,440,['Receptor'],plasma membrane
O60733,85/88 kDa calcium-independent phospholipase A2,PLA2G6 PLPLA9,,PhasePDB,True,0.5664662817,0.399266885,0.0,0.3,0.095477454,Yes,0.07689765,0.675533742331288,0.79714299836884,0.184714068275712,4.9079754601227e-05,4.9079754601227e-05,0.904825849769198,0.301398773006135,0.289766871165644,0.3,0.0843325778841972,PLPL9_HUMAN,0.38,Low,2,806,['Hydrolase'],mitochondrion
O75445,Usherin,USH2A,,PhasePDB,True,0.1711297,0.0767009046,,0.607,0.1819633,No,0.6192894,0.952343558282208,0.905985863279126,0.907914764079147,4.9079754601227e-05,0.208539877300613,,0.805742331288343,0.424343558282208,0.607,,USH2A_HUMAN,0.98,High,1,5202,[],extracellular region
O75581,Low-density lipoprotein receptor-related protein 6,LRP6,Wnt signalodroplet,PhasePDB,True,0.3626361058,0.1679332333,0.0,0.632,0.56313956,Yes,0.92131233,0.836368098159509,0.886906233008748,0.940204392259186,0.579484662576687,0.462576687116564,,0.816736196319018,0.690355828220859,0.632,0.54847776889801,LRP6_HUMAN,0.42,Medium,1,1613,"['Transporter', 'Receptor', 'Adhesion']",extracellular region
P01857,Immunoglobulin heavy constant gamma 1,IGHG1,,PhasePDB,True,0.5233330433,0.3389780551,,0.688,0.37336266,No,0.8466357,0.41320245398773,0.602194651772033,0.561154598825831,4.9079754601227e-05,0.36961963190184,,0.788466257668711,0.80760736196319,0.688,0.98456871509552,IGHG1_HUMAN,0.43,Medium,1,330,[],extracellular region
P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2 HER2 MLN19 NEU NGL,,PhasePDB,True,0.392907963,0.9582996305,0.000833333,0.722,0.97369987,Yes,0.57638264,0.700368098159509,0.711334091246107,0.870352250489236,0.690748466257668,0.519411042944785,0.688292068820814,0.881079754601227,0.755533742331288,0.722,0.986435115337371,ERBB2_HUMAN,0.53,Medium,1,1255,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",nucleus
P05556,Integrin beta-1,ITGB1 FNRB MDF2 MSK12,,PhasePDB,True,0.6429573146,0.4607566586,0.000833333,0.77,0.3943021,No,0.8566749,0.869300613496932,0.542336018980772,0.872907153729071,4.9079754601227e-05,0.316515337423312,0.422324800671422,0.16721472392638,0.832,0.77,0.420895516872406,ITB1_HUMAN,0.24,Low,1,798,"['Receptor', 'Adhesion']",endosome
P08172,Muscarinic acetylcholine receptor M2,CHRM2,,PhasePDB,True,0.2188307225,0.1227573668,0.000833333,0.262,0.05264176,Yes,0.18099809,0.261006134969325,0.57140032623202,0.306534029136768,4.9079754601227e-05,0.48961963190184,,0.762944785276073,0.514944785276073,0.262,0.0555135421454906,ACM2_HUMAN,0.82,High,7,466,"['GPCR', 'Receptor']",nucleolus
P10747,T-cell-specific surface glycoprotein CD28,CD28,,PhasePDB,True,0.08681307,0.1246023925,0.0,0.048,0.08280896,No,0.07588824,0.280098159509202,0.631950966338787,0.339802130898021,4.9079754601227e-05,4.9079754601227e-05,,0.741349693251533,0.53521472392638,0.048,0.0775647833943367,CD28_HUMAN,0.22,Low,1,220,['Receptor'],cytosol
P11362,Fibroblast growth factor receptor 1,FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR,,PhasePDB,True,0.6645710642,0.9266439739,0.0,0.76,0.47035217,Yes,0.92361313,0.583411042944785,0.304928080668281,0.62138508371385,0.594895705521472,0.403092024539877,0.79026437263953,0.79322699386503,0.761815950920245,0.76,0.962527453899383,FGFR1_HUMAN,0.69,Medium,1,822,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region
P13569,Cystic fibrosis transmembrane conductance regulator,CFTR ABCC7,,PhasePDB,True,0.2546825181,0.4120775603,0.0,0.663,0.021911938,Yes,0.09145178,0.711067484662576,0.626464336908704,0.332952815829528,0.539533742331288,0.302723926380368,,0.719312883435582,0.505570552147239,0.663,0.022392014041543,CFTR_HUMAN,0.13,Low,12,1480,"['Ion Channel', 'Transporter', 'Hydrolase']",nucleus
P15529,Membrane cofactor protein,CD46 MCP MIC10,,PhasePDB,True,0.2376365743,0.1220824125,0.0,0.326,0.0045261797,Yes,0.40443537,0.355582822085889,0.534180218476595,0.640193520330506,4.9079754601227e-05,0.816343558282208,0.524129248845992,0.084466257668711,0.087705521472392,0.326,0.002218049718067,MCP_HUMAN,0.35,Low,1,392,[],plasma membrane
P15941,Mucin-1,MUC1 PUM,,PhasePDB,True,0.5785296345000001,0.5411850709,0.001666667,0.64,0.14811698,Yes,0.8432403,0.636171779141104,0.861993969650536,0.934768427919112,0.930159509202453,0.417325153374233,,0.842650306748466,0.513276073619631,0.64,0.198781177401542,MUC1_HUMAN,1.0,High,1,1255,[],nucleus
P15954,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C,Nucleolus,PhasePDB,True,0.1903205977,0.0629877918,,0.112,0.49630556,No,0.019097123,0.055067484662576,0.064010676684296,,0.960638036809816,4.9079754601227e-05,,0.712687116564417,0.583754601226993,0.112,0.496305555105209,COX7C_HUMAN,0.14,Low,1,63,[],mitochondrion
P17948,Vascular endothelial growth factor receptor 1,FLT1 FLT FRT VEGFR1,,PhasePDB,True,0.7882259247000001,0.9377701125,0.0,0.587,0.9283825,Yes,0.47822154,0.771435582822085,0.497108398003064,0.433083278973689,4.9079754601227e-05,0.314110429447852,0.211246328157784,0.298552147239263,0.766674846625766,0.587,0.983291506767273,VGFR1_HUMAN,0.24,Low,1,1338,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",endosome
P20963,T-cell surface glycoprotein CD3 zeta chain,CD247 CD3Z T3Z TCRZ,,PhasePDB,True,0.3123967122,0.4840543155,0.000833333,0.557,0.7059225,No,0.27302536,0.685742331288343,0.560130492808066,0.018482278756251,0.914110429447852,4.9079754601227e-05,,0.910576687116564,0.86360736196319,0.557,0.705922484397888,CD3Z_HUMAN,0.57,Medium,1,164,['Receptor'],Golgi apparatus
P21802,Fibroblast growth factor receptor 2,FGFR2 BEK KGFR KSAM,,PhasePDB,True,0.7650979889,0.9424842616,0.0,0.768,0.9132317,Yes,0.94704413,0.615950920245398,0.299243734862339,0.592411393781256,0.581398773006135,0.478625766871165,0.463533361309274,0.73403680981595,0.85163190184049,0.768,0.989517331123352,FGFR2_HUMAN,0.27,Low,1,821,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region
P29317,Ephrin type-A receptor 2,EPHA2 ECK,,PhasePDB,True,0.6092959723,0.8335993825,0.0,0.795,0.83137894,No,0.9140496,0.754895705521472,0.430576837526568,0.633072407045009,4.9079754601227e-05,0.331582822085889,0.779353755770037,0.837595092024539,0.75641717791411,0.795,0.372473508119583,EPHA2_HUMAN,0.24,Low,1,976,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane
P31431,Syndecan-4,SDC4,,PhasePDB,True,0.388778526,0.7115716514,0.0,0.207,0.02247028,No,0.067893796,0.615263803680981,0.035638376748554,0.711024135681669,4.9079754601227e-05,0.809374233128834,0.446663869072597,0.443730061349693,0.664343558282208,0.207,0.021769318729639,SDC4_HUMAN,1.0,High,1,198,['Receptor'],plasma membrane
P31645,Sodium-dependent serotonin transporter,SLC6A4 HTT SERT,,PhasePDB,True,0.0786668072,0.0928171348,0.0,0.169,0.011828845,Yes,0.07503053,0.370748466257668,0.534180218476595,0.42286366601435,0.544294478527607,4.9079754601227e-05,0.838858581619807,0.601128834355828,0.504294478527607,0.169,0.0121556241065263,SC6A4_HUMAN,0.15,Low,12,630,"['Ion Channel', 'Transporter', 'Adhesion']",plasma membrane
P35968,Vascular endothelial growth factor receptor 2,KDR FLK1 VEGFR2,,PhasePDB,True,0.7550936052,0.9323550167,0.0,0.692,0.8592192,Yes,0.4420609,0.79042944785276,0.332262369630764,0.51842791911285,0.605006134969325,0.27842944785276,0.114981116240033,0.11803680981595,0.584196319018404,0.692,0.958085358142852,VGFR2_HUMAN,0.51,Medium,1,1356,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region
P40967,Melanocyte protein PMEL,PMEL D12S53E PMEL17 SILV,,PhasePDB,True,0.196225374,0.0732124528,0.000833333,0.526,0.89362746,Yes,0.12667523,0.464736196319018,0.777865651722603,0.70075016307893,4.9079754601227e-05,0.520049079754601,,0.441374233128834,0.027779141104294,0.526,0.95143049955368,PMEL_HUMAN,0.68,Medium,1,661,[],endoplasmic reticulum
P46531,Neurogenic locus notch homolog protein 1,NOTCH1 TAN1,Transcriptional condensate,PhasePDB,True,0.1535407927,0.2245633972,0.001666667,0.743,0.03198308,Yes,0.94605476,0.952196319018405,0.992684494093223,0.955044574907588,0.563042944785276,0.577865030674846,0.208476710029374,0.905766871165644,0.862233128834355,0.743,0.0149847920984029,NOTC1_HUMAN,0.93,High,1,2555,['Receptor'],extracellular region
P49146,Neuropeptide Y receptor type 2,NPY2R,,PhasePDB,True,0.0676945485,0.0647755815,0.0,0.089,0.0028923738,Yes,0.08522265,0.136687116564417,0.118580396421333,0.034898891063274,0.587533742331288,0.350085889570552,,0.270380368098159,0.174723926380368,0.089,0.0027646373491734,NPY2R_HUMAN,0.15,Low,7,381,"['GPCR', 'Receptor']",plasma membrane
P61073,C-X-C chemokine receptor type 4,CXCR4,,PhasePDB,True,0.0584381525,0.1480987065,0.0,0.232,0.24888709,Yes,0.092421554,0.218552147239263,0.135584004745193,0.066155686018699,0.631116564417177,0.36961963190184,,0.762503067484662,0.659092024539877,0.232,0.307145565748214,CXCR4_HUMAN,0.19,Low,7,352,"['GPCR', 'Receptor']",lysosome
P63027,Vesicle-associated membrane protein 2,VAMP2 SYB2,,PhasePDB,True,0.3293824143,0.1218503367,0.000833333,0.372,0.091656424,No,0.94790345,0.048785276073619,0.363896989768177,,0.941447852760736,0.954110429447852,,0.588711656441717,0.479754601226993,0.372,0.0916564241051673,VAMP2_HUMAN,0.4,Low,1,116,[],cytosol
Q03135,Caveolin-1,CAV1 CAV,,PhasePDB,True,0.1765001169,0.1565787829,0.0,0.516,0.9744093,No,0.03209884,0.172907975460122,0.07266076812812,0.004185692541856,4.9079754601227e-05,4.9079754601227e-05,0.06537977339488,0.74841717791411,0.653742331288343,0.516,0.987749099731445,CAV1_HUMAN,0.11,Low,1,178,[],endosome
Q04671,P protein,OCA2 D15S12 P,Inclusion body,PhasePDB,True,0.0756650948,0.0351939545,0.0,0.164,0.00041875648,Yes,0.037596446,0.265865030674846,0.634323562849093,0.595346814524896,0.624196319018404,0.726282208588957,,0.464441717791411,0.018208588957055,0.164,0.0004599345847964,P_HUMAN,0.37,Low,12,838,"['Ion Channel', 'Transporter']",Other
Q07065,Cytoskeleton-associated protein 4,CKAP4,,PhasePDB,True,0.8507573909,0.9447702764,0.004166667,0.803,0.75943923,Yes,0.7105539,0.83042944785276,0.98561613365627,0.957762557077625,0.735165644171779,0.890453987730061,0.739823751573646,0.99921472392638,0.967018404907975,0.803,0.670287489891052,CKAP4_HUMAN,0.85,High,1,602,[],mitochondrion
Q12879,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A NMDAR2A,,PhasePDB,True,0.5079130691,0.2602143113,0.000833333,0.406,0.21759966,Yes,0.20490889,0.882601226993865,0.881815036330384,0.603283322461404,4.9079754601227e-05,0.23361963190184,,0.662282208588957,0.827582822085889,0.406,0.212021350860595,NMDE1_HUMAN,0.5,Medium,4,1464,"['Ion Channel', 'Transporter', 'Receptor']",plasma membrane
Q13021,MAL-like protein,MALL BENE,PML nuclear body,PhasePDB,True,0.0720814804,0.0480926459,0.0,0.02,0.036293495,No,0.030321533,0.014085889570552,0.129158222529781,0.001032833224614,4.9079754601227e-05,0.410061349693251,,0.242699386503067,0.158871165644171,0.02,0.0505762882530689,MALL_HUMAN,0.1,Low,4,153,['Structural'],plasma membrane
Q14BN4,Sarcolemmal membrane-associated protein,SLMAP KIAA1601 SLAP,,PhasePDB,True,0.6384488869,0.4659361981,0.0,0.572,0.58318293,Yes,0.79843414,0.475779141104294,0.290494785230586,0.399162861491628,4.9079754601227e-05,0.42880981595092,0.574402014267729,0.15401226993865,0.576932515337423,0.572,0.475735485553741,SLMAP_HUMAN,0.37,Low,2,828,[],endoplasmic reticulum
Q15303,Receptor tyrosine-protein kinase erbB-4,ERBB4 HER4,,PhasePDB,True,0.6498495255,0.9418487265,0.0,0.719,0.9430021,Yes,0.91226614,0.835484662576687,0.844792644950818,0.89117199391172,4.9079754601227e-05,0.213104294478527,,0.75322699386503,0.779190184049079,0.719,0.978199183940887,ERBB4_HUMAN,0.19,Low,1,1308,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region
Q16635,Tafazzin,TAFAZZIN EFE2 G4.5 TAZ,Z granule,PhasePDB,True,0.3143809595,0.1119900462,0.0,0.295,0.009672598,No,0.023787301,0.410650306748466,0.051752261381048,0.163785605566427,4.9079754601227e-05,4.9079754601227e-05,0.110700797314309,0.568343558282208,0.321177914110429,0.295,0.108853138983249,TAZ_HUMAN,0.21,Low,1,292,['Transferase'],mitochondrion
Q7Z3C6,Autophagy-related protein 9A,ATG9A APG9L1,FIP200 puncta,PhasePDB,True,0.069750691,0.056589452,0.000833333,0.463,0.0078108557,Yes,0.07115102,0.4600245398773,0.697938806781671,0.931289410741465,0.644319018404908,0.576441717791411,0.608140998741082,0.752147239263803,0.428907975460122,0.463,0.0066938148811459,ATG9A_HUMAN,0.42,Medium,8,839,['Transporter'],mitochondrion
Q86WV6,Stimulator of interferon genes protein,STING1 ERIS MITA STING TMEM173,,PhasePDB,True,0.0673172323,0.1086805273,0.0,0.031,0.7079318,Yes,0.06642537,0.252171779141104,0.5088230932727,0.123396390519678,0.655411042944785,0.587828220858895,,0.328638036809815,0.122650306748466,0.031,0.925766825675964,STING_HUMAN,0.49,Medium,4,379,"['Ion Channel', 'Transporter']",nucleoplasm
Q8NC56,LEM domain-containing protein 2,LEMD2,,PhasePDB,True,0.2363709607,0.103006874,,0.346,0.9496786,Yes,0.20023857,0.360441717791411,0.665019030201176,0.648727984344422,0.778993865030674,0.930110429447852,0.744691565253881,0.975361963190184,0.931092024539877,0.346,0.977723300457,LEMD2_HUMAN,0.68,Medium,2,503,[],nuclear envelope
Q8TEM1,Nuclear pore membrane glycoprotein 210,NUP210 KIAA0906,Cytoplasmic Nucleoporin Granule; Nuclear pore complex,PhasePDB,True,0.4330318644,0.2007567422,0.0,0.645,0.08759173,Yes,0.18415655,0.687312883435582,0.747120755276555,0.426179604261796,0.53560736196319,0.288098159509202,,0.432441717791411,0.387092024539877,0.645,0.0519249513745307,PO210_HUMAN,0.31,Low,1,1887,[],nuclear envelope
Q8WXG9,Adhesion G-protein coupled receptor V1,ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1,,PhasePDB,True,0.5305456419,0.3111176325,,0.556,0.022319196,Yes,,,,,,,,,,,,AGRV1_HUMAN,0.74,High,7,6306,"['GPCR', 'Hydrolase', 'Receptor', 'Adhesion']",plasma membrane
Q9BR39,Junctophilin-2,JPH2 JP2,Nuclear body,PhasePDB,True,0.7654327439,0.5621715362,0.0075,0.677,0.5504534,Yes,0.83787763,0.978110429447852,0.94162424002768,0.961730811045879,0.853938650306748,0.92240490797546,,0.968196319018404,0.862184049079754,0.677,0.982243180274963,JPH2_HUMAN,1.0,High,1,696,['Transcription Factor'],nucleus
Q9BRQ8,Ferroptosis suppressor protein 1,AIFM2 AMID PRG3,,PhasePDB,True,0.6706123549,0.6064170081,,0.174,0.102038205,No,0.03575878,0.713815950920245,0.636893875735257,0.549575994781474,4.9079754601227e-05,0.322748466257668,0.326059588753671,0.353570552147239,0.428662576687116,0.174,0.145127445459365,FSP1_HUMAN,0.11,Low,1,373,['Oxidoreductase'],nucleus
Q9H3U5,Lysosomal dipeptide transporter MFSD1,MFSD1 SMAP4,,PhasePDB,True,0.0456853351,0.0441884626,0.0,0.082,0.01865598,No,0.023559052,0.291190184049079,0.270080569423162,0.132039573820395,0.550773006134969,0.750871165644171,0.522786403692824,0.503558282208589,0.008196319018404,0.082,0.0133684370666742,MFSD1_HUMAN,0.18,Low,12,465,['Transporter'],lysosome
Q9H461,Frizzled-8,FZD8,Wnt signalodroplet,PhasePDB,True,0.0801331697,0.0894939003,0.000833333,0.501,0.0016049944,Yes,0.5680879,0.950920245398773,0.955612673619692,0.989073711676451,0.653742331288343,0.905815950920245,0.170037767519932,0.869595092024539,0.385325153374233,0.501,0.0011336824391037,FZD8_HUMAN,0.94,High,7,694,"['GPCR', 'Receptor']",Golgi apparatus
Q9UJA2,Cardiolipin synthase (CMP-forming),CRLS1 C20orf155 CLS1,,PhasePDB,True,0.1170661771,0.2628498104,0.0,0.053,0.0030629006,Yes,0.024668079,0.13801226993865,0.749493351786861,0.239889106327462,4.9079754601227e-05,0.896490797546012,,0.365546012269938,0.026306748466257,0.053,0.0019523581722751,CRLS1_HUMAN,0.3,Low,5,301,['Transferase'],mitochondrion
Q9UM73,ALK tyrosine kinase receptor,ALK,,PhasePDB,True,0.3597359203,0.9039928255,0.000833333,0.749,0.72956294,Yes,0.23372291,0.961766871165644,0.829271909445899,0.980267449445531,0.515877300613496,0.651386503067484,0.585228703315149,0.81683435582822,0.599803680981595,0.749,0.952414631843566,ALK_HUMAN,0.97,High,1,1620,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",plasma membrane
Q9Y624,Junctional adhesion molecule A,F11R JAM1 JCAM,,PhasePDB,True,0.1165015876,0.1385051991,0.0,0.336,0.1137257,Yes,0.30035985,0.424883435582822,0.562750234788196,0.727929984779299,4.9079754601227e-05,0.698503067484662,0.078220730172052,0.78763190184049,0.620368098159509,0.336,0.110078170895576,JAM1_HUMAN,0.18,Low,1,299,['Adhesion'],plasma membrane
Q14739,Lamin-B receptor;Integral nuclear envelope inner membrane protein;LMN2R,LBR,Nucleus inner membrane; Multi-pass membrane protein.,LLPSDB,True,0.3307056098,0.5650522090000001,0.0,0.424,0.5698512,Yes,0.121997654,0.555828220858895,0.48771687014977,0.563818221352468,0.541987730061349,0.53040490797546,0.435501468736886,0.819337423312883,0.688,0.424,0.952816784381866,LBR_HUMAN,0.25,Low,8,615,"['Oxidoreductase', 'Chromatin Remodeling']",nucleus
P08908,5-hydroxytryptamine receptor 1A;5-HT-1A;5-HT1A;G-21;Serotonin receptor 1A,HTR1A;ADRB2RL1;ADRBRL1,Cell membrane;Multi-pass membrane protein.,LLPSDB,True,0.4170778534,0.0921235735,0.0,0.68,0.8727934,Yes,0.26355502,0.319361963190184,0.342988483021106,0.6838443139813,4.9079754601227e-05,0.261006134969325,,0.40642944785276,0.218110429447852,0.68,0.927753925323486,5HT1A_HUMAN,0.45,Medium,7,422,"['GPCR', 'Receptor']",plasma membrane
