UniProt_ID,Entry_name,mean_rank,weighted_mean_rank,rank_sd,frac_predictors_high,n_predictors_scored,group,TMD_count,TMD_class,evidence_in_vivo,evidence_in_vitro,role,LLPS_mode,functional_groups
P15941,MUC1_HUMAN,0.6562023192525515,0.6664574071963826,0.301227388731777,0.7222222222222222,18,High disagreement,1,single,True,False,unclear,unclear,
Q9H461,FZD8_HUMAN,0.621631528209322,0.6018122564574849,0.3114470007128535,0.6111111111111112,18,High disagreement,7,multi,False,False,both,autonomous,GPCR;Receptor
P08247,SYPH_HUMAN,0.6046412286330463,0.6046892214512701,0.3269400187844819,0.5555555555555556,18,High disagreement,4,multi,False,False,driver,autonomous,
O75445,USH2A_HUMAN,0.5780666689367085,0.5784773234346821,0.314915768599143,0.5882352941176471,17,High disagreement,1,single,False,False,unclear,unclear,
Q8WXG9,AGRV1_HUMAN,0.5583506789572802,0.5611216995126693,0.2964410027037181,0.6,15,High disagreement,7,multi,False,True,both,autonomous,GPCR;Hydrolase;Receptor;Adhesion
P20963,CD3Z_HUMAN,0.5542664069422044,0.5683625899783656,0.2939975285963129,0.6111111111111112,18,High disagreement,1,single,True,True,unclear,autonomous,Receptor
Q8N114,SHSA5_HUMAN,0.5007864175106324,0.4863964987266918,0.3580044560284653,0.5555555555555556,18,High disagreement,1,single,False,False,driver,autonomous,
P63027,VAMP2_HUMAN,0.4616250897656681,0.443509137721484,0.3020997829860566,0.35294117647058826,17,High disagreement,1,single,True,True,driver,both,
P15954,COX7C_HUMAN,0.2750096302003081,0.2755958749670195,0.322250422848616,0.25,16,High disagreement,1,single,False,False,driver,partner_dependent,
Q15303,ERBB4_HUMAN,0.6521676765716877,0.670500605761617,0.2595603303089908,0.7777777777777778,18,other,1,single,False,True,unclear,partner_dependent,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor
Q8NC56,LEMD2_HUMAN,0.6504576848566658,0.6415793005408343,0.2796315589799923,0.6470588235294118,17,other,2,multi,True,True,driver,autonomous,
P21802,FGFR2_HUMAN,0.6273822843265151,0.640703199320322,0.244103261184867,0.7222222222222222,18,other,1,single,False,False,unclear,partner_dependent,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor
P11362,FGFR1_HUMAN,0.619247080534724,0.6293630508595076,0.2087239284821446,0.6666666666666666,18,other,1,single,False,True,unclear,partner_dependent,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor
Q08345,DDR1_HUMAN,0.614426566184541,0.6052099856908681,0.2062669736444696,0.6666666666666666,18,other,1,single,False,False,driver,autonomous,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion
O75460,ERN1_HUMAN,0.6088188054535836,0.5989457239810099,0.2263082486782678,0.6111111111111112,18,other,1,single,True,True,driver,both,Kinase;Transferase;Hydrolase;Chaperone;RNA Processing
Q12879,NMDE1_HUMAN,0.5812676838742697,0.5859150805101859,0.2042027207433834,0.6111111111111112,18,other,4,multi,True,False,both,both,Ion Channel;Transporter;Receptor
P07949,RET_HUMAN,0.579051866010862,0.5883217841632804,0.2306842860593081,0.6111111111111112,18,other,1,single,False,False,unclear,unclear,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion
P29317,EPHA2_HUMAN,0.5741098313109142,0.5926076751946983,0.2580224686905753,0.5555555555555556,18,other,1,single,True,False,unclear,partner_dependent,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion
P35968,VGFR2_HUMAN,0.5678849972245646,0.5747596333290618,0.2607389543692266,0.6111111111111112,18,other,1,single,False,True,unclear,partner_dependent,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor
P05067,A4_HUMAN,0.5653109079852443,0.5818464024491868,0.286437613610452,0.47058823529411764,17,other,1,single,False,False,driver,both,Adhesion
O60500,NPHN_HUMAN,0.5618171545208944,0.5694978012325231,0.255076992559687,0.7058823529411765,17,other,1,single,False,False,client,autonomous,Adhesion
P05556,ITB1_HUMAN,0.55576949238666,0.5768856867654392,0.275100967371359,0.6111111111111112,18,other,1,single,False,True,driver,autonomous,Receptor;Adhesion
P17948,VGFR1_HUMAN,0.5395939246565227,0.5506624800577913,0.2776875863762368,0.5555555555555556,18,other,1,single,False,True,driver,both,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor
Q14739,LBR_HUMAN,0.5191633533969502,0.5149861168162062,0.2038108254549028,0.5,18,other,8,multi,False,False,unclear,unclear,Oxidoreductase;Chromatin Remodeling
Q7Z3C6,ATG9A_HUMAN,0.4916055618180414,0.4718417634302876,0.253750543501383,0.5,18,other,8,multi,False,False,driver,both,Transporter
O14763,TR10B_HUMAN,0.4906714444880798,0.4724665872773645,0.28652945067064,0.3888888888888889,18,other,1,single,False,False,both,both,Receptor
P07766,CD3E_HUMAN,0.4860429147072845,0.4759570743707105,0.269723359569035,0.4444444444444444,18,other,1,single,False,False,unclear,both,Receptor
Q14BN4,SLMAP_HUMAN,0.4622167663187073,0.4636801172475728,0.2441337087309618,0.3888888888888889,18,other,2,multi,False,False,driver,autonomous,
P01857,IGHG1_HUMAN,0.456630899250771,0.4828197317507366,0.2466541678652267,0.47058823529411764,17,other,1,single,False,True,unclear,unclear,
Q8TEM1,PO210_HUMAN,0.4448634729080145,0.4450170893914686,0.2080135599492237,0.3333333333333333,18,other,1,single,False,False,unclear,unclear,
P08908,5HT1A_HUMAN,0.4290062707776897,0.4382289038914102,0.2099804351180121,0.5294117647058824,17,other,7,multi,False,False,unclear,unclear,GPCR;Receptor
P40967,PMEL_HUMAN,0.4278484753318645,0.4318994121502187,0.2321808421244021,0.3888888888888889,18,other,1,single,False,False,driver,autonomous,
P13569,CFTR_HUMAN,0.4192033889302338,0.4196333034412123,0.2314153622394463,0.3888888888888889,18,other,12,multi,True,False,unclear,unclear,Ion Channel;Transporter;Hydrolase
P08172,ACM2_HUMAN,0.4189699497994892,0.4145604047909528,0.2038574713971723,0.2777777777777778,18,other,7,multi,False,False,unclear,unclear,GPCR;Receptor
Q9Y624,JAM1_HUMAN,0.408314070841371,0.4101879366371892,0.1993803101803189,0.3888888888888889,18,other,1,single,False,False,unclear,unclear,Adhesion
P31431,SDC4_HUMAN,0.3877257033413789,0.3906975277784614,0.2812865813540046,0.3888888888888889,18,other,1,single,True,True,driver,autonomous,Receptor
O60733,PLPL9_HUMAN,0.386383769851425,0.3817532363114488,0.2191634084733714,0.3333333333333333,18,other,2,multi,False,False,both,both,Hydrolase
Q04671,P_HUMAN,0.3643539677960915,0.3316605766249736,0.2743435288100555,0.3333333333333333,18,other,12,multi,False,False,driver,autonomous,Ion Channel;Transporter
P15529,MCP_HUMAN,0.3556328138613044,0.3347585438860712,0.2247726481566164,0.2222222222222222,18,other,1,single,False,False,both,partner_dependent,
Q86WV6,STING_HUMAN,0.3454322353734824,0.3237024744022184,0.2681921022892014,0.2777777777777778,18,other,4,multi,False,False,driver,autonomous,Ion Channel;Transporter
P61073,CXCR4_HUMAN,0.3404511179973359,0.338437388563464,0.1995746507568848,0.2777777777777778,18,other,7,multi,False,False,both,both,GPCR;Receptor
Q9BRQ8,FSP1_HUMAN,0.3387888361533668,0.3413548852327135,0.2468599256912197,0.23529411764705882,17,other,1,single,True,True,driver,autonomous,Oxidoreductase
