UniProt_ID,mean_rank,weighted_mean_rank,rank_sd,n_predictors,Entry_name,p(LLPS),pLLPS_Class,TMD_count,Length,Protein_Name,leakage_any
O60500,0.5618171545208944,0.5694978012325231,0.255076992559687,17,NPHN_HUMAN,0.79,High,1,1241,Nephrin (Renal glomerulus-specific cell adhesion receptor),True
P20963,0.5542664069422044,0.5683625899783656,0.29399752859631295,18,CD3Z_HUMAN,0.57,Medium,1,164,T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247),False
Q8WXG9,0.5583506789572802,0.5611216995126693,0.29644100270371815,15,AGRV1_HUMAN,0.74,High,7,6306,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],False
P17948,0.5395939246565227,0.5506624800577913,0.27768758637623686,18,VGFR1_HUMAN,0.24,Low,1,1338,Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor),True
Q14739,0.5191633533969502,0.5149861168162062,0.2038108254549028,18,LBR_HUMAN,0.25,Low,8,615,Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase),True
Q8N114,0.5007864175106324,0.48639649872669183,0.3580044560284653,18,SHSA5_HUMAN,0.86,High,1,240,Protein shisa-5 (Putative NF-kappa-B-activating protein 120) (Scotin),False
P01857,0.456630899250771,0.4828197317507366,0.2466541678652267,17,IGHG1_HUMAN,0.43,Medium,1,330,Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE),True
P07766,0.48604291470728456,0.4759570743707105,0.269723359569035,18,CD3E_HUMAN,0.64,Medium,1,207,T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e),False
O14763,0.49067144448807987,0.4724665872773645,0.28652945067064,18,TR10B_HUMAN,0.93,High,1,440,Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262),False
Q7Z3C6,0.49160556181804144,0.47184176343028766,0.25375054350138304,18,ATG9A_HUMAN,0.42,Medium,8,839,Autophagy-related protein 9A (APG9-like 1) (mATG9),False
Q14BN4,0.4622167663187073,0.4636801172475728,0.2441337087309618,18,SLMAP_HUMAN,0.37,Low,2,828,Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein),False
Q8TEM1,0.4448634729080145,0.44501708939146867,0.20801355994922377,18,PO210_HUMAN,0.31,Low,1,1887,Nuclear pore membrane glycoprotein 210 (Nuclear pore protein gp210) (Nuclear envelope pore membrane protein POM 210) (POM210) (Nucleoporin Nup210) (Pore membrane protein of 210 kDa),True
P63027,0.4616250897656681,0.44350913772148404,0.30209978298605666,17,VAMP2_HUMAN,0.4,Low,1,116,Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2),False
P08908,0.42900627077768977,0.4382289038914102,0.20998043511801218,17,5HT1A_HUMAN,0.45,Medium,7,422,5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A),True
P40967,0.42784847533186454,0.43189941215021876,0.23218084212440218,18,PMEL_HUMAN,0.68,Medium,1,661,Melanocyte protein PMEL (ME20-M) (ME20M) (Melanocyte protein Pmel 17) (Melanocytes lineage-specific antigen GP100) (Melanoma-associated ME20 antigen) (P1) (P100) (Premelanosome protein) (Silver locus protein homolog) [Cleaved into: M-alpha (95 kDa melanocyte-specific secreted glycoprotein) (P26) (Secreted melanoma-associated ME20 antigen) (ME20-S) (ME20S); M-beta],True
P13569,0.4192033889302338,0.41963330344121236,0.23141536223944634,18,CFTR_HUMAN,0.13,Low,12,1480,Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel),False
P08172,0.41896994979948926,0.4145604047909528,0.20385747139717236,18,ACM2_HUMAN,0.82,High,7,466,Muscarinic acetylcholine receptor M2,False
Q9Y624,0.408314070841371,0.4101879366371892,0.19938031018031893,18,JAM1_HUMAN,0.18,Low,1,299,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321),False
P31431,0.38772570334137896,0.3906975277784614,0.2812865813540046,18,SDC4_HUMAN,1.0,High,1,198,Syndecan-4 (SYND4) (Amphiglycan) (Ryudocan core protein),False
O60733,0.386383769851425,0.3817532363114488,0.2191634084733714,18,PLPL9_HUMAN,0.38,Low,2,806,85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9),False
Q9BRQ8,0.33878883615336686,0.34135488523271357,0.2468599256912197,17,FSP1_HUMAN,0.11,Low,1,373,Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein),False
P61073,0.34045111799733596,0.33843738856346406,0.19957465075688485,18,CXCR4_HUMAN,0.19,Low,7,352,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),False
P15529,0.35563281386130446,0.3347585438860712,0.22477264815661646,18,MCP_HUMAN,0.35,Low,1,392,Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46),False
Q04671,0.3643539677960915,0.33166057662497367,0.2743435288100555,18,P_HUMAN,0.37,Low,12,838,P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog),False
Q86WV6,0.34543223537348244,0.32370247440221844,0.2681921022892014,18,STING_HUMAN,0.49,Medium,4,379,Stimulator of interferon genes protein (hSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (hMITA) (Transmembrane protein 173),True
P31645,0.31930693445966135,0.3082844303113098,0.18174097311625367,18,SC6A4_HUMAN,0.15,Low,12,630,Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4),False
Q03135,0.27996289577697797,0.3036500645393679,0.25128384278016563,18,CAV1_HUMAN,0.11,Low,1,178,Caveolin-1,False
P10747,0.29339679281849146,0.28872495918239827,0.22107922885748485,18,CD28_HUMAN,0.22,Low,1,220,T-cell-specific surface glycoprotein CD28 (TP44) (CD antigen CD28),False
Q9UJA2,0.311035860497548,0.2820307527758398,0.27395746567305734,18,CRLS1_HUMAN,0.3,Low,5,301,Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41) (Protein GCD10 homolog),False
P15954,0.27500963020030816,0.2755958749670195,0.32225042284861605,16,COX7C_HUMAN,0.14,Low,1,63,"Cytochrome c oxidase subunit 7C, mitochondrial (Cytochrome c oxidase polypeptide VIIc)",False
Q9H3U5,0.24286917927909654,0.21945144402564304,0.24445864057313418,18,MFSD1_HUMAN,0.18,Low,12,465,Major facilitator superfamily domain-containing protein 1 (Smooth muscle cell-associated protein 4) (SMAP-4),False
O00254,0.2334765355636499,0.21033770336382088,0.21243020454384906,18,PAR3_HUMAN,0.19,Low,7,374,Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2),False
Q16635,0.20319922722334363,0.20766453522178024,0.13789941753995374,18,TAZ_HUMAN,0.21,Low,1,292,Tafazzin (Protein G4.5),False
P49146,0.19846641715354996,0.17984464270757416,0.17956799657187786,18,NPY2R_HUMAN,0.15,Low,7,381,Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor),False
Q13021,0.19172666738417762,0.17112991497694352,0.21364234225096038,18,MALL_HUMAN,0.1,Low,4,153,MAL-like protein (Protein BENE),False
