Entry,Transmembrane,Intramembrane
Q7Z434,"TRANSMEM 514..534; /note=""Helical""; /evidence=""ECO:0000255""",
Q17R98,,
Q8IY33,,
Q96HB5,,
Q14934,,
Q8N2C7,"TRANSMEM 2268..2288; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2398..2418; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2785..2805; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 2831..2851; /note=""Helical""; /evidence=""ECO:0000255""",
Q9Y6F6,"TRANSMEM 844..864; /note=""Helical""; /evidence=""ECO:0000255""",
Q8N3X1,,
A6NL88,"TRANSMEM 187..207; /note=""Helical""; /evidence=""ECO:0000255""",
O00570,,
Q96F05,"TRANSMEM 401..421; /note=""Helical""; /evidence=""ECO:0000255""",
O60299,,
P0CG12,,
Q5VYM1,,
Q8N7X1,,
Q9P2F5,,
Q6ZVC0,,
A6QL64,,
Q5SV97,,
Q9UPR6,,
A6NNL0,,
Q5VT03,,
B1AL46,,
P08572,,
P29966,,
P84996,,
Q12947,,
Q2M1Z3,,
Q69YH5,,
Q8NA82,,
Q96QB1,,
Q9P0K8,,
Q9ULL8,,
O43365,,
O60885,,
P20264,,
Q6L8H1,,
Q6L8H4,,
Q8IZF6,"TRANSMEM 2741..2766; /note=""Helical; Name=1""; /evidence=""ECO:0000269|PubMed:35418677, ECO:0007744|PDB:7WUJ""; TRANSMEM 2778..2800; /note=""Helical; Name=2""; /evidence=""ECO:0000269|PubMed:35418677, ECO:0007744|PDB:7WUJ""; TRANSMEM 2807..2835; /note=""Helical; Name=3""; /evidence=""ECO:0000269|PubMed:35418677, ECO:0007744|PDB:7WUJ""; TRANSMEM 2850..2870; /note=""Helical; Name=4""; /evidence=""ECO:0000269|PubMed:35418677, ECO:0007744|PDB:7WUJ""; TRANSMEM 2893..2918; /note=""Helical; Name=5""; /evidence=""ECO:0000269|PubMed:35418677, ECO:0007744|PDB:7WUJ""; TRANSMEM 2938..2961; /note=""Helical; Name=6""; /evidence=""ECO:0000269|PubMed:35418677, ECO:0007744|PDB:7WUJ""; TRANSMEM 2966..2989; /note=""Helical; Name=7""; /evidence=""ECO:0000269|PubMed:35418677, ECO:0007744|PDB:7WUJ""",
Q8TBE0,,
Q99856,,
Q9NYF8,,
Q9ULH7,,
A8MW92,,
P20265,,
Q15637,,
Q5T481,,
Q8IZQ8,,
Q93074,,
Q9UBC0,,
O14511,"TRANSMEM 406..426; /note=""Helical; Note=Internal signal sequence""; /evidence=""ECO:0000255""",
P31260,,
Q12778,,
Q5T4S7,,
Q8N1G1,,
Q8NHW3,,
Q96PN7,,
Q96T37,,
Q9H0D2,,
Q9P275,,
Q9ULI3,"TRANSMEM 1249..1269; /note=""Helical""; /evidence=""ECO:0000255""",
Q9Y2J4,,
O15085,,
P18146,,
P48681,,
P51608,,
P51825,,
P57073,,
Q14993,,
Q6PKG0,,
Q6UUV9,,
Q7LBC6,,
Q8IZL8,,
Q9NVW2,,
Q9Y2F5,,
Q9Y2W1,,
Q9Y3Q8,,
Q5JWF2,,
Q9Y2K2,,
Q6ZS17,,
Q8IZ21,,
Q96EV2,,
Q96PV6,,
Q9Y2X9,,
P51816,,
Q02388,,
Q6UY14,,
Q86Y26,,
Q9UPN9,,
Q9UPQ0,,
Q01804,,
Q3T8J9,,
Q8ND83,,
O43182,,
Q14151,,
Q5T1M5,,
Q15652,,
P53539,,
Q6ZMY3,,
Q86UK7,,
Q8TEW0,,
Q9ULU4,,
P31942,,
Q13495,,
Q7Z7F0,,
O43497,"TRANSMEM 81..101; /note=""Helical; Name=S1 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 120..141; /note=""Helical; Name=S2 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 151..170; /note=""Helical; Name=S3 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 176..193; /note=""Helical; Name=S4 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 214..234; /note=""Helical; Name=S5 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 371..395; /note=""Helical; Name=S6 of repeat I""; /evidence=""ECO:0000255""; TRANSMEM 744..764; /note=""Helical; Name=S1 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 778..799; /note=""Helical; Name=S2 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 806..824; /note=""Helical; Name=S3 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 833..856; /note=""Helical; Name=S4 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 868..888; /note=""Helical; Name=S5 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 940..964; /note=""Helical; Name=S6 of repeat II""; /evidence=""ECO:0000255""; TRANSMEM 1273..1295; /note=""Helical; Name=S1 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1314..1334; /note=""Helical; Name=S2 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1345..1364; /note=""Helical; Name=S3 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1379..1400; /note=""Helical; Name=S4 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1411..1434; /note=""Helical; Name=S5 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1512..1537; /note=""Helical; Name=S6 of repeat III""; /evidence=""ECO:0000255""; TRANSMEM 1611..1631; /note=""Helical; Name=S1 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1646..1667; /note=""Helical; Name=S2 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1675..1693; /note=""Helical; Name=S3 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1708..1731; /note=""Helical; Name=S4 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1746..1766; /note=""Helical; Name=S5 of repeat IV""; /evidence=""ECO:0000255""; TRANSMEM 1827..1854; /note=""Helical; Name=S6 of repeat IV""; /evidence=""ECO:0000255""",
Q8NFW1,,
Q8TD94,,
Q9UBL0,,
O15090,,
Q9BWG4,,
O60422,,
Q96SC8,,
Q92576,,
Q96PX6,,
Q86VQ1,,
Q8WXE0,,
Q15270,,
Q9C0B9,,
Q5THK1,,
Q2KHR3,,
Q76KD6,,
Q5VZR2,,
O15169,,
P12036,,
P29400,,
Q13435,,
Q6RFH8,,
Q71F56,,
Q8IY63,,
Q8WUF5,,
Q9C0D6,,
Q9H4Z2,,
Q9UIF9,,
A0JLT2,,
O15504,,
O95425,,
O95503,,
P12107,,
P28356,,
P85037,,
P98175,,
Q14676,,
Q16676,,
Q8IWU2,"TRANSMEM 11..31; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 43..63; /note=""Helical""; /evidence=""ECO:0000255""",
Q92618,,
Q96CB8,,
Q96JE9,,
Q99501,,
Q9H6Z4,,
Q9UHB6,,
Q9UQC2,,
O43670,,
P18827,"TRANSMEM 255..275; /note=""Helical""; /evidence=""ECO:0000255""",
P23588,,
P51991,,
Q3KQU3,,
Q5RHP9,,
Q96QT6,,
Q9H165,,
Q9HCS4,,
O43312,,
P08123,,
P47902,,
Q02078,,
Q5XG87,,
Q8IYF1,,
Q8TBC5,,
Q9HCK8,,
O75056,"TRANSMEM 388..408; /note=""Helical""; /evidence=""ECO:0000255""",
P02458,,
P53420,,
Q12946,,
Q15059,,
Q5JR59,,
Q6SPF0,,
Q8N2M8,,
Q9BYJ9,,
Q9HCI5,,
P25440,,
Q96JE7,,
P56693,,
P78312,,
Q765P7,,
Q13761,,
Q5T5Y3,,
Q9UQ26,,
Q01538,,
Q14244,,
Q7Z6I6,,
Q15424,,
Q8N5C8,,
Q9P2K5,,
O75112,,
P20810,,
Q1MSJ5,,
P46100,,
Q5TAT6,"TRANSMEM 45..61; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255""",
P13942,,
P16070,"TRANSMEM 650..670; /note=""Helical""; /evidence=""ECO:0000255""",
Q2M3G4,,
Q9ULK2,,
Q8NFJ8,,
Q9H6X5,,
O95081,,
C9J069,,
Q2WGN9,,
Q53SF7,,
A5PLN7,,
Q5SNV9,,
Q96MY1,,
Q9Y3X0,,
C9JLR9,,
Q9Y2K5,,
P0CJ78,,
A6NIJ5,,
Q3SYA9,,
Q9NQR7,,
P0C671,,
Q0VF49,,
A6NNA2,,
Q9H7T3,,
Q8N1X5,,
A7MD48,,
O43719,,
O43823,,
P04198,,
P09086,,
P12035,,
Q00587,,
Q17RW2,,
Q5VU43,,
Q92833,,
Q9UI08,,
P13645,,
Q01167,,
Q13023,,
Q15583,,
Q6UWI2,"TRANSMEM 259..279; /note=""Helical""; /evidence=""ECO:0000255""",
Q9UIW0,,
P09067,,
P0DPB3,,
P15408,,
P16402,,
P23771,,
Q14055,,
Q14781,,
Q15287,,
Q6ZSZ5,,
Q8WXH2,"TRANSMEM 728..748; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""",
Q9HCM1,,
Q9UGU5,,
A6NDB9,,
O14529,,
P27987,,
P47974,,
P50548,,
P52951,,
Q19T08,"TRANSMEM 125..145; /note=""Helical""; /evidence=""ECO:0000255""",
Q4KMP7,,
Q8N8S7,,
Q92540,,
Q96IZ0,,
Q96PG8,,
Q9BTA9,,
Q9UHV7,,
A1L390,,
O14641,,
P14651,,
P17275,,
P19622,,
P23246,,
Q12837,,
Q2M2I5,,
Q5VY09,,
Q8N3F8,,
Q8TF01,,
Q96NU1,,
Q9H307,,
O43593,,
O60393,,
P02462,,
P11161,,
Q9NRA8,,
P43699,,
Q9Y2H0,,
O95644,,
P38398,,
Q12923,,
Q7RTP6,,
Q8IX15,,
Q9UBX2,,
Q96T17,,
O60271,,
Q8IYX3,,
Q13950,,
Q9Y2D5,,
Q9NY43,,
Q9P2N5,,
Q6PJG2,,
Q8NAF0,,
O75363,,
Q8IWB9,"TRANSMEM 475..495; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 497..517; /note=""Helical""; /evidence=""ECO:0000255""",
Q8TC56,,
Q9UL36,,
Q96T25,,
Q5VTL8,,
Q6ZVF9,,
Q9HC44,,
A0A0J9YY54,,
P0CJ86,,
Q5VU36,"TRANSMEM 23..43; /note=""Helical""; /evidence=""ECO:0000255""",
P0CJ85,,
P0CJ90,,
Q8N5Q1,,
B4DYI2,"TRANSMEM 23..43; /note=""Helical""; /evidence=""ECO:0000255""",
Q6NV74,,
A1L443,,
P0CJ87,,
P0CJ88,,
P0CJ89,,
Q9HAH7,,
Q5T6C5,,
A7XYQ1,,
O75190,,
O95208,,
P0CG20,,
P35712,,
Q13319,,
Q2QGD7,,
Q8IZA3,,
Q8NC44,"TRANSMEM 12..32; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 100..120; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 204..224; /note=""Helical""; /evidence=""ECO:0000255""",
Q8NHG8,,
A6NDE4,,
O15234,,
O43516,,
P12270,,
P50221,,
P56177,,
Q07157,,
Q32MQ0,,
Q5SW24,,
Q8N1G0,,
Q8N684,,
Q8ND56,,
Q96B97,,
Q96MU7,,
Q9BW04,,
Q9BWN1,,
Q9H0W5,,
Q9ULV3,,
O14964,,
O75081,,
P23769,,
Q13480,,
Q14050,,
Q3L8U1,,
Q96AQ6,,
Q99946,"TRANSMEM 224..244; /note=""Helical""; /evidence=""ECO:0000255""","INTRAMEM 276..296; /note=""Helical""; /evidence=""ECO:0000255"""
Q9BYV9,,
Q9NQS7,,
Q9UKN7,,
Q9UNF1,,
Q9UPN4,,
O95409,,
P48436,,
Q02297,"TRANSMEM 243..265; /note=""Helical; Note=Internal signal sequence""; /evidence=""ECO:0000255""",
Q15415,,
Q6ZNL6,,
Q96N64,,
Q9UJ55,,
Q9ULM3,,
A5PKW4,,
O95817,,
P98177,,
Q01955,,
Q08AD1,,
Q53TQ3,,
Q8IWX8,,
Q8NAX2,,
Q96IZ7,,
Q96PV0,,
Q9H4M7,,
Q9Y4B4,,
Q9Y6N7,"TRANSMEM 898..918; /note=""Helical""; /evidence=""ECO:0000255""",
O75177,,
P09603,"TRANSMEM 497..517; /note=""Helical""; /evidence=""ECO:0000255""",
Q9NYF0,,
Q6ZN04,,
Q9BUL5,,
P36402,,
Q8NDX1,,
P10275,,
Q96EP5,,
Q9BYP7,,
Q9BVN2,,
Q6IMN6,,
A6NEQ0,,
A6NJT0,,
Q75VX8,,
P0C7P1,,
Q5VZB9,,
Q9NTZ6,,
Q93073,,
Q86XD5,,
Q9P242,,
Q8IWB4,"TRANSMEM 23..43; /note=""Helical""; /evidence=""ECO:0000255""",
C9JH25,"TRANSMEM 370..390; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 392..412; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 430..450; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 467..487; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 500..520; /note=""Helical""; /evidence=""ECO:0000255""",
Q8NC74,,
Q6ZUT6,,
A0A1B0GUW6,"TRANSMEM 27..47; /note=""Helical""; /evidence=""ECO:0000255""",
Q3ZLR7,,
Q5VVP1,"TRANSMEM 23..43; /note=""Helical""; /evidence=""ECO:0000255""",
A8MX19,,
Q53LP3,,
