Entry,Entry name,Protein names,p(LLPS),pLLPS_Class,TMD_count,Length,Functional_Categories,Compartment,Subcellular location [CC]
Q07065,CKAP4_HUMAN,Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63),0.85,High,1,602,[],mitochondrion," Endoplasmic reticulum membrane {ECO:0000269|PubMed:18296695, ECO:0000269|PubMed:19144824}; Single-pass type II membrane protein. Cell membrane {ECO:0000269|PubMed:18296695, ECO:0000269|PubMed:19144824}; Single-pass type II membrane protein. Cytoplasm, cytoskeleton. Cytoplasm, perinuclear region. Note=Translocates to the perinuclear region upon APF-stimulation."
P08172,ACM2_HUMAN,Muscarinic acetylcholine receptor M2,0.82,High,7,466,"['GPCR', 'Receptor']",nucleolus," Cell membrane {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733, ECO:0000269|PubMed:3443095}; Multi-pass membrane protein {ECO:0000269|PubMed:22278061, ECO:0000269|PubMed:24256733}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Phosphorylation in response to agonist binding promotes receptor internalization. {ECO:0000250|UniProtKB:P06199}."
Q08345,DDR1_HUMAN,Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a),0.81,High,1,913,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane, [Isoform 1]: Cell membrane; Single-pass type I membrane protein.;  [Isoform 2]: Cell membrane; Single-pass type I membrane protein.;  [Isoform 3]: Secreted {ECO:0000305}.;  [Isoform 4]: Cell membrane; Single-pass type I membrane protein.
O60500,NPHN_HUMAN,Nephrin (Renal glomerulus-specific cell adhesion receptor),0.79,High,1,1241,['Adhesion'],plasma membrane," Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Predominantly located at podocyte slit diaphragm between podocyte foot processes. Also associated with podocyte apical plasma membrane. {ECO:0000269|PubMed:10393930, ECO:0000269|PubMed:10550324}."
P05067,A4_HUMAN,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31],0.75,High,1,770,['Adhesion'],extracellular region," Cell membrane {ECO:0000269|PubMed:10383380, ECO:0000269|PubMed:20580937, ECO:0000269|PubMed:2649245, ECO:0000305|PubMed:25122912}; Single-pass type I membrane protein {ECO:0000269|PubMed:30630874, ECO:0000305|PubMed:10383380, ECO:0000305|PubMed:25122912}. Membrane {ECO:0000269|PubMed:2900137, ECO:0000305|PubMed:22584060}; Single-pass type I membrane protein {ECO:0000269|PubMed:2900137, ECO:0000269|PubMed:30630874, ECO:0000305|PubMed:22584060}. Perikaryon {ECO:0000269|PubMed:10341243}. Cell projection, growth cone {ECO:0000269|PubMed:10341243}. Membrane, clathrin-coated pit {ECO:0000269|PubMed:20580937}. Early endosome {ECO:0000269|PubMed:20580937}. Cytoplasmic vesicle {ECO:0000269|PubMed:20580937, ECO:0000269|PubMed:25122912}. Note=Cell surface protein that rapidly becomes internalized via clathrin-coated pits. Only a minor proportion is present at the cell membrane; most of the protein is present in intracellular vesicles (PubMed:20580937). During maturation, the immature APP (N-glycosylated in the endoplasmic reticulum) moves to the Golgi complex where complete maturation occurs (O-glycosylated and sulfated). After alpha-secretase cleavage, soluble APP is released into the extracellular space and the C-terminal is internalized to endosomes and lysosomes. Some APP accumulates in secretory transport vesicles leaving the late Golgi compartment and returns to the cell surface. APP sorts to the basolateral surface in epithelial cells. During neuronal differentiation, the Thr-743 phosphorylated form is located mainly in growth cones, moderately in neurites and sparingly in the cell body (PubMed:10341243). Casein kinase phosphorylation can occur either at the cell surface or within a post-Golgi compartment. Associates with GPC1 in perinuclear compartments. Colocalizes with SORL1 in a vesicular pattern in cytoplasm and perinuclear regions. {ECO:0000269|PubMed:10341243, ECO:0000269|PubMed:20580937}.;  [Soluble APP-beta]: Secreted {ECO:0000269|PubMed:10656250, ECO:0000269|PubMed:2649245}.;  [Amyloid-beta protein 42]: Cell surface. Note=Associates with FPR2 at the cell surface and the complex is then rapidly internalized. {ECO:0000269|PubMed:11689470}.;  [Gamma-secretase C-terminal fragment 59]: Nucleus {ECO:0000269|PubMed:11544248}. Cytoplasm {ECO:0000269|PubMed:11544248}. Note=Located to both the cytoplasm and nuclei of neurons. It can be translocated to the nucleus through association with APBB1 (Fe65) (PubMed:11544248). In dopaminergic neurons, the phosphorylated Thr-743 form is localized to the nucleus (By similarity). {ECO:0000250|UniProtKB:P12023, ECO:0000269|PubMed:11544248}."
Q8WXG9,AGRV1_HUMAN,Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta],0.74,High,7,6306,"['GPCR', 'Hydrolase', 'Receptor', 'Adhesion']",plasma membrane," Cell membrane {ECO:0000250|UniProtKB:Q8VHN7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8VHN7}. Cell projection, stereocilium membrane {ECO:0000250|UniProtKB:Q8VHN7}. Photoreceptor inner segment {ECO:0000250|UniProtKB:Q8VHN7}. Note=Localizes at the ankle region of the stereocilia. In photoreceptors, localizes at a plasma membrane microdomain in the apical inner segment that surrounds the connecting cilia called periciliary membrane complex. {ECO:0000250|UniProtKB:Q8VHN7}."
P11362,FGFR1_HUMAN,Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331),0.69,Medium,1,822,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region," Cell membrane; Single-pass type I membrane protein. Nucleus. Cytoplasm, cytosol. Cytoplasmic vesicle. Note=After ligand binding, both receptor and ligand are rapidly internalized. Can translocate to the nucleus after internalization, or by translocation from the endoplasmic reticulum or Golgi apparatus to the cytosol, and from there to the nucleus."
Q8NC56,LEMD2_HUMAN,LEM domain-containing protein 2 (hLEM2),0.68,Medium,2,503,[],nuclear envelope," Nucleus inner membrane {ECO:0000269|PubMed:16339967, ECO:0000269|PubMed:17097643}; Multi-pass membrane protein {ECO:0000269|PubMed:16339967}. Note=Lamina-associated protein residing in the inner nuclear membrane (INM). Localized exclusively to the nuclear envelope, giving rise to a typical rim-like staining of the nuclear periphery."
P40967,PMEL_HUMAN,Melanocyte protein PMEL (ME20-M) (ME20M) (Melanocyte protein Pmel 17) (Melanocytes lineage-specific antigen GP100) (Melanoma-associated ME20 antigen) (P1) (P100) (Premelanosome protein) (Silver locus protein homolog) [Cleaved into: M-alpha (95 kDa melanocyte-specific secreted glycoprotein) (P26) (Secreted melanoma-associated ME20 antigen) (ME20-S) (ME20S); M-beta],0.68,Medium,1,661,[],endoplasmic reticulum," Endoplasmic reticulum membrane; Single-pass type I membrane protein. Golgi apparatus. Melanosome. Endosome, multivesicular body. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. Localizes predominantly to intralumenal vesicles (ILVs) within multivesicular bodies. Associates with ILVs found within the lumen of premelanosomes and melanosomes and particularly in compartments that serve as precursors to the striated stage II premelanosomes.;  [M-alpha]: Secreted."
P07766,CD3E_HUMAN,T-cell surface glycoprotein CD3 epsilon chain (T-cell surface antigen T3/Leu-4 epsilon chain) (CD antigen CD3e),0.64,Medium,1,207,['Receptor'],endoplasmic reticulum," Cell membrane {ECO:0000269|PubMed:10384095, ECO:0000269|PubMed:15294938}; Single-pass type I membrane protein {ECO:0000305}."
P20963,CD3Z_HUMAN,T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247),0.57,Medium,1,164,['Receptor'],Golgi apparatus, Cell membrane {ECO:0000250|UniProtKB:P24161}; Single-pass type I membrane protein.
P04626,ERBB2_HUMAN,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),0.53,Medium,1,1255,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",nucleus," [Isoform 1]: Cell membrane {ECO:0000269|PubMed:31138794}; Single-pass type I membrane protein. Early endosome {ECO:0000269|PubMed:31138794}. Cytoplasm, perinuclear region. Nucleus. Note=Translocation to the nucleus requires endocytosis, probably endosomal sorting and is mediated by importin beta-1/KPNB1. Also detected in VPS35-positive endosome-to-TGN retrograde vesicles (PubMed:31138794). {ECO:0000269|PubMed:31138794}.;  [Isoform 2]: Cytoplasm. Nucleus.;  [Isoform 3]: Cytoplasm. Nucleus."
O75460,ERN1_HUMAN,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],0.52,Medium,1,977,"['Kinase', 'Transferase', 'Hydrolase', 'Chaperone', 'RNA Processing']",mitochondrion, Endoplasmic reticulum membrane {ECO:0000269|PubMed:9637683}; Single-pass type I membrane protein {ECO:0000269|PubMed:9637683}.
P35968,VGFR2_HUMAN,Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309),0.51,Medium,1,1356,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region," Cell junction {ECO:0000250}. Endoplasmic reticulum {ECO:0000269|PubMed:23529610}. Note=Localized with RAP1A at cell-cell junctions (By similarity). Colocalizes with ERN1 and XBP1 in the endoplasmic reticulum in endothelial cells in a vascular endothelial growth factor (VEGF)-dependent manner (PubMed:23529610). {ECO:0000250, ECO:0000269|PubMed:23529610}.;  [Isoform 1]: Cell membrane; Single-pass type I membrane protein. Cytoplasm. Nucleus. Cytoplasmic vesicle. Early endosome. Note=Detected on caveolae-enriched lipid rafts at the cell surface. Is recycled from the plasma membrane to endosomes and back again. Phosphorylation triggered by VEGFA binding promotes internalization and subsequent degradation. VEGFA binding triggers internalization and translocation to the nucleus.;  [Isoform 2]: Secreted {ECO:0000305}.;  [Isoform 3]: Secreted."
Q12879,NMDE1_HUMAN,"Glutamate receptor ionotropic, NMDA 2A (GluN2A) (Glutamate [NMDA] receptor subunit epsilon-1) (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)",0.5,Medium,4,1464,"['Ion Channel', 'Transporter', 'Receptor']",plasma membrane," Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q00959}. Cell membrane {ECO:0000269|PubMed:26875626, ECO:0000269|PubMed:26919761, ECO:0000269|PubMed:28105280, ECO:0000269|PubMed:8768735}; Multi-pass membrane protein {ECO:0000305}. Cell junction, synapse {ECO:0000250|UniProtKB:P35436}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250|UniProtKB:Q00959}; Multi-pass membrane protein {ECO:0000305}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:P35436}. Note=Expression at the dendrite cell membrane and at synapses is regulated by SORCS2 and the retromer complex. {ECO:0000250|UniProtKB:P35436}."
Q86WV6,STING_HUMAN,Stimulator of interferon genes protein (hSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (hMITA) (Transmembrane protein 173),0.49,Medium,4,379,"['Ion Channel', 'Transporter']",nucleoplasm," Endoplasmic reticulum membrane {ECO:0000269|PubMed:18724357, ECO:0000269|PubMed:19285439, ECO:0000269|PubMed:19433799, ECO:0000269|PubMed:19776740, ECO:0000269|PubMed:25254379, ECO:0000269|PubMed:29694889, ECO:0000269|PubMed:30842653, ECO:0000269|PubMed:30842659}; Multi-pass membrane protein {ECO:0000255, ECO:0000269|PubMed:30842659}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19433799, ECO:0000269|PubMed:29694889, ECO:0000269|PubMed:30842653}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000269|PubMed:30842662}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:30842662}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000269|PubMed:18724357, ECO:0000269|PubMed:19285439, ECO:0000269|PubMed:19433799, ECO:0000269|PubMed:19776740}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q3TBT3}; Multi-pass membrane protein {ECO:0000255}. Note=In response to double-stranded DNA stimulation, translocates from the endoplasmic reticulum through the endoplasmic reticulum-Golgi intermediate compartment and Golgi to post-Golgi vesicles, where the kinase TBK1 is recruited (PubMed:19433799, PubMed:30842659, PubMed:30842653, PubMed:29694889). Upon cGAMP-binding, translocates to the endoplasmic reticulum-Golgi intermediate compartment (ERGIC) in a process that is dependent on COPII vesicles; STING1-containing ERGIC serves as a membrane source for LC3 lipidation, which is a key step in autophagosome biogenesis (PubMed:30842662). {ECO:0000269|PubMed:19433799, ECO:0000269|PubMed:29694889, ECO:0000269|PubMed:30842653, ECO:0000269|PubMed:30842659, ECO:0000269|PubMed:30842662}."
P07949,RET_HUMAN,Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment],0.46,Medium,1,1114,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane," Cell membrane {ECO:0000269|PubMed:19823924, ECO:0000269|PubMed:21994944, ECO:0000269|PubMed:23333276, ECO:0000269|PubMed:28953886}; Single-pass type I membrane protein {ECO:0000269|PubMed:19823924}. Endosome membrane {ECO:0000269|PubMed:19823924, ECO:0000269|PubMed:23333276}; Single-pass type I membrane protein {ECO:0000269|PubMed:19823924}. Note=Predominantly located on the plasma membrane. In the presence of SORL1 and GFRA1, directed to endosomes. {ECO:0000269|PubMed:23333276}."
P08908,5HT1A_HUMAN,5-hydroxytryptamine receptor 1A (5-HT-1A) (5-HT1A) (G-21) (Serotonin receptor 1A),0.45,Medium,7,422,"['GPCR', 'Receptor']",plasma membrane," Cell membrane {ECO:0000269|PubMed:22957663, ECO:0000269|PubMed:3041227, ECO:0000269|PubMed:3138543, ECO:0000269|PubMed:8393041}; Multi-pass membrane protein {ECO:0000269|PubMed:22957663, ECO:0000269|PubMed:3041227, ECO:0000269|PubMed:3138543, ECO:0000269|PubMed:8393041}. Cell projection, dendrite {ECO:0000250|UniProtKB:P19327}."
P01857,IGHG1_HUMAN,Immunoglobulin heavy constant gamma 1 (Ig gamma-1 chain C region) (Ig gamma-1 chain C region EU) (Ig gamma-1 chain C region KOL) (Ig gamma-1 chain C region NIE),0.43,Medium,1,330,[],extracellular region," Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}."
Q7Z3C6,ATG9A_HUMAN,Autophagy-related protein 9A (APG9-like 1) (mATG9),0.42,Medium,8,839,['Transporter'],mitochondrion," Cytoplasmic vesicle, autophagosome membrane; Multi-pass membrane protein. Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein. Late endosome membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein. Note=Under amino acid starvation or rapamycin treatment, redistributes from a juxtanuclear clustered pool to a dispersed peripheral cytosolic pool. The starvation-induced redistribution depends on ULK1, ATG13, as well as SH3GLB1."
O75581,LRP6_HUMAN,Low-density lipoprotein receptor-related protein 6 (LRP-6),0.42,Medium,1,1613,"['Transporter', 'Receptor', 'Adhesion']",extracellular region," Cell membrane {ECO:0000269|PubMed:26387593}; Single-pass type I membrane protein. Endoplasmic reticulum {ECO:0000269|PubMed:26387593}. Membrane raft {ECO:0000269|PubMed:23987510}. Note=On Wnt signaling, undergoes a cycle of caveolin- or clathrin-mediated endocytosis and plasma membrane location. Released from the endoplasmic reticulum on palmitoylation. Mono-ubiquitination retains it in the endoplasmic reticulum in the absence of palmitoylation. On Wnt signaling, phosphorylated, aggregates and colocalizes with AXIN1 and GSK3B at the plasma membrane in LRP6-signalsomes. Chaperoned to the plasma membrane by MESD (By similarity). {ECO:0000250}."
P63027,VAMP2_HUMAN,Vesicle-associated membrane protein 2 (VAMP-2) (Synaptobrevin-2),0.4,Low,1,116,[],cytosol," Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Single-pass type IV membrane protein. Cell junction, synapse, synaptosome. Cell membrane {ECO:0000250|UniProtKB:P63045}. Note=Neuronal synaptic vesicles. Colocalizes with PRKCZ and WDFY2 in intracellular vesicles (PubMed:17313651). {ECO:0000269|PubMed:17313651}."
O60733,PLPL9_HUMAN,85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (2-lysophosphatidylcholine acylhydrolase) (EC 3.1.1.5) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9),0.38,Low,2,806,['Hydrolase'],mitochondrion," Cytoplasm {ECO:0000269|PubMed:18208975}. Cell membrane {ECO:0000269|PubMed:18208975}. Mitochondrion {ECO:0000250|UniProtKB:P97819}. Cell projection, pseudopodium {ECO:0000269|PubMed:18208975}. Note=Recruited to the membrane-enriched pseudopods upon MCP1/CCL2 stimulation in monocytes. {ECO:0000269|PubMed:18208975}."
Q04671,P_HUMAN,P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog),0.37,Low,12,838,"['Ion Channel', 'Transporter']",Other, Melanosome membrane {ECO:0000269|PubMed:7601462}; Multi-pass membrane protein {ECO:0000269|PubMed:7601462}.
Q14BN4,SLMAP_HUMAN,Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein),0.37,Low,2,828,[],endoplasmic reticulum," Cell membrane, sarcolemma {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Note=Membrane-associated. Distributed in the transverse tubules and near the junctional sarcoplasmic reticulum. Detected along the Z- and M-lines in cardiomyocytes. Centrosome. Localizes to the centrosomes in a microtubule- dependent manner (By similarity). {ECO:0000250}."
P15529,MCP_HUMAN,Membrane cofactor protein (TLX) (Trophoblast leukocyte common antigen) (CD antigen CD46),0.35,Low,1,392,[],plasma membrane," Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}; Single-pass type I membrane protein {ECO:0000269|PubMed:12112588, ECO:0000269|PubMed:14597734, ECO:0000269|PubMed:15307194}. Note=Inner acrosomal membrane of spermatozoa. Internalized upon binding of Measles virus, Herpesvirus 6 or Neisseria gonorrhoeae, which results in an increased susceptibility of infected cells to complement-mediated injury. In cancer cells or cells infected by Neisseria, shedding leads to a soluble peptide."
